Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,E-mail 3,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,Instagram 1,Instagram 2,Instagram 3,Twitter 1,Twitter 2,Twitter 3,Facebook 1,Facebook 2,Facebook 3,ВКонтакте 1,ВКонтакте 2,ВКонтакте 3,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber 1,Viber 2,Viber 3,Telegram 1,Telegram 2,Telegram 3,YouTube 1,YouTube 2,YouTube 3,Skype 1,Skype 2,Skype 3,ID объекта,Широта,Долгота,ID здания,Название здания,ID этажа,Количество филиалов,ID сети,Название сети,Специализация сети,Главная рубрика,POI-категория,Кол-во рубрик,Кол-во атрибутов,Дата обновления,Удалён,ID сегмента,ID региона,2GIS URL,Тип,Ожидаемое кол-во (2GIS),Ссылка запроса
#TopBeerShop,,Алкогольные напитки; Разливное пиво; Безалкогольные напитки; Снеки,"2-й Чапаевский переулок, 5",,141420,Сходня м-н,,Химки,Химки городской округ,Московская область,Россия,Пн: 10:00-23:00; Вт: 10:00-23:00; Ср: 10:00-23:00; Чт: 10:00-23:00; Пт: 10:00-23:00; Сб: 10:00-23:00; Вс: 10:00-23:00 (Время продажи алкоголя ограничено.),+03:00,5.0,1,89779773434,,,,,,http://t.me/topbeershop,,,,,,,,,,,,,,,https://wa.me/79779773434,,,,,,https://t.me/+79779773434,,,,,,,,,70000001104877607,55.947073,37.291357,70030077008449019,,,1,70000001104877606,#TopBeerShop,,Разливное пиво,shop,4,5,2026-02-09T11:49:14Z,,0,32,https://2gis.com/firm/70000001104877607,branch,5932,https://2gis.ru/moscow/search/Алкогольные напитки/rubricId/360/filters/sort=name
#Xmeler,магазин разливных напитков,Алкогольные напитки; Разливное пиво,"улица Ленина, 11",,143421,,,,Красногорск городской округ,Московская область,Россия,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 09:00-22:00; Вс: 09:00-22:00 (Время продажи алкоголя ограничено.),+03:00,,,89299449092,,,,,,,,,,,,,,,,,,https://vk.com/xmeler,,,https://wa.me/79268854265,,,,,,,,,,,,,,,70000001115390125,55.758794,37.237165,4504235303398470,ТЦ Ильинский,70030076760812703,10,70000001039711702,#Xmeler,магазин разливных напитков,Разливное пиво,shop,2,0,2026-06-22T17:06:29Z,,0,32,https://2gis.com/firm/70000001115390125,branch,5932,https://2gis.ru/moscow/search/Алкогольные напитки/rubricId/360/filters/sort=name
#ХочуПиво,магазин,Алкогольные напитки; Разливное пиво; Снеки,"Шоссейная улица, 34",,109388,,Печатники,Москва,,Москва,Россия,Пн: 11:00-23:00; Вт: 11:00-23:00; Ср: 11:00-23:00; Чт: 11:00-23:00; Пт: 11:00-23:00; Сб: 11:00-23:00; Вс: 11:00-23:00 (Время продажи алкоголя ограничено.),+03:00,4.1,9,89299088088,,,,,,,,,,,,,,,,,,,,,https://wa.me/79299088088,https://wa.me/79299988588,,,,,,,,,,,,,,70000001042892436,55.682429,37.723045,4504235282606715,,,2,70000001058646128,#ХочуПиво,магазин,Разливное пиво,shop,3,6,2026-06-29T06:32:57Z,,0,32,https://2gis.com/firm/70000001042892436,branch,5932,https://2gis.ru/moscow/search/Алкогольные напитки/rubricId/360/filters/sort=name
19/72,винный магазин,Алкогольные напитки; Табачные изделия и товары для курения,"Киевская улица, 2",1 этаж,121059,,Дорогомилово,Москва,,Москва,Россия,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00 (Время продажи алкоголя ограничено.),+03:00,,,84994951972,89801281972,,,,,http://19-72.ru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70000001088273000,55.743237,37.563,4504235283114201,ТГК Киевский,70030076552837362,1,70000001088272999,19/72,винный магазин,Табачные изделия и товары для курения,common_store,2,5,2026-06-11T10:18:56Z,,0,32,https://2gis.com/firm/70000001088273000,branch,5932,https://2gis.ru/moscow/search/Алкогольные напитки/rubricId/360/filters/sort=name
20/20,винотека,Алкогольные напитки; Сыры; Консервы; Колбасные изделия,"улица Земляной Вал, 52/16 ст2",цокольный этаж,109240,,Таганский,Москва,,Москва,Россия,Пн: 12:00-23:00; Вт: 12:00-23:00; Ср: 12:00-23:00; Чт: 12:00-23:00; Пт: 12:00-23:00; Сб: 12:00-23:00; Вс: 12:00-23:00 (Время продажи алкоголя ограничено.),+03:00,5.0,1,89958988686,89851220122,,,,,http://t.me/wine_mood,,,,,,,,,,,,,,,https://wa.me/79851220122,,,,,,,,,,,,,,,70000001096262646,55.749341,37.654343,4504235282690952,,,1,70000001096262645,20/20,винотека,Алкогольные напитки,shop,4,5,2025-12-22T11:50:42Z,,0,32,https://2gis.com/firm/70000001096262646,branch,5932,https://2gis.ru/moscow/search/Алкогольные напитки/rubricId/360/filters/sort=name
2119,винотека,Алкогольные напитки,"2-й Грайвороновский проезд, 44 к1",1 этаж,109518,,Рязанский,Москва,,Москва,Россия,Пн: 12:00-22:00; Вт: 12:00-22:00; Ср: 12:00-22:00; Чт: 12:00-22:00; Пт: 12:00-23:00; Сб: 11:00-23:00; Вс: 12:00-22:00 (Время продажи алкоголя ограничено.),+03:00,2.4,3,89060222119,,,,,,http://t.me/vinoteca2119,,,,,,,,,,,,,,,https://wa.me/79060222119,,,,,,,,,,,,,,,70000001055830370,55.72499,37.74611,70030076167524371,,,1,70000001055830369,2119,винотека,Алкогольные напитки,shop,1,6,2026-04-21T13:53:41Z,,0,32,https://2gis.com/firm/70000001055830370,branch,5932,https://2gis.ru/moscow/search/Алкогольные напитки/rubricId/360/filters/sort=name
24 градуса,маркет-бар,Алкогольные напитки,"Южнобутовская улица, 77",1 этаж,117042,Чёчера м-н,Южное Бутово,Москва,,Москва,Россия,Пн: 21:00-09:00; Вт: 21:00-09:00; Ср: 21:00-09:00; Чт: 21:00-09:00; Пт: 21:00-09:00; Сб: 21:00-09:00; Вс: 21:00-09:00 (Время продажи алкоголя ограничено.),+03:00,5.0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70000001080827629,55.533778,37.526792,4504235282772840,,,2,70000001080827628,24 градуса,маркет-бар,Алкогольные напитки,shop,1,9,2026-03-27T12:59:52Z,,0,32,https://2gis.com/firm/70000001080827629,branch,5932,https://2gis.ru/moscow/search/Алкогольные напитки/rubricId/360/filters/sort=name
40 градусов,алкомаркет,Алкогольные напитки; Табачные изделия и товары для курения; Разливное пиво,"Наро-Фоминская улица, 17",,119619,,Солнцево,Москва,,Москва,Россия,Пн: 10:00-23:00; Вт: 10:00-23:00; Ср: 10:00-23:00; Чт: 10:00-23:00; Пт: 10:00-23:00; Сб: 10:00-23:00; Вс: 10:00-23:00 (Время продажи алкоголя ограничено.),+03:00,,,84957243833,,,,,,http://40gradusov.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70000001068992585,55.656238,37.38461,4504235282945106,,,1,70000001068992584,40 градусов,алкомаркет,Алкогольные напитки,common_store,3,3,2026-02-27T11:19:54Z,,0,32,https://2gis.com/firm/70000001068992585,branch,5932,https://2gis.ru/moscow/search/Алкогольные напитки/rubricId/360/filters/sort=name
Al33,винотека,Алкогольные напитки; Табачные изделия и товары для курения,"Ленинградский проспект, 33 к4",1 этаж,125284,,Беговой,Москва,,Москва,Россия,Пн: 10:00-23:00; Вт: 10:00-23:00; Ср: 10:00-23:00; Чт: 10:00-23:00; Пт: 10:00-23:00; Сб: 10:00-23:00; Вс: 10:00-23:00 (Время продажи алкоголя ограничено.),+03:00,1.4,1,89671550033,84959460555,,,,,http://altavina.ru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70000001040302790,55.787341,37.560022,4504235282677897,,,1,70000001040302786,Al33,винотека,Алкогольные напитки,common_store,2,4,2026-02-05T10:17:34Z,,0,32,https://2gis.com/firm/70000001040302790,branch,5932,https://2gis.ru/moscow/search/Алкогольные напитки/rubricId/360/filters/sort=name
Alco trade logistics,торгово-логистическая компания,Алкогольные напитки; Международные грузоперевозки; Таможенное оформление,"улица Ленинская Слобода, 19",5071 офис; 3 линия; 5 этаж,115280,,Даниловский,Москва,,Москва,Россия,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00 (Время продажи алкоголя ограничено.),+03:00,,,84964024780,,,,,,http://companyatl.ru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70000001079936120,55.709092,37.653703,4504235282623477,,,1,70000001079936119,Alco trade logistics,торгово-логистическая компания,Алкогольные напитки,shop,3,3,2025-11-27T09:38:53Z,,0,32,https://2gis.com/firm/70000001079936120,branch,5932,https://2gis.ru/moscow/search/Алкогольные напитки/rubricId/360/filters/sort=name
