Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,E-mail 3,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,Instagram 1,Instagram 2,Instagram 3,Twitter 1,Twitter 2,Twitter 3,Facebook 1,Facebook 2,Facebook 3,ВКонтакте 1,ВКонтакте 2,ВКонтакте 3,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber 1,Viber 2,Viber 3,Telegram 1,Telegram 2,Telegram 3,YouTube 1,YouTube 2,YouTube 3,Skype 1,Skype 2,Skype 3,ID объекта,Широта,Долгота,ID здания,Название здания,ID этажа,Количество филиалов,ID сети,Название сети,Специализация сети,Главная рубрика,POI-категория,Кол-во рубрик,Кол-во атрибутов,Дата обновления,Удалён,ID сегмента,ID региона,2GIS URL,Тип,Ожидаемое кол-во (2GIS),Ссылка запроса
Eurospar,пункт выдачи интернет-заказов,Дарксторы; Пункты выдачи интернет-заказов,"улица Каховка, 6",1 этаж,117303,,Зюзино,Москва,,Москва,Россия,Пн: 07:00-24:00; Вт: 07:00-24:00; Ср: 07:00-24:00; Чт: 07:00-24:00; Пт: 07:00-24:00; Сб: 07:00-24:00; Вс: 07:00-24:00,+03:00,4.6,114,88005001329 (бесплатная горячая линия: пн-вс 8:00-23:00),,,,,,http://myspar.ru,,,,,,,,,,,,https://vk.com/spar.russia,,,,,,,,,https://t.me/myspar,,,https://youtube.com/c/sparnnru_retail,,,,,,70000001105281330,55.652309,37.587948,4504235282581557,,,5,70000001065265799,Eurospar,пункт выдачи интернет-заказов,Пункты выдачи интернет-заказов,pvz,2,1,2026-02-26T12:10:07Z,,0,32,https://2gis.com/firm/70000001105281330,branch,1476,https://2gis.ru/moscow/search/Дарксторы/rubricId/112614/filters/sort=name
Foodband.ru,служба доставки,Дарксторы,"Окружная улица, 17а",,125476,,Южное Тушино,Москва,,Москва,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,4.6,34,84952903944 (единая справочная: круглосуточно),,,,,,http://foodband.ru,,,,,,,,,,,,https://vk.com/foodband,,,,,,,,,https://t.me/foodband_ru,,,,,,,,,70000001104393278,55.844321,37.39857,4504235282584522,,,19,70000001017852371,Foodband.ru,служба доставки,Дарксторы,green,1,0,2026-04-24T08:20:14Z,,0,32,https://2gis.com/firm/70000001104393278,branch,1476,https://2gis.ru/moscow/search/Дарксторы/rubricId/112614/filters/sort=name
Kristmas,служба доставки еды,Дарксторы,"Петровско-Разумовский проезд, 10",ресторан Лаваш,127220,,Савёловский,Москва,,Москва,Россия,Пн: 10:00-18:00; Вт: 10:00-18:00; Ср: 10:00-18:00; Чт: 10:00-18:00; Пт: 10:00-18:00; Сб: 10:00-18:00; Вс: 10:00-18:00,+03:00,,,89671850007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70000001103062708,55.794941,37.569508,4504235282535855,,,1,70000001103062707,Kristmas,служба доставки еды,Дарксторы,green,1,1,2026-04-08T12:00:56Z,,0,32,https://2gis.com/firm/70000001103062708,branch,1476,https://2gis.ru/moscow/search/Дарксторы/rubricId/112614/filters/sort=name
Leta,,Дарксторы,"Трёхпрудный переулок, 11/13 ст1",1 этаж; шоурум Норд концепт,123001,Патриаршие пруды м-н,Пресненский,Москва,,Москва,Россия,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00,+03:00,,,,,,,,,http://t.me/letafm,http://leta.st,,,,,,,,,,,https://vk.com/letajewelry,,,,,,,,,https://t.me/letacare,,,https://youtube.com/channel/UCKpeRgDYfBQ1kvdjRpbaIcw,,,,,,70000001044312810,55.765597,37.595322,4504235282747512,,,1,70000001031550873,Leta,,Дарксторы,green,1,3,2026-06-17T16:30:23Z,,0,32,https://2gis.com/firm/70000001044312810,branch,1476,https://2gis.ru/moscow/search/Дарксторы/rubricId/112614/filters/sort=name
Ozon fresh,склад,Дарксторы; Доставка продуктов,"Молодогвардейская улица, 61 ст20",,121351,,Кунцево,Москва,,Москва,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,4.4,8,,,,,,,http://express.ozon.ru,http://max.ru/ozonfresh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70000001054381564,55.732148,37.39404,4504235282686978,,,143,70000001054379414,Ozon fresh,служба доставки продуктов,Доставка продуктов,shop,2,5,2026-03-11T15:23:34Z,,0,32,https://2gis.com/firm/70000001054381564,branch,1476,https://2gis.ru/moscow/search/Дарксторы/rubricId/112614/filters/sort=name
Ozon fresh,служба доставки продуктов,Дарксторы; Доставка продуктов,"Рябиновая улица, 2",1 этаж,143072,Дубки жилой комплекс,,,Одинцовский городской округ,Московская область,Россия,Пн: 08:00-22:00; Вт: 08:00-22:00; Ср: 08:00-22:00; Чт: 08:00-22:00; Пт: 08:00-22:00; Сб: 08:00-22:00; Вс: 08:00-22:00,+03:00,,,,,,,,,http://express.ozon.ru,http://max.ru/ozonfresh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70000001115619430,55.656828,37.200346,4504235282877510,,,143,70000001054379414,Ozon fresh,служба доставки продуктов,Доставка продуктов,shop,2,1,2026-07-03T11:36:24Z,,0,32,https://2gis.com/firm/70000001115619430,branch,1476,https://2gis.ru/moscow/search/Дарксторы/rubricId/112614/filters/sort=name
Ozon fresh,служба доставки продуктов,Дарксторы; Доставка продуктов,"улица Цюрупы, 28",цокольный этаж,117418,,Черёмушки,Москва,,Москва,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,,,,,,,,,http://express.ozon.ru,http://max.ru/ozonfresh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70000001115587569,55.667261,37.567431,4504235282583185,,,143,70000001054379414,Ozon fresh,служба доставки продуктов,Доставка продуктов,shop,2,5,2026-06-30T04:25:07Z,,0,32,https://2gis.com/firm/70000001115587569,branch,1476,https://2gis.ru/moscow/search/Дарксторы/rubricId/112614/filters/sort=name
Ozon fresh,служба доставки продуктов,Дарксторы; Доставка продуктов,"улица Ивана Сусанина, 2 к1",,127486,,Западное Дегунино,Москва,,Москва,Россия,Пн: 07:00-24:00; Вт: 07:00-24:00; Ср: 07:00-24:00; Чт: 07:00-24:00; Пт: 07:00-24:00; Сб: 07:00-24:00; Вс: 07:00-24:00,+03:00,,,,,,,,,http://express.ozon.ru,http://max.ru/ozonfresh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70000001115200095,55.86523,37.528528,4504235282543174,,,143,70000001054379414,Ozon fresh,служба доставки продуктов,Дарксторы,shop,2,0,2026-06-23T06:25:04Z,,0,32,https://2gis.com/firm/70000001115200095,branch,1476,https://2gis.ru/moscow/search/Дарксторы/rubricId/112614/filters/sort=name
Ozon fresh,служба доставки продуктов,Дарксторы; Доставка продуктов,"Тихая улица, 18 ст1",цокольный этаж,109387,,Люблино,Москва,,Москва,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,,,,,,,,,http://express.ozon.ru,http://max.ru/ozonfresh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70000001115037083,55.684873,37.739364,4504235282598443,Friends,,143,70000001054379414,Ozon fresh,служба доставки продуктов,Доставка продуктов,shop,2,1,2026-06-15T07:31:45Z,,0,32,https://2gis.com/firm/70000001115037083,branch,1476,https://2gis.ru/moscow/search/Дарксторы/rubricId/112614/filters/sort=name
Ozon fresh,служба доставки продуктов,Дарксторы; Доставка продуктов,"улица Пресненский Вал, 14",1 этаж,123557,,Пресненский,Москва,,Москва,Россия,Пн: 07:00-21:00; Вт: 07:00-21:00; Ср: 07:00-21:00; Чт: 07:00-21:00; Пт: 07:00-21:00; Сб: 07:00-21:00; Вс: 07:00-21:00,+03:00,,,,,,,,,http://express.ozon.ru,http://max.ru/ozonfresh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70000001114786395,55.766783,37.565715,4504235282786433,,,143,70000001054379414,Ozon fresh,служба доставки продуктов,Доставка продуктов,shop,2,1,2026-06-03T08:23:34Z,,0,32,https://2gis.com/firm/70000001114786395,branch,1476,https://2gis.ru/moscow/search/Дарксторы/rubricId/112614/filters/sort=name
