Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,E-mail 3,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,Instagram 1,Instagram 2,Instagram 3,Twitter 1,Twitter 2,Twitter 3,Facebook 1,Facebook 2,Facebook 3,ВКонтакте 1,ВКонтакте 2,ВКонтакте 3,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber 1,Viber 2,Viber 3,Telegram 1,Telegram 2,Telegram 3,YouTube 1,YouTube 2,YouTube 3,Skype 1,Skype 2,Skype 3,ID объекта,Широта,Долгота,ID здания,Название здания,ID этажа,Количество филиалов,ID сети,Название сети,Специализация сети,Главная рубрика,POI-категория,Кол-во рубрик,Кол-во атрибутов,Дата обновления,Удалён,ID сегмента,ID региона,2GIS URL,Тип,Ожидаемое кол-во (2GIS),Ссылка запроса
#Необходимый,магазин,Супермаркеты,"улица Соловьёва, 2",1 этаж,143982,Кучино м-н,,Балашиха,Балашиха городской округ,Московская область,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,3.0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70000001063287487,55.763286,37.96548,4504235283047145,,,3,70000001033150466,#Необходимый,магазин,Супермаркеты,mart,1,4,2026-04-13T13:06:59Z,,0,32,https://2gis.com/firm/70000001063287487,branch,10692,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/sort=name
#Необходимый,магазин,Супермаркеты,"Косинское шоссе, 7",,143916,Новое Павлино м-н,,Балашиха,Балашиха городской округ,Московская область,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,2.8,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70000001036950447,55.720493,37.974507,4504235302576368,,,3,70000001033150466,#Необходимый,магазин,Супермаркеты,mart,1,6,2026-04-08T12:54:52Z,,0,32,https://2gis.com/firm/70000001036950447,branch,10692,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/sort=name
#Необходимый,магазин,Супермаркеты,"улица Брагина, 1",1 этаж,143982,Кучино м-н,,Балашиха,Балашиха городской округ,Московская область,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,1.5,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70000001033150467,55.762163,37.965268,4504235283047149,,,3,70000001033150466,#Необходимый,магазин,Супермаркеты,mart,1,6,2026-04-13T14:25:01Z,,0,32,https://2gis.com/firm/70000001033150467,branch,10692,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/sort=name
13 линия,универсам,Супермаркеты,"микрорайон Дзержинского, 39",1 этаж,143914,Дзержинского м-н,,Балашиха,Балашиха городской округ,Московская область,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,4.7,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70000001019219866,55.776548,37.90145,4504235282928270,,,1,70000001019219865,13 линия,универсам,Супермаркеты,mart,1,8,2026-04-10T11:21:18Z,,0,32,https://2gis.com/firm/70000001019219866,branch,10692,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/sort=name
2Go,мини-маркет,Супермаркеты,"Алтуфьевское шоссе, 1/7",1 этаж,127106,,Отрадное,Москва,,Москва,Россия,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00,+03:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70000001092445769,55.848429,37.582362,4504235282633234,,,1,70000001092445768,2Go,мини-маркет,Супермаркеты,mart,1,6,2026-07-01T14:07:29Z,,0,32,https://2gis.com/firm/70000001092445769,branch,10692,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/sort=name
2х2,минимаркет,Супермаркеты,"улица Вилиса Лациса, 21 к2",1 этаж,125480,,Северное Тушино,Москва,,Москва,Россия,Пн: 09:00-23:00; Вт: 09:00-23:00; Ср: 09:00-23:00; Чт: 09:00-23:00; Пт: 09:00-23:00; Сб: 09:00-23:00; Вс: 09:00-23:00,+03:00,3.8,4,84997622803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4504128908588455,55.862684,37.422919,4504235282547004,,,1,4504136499868655,2х2,минимаркет,Супермаркеты,mart,1,6,2026-02-19T09:55:01Z,,0,32,https://2gis.com/firm/4504128908588455,branch,10692,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/sort=name
3 сезона,минимаркет,Супермаркеты,"Трифоновская улица, 61 к1",1 этаж,129272,,Мещанский,Москва,,Москва,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,3.2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70000001038620442,55.791033,37.632977,4504235282565231,,,1,70000001038620441,"3 сезона, ООО, минимаркет",минимаркет,Супермаркеты,mart,1,7,2026-02-12T10:53:09Z,,0,32,https://2gis.com/firm/70000001038620442,branch,10692,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/sort=name
365 дней,продуктовый магазин,Супермаркеты,"Южнобутовская улица, 61",1 этаж,117042,,Южное Бутово,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70000001063420845,55.536619,37.530353,4504235282751936,,,1,70000001063420844,365 дней,продуктовый магазин,Супермаркеты,mart,1,7,2026-04-27T14:48:52Z,,0,32,https://2gis.com/firm/70000001063420845,branch,10692,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/sort=name
4Fresh,минимаркет,Супермаркеты; Разливное пиво,"Полевая улица, 4",1 этаж,142721,Пригород Лесное м-н,,,Ленинский городской округ,Московская область,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00 (Время продажи алкоголя ограничено.),+03:00,4.0,4,,,,,,,http://t.me/products_4fresh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70000001062417329,55.558443,37.821307,70030076181332424,,,1,70000001062417328,4Fresh,минимаркет,Супермаркеты,mart,2,7,2026-03-25T12:34:16Z,,0,32,https://2gis.com/firm/70000001062417329,branch,10692,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/sort=name
5 звёзд,минимаркет,Супермаркеты,"улица Героев Панфиловцев, 13 к3",1 этаж,125480,,Северное Тушино,Москва,,Москва,Россия,Пн: 09:00-23:00; Вт: 09:00-23:00; Ср: 09:00-23:00; Чт: 09:00-23:00; Пт: 09:00-23:00; Сб: 09:00-23:00; Вс: 09:00-23:00,+03:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4504128908511563,55.856958,37.428469,4504235283009365,,,1,4504137598387006,5 звёзд,минимаркет,Супермаркеты,mart,1,8,2025-11-27T12:50:06Z,,0,32,https://2gis.com/firm/4504128908511563,branch,10692,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/sort=name
