Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,E-mail 3,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,Instagram 1,Instagram 2,Instagram 3,Twitter 1,Twitter 2,Twitter 3,Facebook 1,Facebook 2,Facebook 3,ВКонтакте 1,ВКонтакте 2,ВКонтакте 3,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber 1,Viber 2,Viber 3,Telegram 1,Telegram 2,Telegram 3,YouTube 1,YouTube 2,YouTube 3,Skype 1,Skype 2,Skype 3,ID объекта,Широта,Долгота,ID здания,Название здания,ID этажа,Количество филиалов,ID сети,Название сети,Специализация сети,Главная рубрика,POI-категория,Кол-во рубрик,Кол-во атрибутов,Дата обновления,Удалён,ID сегмента,ID региона,2GIS URL,Тип,Ожидаемое кол-во (2GIS),Ссылка запроса
Магнит,супермаркет,Супермаркеты; Доставка продуктов,"Путевой проезд, 34а",1 этаж,127410,,Алтуфьевский,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,4.7,38,88002009002 (единая справочная: пн-вс 6:00-00:00),,,info@magnit.ru,,,http://magnit.ru/?utm_source=_geopriority_&utm_medium=&utm_campaign=_MM_Geoprioritety_-&utm_content=main&utm_term=,,,,,,,,,,,,https://vk.com/magnitretail,,,,,,,,,https://t.me/magnit_retail,,,,,,,,,70000001029456826,55.876279,37.570663,4504235282537702,,,1562,4504137598701571,Магнит,супермаркет,Супермаркеты,mart,2,12,2026-07-02T13:04:36Z,,0,32,https://2gis.com/firm/70000001029456826,branch,21,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726557
Дикси,супермаркет,Супермаркеты,"Алтуфьевское шоссе, 79",,127410,,Алтуфьевский,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,,,88001011001,,,,,,http://dixy.ru,,,,,,,,,,,,https://vk.com/dixyclub,,,,,,,,,https://t.me/dixy_russia,,,https://youtube.com/user/dixychannel,,,,,,70000001111886798,55.881281,37.585394,4504235282530931,,,1418,4504136498313374,Дикси,супермаркет,Супермаркеты,mart,1,10,2026-06-27T03:41:37Z,,0,32,https://2gis.com/firm/70000001111886798,branch,21,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726557
Eurospar,супермаркет,Супермаркеты; Доставка продуктов,"Инженерная улица, 3",1 этаж,127410,,Алтуфьевский,Москва,,Москва,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00 (отдел цветов: пн-вс 10:00-00:00),+03:00,4.4,97,88005001329 (бесплатная горячая линия: пн-вс 8:00-23:00),,,,,,http://myspar.ru,,,,,,,,,,,,https://vk.com/spar.russia,,,,,,,,,https://t.me/myspar,,,,,,,,,70000001033114666,55.879176,37.580913,4504235282539500,,,55,70000001028701845,Eurospar,супермаркет,Супермаркеты,mart,2,15,2026-07-06T04:33:21Z,,0,32,https://2gis.com/firm/70000001033114666,branch,21,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726557
Магнит,супермаркет,Супермаркеты,"Алтуфьевское шоссе, 55 к4",,127410,,Алтуфьевский,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,,,88002009002 (единая справочная: пн-вс 6:00-00:00),,,info@magnit.ru,,,http://magnit.ru/?utm_source=_geopriority_&utm_medium=&utm_campaign=_MM_Geoprioritety_-&utm_content=main&utm_term=,,,,,,,,,,,,https://vk.com/magnitretail,,,,,,,,,https://t.me/magnit_retail,,,,,,,,,70000001114014580,55.872622,37.581646,70030076486943428,,,1562,4504137598701571,Магнит,супермаркет,Супермаркеты,mart,1,9,2026-06-10T08:07:23Z,,0,32,https://2gis.com/firm/70000001114014580,branch,21,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726557
Заряд,супермаркет,Супермаркеты,"Алтуфьевское шоссе, 53 к1",,127410,,Алтуфьевский,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,5.0,1,88002005348,,,,,,http://magnit.ru/?utm_source=_geopriority_&utm_medium=&utm_campaign=_MM_Geoprioritety_-&utm_content=main&utm_term=,,,,,,,,,,,,https://vk.com/magnitretail,,,,,,,,,,,,,,,,,,70000001110857842,55.870901,37.58335,70030077006111089,,,47,70000001103711678,Заряд,супермаркет,Супермаркеты,mart,1,8,2026-07-02T13:00:49Z,,0,32,https://2gis.com/firm/70000001110857842,branch,21,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726557
Пятёрочка,супермаркет,Супермаркеты,"Алтуфьевское шоссе, 55 к5",,127410,,Алтуфьевский,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,5.0,2,88007700400,,,info@x5.ru,,,http://5ka.ru/catalog?utm_source=2gis&utm_medium=cpm&utm_campaign=000161-17_igronik_media_5ka_promo_04_2026%7Cformat_banner%7Ctype_banner&utm_content=%7Ccreo_1&utm_term,http://max.ru/tspyaterochka,,,,,https://twitter.com/pyaterochka,,,,,,https://vk.com/pyaterochka_shop,,,,,,,,,,,,,,,,,,70000001103415241,55.873505,37.581634,70030076441000926,,,3347,4504136498316193,Пятёрочка,супермаркет,Супермаркеты,mart,1,11,2026-06-22T08:06:57Z,,0,32,https://2gis.com/firm/70000001103415241,branch,21,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726557
Да!,супермаркет,Супермаркеты; Доставка продуктов,"Бибиревская улица, 7 к2",1 этаж,127549,,Алтуфьевский,Москва,,Москва,Россия,Пн: 08:00-22:30; Вт: 08:00-22:30; Ср: 08:00-22:30; Чт: 08:00-22:30; Пт: 08:00-22:30; Сб: 08:00-22:30; Вс: 08:00-22:30,+03:00,4.8,140,88005002755 (единая справочная: пн-вс 9:00-21:00),,,,,,http://market-da.ru,http://max.ru/magazin_da,,,,,,,,,,,https://vk.com/magazin_da,,,,,,,,,https://t.me/marketda,,,,,,,,,70000001029365861,55.879676,37.592035,4504235282537678,,,156,70000001020160443,Да!,супермаркет,Супермаркеты,mart,2,9,2026-06-22T07:19:17Z,,0,32,https://2gis.com/firm/70000001029365861,branch,21,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726557
Чижик,супермаркет,Супермаркеты,"Алтуфьевское шоссе, 79а ст3",1 этаж,127410,,Алтуфьевский,Москва,,Москва,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+03:00,4.7,32,84992702713,,,112@chizhik.club,,,http://chizhik.club/?utm_campaign=HAOB&utm_medium=maps&utm_source=2gis,,,,,,,,,,,,https://vk.com/chizhik.club,,,,,,,,,,,,,,,,,,70000001089645801,55.883252,37.585485,4504235282609766,,,613,70000001046125844,Чижик,супермаркет,Супермаркеты,mart,1,7,2026-07-05T12:23:11Z,,0,32,https://2gis.com/firm/70000001089645801,branch,21,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726557
Пятёрочка,супермаркет,Супермаркеты; Доставка продуктов,"проезд Черского, 13",,127410,,Алтуфьевский,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,4.7,61,88007700400,,,info@x5.ru,,,http://5ka.ru/catalog?utm_source=2gis&utm_medium=cpm&utm_campaign=000161-17_igronik_media_5ka_promo_04_2026%7Cformat_banner%7Ctype_banner&utm_content=%7Ccreo_1&utm_term,http://max.ru/tspyaterochka,,,,,https://twitter.com/pyaterochka,,,,,,https://vk.com/pyaterochka_shop,,,,,,,,,,,,,,,,,,70000001028572016,55.876654,37.578125,4504235282539181,,,3347,4504136498316193,Пятёрочка,супермаркет,Супермаркеты,mart,2,13,2026-06-22T08:05:44Z,,0,32,https://2gis.com/firm/70000001028572016,branch,21,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726557
Пятёрочка,супермаркет,Супермаркеты; Доставка продуктов,"Бибиревская улица, 17г",,127549,,Алтуфьевский,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,4.7,34,88007700400,,,info@x5.ru,,,http://5ka.ru/catalog?utm_source=2gis&utm_medium=cpm&utm_campaign=000161-17_igronik_media_5ka_promo_04_2026%7Cformat_banner%7Ctype_banner&utm_content=%7Ccreo_1&utm_term,http://max.ru/tspyaterochka,,,,,https://twitter.com/pyaterochka,,,,,,https://vk.com/pyaterochka_shop,,,,,,,,,,,,,,,,,,70000001027684317,55.881888,37.599188,4504235282540822,,,3347,4504136498316193,Пятёрочка,супермаркет,Супермаркеты,mart,2,13,2026-06-22T08:06:33Z,,0,32,https://2gis.com/firm/70000001027684317,branch,21,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726557
ВкусВилл,супермаркет,Супермаркеты; Доставка продуктов; Кулинарии; Доставка еды,"Алтуфьевское шоссе, 58",,127549,,Алтуфьевский,Москва,,Москва,Россия,Пн: 08:00-22:00; Вт: 08:00-22:00; Ср: 08:00-22:00; Чт: 08:00-22:00; Пт: 08:00-22:00; Сб: 08:00-22:00; Вс: 08:00-22:00,+03:00,4.8,33,89296873782,,,,,,http://vkusvill.ru/goods/?utm_source=2gis&utm_medium=maps&utm_campaign=glavnaya&deep_link_value=https%3A%2F%2Fvkusvill.ru%2Fmobile%3Fcatalog%2F&af_dp=vkusvill%3A%2F%2F&c=glavnaya&shortlink=5ca647b8&source_,http://max.ru/vkusvill_ru,,,,,,,,,,,https://vk.com/vkusvill_ru,,,,,,,,,https://t.me/we_are_vkusvill,,,,,,,,,70000001034600083,55.881905,37.587595,4504235282539545,,,1420,4504137598285175,ВкусВилл,супермаркет,Супермаркеты,mart,4,16,2026-06-28T05:22:43Z,,0,32,https://2gis.com/firm/70000001034600083,branch,21,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726557
