Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,E-mail 3,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,Instagram 1,Instagram 2,Instagram 3,Twitter 1,Twitter 2,Twitter 3,Facebook 1,Facebook 2,Facebook 3,ВКонтакте 1,ВКонтакте 2,ВКонтакте 3,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber 1,Viber 2,Viber 3,Telegram 1,Telegram 2,Telegram 3,YouTube 1,YouTube 2,YouTube 3,Skype 1,Skype 2,Skype 3,ID объекта,Широта,Долгота,ID здания,Название здания,ID этажа,Количество филиалов,ID сети,Название сети,Специализация сети,Главная рубрика,POI-категория,Кол-во рубрик,Кол-во атрибутов,Дата обновления,Удалён,ID сегмента,ID региона,2GIS URL,Тип,Ожидаемое кол-во (2GIS),Ссылка запроса
Красное&Белое,продуктовый магазин,Продуктовые магазины; Алкогольные напитки,"Ленинградский проспект, 50",цокольный этаж; правое крыло,125167,,Аэропорт,Москва,,Москва,Россия,Пн: 09:00-22:05; Вт: 09:00-22:05; Ср: 09:00-22:05; Чт: 09:00-22:05; Пт: 09:00-22:05; Сб: 09:00-22:05; Вс: 09:00-22:05 (Время продажи алкоголя ограничено.),+03:00,4.2,3,88001000804,89227033000,,,,,http://krasnoeibeloe.ru,http://zen.yandex.ru/id/5dde5c1021552277da47ba4b,http://max.ru/krasnoebeloe,,,,,,,,,,https://vk.com/krasnoebeloe,,,,,,,,,https://t.me/krasnoeibeloe,,,,,,,,,70000001099029713,55.796677,37.542629,4504235282676235,,,2113,70000001090565128,Красное&Белое,продуктовый магазин,Продуктовые магазины,shop,2,4,2026-06-21T07:49:10Z,,0,32,https://2gis.com/firm/70000001099029713,branch,20,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726541
Красное&Белое,продуктовый магазин,Продуктовые магазины; Алкогольные напитки,"улица Черняховского, 19",1 помещение; 1 этаж,125319,,Аэропорт,Москва,,Москва,Россия,Пн: 09:00-22:05; Вт: 09:00-22:05; Ср: 09:00-22:05; Чт: 09:00-22:05; Пт: 09:00-22:05; Сб: 09:00-22:05; Вс: 09:00-22:05 (Время продажи алкоголя ограничено.),+03:00,5.0,2,88001000804,89227033000,,,,,http://krasnoeibeloe.ru,http://zen.yandex.ru/id/5dde5c1021552277da47ba4b,http://max.ru/krasnoebeloe,,,,,,,,,,https://vk.com/krasnoebeloe,,,,,,,,,https://t.me/krasnoeibeloe,,,,,,,,,70000001044125114,55.808102,37.54096,70030076130974689,,,2113,70000001090565128,Красное&Белое,продуктовый магазин,Продуктовые магазины,shop,2,4,2026-06-21T07:48:16Z,,0,32,https://2gis.com/firm/70000001044125114,branch,20,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726541
Красное&Белое,продуктовый магазин,Продуктовые магазины; Алкогольные напитки,"улица Коккинаки, 2",1 этаж,125319,,Аэропорт,Москва,,Москва,Россия,Пн: 09:00-22:05; Вт: 09:00-22:05; Ср: 09:00-22:05; Чт: 09:00-22:05; Пт: 09:00-22:05; Сб: 09:00-22:05; Вс: 09:00-22:05 (Время продажи алкоголя ограничено.),+03:00,4.7,15,89168347372,89253601064,,,,,http://krasnoeibeloe.ru,http://zen.yandex.ru/id/5dde5c1021552277da47ba4b,http://max.ru/krasnoebeloe,,,,,,,,,,https://vk.com/krasnoebeloe,,,,,,,,,https://t.me/krasnoeibeloe,,,,,,,,,70000001083282822,55.804147,37.544836,4504235282536234,,,2113,70000001090565128,Красное&Белое,продуктовый магазин,Продуктовые магазины,shop,2,5,2026-06-21T07:48:48Z,,0,32,https://2gis.com/firm/70000001083282822,branch,20,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726541
Красное&Белое,продуктовый магазин,Продуктовые магазины; Алкогольные напитки,"улица Академика Ильюшина, 16",,125319,,Аэропорт,Москва,,Москва,Россия,Пн: 09:00-22:05; Вт: 09:00-22:05; Ср: 09:00-22:05; Чт: 09:00-22:05; Пт: 09:00-22:05; Сб: 09:00-22:05; Вс: 09:00-22:05 (Время продажи алкоголя ограничено.),+03:00,,,89168347372,89227033000,,,,,http://krasnoeibeloe.ru,http://zen.yandex.ru/id/5dde5c1021552277da47ba4b,http://max.ru/krasnoebeloe,,,,,,,,,,https://vk.com/krasnoebeloe,,,,,,,,,https://t.me/krasnoeibeloe,,,,,,,,,70000001098340761,55.806404,37.547162,4504235282578149,,,2113,70000001090565128,Красное&Белое,продуктовый магазин,Продуктовые магазины,shop,2,4,2026-06-21T07:49:19Z,,0,32,https://2gis.com/firm/70000001098340761,branch,20,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726541
Винлаб,супермаркет напитков,Продуктовые магазины; Алкогольные напитки,"улица Черняховского, 11 к1",1 этаж,125319,,Аэропорт,Москва,,Москва,Россия,Пн: 10:00-23:00; Вт: 10:00-23:00; Ср: 10:00-23:00; Чт: 10:00-23:00; Пт: 10:00-23:00; Сб: 10:00-23:00; Вс: 10:00-23:00 (Время продажи алкоголя ограничено.),+03:00,5.0,2,88003017755,,,,,,http://b2b.winelab.ru,http://max.ru/winelab_ru,,,,,,,,,,,https://vk.com/winelabru,,,,,,,,,https://t.me/winelab_chatbot,,,,,,,,,70000001090090195,55.805788,37.536202,4504235282536235,,,1163,70000001019234769,Винлаб,супермаркет напитков,Продуктовые магазины,shop,2,5,2026-07-07T13:29:27Z,,0,32,https://2gis.com/firm/70000001090090195,branch,20,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726541
Винлаб,супермаркет напитков,Продуктовые магазины; Алкогольные напитки,"Часовая улица, 18 ст3",,125315,,Аэропорт,Москва,,Москва,Россия,Пн: 10:00-23:00; Вт: 10:00-23:00; Ср: 10:00-23:00; Чт: 10:00-23:00; Пт: 10:00-23:00; Сб: 10:00-23:00; Вс: 10:00-23:00 (Время продажи алкоголя ограничено.),+03:00,4.6,9,88003017755,,,,,,http://b2b.winelab.ru,http://max.ru/winelab_ru,,,,,,,,,,,https://vk.com/winelabru,,,,,,,,,https://t.me/winelab_chatbot,,,,,,,,,70000001078941692,55.809111,37.528647,4504235282584638,,,1163,70000001019234769,Винлаб,супермаркет напитков,Продуктовые магазины,shop,2,4,2026-07-07T13:29:18Z,,0,32,https://2gis.com/firm/70000001078941692,branch,20,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726541
Ароматный мир,винный супермаркет,Продуктовые магазины; Алкогольные напитки,"Ленинградский проспект, 74",1 этаж,125315,,Аэропорт,Москва,,Москва,Россия,Пн: 09:30-22:30; Вт: 09:30-22:30; Ср: 09:30-22:30; Чт: 09:30-22:30; Пт: 09:30-22:30; Сб: 09:30-22:30; Вс: 10:00-22:00 (Время продажи алкоголя ограничено.),+03:00,4.7,47,88007777290,84957775190 (доп.7613),,,,,http://amwine.ru,http://max.ru/amwineru,,,,,,,,,,,https://vk.com/amwineru,,,,,,,,,https://t.me/amwineru,,,https://youtube.com/@Aromatnyi_Mir_Vino_bez_vody,,,,,,4504128908377999,55.805659,37.51582,4504235282648378,,,564,4504136498285713,Ароматный мир,винный супермаркет,Продуктовые магазины,shop,2,7,2026-07-09T13:23:12Z,,0,32,https://2gis.com/firm/4504128908377999,branch,20,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726541
Ароматный мир,винный супермаркет,Продуктовые магазины; Алкогольные напитки,"Красноармейская улица, 34а",1 этаж,125319,,Аэропорт,Москва,,Москва,Россия,Пн: 09:30-22:30; Вт: 09:30-22:30; Ср: 09:30-22:30; Чт: 09:30-22:30; Пт: 09:30-22:30; Сб: 09:30-22:30; Вс: 10:00-22:00 (Время продажи алкоголя ограничено.),+03:00,4.9,34,88007777290,84957775190 (доп.4833),,,,,http://amwine.ru,http://max.ru/amwineru,,,,,,,,,,,https://vk.com/amwineru,,,,,,,,,https://t.me/amwineru,,,https://youtube.com/@Aromatnyi_Mir_Vino_bez_vody,,,,,,70000001054028579,55.802943,37.537578,4504235282536220,,,564,4504136498285713,Ароматный мир,винный супермаркет,Продуктовые магазины,shop,2,4,2026-07-09T13:23:19Z,,0,32,https://2gis.com/firm/70000001054028579,branch,20,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726541
Анфиса,продуктовый магазин,Продуктовые магазины,"2-й Балтийский переулок, 1/18 к Б",1 этаж,125315,,Аэропорт,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,4.1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4504128908612916,55.807364,37.523006,4504235282638814,,,1,4504137598451434,Анфиса,продуктовый магазин,Продуктовые магазины,shop,1,6,2026-04-22T14:20:49Z,,0,32,https://2gis.com/firm/4504128908612916,branch,20,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726541
Магазин продуктов из Казахстана,,Продуктовые магазины,"Часовая улица, 11/3",343 павильон; 1 этаж,125315,,Аэропорт,Москва,,Москва,Россия,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+03:00,5.0,1,89771729509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70000001104035125,55.808399,37.52978,4504235282639844,,,1,70000001104035124,Магазин продуктов из Казахстана,Магазин продуктов из Казахстана,Продуктовые магазины,shop,1,4,2026-06-18T11:38:23Z,,0,32,https://2gis.com/firm/70000001104035125,branch,20,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726541
Ароматный мир,винный супермаркет,Продуктовые магазины; Алкогольные напитки,"Ленинградский проспект, 62 ст2Б",1 этаж,125167,,Аэропорт,Москва,,Москва,Россия,Пн: 09:30-22:30; Вт: 09:30-22:30; Ср: 09:30-22:30; Чт: 09:30-22:30; Пт: 09:30-22:30; Сб: 09:30-22:30; Вс: 10:00-22:00 (Время продажи алкоголя ограничено.),+03:00,5.0,1,88007777290,84957775190 (доп.4249),,,,,http://amwine.ru,http://max.ru/amwineru,,,,,,,,,,,https://vk.com/amwineru,,,,,,,,,https://t.me/amwineru,,,https://youtube.com/@Aromatnyi_Mir_Vino_bez_vody,,,,,,70000001098350103,55.80039,37.533756,4504235282676531,,,564,4504136498285713,Ароматный мир,винный супермаркет,Продуктовые магазины,shop,2,3,2026-07-09T13:23:17Z,,0,32,https://2gis.com/firm/70000001098350103,branch,20,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726541
Домашний,магазин продуктов,Продуктовые магазины,"Красноармейская улица, 30",1 этаж,125319,,Аэропорт,Москва,,Москва,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-20:00; Вс: 09:00-20:00,+03:00,1.4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70000001092037177,55.80176,37.540494,4504235282536201,,,1,70000001092037176,Домашний,магазин продуктов,Продуктовые магазины,shop,1,5,2026-01-20T12:45:42Z,,0,32,https://2gis.com/firm/70000001092037177,branch,20,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726541
Ароматный мир,винный супермаркет,Продуктовые магазины; Алкогольные напитки,"Ленинградский проспект, 74",1 этаж,125315,,Аэропорт,Москва,,Москва,Россия,Пн: 09:30-22:30; Вт: 09:30-22:30; Ср: 09:30-22:30; Чт: 09:30-22:30; Пт: 09:30-22:30; Сб: 09:30-22:30; Вс: 10:00-22:00 (Время продажи алкоголя ограничено.),+03:00,4.7,47,88007777290,84957775190 (доп.7613),,,,,http://amwine.ru,http://max.ru/amwineru,,,,,,,,,,,https://vk.com/amwineru,,,,,,,,,https://t.me/amwineru,,,https://youtube.com/@Aromatnyi_Mir_Vino_bez_vody,,,,,,4504128908377999,55.805659,37.51582,4504235282648378,,,564,4504136498285713,Ароматный мир,винный супермаркет,Продуктовые магазины,shop,2,7,2026-07-09T13:23:12Z,,0,32,https://2gis.com/firm/4504128908377999,branch,20,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726541
Красное&Белое,продуктовый магазин,Продуктовые магазины; Алкогольные напитки,"улица Коккинаки, 2",1 этаж,125319,,Аэропорт,Москва,,Москва,Россия,Пн: 09:00-22:05; Вт: 09:00-22:05; Ср: 09:00-22:05; Чт: 09:00-22:05; Пт: 09:00-22:05; Сб: 09:00-22:05; Вс: 09:00-22:05 (Время продажи алкоголя ограничено.),+03:00,4.7,15,89168347372,89253601064,,,,,http://krasnoeibeloe.ru,http://zen.yandex.ru/id/5dde5c1021552277da47ba4b,http://max.ru/krasnoebeloe,,,,,,,,,,https://vk.com/krasnoebeloe,,,,,,,,,https://t.me/krasnoeibeloe,,,,,,,,,70000001083282822,55.804147,37.544836,4504235282536234,,,2113,70000001090565128,Красное&Белое,продуктовый магазин,Продуктовые магазины,shop,2,5,2026-06-21T07:48:48Z,,0,32,https://2gis.com/firm/70000001083282822,branch,20,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726541
Ароматный мир,винный супермаркет,Продуктовые магазины; Алкогольные напитки,"Ленинградский проспект, 62 ст2Б",1 этаж,125167,,Аэропорт,Москва,,Москва,Россия,Пн: 09:30-22:30; Вт: 09:30-22:30; Ср: 09:30-22:30; Чт: 09:30-22:30; Пт: 09:30-22:30; Сб: 09:30-22:30; Вс: 10:00-22:00 (Время продажи алкоголя ограничено.),+03:00,5.0,1,88007777290,84957775190 (доп.4249),,,,,http://amwine.ru,http://max.ru/amwineru,,,,,,,,,,,https://vk.com/amwineru,,,,,,,,,https://t.me/amwineru,,,https://youtube.com/@Aromatnyi_Mir_Vino_bez_vody,,,,,,70000001098350103,55.80039,37.533756,4504235282676531,,,564,4504136498285713,Ароматный мир,винный супермаркет,Продуктовые магазины,shop,2,3,2026-07-09T13:23:17Z,,0,32,https://2gis.com/firm/70000001098350103,branch,20,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726541
Красное&Белое,продуктовый магазин,Продуктовые магазины; Алкогольные напитки,"улица Академика Ильюшина, 16",,125319,,Аэропорт,Москва,,Москва,Россия,Пн: 09:00-22:05; Вт: 09:00-22:05; Ср: 09:00-22:05; Чт: 09:00-22:05; Пт: 09:00-22:05; Сб: 09:00-22:05; Вс: 09:00-22:05 (Время продажи алкоголя ограничено.),+03:00,,,89168347372,89227033000,,,,,http://krasnoeibeloe.ru,http://zen.yandex.ru/id/5dde5c1021552277da47ba4b,http://max.ru/krasnoebeloe,,,,,,,,,,https://vk.com/krasnoebeloe,,,,,,,,,https://t.me/krasnoeibeloe,,,,,,,,,70000001098340761,55.806404,37.547162,4504235282578149,,,2113,70000001090565128,Красное&Белое,продуктовый магазин,Продуктовые магазины,shop,2,4,2026-06-21T07:49:19Z,,0,32,https://2gis.com/firm/70000001098340761,branch,20,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726541
Красное&Белое,продуктовый магазин,Продуктовые магазины; Алкогольные напитки,"Ленинградский проспект, 50",цокольный этаж; правое крыло,125167,,Аэропорт,Москва,,Москва,Россия,Пн: 09:00-22:05; Вт: 09:00-22:05; Ср: 09:00-22:05; Чт: 09:00-22:05; Пт: 09:00-22:05; Сб: 09:00-22:05; Вс: 09:00-22:05 (Время продажи алкоголя ограничено.),+03:00,4.2,3,88001000804,89227033000,,,,,http://krasnoeibeloe.ru,http://zen.yandex.ru/id/5dde5c1021552277da47ba4b,http://max.ru/krasnoebeloe,,,,,,,,,,https://vk.com/krasnoebeloe,,,,,,,,,https://t.me/krasnoeibeloe,,,,,,,,,70000001099029713,55.796677,37.542629,4504235282676235,,,2113,70000001090565128,Красное&Белое,продуктовый магазин,Продуктовые магазины,shop,2,4,2026-06-21T07:49:10Z,,0,32,https://2gis.com/firm/70000001099029713,branch,20,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726541
Магазин продуктов,,Продуктовые магазины,"Ленинградский проспект, 78 к1",1 этаж,125315,,Аэропорт,Москва,,Москва,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+03:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70000001093391767,55.806105,37.514597,4504235282578257,,,1,70000001093391766,Магазин продуктов,Магазин продуктов,Продуктовые магазины,shop,1,6,2026-04-03T10:34:17Z,,0,32,https://2gis.com/firm/70000001093391767,branch,20,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726541
