Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,E-mail 3,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,Instagram 1,Instagram 2,Instagram 3,Twitter 1,Twitter 2,Twitter 3,Facebook 1,Facebook 2,Facebook 3,ВКонтакте 1,ВКонтакте 2,ВКонтакте 3,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber 1,Viber 2,Viber 3,Telegram 1,Telegram 2,Telegram 3,YouTube 1,YouTube 2,YouTube 3,Skype 1,Skype 2,Skype 3,ID объекта,Широта,Долгота,ID здания,Название здания,ID этажа,Количество филиалов,ID сети,Название сети,Специализация сети,Главная рубрика,POI-категория,Кол-во рубрик,Кол-во атрибутов,Дата обновления,Удалён,ID сегмента,ID региона,2GIS URL,Тип,Ожидаемое кол-во (2GIS),Ссылка запроса
Красное&Белое,продуктовый магазин,Продуктовые магазины; Алкогольные напитки,"рабочий посёлок Киевский, 22а",,108800,,Бекасово,,,Москва,Россия,Пн: 09:00-22:05; Вт: 09:00-22:05; Ср: 09:00-22:05; Чт: 09:00-22:05; Пт: 09:00-22:05; Сб: 09:00-22:05; Вс: 09:00-22:05 (Время продажи алкоголя ограничено.),+03:00,4.9,30,88001000804,89227033000,,,,,http://krasnoeibeloe.ru,http://zen.yandex.ru/id/5dde5c1021552277da47ba4b,http://max.ru/krasnoebeloe,,,,,,,,,,https://vk.com/krasnoebeloe,,,,,,,,,https://t.me/krasnoeibeloe,,,,,,,,,70000001025898835,55.430327,36.86434,4504235283104206,,,2113,70000001090565128,Красное&Белое,продуктовый магазин,Продуктовые магазины,shop,2,4,2026-06-21T07:49:46Z,,0,32,https://2gis.com/firm/70000001025898835,branch,14,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209520932718
Бристоль,магазин у дома,Продуктовые магазины; Алкогольные напитки,"рабочий посёлок Киевский, 23Б",,108800,,Бекасово,,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00 (Время продажи алкоголя ограничено.),+03:00,4.9,19,88002222002,,,,,,http://bristol.ru,,,,,,,,,,,,https://vk.com/bristol_retail,,,,,,,,,https://t.me/bristolretail,,,,,,,,,70000001039430905,55.431498,36.865851,4504235283119646,,,635,70000001018898719,Бристоль,магазин у дома,Продуктовые магазины,shop,2,3,2026-07-07T13:55:33Z,,0,32,https://2gis.com/firm/70000001039430905,branch,14,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209520932718
Семейный,магазин продуктов,Продуктовые магазины,"улица Генерала Донскова, 25 к5",,108806,,Бекасово,Москва,,Москва,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+03:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70000001114009647,55.484525,36.916826,70030076567951108,,,1,70000001114009646,Семейный,магазин продуктов,Продуктовые магазины,shop,1,2,2026-05-04T09:35:18Z,,0,32,https://2gis.com/firm/70000001114009647,branch,14,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209520932718
Гастроном,,Продуктовые магазины,"Торговая площадь, 12 ст1",,108805,,Бекасово,,,Москва,Россия,Пн: 08:00-21:00; Вт: 08:00-21:00; Ср: 08:00-21:00; Чт: 08:00-21:00; Пт: 08:00-21:00; Сб: 08:00-21:00; Вс: 08:00-21:00,+03:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70000001039962819,55.463588,36.941123,4504235283092369,,,1,70000001039962818,Гастроном,Гастроном,Продуктовые магазины,shop,1,2,2019-10-30T12:32:12Z,,0,32,https://2gis.com/firm/70000001039962819,branch,14,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209520932718
Трапеза,магазин,Продуктовые магазины,"Дорожная улица, 32а",,108805,,Бекасово,,,Москва,Россия,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-21:00; Сб: 09:00-21:00; Вс: 11:30-19:00,+03:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70000001024431832,55.463947,36.93965,4504235326074011,,,1,70000001024431831,Трапеза,магазин,Продуктовые магазины,shop,1,2,2016-08-26T14:58:03Z,,0,32,https://2gis.com/firm/70000001024431832,branch,14,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209520932718
Продуктовый магазин,,Продуктовые магазины,"Дорожная улица, 32а",,108805,,Бекасово,,,Москва,Россия,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-23:00; Сб: 10:00-23:00; Вс: 10:00-22:00,+03:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70000001024431930,55.463822,36.939668,4504235326074011,,,1,70000001024431929,Продуктовый магазин,Продуктовый магазин,Продуктовые магазины,shop,1,2,2019-10-07T13:10:09Z,,0,32,https://2gis.com/firm/70000001024431930,branch,14,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209520932718
Галс,продуктовый магазин,Продуктовые магазины,"Рубиновая улица, 1а",,108805,,Бекасово,,,Москва,Россия,Пн: 08:00-21:00; Вт: 08:00-21:00; Ср: 08:00-21:00; Чт: 08:00-21:00; Пт: 08:00-21:00; Сб: 08:00-21:00; Вс: 08:00-21:00,+03:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70000001024078095,55.455281,36.950216,4504235325447085,,,1,70000001024078094,"Галс, ООО, продуктовый магазин",продуктовый магазин,Продуктовые магазины,shop,1,3,2019-10-25T17:38:20Z,,0,32,https://2gis.com/firm/70000001024078095,branch,14,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209520932718
Авокадо,минимаркет,Продуктовые магазины,"рабочий посёлок Киевский, 1Б",,108800,,Бекасово,,,Москва,Россия,Пн: 08:00-22:00; Вт: 08:00-22:00; Ср: 08:00-22:00; Чт: 08:00-22:00; Пт: 08:00-22:00; Сб: 08:00-22:00; Вс: 08:00-22:00,+03:00,5.0,2,88002007575,,,,,,http://авокадо.рф,http://max.ru/avocado_grocery_stores,,,,,,,,,,,,,,,,,,,,https://t.me/avocadoswnn,,,,,,,,,70000001086751468,55.421214,36.86779,4504235283088987,,,687,70000001041565312,Авокадо,минимаркет,Продуктовые магазины,shop,1,2,2026-07-07T06:47:25Z,,0,32,https://2gis.com/firm/70000001086751468,branch,14,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209520932718
Продукты из Белоруссии,,Продуктовые магазины,"Широкая улица, 1а",,108805,,Бекасово,,,Москва,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-22:00; Сб: 09:00-22:00; Вс: 09:00-21:00,+03:00,5.0,1,89265007799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70000001094222210,55.410121,37.012871,4504235283123106,,,2,70000001094222209,Продукты из Белоруссии,,Продуктовые магазины,shop,1,0,2024-10-29T11:44:39Z,,0,32,https://2gis.com/firm/70000001094222210,branch,14,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209520932718
Продовольственный магазин,,Продуктовые магазины,"Раздольная улица, 2 ст1",,108805,,Бекасово,,,Москва,Россия,Пн: 09:00-20:00; Вт: 09:00-20:00; Ср: 09:00-20:00; Чт: 09:00-20:00; Пт: 09:00-20:00; Сб: 09:00-20:00; Вс: 09:00-20:00,+03:00,5.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70000001039991260,55.432348,36.960495,70030076194694878,,,1,70000001039991259,Продовольственный магазин,Продовольственный магазин,Продуктовые магазины,shop,1,2,2019-10-31T16:46:57Z,,0,32,https://2gis.com/firm/70000001039991260,branch,14,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209520932718
Продуктовый магазин,,Продуктовые магазины,"деревня Ожигово, 8Б",,108806,,Бекасово,,,Москва,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+03:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70000001111341549,55.463445,36.885086,4504235283161138,,,49,70000001103757285,Продуктовый магазин,Продуктовый магазин,Продуктовые магазины,shop,1,2,2026-05-08T12:13:16Z,,0,32,https://2gis.com/firm/70000001111341549,branch,14,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209520932718
Мини-маркет,,Продуктовые магазины,"Барятинская улица, 2",,108805,Зосимово коттеджный пос.,Бекасово,,,Москва,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+03:00,5.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70000001039696380,55.406594,36.913459,4504235283161497,,,1,70000001039696379,Мини-маркет,Мини-маркет,Продуктовые магазины,shop,1,2,2019-10-14T14:56:38Z,,0,32,https://2gis.com/firm/70000001039696380,branch,14,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209520932718
