Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,E-mail 3,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,Instagram 1,Instagram 2,Instagram 3,Twitter 1,Twitter 2,Twitter 3,Facebook 1,Facebook 2,Facebook 3,ВКонтакте 1,ВКонтакте 2,ВКонтакте 3,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber 1,Viber 2,Viber 3,Telegram 1,Telegram 2,Telegram 3,YouTube 1,YouTube 2,YouTube 3,Skype 1,Skype 2,Skype 3,ID объекта,Широта,Долгота,ID здания,Название здания,ID этажа,Количество филиалов,ID сети,Название сети,Специализация сети,Главная рубрика,POI-категория,Кол-во рубрик,Кол-во атрибутов,Дата обновления,Удалён,ID сегмента,ID региона,2GIS URL,Тип,Ожидаемое кол-во (2GIS),Ссылка запроса
Магнит,супермаркет,Супермаркеты,"Железнодорожная улица, 7",,108806,,Бекасово,,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,3.8,4,88002009002 (единая справочная: пн-вс 6:00-00:00),,,info@magnit.ru,,,http://magnit.ru/?utm_source=_geopriority_&utm_medium=&utm_campaign=_MM_Geoprioritety_-&utm_content=main&utm_term=,,,,,,,,,,,,https://vk.com/magnitretail,,,,,,,,,https://t.me/magnit_retail,,,,,,,,,70000001037784329,55.47924,36.916975,4504235283070605,,,1562,4504137598701571,Магнит,супермаркет,Супермаркеты,mart,1,3,2026-07-02T13:00:55Z,,0,32,https://2gis.com/firm/70000001037784329,branch,17,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209520932718
Пятёрочка,супермаркет,Супермаркеты; Доставка продуктов,"улица Генерала Донскова, 25 к1",,108806,,Бекасово,Москва,,Москва,Россия,Пн: 09:00-22:00; Вт: 09:00-22:00; Ср: 09:00-22:00; Чт: 09:00-22:00; Пт: 09:00-22:00; Сб: 09:00-22:00; Вс: 09:00-22:00,+03:00,4.6,29,88007700400,,,info@x5.ru,,,http://5ka.ru/catalog?utm_source=2gis&utm_medium=cpm&utm_campaign=000161-17_igronik_media_5ka_promo_04_2026%7Cformat_banner%7Ctype_banner&utm_content=%7Ccreo_1&utm_term,http://max.ru/tspyaterochka,,,,,https://twitter.com/pyaterochka,,,,,,https://vk.com/pyaterochka_shop,,,,,,,,,,,,,,,,,,70000001078616118,55.485875,36.914006,70030076328997241,,,3347,4504136498316193,Пятёрочка,супермаркет,Супермаркеты,mart,2,10,2026-06-22T08:06:36Z,,0,32,https://2gis.com/firm/70000001078616118,branch,17,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209520932718
Чижик,супермаркет,Супермаркеты,"Дорожная улица, 32",,108805,,Бекасово,,,Москва,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+03:00,4.9,46,84992702713,,,112@chizhik.club,,,http://chizhik.club/?utm_campaign=HDPP&utm_medium=maps&utm_source=2gis,,,,,,,,,,,,https://vk.com/chizhik.club,,,,,,,,,,,,,,,,,,70000001079698001,55.464116,36.939046,4504235283092423,,,613,70000001046125844,Чижик,супермаркет,Супермаркеты,mart,1,3,2026-07-05T12:23:13Z,,0,32,https://2gis.com/firm/70000001079698001,branch,17,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209520932718
Дикси,супермаркет,Супермаркеты; Доставка продуктов,"деревня Яковлевское, 21",,108805,,Бекасово,,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,4.4,46,88001011001,,,,,,http://dixy.ru,,,,,,,,,,,,https://vk.com/dixyclub,,,,,,,,,https://t.me/dixy_russia,,,https://youtube.com/user/dixychannel,,,,,,70000001019511892,55.46518,36.939543,4504235283092554,,,1418,4504136498313374,Дикси,супермаркет,Супермаркеты,mart,2,4,2026-02-05T08:14:38Z,,0,32,https://2gis.com/firm/70000001019511892,branch,17,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209520932718
ВкусВилл,супермаркет,Супермаркеты; Кулинарии; Доставка продуктов; Доставка еды,"рабочий посёлок Киевский, 22а",,108800,,Бекасово,,,Москва,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+03:00,,,89296972347,,,,,,http://vkusvill.ru/goods/?utm_source=2gis&utm_medium=maps&utm_campaign=glavnaya&deep_link_value=https%3A%2F%2Fvkusvill.ru%2Fmobile%3Fcatalog%2F&af_dp=vkusvill%3A%2F%2F&c=glavnaya&shortlink=5ca647b8&source_,http://max.ru/vkusvill_ru,,,,,,,,,,,https://vk.com/vkusvill_ru,,,,,,,,,https://t.me/we_are_vkusvill,,,,,,,,,70000001088252022,55.43028,36.864317,4504235283104206,,,1420,4504137598285175,ВкусВилл,супермаркет,Супермаркеты,mart,4,14,2026-06-28T05:22:29Z,,0,32,https://2gis.com/firm/70000001088252022,branch,17,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209520932718
Пятёрочка,супермаркет,Супермаркеты,"рабочий посёлок Киевский, 32",,108800,,Бекасово,,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,4.7,14,88007700400,,,info@x5.ru,,,http://5ka.ru/catalog?utm_source=2gis&utm_medium=cpm&utm_campaign=000161-17_igronik_media_5ka_promo_04_2026%7Cformat_banner%7Ctype_banner&utm_content=%7Ccreo_1&utm_term,http://max.ru/tspyaterochka,,,,,https://twitter.com/pyaterochka,,,,,,https://vk.com/pyaterochka_shop,,,,,,,,,,,,,,,,,,70000001074376389,55.428951,36.863737,70030076453201379,,,3347,4504136498316193,Пятёрочка,супермаркет,Супермаркеты,mart,1,8,2026-06-22T08:07:40Z,,0,32,https://2gis.com/firm/70000001074376389,branch,17,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209520932718
Пятёрочка,супермаркет,Супермаркеты,"улица Генерала Донскова, 10",,108806,,Бекасово,Москва,,Москва,Россия,Пн: 09:00-23:00; Вт: 09:00-23:00; Ср: 09:00-23:00; Чт: 09:00-23:00; Пт: 09:00-23:00; Сб: 09:00-23:00; Вс: 09:00-23:00,+03:00,3.9,10,88007700400,,,info@x5.ru,,,http://5ka.ru/catalog?utm_source=2gis&utm_medium=cpm&utm_campaign=000161-17_igronik_media_5ka_promo_04_2026%7Cformat_banner%7Ctype_banner&utm_content=%7Ccreo_1&utm_term,http://max.ru/tspyaterochka,,,,,https://twitter.com/pyaterochka,,,,,,https://vk.com/pyaterochka_shop,,,,,,,,,,,,,,,,,,70000001059250450,55.493268,36.918653,70030076173690478,,,3347,4504136498316193,Пятёрочка,супермаркет,Супермаркеты,mart,1,6,2026-06-22T08:07:33Z,,0,32,https://2gis.com/firm/70000001059250450,branch,17,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209520932718
Пятёрочка,супермаркет,Супермаркеты,"Полянка улица, 17",1 этаж,108806,,Бекасово,,,Москва,Россия,Пн: 09:00-23:00; Вт: 09:00-23:00; Ср: 09:00-23:00; Чт: 09:00-23:00; Пт: 09:00-23:00; Сб: 09:00-23:00; Вс: 09:00-23:00,+03:00,4.6,52,88007700400,,,info@x5.ru,,,http://5ka.ru/catalog?utm_source=2gis&utm_medium=cpm&utm_campaign=000161-17_igronik_media_5ka_promo_04_2026%7Cformat_banner%7Ctype_banner&utm_content=%7Ccreo_1&utm_term,http://max.ru/tspyaterochka,,,,,https://twitter.com/pyaterochka,,,,,,https://vk.com/pyaterochka_shop,,,,,,,,,,,,,,,,,,70000001031895595,55.467152,36.921736,4504235325839354,,,3347,4504136498316193,Пятёрочка,супермаркет,Супермаркеты,mart,1,5,2026-06-22T08:06:36Z,,0,32,https://2gis.com/firm/70000001031895595,branch,17,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209520932718
Пятёрочка,супермаркет,Супермаркеты,"Торговая площадь, 14",,108805,,Бекасово,,,Москва,Россия,Пн: 08:30-22:00; Вт: 08:30-22:00; Ср: 08:30-22:00; Чт: 08:30-22:00; Пт: 08:30-22:00; Сб: 08:30-22:00; Вс: 08:30-22:00,+03:00,4.8,40,88007700400,,,info@x5.ru,,,http://5ka.ru/catalog?utm_source=2gis&utm_medium=cpm&utm_campaign=000161-17_igronik_media_5ka_promo_04_2026%7Cformat_banner%7Ctype_banner&utm_content=%7Ccreo_1&utm_term,http://max.ru/tspyaterochka,,,,,https://twitter.com/pyaterochka,,,,,,https://vk.com/pyaterochka_shop,,,,,,,,,,,,,,,,,,70000001031895539,55.462979,36.942711,4504235309875841,,,3347,4504136498316193,Пятёрочка,супермаркет,Супермаркеты,mart,1,5,2026-06-22T08:06:33Z,,0,32,https://2gis.com/firm/70000001031895539,branch,17,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209520932718
Магнит,супермаркет,Супермаркеты,"деревня Яковлевское, 21",,108805,,Бекасово,,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,4.6,21,88002009002 (единая справочная: пн-вс 6:00-00:00),,,info@magnit.ru,,,http://magnit.ru/?utm_source=_geopriority_&utm_medium=&utm_campaign=_MM_Geoprioritety_-&utm_content=main&utm_term=,,,,,,,,,,,,https://vk.com/magnitretail,,,,,,,,,https://t.me/magnit_retail,,,,,,,,,70000001019511945,55.465599,36.939687,4504235283092554,,,1562,4504137598701571,Магнит,супермаркет,Супермаркеты,mart,1,3,2026-07-02T13:02:37Z,,0,32,https://2gis.com/firm/70000001019511945,branch,17,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209520932718
