Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,E-mail 3,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,Instagram 1,Instagram 2,Instagram 3,Twitter 1,Twitter 2,Twitter 3,Facebook 1,Facebook 2,Facebook 3,ВКонтакте 1,ВКонтакте 2,ВКонтакте 3,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber 1,Viber 2,Viber 3,Telegram 1,Telegram 2,Telegram 3,YouTube 1,YouTube 2,YouTube 3,Skype 1,Skype 2,Skype 3,ID объекта,Широта,Долгота,ID здания,Название здания,ID этажа,Количество филиалов,ID сети,Название сети,Специализация сети,Главная рубрика,POI-категория,Кол-во рубрик,Кол-во атрибутов,Дата обновления,Удалён,ID сегмента,ID региона,2GIS URL,Тип,Ожидаемое кол-во (2GIS),Ссылка запроса
Чижик,супермаркет,Супермаркеты,"6-я Радиальная улица, 5 к5",1 этаж,115404,,Бирюлёво Восточное,Москва,,Москва,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+03:00,4.8,42,84992702713,,,112@chizhik.club,,,http://chizhik.club/?utm_campaign=HD4I&utm_medium=maps&utm_source=2gis,,,,,,,,,,,,https://vk.com/chizhik.club,,,,,,,,,,,,,,,,,,70000001069410486,55.60557,37.657761,4504235282624723,,,613,70000001046125844,Чижик,супермаркет,Супермаркеты,mart,1,6,2026-07-05T12:23:10Z,,0,32,https://2gis.com/firm/70000001069410486,branch,52,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726611
Eurospar,супермаркет,Супермаркеты; Доставка продуктов,"Элеваторная улица, 12 к1",1 этаж,115404,,Бирюлёво Восточное,Москва,,Москва,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,4.8,556,88005001329 (бесплатная горячая линия: пн-вс 8:00-23:00),,,,,,http://myspar.ru,,,,,,,,,,,,https://vk.com/spar.russia,,,,,,,,,https://t.me/myspar,,,,,,,,,70000001031337588,55.601106,37.663919,4504235282604716,,,55,70000001028701845,Eurospar,супермаркет,Супермаркеты,mart,2,14,2026-07-06T04:33:44Z,,0,32,https://2gis.com/firm/70000001031337588,branch,52,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726611
Светофор,супермаркет,Супермаркеты,"6-я Радиальная улица, 15 ст1",2Н помещение; 1 этаж,115404,,Бирюлёво Восточное,Москва,,Москва,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+03:00,4.5,115,89646227761,89165452392,,,,,http://msk-radialnaya.svetoforonline.ru/content/kontakti,http://svetoforonline.ru/content/kontakti,http://msk-radialnaya.svetoforonline.ru,,,,,,,,,,,,,,,,,,,,,,,,,,,,70000001043355312,55.605849,37.646655,4504235282662013,,,71,70000001029494343,Светофор,супермаркет,Супермаркеты,mart,1,6,2026-07-03T06:22:05Z,,0,32,https://2gis.com/firm/70000001043355312,branch,52,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726611
Перекрёсток,супермаркет,Супермаркеты; Доставка продуктов,"Лебедянская улица, 17",1 этаж,115372,,Бирюлёво Восточное,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,4.7,74,88002009555 (многоканальный),,,dir_SAMB@x5.ru,,,http://perekrestok.ru/?utm_source=2gis_maps&utm_medium=display&utm_campaign=maps_wo_promo&utm_content=main_url,http://max.ru/perekrestok_shop,,,,,,,,,,,https://vk.com/perekrestok_shop,,,,,,,,,https://t.me/+rHsiEm_QR3EwNTky,,,,,,,,,70000001033094553,55.587453,37.669928,4504235282678922,,,487,4504136498303078,Перекрёсток,супермаркет,Супермаркеты,mart,2,12,2026-06-27T05:12:07Z,,0,32,https://2gis.com/firm/70000001033094553,branch,52,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726611
Перекрёсток,супермаркет,Супермаркеты; Доставка продуктов,"Липецкая улица, 16/14 к1",1 этаж,115404,,Бирюлёво Восточное,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,4.6,77,89167325822,,,info@x5.ru,,,http://perekrestok.ru/?utm_source=2gis_maps&utm_medium=display&utm_campaign=maps_wo_promo&utm_content=main_url,http://max.ru/perekrestok_shop,,,,,,,,,,,https://vk.com/perekrestok_shop,,,,,,,,,https://t.me/+rHsiEm_QR3EwNTky,,,,,,,,,70000001018687792,55.59574,37.671266,4504235315291597,,,487,4504136498303078,Перекрёсток,супермаркет,Супермаркеты,mart,2,11,2026-06-27T05:12:05Z,,0,32,https://2gis.com/firm/70000001018687792,branch,52,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726611
Пятёрочка,супермаркет,Супермаркеты,"Элеваторная улица, 10",,115404,,Бирюлёво Восточное,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,4.6,14,88007700400,,,info@x5.ru,,,http://5ka.ru/catalog?utm_source=2gis&utm_medium=cpm&utm_campaign=000161-17_igronik_media_5ka_promo_04_2026%7Cformat_banner%7Ctype_banner&utm_content=%7Ccreo_1&utm_term,http://max.ru/tspyaterochka,,,,,https://twitter.com/pyaterochka,,,,,,https://vk.com/pyaterochka_shop,,,,,,,,,,,,,,,,,,70000001089012034,55.600833,37.661982,70030076721754679,,,3347,4504136498316193,Пятёрочка,супермаркет,Супермаркеты,mart,1,12,2026-06-22T08:05:20Z,,0,32,https://2gis.com/firm/70000001089012034,branch,52,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726611
Перекрёсток,супермаркет,Супермаркеты; Доставка продуктов,"Бирюлёвская улица, 51",-1 этаж,115372,,Бирюлёво Восточное,Москва,,Москва,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,4.8,197,88002009555 (многоканальный),,,info@x5.ru,,,http://perekrestok.ru/?utm_source=2gis_maps&utm_medium=display&utm_campaign=maps_wo_promo&utm_content=main_url,http://max.ru/perekrestok_shop,,,,,,,,,,,https://vk.com/perekrestok_shop,,,,,,,,,https://t.me/+rHsiEm_QR3EwNTky,,,,,,,,,4504127909007054,55.582595,37.671702,4504235282618732,ТЦ W,70030076552762047,487,4504136498303078,Перекрёсток,супермаркет,Супермаркеты,mart,2,11,2026-06-27T05:12:02Z,,0,32,https://2gis.com/firm/4504127909007054,branch,52,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726611
Магнит,супермаркет,Супермаркеты,"Бирюлёвская улица, 5 к1",1 этаж,115404,,Бирюлёво Восточное,Москва,,Москва,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,3.6,15,88002009002 (единая справочная: пн-вс 6:00-00:00),,,info@magnit.ru,,,http://magnit.ru/?utm_source=_geopriority_&utm_medium=&utm_campaign=_MM_Geoprioritety_-&utm_content=main&utm_term=,,,,,,,,,,,,https://vk.com/magnitretail,,,,,,,,,https://t.me/magnit_retail,,,,,,,,,4504128908650544,55.599583,37.663282,4504235282619628,,,1562,4504137598701571,Магнит,супермаркет,Супермаркеты,mart,1,14,2026-07-02T13:04:34Z,,0,32,https://2gis.com/firm/4504128908650544,branch,52,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726611
Пятёрочка,супермаркет,Супермаркеты; Доставка продуктов,"Элеваторная улица, 1",1 этаж,115404,,Бирюлёво Восточное,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,3.7,7,88007700400,,,info@x5.ru,,,http://5ka.ru/catalog?utm_source=2gis&utm_medium=cpm&utm_campaign=000161-17_igronik_media_5ka_promo_04_2026%7Cformat_banner%7Ctype_banner&utm_content=%7Ccreo_1&utm_term,http://max.ru/tspyaterochka,,,,,https://twitter.com/pyaterochka,,,,,,https://vk.com/pyaterochka_shop,,,,,,,,,,,,,,,,,,70000001102566250,55.602915,37.651547,4504235282622190,ТРЦ Среда Царицыно,70030077096976016,3347,4504136498316193,Пятёрочка,супермаркет,Супермаркеты,mart,2,10,2026-06-22T08:06:52Z,,0,32,https://2gis.com/firm/70000001102566250,branch,52,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726611
Перекрёсток,супермаркет,Супермаркеты; Доставка продуктов,"Липецкая улица, 7а",1 этаж,115598,,Бирюлёво Восточное,Москва,,Москва,Россия,Пн: 07:30-23:00; Вт: 07:30-23:00; Ср: 07:30-23:00; Чт: 07:30-23:00; Пт: 07:30-23:00; Сб: 07:30-23:00; Вс: 07:30-23:00,+03:00,4.8,110,88002009555 (многоканальный),,,info@x5.ru,,,http://perekrestok.ru/?utm_source=2gis_maps&utm_medium=display&utm_campaign=maps_wo_promo&utm_content=main_url,http://max.ru/perekrestok_shop,,,,,,,,,,,https://vk.com/perekrestok_shop,,,,,,,,,https://t.me/+rHsiEm_QR3EwNTky,,,,,,,,,4504127908463936,55.583554,37.682867,4504235282605674,,,487,4504136498303078,Перекрёсток,супермаркет,Супермаркеты,mart,2,13,2026-06-27T05:12:00Z,,0,32,https://2gis.com/firm/4504127908463936,branch,52,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726611
