Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,E-mail 3,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,Instagram 1,Instagram 2,Instagram 3,Twitter 1,Twitter 2,Twitter 3,Facebook 1,Facebook 2,Facebook 3,ВКонтакте 1,ВКонтакте 2,ВКонтакте 3,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber 1,Viber 2,Viber 3,Telegram 1,Telegram 2,Telegram 3,YouTube 1,YouTube 2,YouTube 3,Skype 1,Skype 2,Skype 3,ID объекта,Широта,Долгота,ID здания,Название здания,ID этажа,Количество филиалов,ID сети,Название сети,Специализация сети,Главная рубрика,POI-категория,Кол-во рубрик,Кол-во атрибутов,Дата обновления,Удалён,ID сегмента,ID региона,2GIS URL,Тип,Ожидаемое кол-во (2GIS),Ссылка запроса
Красное&Белое,продуктовый магазин,Продуктовые магазины; Алкогольные напитки,"улица Борисовские Пруды, 16 к3",1 этаж,115211,,Братеево,Москва,,Москва,Россия,Пн: 09:00-22:05; Вт: 09:00-22:05; Ср: 09:00-22:05; Чт: 09:00-22:05; Пт: 09:00-22:05; Сб: 09:00-22:05; Вс: 09:00-22:05 (Время продажи алкоголя ограничено.),+03:00,4.7,51,88001000804,89227033000,,,,,http://krasnoeibeloe.ru,http://zen.yandex.ru/id/5dde5c1021552277da47ba4b,http://max.ru/krasnoebeloe,,,,,,,,,,https://vk.com/krasnoebeloe,,,,,,,,,https://t.me/krasnoeibeloe,,,,,,,,,70000001039326527,55.634166,37.748763,4504235282532660,,,2113,70000001090565128,Красное&Белое,продуктовый магазин,Продуктовые магазины,shop,2,5,2026-07-04T10:17:09Z,,0,32,https://2gis.com/firm/70000001039326527,branch,29,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726609
Красное&Белое,продуктовый магазин,Продуктовые магазины; Алкогольные напитки,"Братеевская улица, 24а",1 этаж,115408,,Братеево,Москва,,Москва,Россия,Пн: 09:00-22:05; Вт: 09:00-22:05; Ср: 09:00-22:05; Чт: 09:00-22:05; Пт: 09:00-22:05; Сб: 09:00-22:05; Вс: 09:00-22:05 (Время продажи алкоголя ограничено.),+03:00,4.9,26,88001000804,89227033000,,,,,http://krasnoeibeloe.ru,http://zen.yandex.ru/id/5dde5c1021552277da47ba4b,http://max.ru/krasnoebeloe,,,,,,,,,,https://vk.com/krasnoebeloe,,,,,,,,,https://t.me/krasnoeibeloe,,,,,,,,,70000001027394574,55.63695,37.771317,4504235282629096,,,2113,70000001090565128,Красное&Белое,продуктовый магазин,Продуктовые магазины,shop,2,4,2026-06-21T07:49:46Z,,0,32,https://2gis.com/firm/70000001027394574,branch,29,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726609
Красное&Белое,продуктовый магазин,Продуктовые магазины; Алкогольные напитки,"Братеевская улица, 21 к3",1 этаж,115612,,Братеево,Москва,,Москва,Россия,Пн: 09:00-22:05; Вт: 09:00-22:05; Ср: 09:00-22:05; Чт: 09:00-22:05; Пт: 09:00-22:05; Сб: 09:00-22:05; Вс: 09:00-22:05 (Время продажи алкоголя ограничено.),+03:00,4.8,17,88001000804,89227033000,,,,,http://krasnoeibeloe.ru,http://zen.yandex.ru/id/5dde5c1021552277da47ba4b,http://max.ru/krasnoebeloe,,,,,,,,,,https://vk.com/krasnoebeloe,,,,,,,,,https://t.me/krasnoeibeloe,,,,,,,,,70000001079934283,55.632197,37.75439,4504235282532736,,,2113,70000001090565128,Красное&Белое,продуктовый магазин,Продуктовые магазины,shop,2,4,2026-06-21T07:48:43Z,,0,32,https://2gis.com/firm/70000001079934283,branch,29,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726609
Красное&Белое,продуктовый магазин,Продуктовые магазины; Алкогольные напитки,"Алма-Атинская улица, 8 к3",,115408,,Братеево,Москва,,Москва,Россия,Пн: 09:00-22:05; Вт: 09:00-22:05; Ср: 09:00-22:05; Чт: 09:00-22:05; Пт: 09:00-22:05; Сб: 09:00-22:05; Вс: 09:00-22:05 (Время продажи алкоголя ограничено.),+03:00,4.6,10,88001000804,89227033000,,,,,http://krasnoeibeloe.ru,http://zen.yandex.ru/id/5dde5c1021552277da47ba4b,http://max.ru/krasnoebeloe,,,,,,,,,,https://vk.com/krasnoebeloe,,,,,,,,,https://t.me/krasnoeibeloe,,,,,,,,,70000001034530882,55.63905,37.770601,4504235282537000,,,2113,70000001090565128,Красное&Белое,продуктовый магазин,Продуктовые магазины,shop,2,4,2026-06-21T07:49:50Z,,0,32,https://2gis.com/firm/70000001034530882,branch,29,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726609
Красное&Белое,продуктовый магазин,Продуктовые магазины; Алкогольные напитки,"Ключевая улица, 12 к1",1 этаж,115612,,Братеево,Москва,,Москва,Россия,Пн: 09:00-22:05; Вт: 09:00-22:05; Ср: 09:00-22:05; Чт: 09:00-22:05; Пт: 09:00-22:05; Сб: 09:00-22:05; Вс: 09:00-22:05 (Время продажи алкоголя ограничено.),+03:00,4.9,28,88001000804,89227033000,,,,,http://krasnoeibeloe.ru,http://zen.yandex.ru/id/5dde5c1021552277da47ba4b,http://max.ru/krasnoebeloe,,,,,,,,,,https://vk.com/krasnoebeloe,,,,,,,,,https://t.me/krasnoeibeloe,,,,,,,,,70000001032392487,55.636102,37.759182,4504235282536781,,,2113,70000001090565128,Красное&Белое,продуктовый магазин,Продуктовые магазины,shop,2,6,2026-06-21T07:49:48Z,,0,32,https://2gis.com/firm/70000001032392487,branch,29,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726609
Гастроном,магазин продуктов,Продуктовые магазины,"Братеевская улица, 25",,115612,,Братеево,Москва,,Москва,Россия,Пн: 09:00-22:00; Вт: 09:00-22:00; Ср: 09:00-22:00; Чт: 09:00-22:00; Пт: 09:00-22:00; Сб: 09:00-22:00; Вс: 09:00-22:00,+03:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70000001051237398,55.63439,37.754587,4504235282536806,,,1,70000001044828939,Гастроном,магазин продуктов,Продуктовые магазины,shop,1,6,2026-01-26T17:22:32Z,,0,32,https://2gis.com/firm/70000001051237398,branch,29,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726609
Ароматный мир,винный супермаркет,Продуктовые магазины; Алкогольные напитки,"улица Борисовские Пруды, вл10 к6",1 этаж,115211,,Братеево,Москва,,Москва,Россия,Пн: 10:00-22:30; Вт: 10:00-22:30; Ср: 10:00-22:30; Чт: 10:00-22:30; Пт: 10:00-22:30; Сб: 10:00-22:30; Вс: 10:00-22:00 (Время продажи алкоголя ограничено.),+03:00,5.0,8,88007777290,84957775190 (доп.4134),,,,,http://amwine.ru,http://max.ru/amwineru,,,,,,,,,,,https://vk.com/amwineru,,,,,,,,,https://t.me/amwineru,,,https://youtube.com/@Aromatnyi_Mir_Vino_bez_vody,,,,,,70000001080872879,55.632684,37.740621,4504235294337681,,,564,4504136498285713,Ароматный мир,винный супермаркет,Продуктовые магазины,shop,2,7,2026-07-09T13:23:17Z,,0,32,https://2gis.com/firm/70000001080872879,branch,29,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726609
Вера,продуктовый магазин,Продуктовые магазины,"улица Борисовские Пруды, 10 к4",1 этаж,115211,,Братеево,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 09:00-22:00; Вс: 09:00-22:00,+03:00,4.5,4,89672852346,,,,,,,,,,,,,,,,,,,,,https://wa.me/79672852346,,,,,,,,,,,,,,,70000001021318085,55.633641,37.74032,4504235282532580,,,1,70000001021318084,Вера,продуктовый магазин,Продуктовые магазины,shop,1,5,2026-07-03T13:00:49Z,,0,32,https://2gis.com/firm/70000001021318085,branch,29,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726609
Пандион,магазин продуктов,Продуктовые магазины,"улица Борисовские Пруды, 8 к3",1 этаж,115211,,Братеево,Москва,,Москва,Россия,Пн: 09:00-23:00; Вт: 09:00-23:00; Ср: 09:00-23:00; Чт: 09:00-23:00; Пт: 09:00-23:00; Сб: 09:00-23:00; Вс: 09:00-23:00,+03:00,3.2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70000001007546709,55.632974,37.738803,4504235282532565,,,1,70000001007546708,Пандион,магазин продуктов,Продуктовые магазины,shop,1,5,2026-07-03T10:39:11Z,,0,32,https://2gis.com/firm/70000001007546709,branch,29,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726609
Амикрон,продуктовый магазин,Продуктовые магазины,"улица Борисовские Пруды, 46 к2",1 этаж,115408,,Братеево,Москва,,Москва,Россия,Пн: 09:00-23:00; Вт: 09:00-23:00; Ср: 09:00-23:00; Чт: 09:00-23:00; Пт: 09:00-23:00; Сб: 09:00-23:00; Вс: 09:00-23:00,+03:00,5.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4504127915579229,55.641936,37.77298,4504235282532898,,,1,4504136499280878,Амикрон,продуктовый магазин,Продуктовые магазины,shop,1,2,2026-03-04T14:37:25Z,,0,32,https://2gis.com/firm/4504127915579229,branch,29,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726609
