Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,E-mail 3,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,Instagram 1,Instagram 2,Instagram 3,Twitter 1,Twitter 2,Twitter 3,Facebook 1,Facebook 2,Facebook 3,ВКонтакте 1,ВКонтакте 2,ВКонтакте 3,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber 1,Viber 2,Viber 3,Telegram 1,Telegram 2,Telegram 3,YouTube 1,YouTube 2,YouTube 3,Skype 1,Skype 2,Skype 3,ID объекта,Широта,Долгота,ID здания,Название здания,ID этажа,Количество филиалов,ID сети,Название сети,Специализация сети,Главная рубрика,POI-категория,Кол-во рубрик,Кол-во атрибутов,Дата обновления,Удалён,ID сегмента,ID региона,2GIS URL,Тип,Ожидаемое кол-во (2GIS),Ссылка запроса
Дикси,супермаркет,Супермаркеты; Доставка продуктов,"Алма-Атинская улица, 3 к1а",,115408,,Братеево,Москва,,Москва,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,2.8,22,88001011001,,,,,,http://dixy.ru,,,,,,,,,,,,https://vk.com/dixyclub,,,,,,,,,https://t.me/dixy_russia,,,https://youtube.com/user/dixychannel,,,,,,70000001018972016,55.642408,37.769195,4504235282536986,,,1418,4504136498313374,Дикси,супермаркет,Супермаркеты,mart,2,12,2026-06-25T04:05:49Z,,0,32,https://2gis.com/firm/70000001018972016,branch,28,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726609
Перекрёсток,супермаркет,Супермаркеты; Доставка продуктов,"улица Борисовские Пруды, 10 к1",1 этаж,115211,,Братеево,Москва,,Москва,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,4.8,111,88002009555 (многоканальный),,,info@x5.ru,,,http://perekrestok.ru/?utm_source=2gis_maps&utm_medium=display&utm_campaign=maps_wo_promo&utm_content=main_url,http://max.ru/perekrestok_shop,,,,,,,,,,,https://vk.com/perekrestok_shop,,,,,,,,,https://t.me/+rHsiEm_QR3EwNTky,,,,,,,,,70000001031332642,55.635534,37.740741,4504235282532582,,,487,4504136498303078,Перекрёсток,супермаркет,Супермаркеты,mart,2,13,2026-07-02T16:58:34Z,,0,32,https://2gis.com/firm/70000001031332642,branch,28,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726609
Супер Лента,супермаркет,Супермаркеты; Доставка продуктов,"улица Борисовские Пруды, 14 к5",1 этаж,115211,,Братеево,Москва,,Москва,Россия,Пн: 08:00-24:00; Вт: 08:00-24:00; Ср: 08:00-24:00; Чт: 08:00-24:00; Пт: 08:00-24:00; Сб: 08:00-24:00; Вс: 08:00-24:00,+03:00,4.6,111,84957774111 (горячая линия: круглосуточно),88007004111 (горячая линия: круглосуточно),,info@lenta.com,,,http://lentaapp.go.link/main?adj_t=1ovv6zw6&adj_deep_link=lentochka%3A%2F%2Fmain&adj_fallback=https%3A%2F%2Flenta.com%2F%3Futm_campaign%3Dmaps_free%26utm_medium%3Drefferal%26utm_source%3D2gis.maps&adj_redirect_macos=https%3A%2F%2Flenta.com%2F%3Futm_campaign%3Dmaps_free%26utm_medium%3Drefferal%26utm_source%3D2gis.maps,http://max.ru/lentacom,,,,,,,,,,,https://vk.com/lentacom,,,,,,,,,https://t.me/lenta_promobot,,,https://youtube.com/channel/UCrrKUFYJyIfkBeBSwBWrqXQ,,,,,,70000001058980501,55.63264,37.746763,4504235282532632,,,139,70000001058978863,Супер Лента,супермаркет,Супермаркеты,mart,2,12,2026-05-05T05:57:05Z,,0,32,https://2gis.com/firm/70000001058980501,branch,28,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726609
ВкусВилл,супермаркет,Супермаркеты; Доставка продуктов; Кулинарии; Доставка еды,"Ключевая улица, 6",1 этаж,115612,,Братеево,Москва,,Москва,Россия,Пн: 08:00-22:00; Вт: 08:00-22:00; Ср: 08:00-22:00; Чт: 08:00-22:00; Пт: 08:00-22:00; Сб: 08:00-22:00; Вс: 08:00-22:00,+03:00,5.0,3,89654416120,,,,,,http://vkusvill.ru/goods/?utm_source=2gis&utm_medium=maps&utm_campaign=glavnaya&deep_link_value=https%3A%2F%2Fvkusvill.ru%2Fmobile%3Fcatalog%2F&af_dp=vkusvill%3A%2F%2F&c=glavnaya&shortlink=5ca647b8&source_,http://max.ru/vkusvill_ru,,,,,,,,,,,https://vk.com/vkusvill_ru,,,,,,,,,https://t.me/we_are_vkusvill,,,,,,,,,70000001031357033,55.637593,37.757757,4504235282536887,ТЦ Братеевский,70030076714022856,1420,4504137598285175,ВкусВилл,супермаркет,Супермаркеты,mart,4,19,2026-06-28T05:22:29Z,,0,32,https://2gis.com/firm/70000001031357033,branch,28,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726609
Пятёрочка,супермаркет,Супермаркеты; Доставка продуктов,"Братеевская улица, 25",,115612,,Братеево,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,4.9,38,88007700400,,,info@x5.ru,,,http://5ka.ru/catalog?utm_source=2gis&utm_medium=cpm&utm_campaign=000161-17_igronik_media_5ka_promo_04_2026%7Cformat_banner%7Ctype_banner&utm_content=%7Ccreo_1&utm_term,http://max.ru/tspyaterochka,,,,,https://twitter.com/pyaterochka,,,,,,https://vk.com/pyaterochka_shop,,,,,,,,,,,,,,,,,,4504127909831616,55.634344,37.754424,4504235282536806,,,3347,4504136498316193,Пятёрочка,супермаркет,Супермаркеты,mart,2,14,2026-06-22T08:07:38Z,,0,32,https://2gis.com/firm/4504127909831616,branch,28,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726609
Пятёрочка,супермаркет,Супермаркеты; Доставка продуктов,"улица Борисовские Пруды, 8а",1 этаж,115211,,Братеево,Москва,,Москва,Россия,Пн: 09:00-23:00; Вт: 09:00-23:00; Ср: 09:00-23:00; Чт: 09:00-23:00; Пт: 09:00-23:00; Сб: 09:00-23:00; Вс: 09:00-23:00,+03:00,3.3,11,88007700400,,,info@x5.ru,,,http://5ka.ru/catalog?utm_source=2gis&utm_medium=cpm&utm_campaign=000161-17_igronik_media_5ka_promo_04_2026%7Cformat_banner%7Ctype_banner&utm_content=%7Ccreo_1&utm_term,http://max.ru/tspyaterochka,,,,,https://twitter.com/pyaterochka,,,,,,https://vk.com/pyaterochka_shop,,,,,,,,,,,,,,,,,,70000001042685626,55.6353,37.736735,4504235302574830,ТЦ Пруды,,3347,4504136498316193,Пятёрочка,супермаркет,Супермаркеты,mart,2,13,2026-07-02T12:29:56Z,,0,32,https://2gis.com/firm/70000001042685626,branch,28,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726609
Чижик,супермаркет,Супермаркеты,"улица Борисовские Пруды, 26",2 этаж,115612,,Братеево,Москва,,Москва,Россия,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+03:00,4.5,29,84992702713,,,112@chizhik.club,,,http://chizhik.club/?utm_campaign=HARE&utm_medium=maps&utm_source=2gis,,,,,,,,,,,,https://vk.com/chizhik.club,,,,,,,,,,,,,,,,,,70000001089794195,55.639858,37.758809,4504235282532797,ТРК Ключевой,70030076223625154,613,70000001046125844,Чижик,супермаркет,Супермаркеты,mart,1,5,2026-07-05T12:23:11Z,,0,32,https://2gis.com/firm/70000001089794195,branch,28,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726609
Магнит,супермаркет,Супермаркеты,"улица Борисовские Пруды, 18 к3",1 этаж,115612,,Братеево,Москва,,Москва,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,4.6,65,88002009002 (единая справочная: пн-вс 6:00-00:00),,,info@magnit.ru,,,http://magnit.ru/?utm_source=_geopriority_&utm_medium=&utm_campaign=_MM_Geoprioritety_-&utm_content=main&utm_term=,,,,,,,,,,,,https://vk.com/magnitretail,,,,,,,,,https://t.me/magnit_retail,,,,,,,,,70000001021179026,55.635938,37.752049,4504235282532751,,,1562,4504137598701571,Магнит,супермаркет,Супермаркеты,mart,1,11,2026-07-02T13:01:39Z,,0,32,https://2gis.com/firm/70000001021179026,branch,28,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726609
Магнит,супермаркет,Супермаркеты; Доставка продуктов,"Алма-Атинская улица, 7 к1",,115408,,Братеево,Москва,,Москва,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,4.4,59,88002009002 (единая справочная: пн-вс 6:00-00:00),,,info@magnit.ru,,,http://magnit.ru/?utm_source=_geopriority_&utm_medium=&utm_campaign=_MM_Geoprioritety_-&utm_content=main&utm_term=,,,,,,,,,,,,https://vk.com/magnitretail,,,,,,,,,https://t.me/magnit_retail,,,,,,,,,70000001037074303,55.639872,37.771472,4504235282545808,,,1562,4504137598701571,Магнит,супермаркет,Супермаркеты,mart,2,13,2026-07-02T13:01:39Z,,0,32,https://2gis.com/firm/70000001037074303,branch,28,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726609
Магнит,супермаркет,Супермаркеты,"улица Борисовские Пруды, 34 к3",1 этаж,115408,,Братеево,Москва,,Москва,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,4.0,15,88002009002 (единая справочная: пн-вс 6:00-00:00),,,info@magnit.ru,,,http://magnit.ru/?utm_source=_geopriority_&utm_medium=&utm_campaign=_MM_Geoprioritety_-&utm_content=main&utm_term=,,,,,,,,,,,,https://vk.com/magnitretail,,,,,,,,,https://t.me/magnit_retail,,,,,,,,,70000001020296245,55.641593,37.765387,4504235282536983,,,1562,4504137598701571,Магнит,супермаркет,Супермаркеты,mart,1,11,2026-07-02T13:01:36Z,,0,32,https://2gis.com/firm/70000001020296245,branch,28,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726609
