Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,E-mail 3,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,Instagram 1,Instagram 2,Instagram 3,Twitter 1,Twitter 2,Twitter 3,Facebook 1,Facebook 2,Facebook 3,ВКонтакте 1,ВКонтакте 2,ВКонтакте 3,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber 1,Viber 2,Viber 3,Telegram 1,Telegram 2,Telegram 3,YouTube 1,YouTube 2,YouTube 3,Skype 1,Skype 2,Skype 3,ID объекта,Широта,Долгота,ID здания,Название здания,ID этажа,Количество филиалов,ID сети,Название сети,Специализация сети,Главная рубрика,POI-категория,Кол-во рубрик,Кол-во атрибутов,Дата обновления,Удалён,ID сегмента,ID региона,2GIS URL,Тип,Ожидаемое кол-во (2GIS),Ссылка запроса
Пятёрочка,супермаркет,Супермаркеты; Доставка продуктов,"Рассказовская улица, 22а",,119027,Внуково пос.,Внуково,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,4.7,78,89096453441,,,info@x5.ru,,,http://5ka.ru/catalog?utm_source=2gis&utm_medium=cpm&utm_campaign=000161-17_igronik_media_5ka_promo_04_2026%7Cformat_banner%7Ctype_banner&utm_content=%7Ccreo_1&utm_term,http://max.ru/tspyaterochka,,,,,https://twitter.com/pyaterochka,,,,,,https://vk.com/pyaterochka_shop,,,,,,,,,,,,,,,,,,70000001024495167,55.613541,37.304882,4504235282929364,,,3347,4504136498316193,Пятёрочка,супермаркет,Супермаркеты,mart,2,14,2026-06-22T08:06:33Z,,0,32,https://2gis.com/firm/70000001024495167,branch,108,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726642
Дикси,супермаркет,Супермаркеты,"бульвар Андрея Тарковского, 10",1 этаж,108850,,Внуково,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,5.0,2,88001011001,,,,,,http://dixy.ru,,,,,,,,,,,,https://vk.com/dixyclub,,,,,,,,,https://t.me/dixy_russia,,,https://youtube.com/user/dixychannel,,,,,,70000001099954912,55.624861,37.338684,70030076338361448,,,1418,4504136498313374,Дикси,супермаркет,Супермаркеты,mart,1,11,2026-06-25T04:05:46Z,,0,32,https://2gis.com/firm/70000001099954912,branch,108,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726642
ВкусВилл,супермаркет,Супермаркеты; Доставка продуктов; Кулинарии; Доставка еды,"улица Самуила Маршака, 16",1 этаж,108849,Переделкино Ближнее м-н,Внуково,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,4.5,12,89296600195,,,,,,http://vkusvill.ru/goods/?utm_source=2gis&utm_medium=maps&utm_campaign=glavnaya&deep_link_value=https%3A%2F%2Fvkusvill.ru%2Fmobile%3Fcatalog%2F&af_dp=vkusvill%3A%2F%2F&c=glavnaya&shortlink=5ca647b8&source_,http://max.ru/vkusvill_ru,,,,,,,,,,,https://vk.com/vkusvill_ru,,,,,,,,,https://t.me/we_are_vkusvill,,,,,,,,,70000001058950949,55.638293,37.327209,4504235283174684,,,1420,4504137598285175,ВкусВилл,супермаркет,Супермаркеты,mart,4,18,2026-06-28T05:22:33Z,,0,32,https://2gis.com/firm/70000001058950949,branch,108,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726642
Верный,универсам,Супермаркеты; Доставка продуктов,"Анны Ахматовой улица, 7",,108849,,Внуково,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,4.1,19,88126010110,,,,,,http://verno-info.ru,,,,,,,,,,,,https://vk.com/verny_official,,,,,,,,,,,,,,,,,,70000001079595416,55.636656,37.334261,70030076487573117,,,539,4504137598364786,Верный,универсам,Супермаркеты,mart,2,11,2026-07-09T15:26:08Z,,0,32,https://2gis.com/firm/70000001079595416,branch,108,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726642
Пятёрочка,супермаркет,Супермаркеты; Доставка продуктов,"Центральная улица, 8Б",1 этаж,119027,Внуково пос.,Внуково,Москва,,Москва,Россия,Пн: 08:00-22:00; Вт: 08:00-22:00; Ср: 08:00-22:00; Чт: 08:00-22:00; Пт: 08:00-22:00; Сб: 08:00-22:00; Вс: 08:00-22:00,+03:00,4.8,85,88007700400,,,info@x5.ru,,,http://5ka.ru/catalog?utm_source=2gis&utm_medium=cpm&utm_campaign=000161-17_igronik_media_5ka_promo_04_2026%7Cformat_banner%7Ctype_banner&utm_content=%7Ccreo_1&utm_term,http://max.ru/tspyaterochka,,,,,https://twitter.com/pyaterochka,,,,,,https://vk.com/pyaterochka_shop,,,,,,,,,,,,,,,,,,70000001030465067,55.610791,37.28739,4504235282923590,,70030076618972212,3347,4504136498316193,Пятёрочка,супермаркет,Супермаркеты,mart,2,13,2026-06-22T08:06:36Z,,0,32,https://2gis.com/firm/70000001030465067,branch,108,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726642
Мираторг,супермаркет,Супермаркеты,"Анны Ахматовой улица, 12",1 этаж,108849,Переделкино Ближнее м-н,Внуково,Москва,,Москва,Россия,Пн: 07:00-24:00; Вт: 07:00-24:00; Ср: 07:00-24:00; Чт: 07:00-24:00; Пт: 07:00-24:00; Сб: 07:00-24:00; Вс: 07:00-24:00,+03:00,4.7,160,88005502719,,,,,,http://miratorg.ru/super,http://t.me/+Y3RA1ifcI7RhNDNi,,,,,,,,,,,https://vk.com/supermarketmiratorg,,,,,,,,,https://t.me/+Y3RA1ifcI7RhNDNi,,,,,,,,,70000001021088771,55.636469,37.331331,4504235283129252,,,97,4504136499896740,Мираторг,супермаркет,Супермаркеты,mart,1,13,2026-07-04T20:57:30Z,,0,32,https://2gis.com/firm/70000001021088771,branch,108,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726642
Азбука вкуса,супермаркет,Супермаркеты; Доставка продуктов,"деревня Лапшинка, вл8 к20",,108811,,Внуково,,,Москва,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,4.9,135,84955043478 (служба поддержки),88007003487 (бесплатная единая справочная: пн-вс 9:00-21:00),84952230200,,,,http://av.ru,http://max.ru/azbukavkusa,,,,,,,,,,,https://vk.com/azbukavkusa,,,,,,,,,https://t.me/azbukavkusa,,,https://youtube.com/azbukav,,,,,,4504128908889862,55.609037,37.332518,4504235295731719,,,102,4504136498318829,Азбука вкуса,супермаркет,Супермаркеты,mart,2,12,2026-04-19T03:10:09Z,,0,32,https://2gis.com/firm/4504128908889862,branch,108,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726642
Перекрёсток,супермаркет,Супермаркеты; Доставка продуктов,"улица Корнея Чуковского, 2",1 этаж,108849,,Внуково,Москва,,Москва,Россия,Пн: 07:00-23:00; Вт: 07:00-23:00; Ср: 07:00-23:00; Чт: 07:00-23:00; Пт: 07:00-23:00; Сб: 07:00-23:00; Вс: 07:00-23:00,+03:00,4.6,106,88002009555 (многоканальный),,,info@x5.ru,,,http://perekrestok.ru/?utm_source=2gis_maps&utm_medium=display&utm_campaign=maps_wo_promo&utm_content=main_url,http://max.ru/perekrestok_shop,,,,,,,,,,,https://vk.com/perekrestok_shop,,,,,,,,,https://t.me/+rHsiEm_QR3EwNTky,,,,,,,,,70000001066656091,55.63497,37.333972,70030076158127819,ТЦ Сказка,70030076506457644,487,4504136498303078,Перекрёсток,супермаркет,Супермаркеты,mart,2,11,2026-06-27T05:12:02Z,,0,32,https://2gis.com/firm/70000001066656091,branch,108,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726642
Мираторг,супермаркет,Супермаркеты; Доставка продуктов,"деревня Лапшинка, вл9а к1",,108811,,Внуково,,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,4.7,86,88005502719,,,,,,http://miratorg.ru/super,http://t.me/+Y3RA1ifcI7RhNDNi,,,,,,,,,,,https://vk.com/supermarketmiratorg,,,,,,,,,https://t.me/+Y3RA1ifcI7RhNDNi,,,,,,,,,70000001026571066,55.606885,37.332138,4504235325208307,,,97,4504136499896740,Мираторг,супермаркет,Супермаркеты,mart,2,12,2026-07-04T20:56:05Z,,0,32,https://2gis.com/firm/70000001026571066,branch,108,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726642
Пятёрочка,супермаркет,Супермаркеты; Доставка продуктов,"улица Лётчика Ульянина, 2",1 этаж,108850,,Внуково,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,4.5,76,88007700400,,,info@x5.ru,,,http://5ka.ru/catalog?utm_source=2gis&utm_medium=cpm&utm_campaign=000161-17_igronik_media_5ka_promo_04_2026%7Cformat_banner%7Ctype_banner&utm_content=%7Ccreo_1&utm_term,http://max.ru/tspyaterochka,,,,,https://twitter.com/pyaterochka,,,,,,https://vk.com/pyaterochka_shop,,,,,,,,,,,,,,,,,,70000001019180567,55.624827,37.304446,4504235283111784,,,3347,4504136498316193,Пятёрочка,супермаркет,Супермаркеты,mart,2,11,2026-06-22T08:06:33Z,,0,32,https://2gis.com/firm/70000001019180567,branch,108,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726642
