Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,E-mail 3,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,Instagram 1,Instagram 2,Instagram 3,Twitter 1,Twitter 2,Twitter 3,Facebook 1,Facebook 2,Facebook 3,ВКонтакте 1,ВКонтакте 2,ВКонтакте 3,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber 1,Viber 2,Viber 3,Telegram 1,Telegram 2,Telegram 3,YouTube 1,YouTube 2,YouTube 3,Skype 1,Skype 2,Skype 3,ID объекта,Широта,Долгота,ID здания,Название здания,ID этажа,Количество филиалов,ID сети,Название сети,Специализация сети,Главная рубрика,POI-категория,Кол-во рубрик,Кол-во атрибутов,Дата обновления,Удалён,ID сегмента,ID региона,2GIS URL,Тип,Ожидаемое кол-во (2GIS),Ссылка запроса
Пятёрочка,супермаркет,Супермаркеты; Доставка продуктов,"улица Зои и Александра Космодемьянских, 14/10 ст1",,125130,,Войковский,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,4.6,114,88007700400,,,info@x5.ru,,,http://5ka.ru/catalog?utm_source=2gis&utm_medium=cpm&utm_campaign=000161-17_igronik_media_5ka_promo_04_2026%7Cformat_banner%7Ctype_banner&utm_content=%7Ccreo_1&utm_term,http://max.ru/tspyaterochka,,,,,https://twitter.com/pyaterochka,,,,,,https://vk.com/pyaterochka_shop,,,,,,,,,,,,,,,,,,4504127909675924,55.820953,37.512213,4504235313263686,,,3347,4504136498316193,Пятёрочка,супермаркет,Супермаркеты,mart,2,14,2026-06-22T08:05:52Z,,0,32,https://2gis.com/firm/4504127909675924,branch,42,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726551
Дикси,супермаркет,Супермаркеты,"2-й Новоподмосковный переулок, 8",1 этаж,125130,,Войковский,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,4.0,79,88001011001,,,,,,http://dixy.ru,,,,,,,,,,,,https://vk.com/dixyclub,,,,,,,,,https://t.me/dixy_russia,,,https://youtube.com/user/dixychannel,,,,,,70000001007268417,55.819104,37.509251,4504235282577640,,,1418,4504136498313374,Дикси,супермаркет,Супермаркеты,mart,1,7,2026-06-25T04:05:58Z,,0,32,https://2gis.com/firm/70000001007268417,branch,42,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726551
Перекрёсток,супермаркет,Супермаркеты; Доставка продуктов,"Ленинградское шоссе, 16а ст4",1 этаж,125171,,Войковский,Москва,,Москва,Россия,Пн: 09:00-23:00; Вт: 09:00-23:00; Ср: 09:00-23:00; Чт: 09:00-23:00; Пт: 09:00-23:00; Сб: 09:00-23:00; Вс: 09:00-23:00,+03:00,4.2,56,88002009555 (многоканальный),,,info@x5.ru,,,http://perekrestok.ru/?utm_source=2gis_maps&utm_medium=display&utm_campaign=maps_wo_promo&utm_content=main_url,http://max.ru/perekrestok_shop,,,,,,,,,,,https://vk.com/perekrestok_shop,,,,,,,,,https://t.me/+rHsiEm_QR3EwNTky,,,,,,,,,70000001032294689,55.824343,37.498147,4504235282578431,Метрополис,4504694855712551,487,4504136498303078,Перекрёсток,супермаркет,Супермаркеты,mart,2,10,2026-06-27T05:12:02Z,,0,32,https://2gis.com/firm/70000001032294689,branch,42,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726551
Перекрёсток,супермаркет,Супермаркеты; Доставка продуктов,"улица Космонавта Волкова, 6а",1 этаж,127299,,Войковский,Москва,,Москва,Россия,Пн: 08:30-22:00; Вт: 08:30-22:00; Ср: 08:30-22:00; Чт: 08:30-22:00; Пт: 08:30-22:00; Сб: 08:30-22:00; Вс: 08:30-22:00,+03:00,4.7,95,88002009555 (многоканальный),,,dir_SAKO@x5.ru,,,http://perekrestok.ru/?utm_source=2gis_maps&utm_medium=display&utm_campaign=maps_wo_promo&utm_content=main_url,http://max.ru/perekrestok_shop,,,,,,,,,,,https://vk.com/perekrestok_shop,,,,,,,,,https://t.me/+rHsiEm_QR3EwNTky,,,,,,,,,70000001032643774,55.815521,37.512814,4504235282639302,,,487,4504136498303078,Перекрёсток,супермаркет,Супермаркеты,mart,2,12,2026-06-27T05:12:07Z,,0,32,https://2gis.com/firm/70000001032643774,branch,42,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726551
Пятёрочка,супермаркет,Супермаркеты; Доставка продуктов,"улица Зои и Александра Космодемьянских, 4 к1",1 этаж,125171,,Войковский,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,4.5,73,88007700400,,,info@x5.ru,,,http://5ka.ru/catalog?utm_source=2gis&utm_medium=cpm&utm_campaign=000161-17_igronik_media_5ka_promo_04_2026%7Cformat_banner%7Ctype_banner&utm_content=%7Ccreo_1&utm_term,http://max.ru/tspyaterochka,,,,,https://twitter.com/pyaterochka,,,,,,https://vk.com/pyaterochka_shop,,,,,,,,,,,,,,,,,,70000001032659983,55.817752,37.502336,4504235282577456,,,3347,4504136498316193,Пятёрочка,супермаркет,Супермаркеты,mart,2,15,2026-06-22T08:05:00Z,,0,32,https://2gis.com/firm/70000001032659983,branch,42,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726551
Ярче!,супермаркет,Супермаркеты,"Ленинградское шоссе, 19",1 этаж,125171,,Войковский,Москва,,Москва,Россия,Пн: 07:00-23:00; Вт: 07:00-23:00; Ср: 07:00-23:00; Чт: 07:00-23:00; Пт: 07:00-23:00; Сб: 07:00-23:00; Вс: 07:00-23:00,+03:00,4.9,148,,,,,,,http://ярче.рф,http://yarcheplus.ru,,,,,,,,,,,https://vk.com/supermarket_yarche,,,,,,,,,,,,,,,,,,70000001027863923,55.822644,37.494295,4504235282575568,,,198,70000001025914019,Ярче!,супермаркет,Супермаркеты,mart,1,8,2026-06-23T09:20:50Z,,0,32,https://2gis.com/firm/70000001027863923,branch,42,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726551
Пятёрочка,супермаркет,Супермаркеты; Доставка продуктов,"улица Зои и Александра Космодемьянских, 11-15 ст1а",1 этаж,125130,,Войковский,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,4.5,73,88007700400,,,info@x5.ru,,,http://5ka.ru/catalog?utm_source=2gis&utm_medium=cpm&utm_campaign=000161-17_igronik_media_5ka_promo_04_2026%7Cformat_banner%7Ctype_banner&utm_content=%7Ccreo_1&utm_term,http://max.ru/tspyaterochka,,,,,https://twitter.com/pyaterochka,,,,,,https://vk.com/pyaterochka_shop,,,,,,,,,,,,,,,,,,70000001030057837,55.822046,37.514061,4504235295661875,,,3347,4504136498316193,Пятёрочка,супермаркет,Супермаркеты,mart,2,14,2026-06-22T08:05:03Z,,0,32,https://2gis.com/firm/70000001030057837,branch,42,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726551
Пятёрочка,супермаркет,Супермаркеты; Доставка продуктов,"3-я Радиаторская улица, 9",1 этаж,125171,,Войковский,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,4.0,27,88007700400,,,info@x5.ru,,,http://5ka.ru/catalog?utm_source=2gis&utm_medium=cpm&utm_campaign=000161-17_igronik_media_5ka_promo_04_2026%7Cformat_banner%7Ctype_banner&utm_content=%7Ccreo_1&utm_term,http://max.ru/tspyaterochka,,,,,https://twitter.com/pyaterochka,,,,,,https://vk.com/pyaterochka_shop,,,,,,,,,,,,,,,,,,70000001032162870,55.818714,37.491018,4504235282595705,,,3347,4504136498316193,Пятёрочка,супермаркет,Супермаркеты,mart,2,14,2026-06-22T08:05:04Z,,0,32,https://2gis.com/firm/70000001032162870,branch,42,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726551
Да!,супермаркет,Супермаркеты,"Ленинградское шоссе, 25",1 этаж,125212,,Войковский,Москва,,Москва,Россия,Пн: 08:00-22:00; Вт: 08:00-22:00; Ср: 08:00-22:00; Чт: 08:00-22:00; Пт: 08:00-22:00; Сб: 08:00-22:00; Вс: 08:00-22:00,+03:00,4.8,242,88005002755 (единая справочная: пн-вс 9:00-21:00),,,,,,http://market-da.ru,http://max.ru/magazin_da,,,,,,,,,,,https://vk.com/magazin_da,,,,,,,,,https://t.me/marketda,,,,,,,,,70000001020969605,55.827554,37.48967,4504235282564586,МЦ Family Room,70030076322057971,156,70000001020160443,Да!,супермаркет,Супермаркеты,mart,1,10,2026-06-22T07:19:16Z,,0,32,https://2gis.com/firm/70000001020969605,branch,42,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726551
Оливка,универсам,Супермаркеты,"улица Зои и Александра Космодемьянских, 11 ст1",,125130,,Войковский,Москва,,Москва,Россия,Пн: 08:00-24:00; Вт: 08:00-24:00; Ср: 08:00-24:00; Чт: 08:00-24:00; Пт: 08:00-24:00; Сб: 08:00-24:00; Вс: 08:00-24:00,+03:00,4.0,29,84991594318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4504127908761367,55.821394,37.511545,4504235283042298,,,1,4504136498485855,Оливка,универсам,Супермаркеты,mart,1,10,2026-01-20T16:01:23Z,,0,32,https://2gis.com/firm/4504127908761367,branch,42,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726551
