Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,E-mail 3,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,Instagram 1,Instagram 2,Instagram 3,Twitter 1,Twitter 2,Twitter 3,Facebook 1,Facebook 2,Facebook 3,ВКонтакте 1,ВКонтакте 2,ВКонтакте 3,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber 1,Viber 2,Viber 3,Telegram 1,Telegram 2,Telegram 3,YouTube 1,YouTube 2,YouTube 3,Skype 1,Skype 2,Skype 3,ID объекта,Широта,Долгота,ID здания,Название здания,ID этажа,Количество филиалов,ID сети,Название сети,Специализация сети,Главная рубрика,POI-категория,Кол-во рубрик,Кол-во атрибутов,Дата обновления,Удалён,ID сегмента,ID региона,2GIS URL,Тип,Ожидаемое кол-во (2GIS),Ссылка запроса
Бристоль,магазин у дома,Продуктовые магазины; Алкогольные напитки,"село Вороново, 39г",,108830,,Вороново,,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00 (Время продажи алкоголя ограничено.),+03:00,,,88002222002,,,,,,http://bristol.ru,,,,,,,,,,,,https://vk.com/bristol_retail,,,,,,,,,https://t.me/bristolretail,,,,,,,,,70000001107353866,55.319592,37.159744,4504235283060342,,,635,70000001018898719,Бристоль,магазин у дома,Продуктовые магазины,shop,2,0,2026-07-07T13:55:40Z,,0,32,https://2gis.com/firm/70000001107353866,branch,28,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209520931533
Белка.ru,магазин,Продуктовые магазины,"село Вороново, 114",1 этаж,108830,,Вороново,,,Москва,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+03:00,,,88007771580,89166596835,,,,,,,,,,,,,,,,,,,,https://wa.me/79166596835,,,,,,,,,,,,,,,70000001065052458,55.320581,37.157862,70030076193894617,ТК Софья,,1,70000001065052457,Белка.ru,магазин,Продуктовые магазины,shop,1,5,2022-10-07T10:35:06Z,,0,32,https://2gis.com/firm/70000001065052458,branch,28,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209520931533
Продуктовый магазин,,Продуктовые магазины,"деревня Бабенки, 1а",,108830,,Вороново,,,Москва,Россия,Пн: 09:00-22:00; Вт: 09:00-22:00; Ср: 09:00-22:00; Чт: 09:00-22:00; Пт: 09:00-22:00; Сб: 09:00-22:00; Вс: 09:00-22:00,+03:00,4.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4504128908701316,55.358714,37.193647,4504235282814549,,,1,4504137598503983,Продуктовый магазин,Продуктовый магазин,Продуктовые магазины,shop,1,3,2019-10-24T13:11:08Z,,0,32,https://2gis.com/firm/4504128908701316,branch,28,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209520931533
Вавина,продуктовый магазин,Продуктовые магазины,"деревня Киселёво, 1Б ст1",,108829,,Вороново,,,Москва,Россия,Пн: 09:00-19:00; Вт: 09:00-19:00; Ср: 09:00-19:00; Чт: 09:00-19:00; Пт: 09:00-19:00; Сб: 09:00-19:00; Вс: 09:00-19:00,+03:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4504128908754925,55.352106,37.341379,4504235282802195,,,1,4504137598539096,"Вавина, ООО, продуктовый магазин",продуктовый магазин,Продуктовые магазины,shop,1,3,2019-09-13T14:17:31Z,,0,32,https://2gis.com/firm/4504128908754925,branch,28,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209520931533
Продуктовый магазин,,Продуктовые магазины,"село Никольское, вл24",,108830,,Вороново,Москва,,Москва,Россия,"Пн: 10:00-14:00, 17:00-20:00; Вт: 10:00-14:00, 17:00-20:00; Ср: 10:00-14:00, 17:00-20:00; Чт: 10:00-14:00, 17:00-20:00; Пт: 10:00-14:00, 17:00-20:00; Сб: 10:00-14:00, 17:00-20:00; Вс: 10:00-14:00, 17:00-20:00",+03:00,1.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70000001017857248,55.372782,37.223031,4504235301009650,,,1,70000001017857247,Продуктовый магазин,Продуктовый магазин,Продуктовые магазины,shop,1,2,2015-12-18T13:03:33Z,,0,32,https://2gis.com/firm/70000001017857248,branch,28,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209520931533
Продуктовый магазин,,Продуктовые магазины,"улица Стольника Потёмкина, вл3",,108830,Марсель коттеджный пос.,Вороново,Москва,,Москва,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+03:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70000001039543856,55.368614,37.226113,4504235304490005,,,1,70000001039543855,Продуктовый магазин,Продуктовый магазин,Продуктовые магазины,shop,1,1,2019-10-04T10:47:35Z,,0,32,https://2gis.com/firm/70000001039543856,branch,28,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209520931533
Provence,магазин продуктов,Продуктовые магазины,"улица Стольника Потёмкина, вл3",,108830,Марсель коттеджный пос.,Вороново,Москва,,Москва,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+03:00,,,89060767776,,,,,,,,,,,,,,,,,,,,,https://wa.me/79060767776,,,,,,,,,,,,,,,70000001093932502,55.368614,37.226113,4504235304490005,,,1,70000001093932501,Provence,магазин продуктов,Продуктовые магазины,shop,1,0,2024-11-05T09:17:05Z,,0,32,https://2gis.com/firm/70000001093932502,branch,28,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209520931533
Наташа,продуктовый магазин,Продуктовые магазины,"Октябрьская улица, 9",,108829,,Вороново,,,Москва,Россия,Пн: 09:00-22:00; Вт: 09:00-22:00; Ср: 09:00-22:00; Чт: 09:00-22:00; Пт: 09:00-22:00; Сб: 09:00-22:00; Вс: 09:00-22:00,+03:00,5.0,2,89629218892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4504128908490079,55.327314,37.34312,4504235283126476,,,1,4504137598373083,"Наташа, ООО, продуктовый магазин",продуктовый магазин,Продуктовые магазины,shop,1,2,2016-05-18T14:19:06Z,,0,32,https://2gis.com/firm/4504128908490079,branch,28,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209520931533
Съестной,продуктовый магазин,Продуктовые магазины,"Центральная улица, 3а/1",1 этаж,108829,,Вороново,,,Москва,Россия,Пн: 08:00-20:00; Вт: 08:00-20:00; Ср: 08:00-20:00; Чт: 08:00-20:00; Пт: 08:00-20:00; Сб: 08:00-20:00; Вс: 08:00-20:00,+03:00,1.7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70000001019962695,55.323984,37.345974,70030076177053575,,,1,70000001019962694,Съестной,продуктовый магазин,Продуктовые магазины,shop,1,2,2019-04-09T15:04:59Z,,0,32,https://2gis.com/firm/70000001019962695,branch,28,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209520931533
Продуктовый магазин,,Продуктовые магазины,"деревня Бабенки, 1а",,108830,,Вороново,,,Москва,Россия,Пн: 08:00-24:00; Вт: 08:00-24:00; Ср: 08:00-24:00; Чт: 08:00-24:00; Пт: 08:00-24:00; Сб: 08:00-24:00; Вс: 08:00-24:00,+03:00,,,89998099909,,,,,,,,,,,,,,,,,,,,,https://wa.me/79998099909,,,,,,https://t.me/+79998099909,,,,,,,,,70000001089611143,55.358714,37.193647,4504235282814549,,,1,70000001089611142,Продуктовый магазин,Продуктовый магазин,Продуктовые магазины,shop,1,0,2024-06-20T14:42:24Z,,0,32,https://2gis.com/firm/70000001089611143,branch,28,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209520931533
Мясоем,магазин продуктов,Продуктовые магазины,"деревня Бабенки, 46 ст2",,108830,,Вороново,,,Москва,Россия,Пн: 09:00-20:00; Вт: 09:00-20:00; Ср: 09:00-20:00; Чт: 09:00-20:00; Пт: 09:00-20:00; Сб: 09:00-20:00; Вс: 09:00-20:00,+03:00,3.8,4,89250484448,,,,,,,,,,,,,,,,,,,,,https://wa.me/79250484448,,,,,,,,,,,,,,,70000001039943834,55.353499,37.184059,4504235325605849,,,1,70000001039943833,Мясоем,магазин продуктов,Продуктовые магазины,shop,1,5,2024-04-19T09:46:06Z,,0,32,https://2gis.com/firm/70000001039943834,branch,28,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209520931533
Продовольственный магазин,,Продуктовые магазины,"деревня Бабенки, 1д",,108830,,Вороново,,,Москва,Россия,Пн: 09:00-22:00; Вт: 09:00-22:00; Ср: 09:00-22:00; Чт: 09:00-22:00; Пт: 09:00-23:00; Сб: 09:00-23:00; Вс: 09:00-22:00,+03:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70000001025989718,55.353039,37.183769,4504235325398363,,,1,70000001025989717,Продовольственный магазин,Продовольственный магазин,Продуктовые магазины,shop,1,2,2016-12-28T18:12:32Z,,0,32,https://2gis.com/firm/70000001025989718,branch,28,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209520931533
Авокадо,минимаркет,Продуктовые магазины,"Приозёрный микрорайон, 1а",,108830,Приозёрный м-н,Вороново,,,Москва,Россия,Пн: 08:00-22:00; Вт: 08:00-22:00; Ср: 08:00-22:00; Чт: 08:00-22:00; Пт: 08:00-22:00; Сб: 08:00-22:00; Вс: 08:00-22:00,+03:00,,,88002007575,,,,,,http://авокадо.рф,http://max.ru/avocado_grocery_stores,,,,,,,,,,,,,,,,,,,,https://t.me/avocadoswnn,,,,,,,,,70000001075544911,55.310333,37.189744,4504235283105827,,,687,70000001041565312,Авокадо,минимаркет,Продуктовые магазины,shop,1,4,2023-06-06T08:53:42Z,,0,32,https://2gis.com/firm/70000001075544911,branch,28,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209520931533
Продуктовый магазин,,Продуктовые магазины,"деревня Бабенки, 1а",,108830,,Вороново,,,Москва,Россия,Пн: 08:00-24:00; Вт: 08:00-24:00; Ср: 08:00-24:00; Чт: 08:00-24:00; Пт: 08:00-24:00; Сб: 08:00-24:00; Вс: 08:00-24:00,+03:00,,,89998099909,,,,,,,,,,,,,,,,,,,,,https://wa.me/79998099909,,,,,,https://t.me/+79998099909,,,,,,,,,70000001089611143,55.358714,37.193647,4504235282814549,,,1,70000001089611142,Продуктовый магазин,Продуктовый магазин,Продуктовые магазины,shop,1,0,2024-06-20T14:42:24Z,,0,32,https://2gis.com/firm/70000001089611143,branch,28,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209520931533
