Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,E-mail 3,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,Instagram 1,Instagram 2,Instagram 3,Twitter 1,Twitter 2,Twitter 3,Facebook 1,Facebook 2,Facebook 3,ВКонтакте 1,ВКонтакте 2,ВКонтакте 3,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber 1,Viber 2,Viber 3,Telegram 1,Telegram 2,Telegram 3,YouTube 1,YouTube 2,YouTube 3,Skype 1,Skype 2,Skype 3,ID объекта,Широта,Долгота,ID здания,Название здания,ID этажа,Количество филиалов,ID сети,Название сети,Специализация сети,Главная рубрика,POI-категория,Кол-во рубрик,Кол-во атрибутов,Дата обновления,Удалён,ID сегмента,ID региона,2GIS URL,Тип,Ожидаемое кол-во (2GIS),Ссылка запроса
Красное&Белое,продуктовый магазин,Продуктовые магазины; Алкогольные напитки,"Дубнинская улица, 14 к2",,127540,,Восточное Дегунино,Москва,,Москва,Россия,Пн: 09:00-22:05; Вт: 09:00-22:05; Ср: 09:00-22:05; Чт: 09:00-22:05; Пт: 09:00-22:05; Сб: 09:00-22:05; Вс: 09:00-22:05 (Время продажи алкоголя ограничено.),+03:00,4.2,42,88001000804,89227033000,,,,,http://krasnoeibeloe.ru,http://zen.yandex.ru/id/5dde5c1021552277da47ba4b,http://max.ru/krasnoebeloe,,,,,,,,,,https://vk.com/krasnoebeloe,,,,,,,,,https://t.me/krasnoeibeloe,,,,,,,,,70000001038713795,55.866857,37.570769,4504235282541495,,,2113,70000001090565128,Красное&Белое,продуктовый магазин,Продуктовые магазины,shop,2,6,2026-06-21T07:49:54Z,,0,32,https://2gis.com/firm/70000001038713795,branch,17,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726544
Красное&Белое,продуктовый магазин,Продуктовые магазины; Алкогольные напитки,"улица 800-летия Москвы, 11 к1",1 этаж,127591,,Восточное Дегунино,Москва,,Москва,Россия,Пн: 09:00-22:05; Вт: 09:00-22:05; Ср: 09:00-22:05; Чт: 09:00-22:05; Пт: 09:00-22:05; Сб: 09:00-22:05; Вс: 09:00-22:05 (Время продажи алкоголя ограничено.),+03:00,4.8,60,88001000804,89227033000,,,,,http://krasnoeibeloe.ru,http://zen.yandex.ru/id/5dde5c1021552277da47ba4b,http://max.ru/krasnoebeloe,,,,,,,,,,https://vk.com/krasnoebeloe,,,,,,,,,https://t.me/krasnoeibeloe,,,,,,,,,70000001039034945,55.881494,37.564117,4504235282530865,,,2113,70000001090565128,Красное&Белое,продуктовый магазин,Продуктовые магазины,shop,2,4,2026-06-21T07:48:21Z,,0,32,https://2gis.com/firm/70000001039034945,branch,17,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726544
Красное&Белое,продуктовый магазин,Продуктовые магазины; Алкогольные напитки,"Дубнинская улица, 2 к6",1 этаж,127540,,Восточное Дегунино,Москва,,Москва,Россия,Пн: 09:00-22:05; Вт: 09:00-22:05; Ср: 09:00-22:05; Чт: 09:00-22:05; Пт: 09:00-22:05; Сб: 09:00-22:05; Вс: 09:00-22:05 (Время продажи алкоголя ограничено.),+03:00,4.6,4,88001000804,89227033000,,,,,http://krasnoeibeloe.ru,http://zen.yandex.ru/id/5dde5c1021552277da47ba4b,http://max.ru/krasnoebeloe,,,,,,,,,,https://vk.com/krasnoebeloe,,,,,,,,,https://t.me/krasnoeibeloe,,,,,,,,,70000001089996799,55.857531,37.567782,4504235282542093,,,2113,70000001090565128,Красное&Белое,продуктовый магазин,Продуктовые магазины,shop,2,4,2026-06-21T07:49:03Z,,0,32,https://2gis.com/firm/70000001089996799,branch,17,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726544
Мясной,продуктовый магазин,Продуктовые магазины,"Дубнинская улица, 2 к2",1 этаж,127540,,Восточное Дегунино,Москва,,Москва,Россия,Пн: 09:00-20:30; Вт: 09:00-20:30; Ср: 09:00-20:30; Чт: 09:00-20:30; Пт: 09:00-20:30; Сб: 09:00-20:00; Вс: 09:00-20:00,+03:00,3.3,2,89166113317,,,,,,,,,,,,,,,,,,,,,https://wa.me/79166113317,,,,,,,,,,,,,,,70000001039528859,55.856202,37.56718,4504235282542104,,,1,70000001039528858,Мясной,продуктовый магазин,Продуктовые магазины,shop,1,7,2026-01-20T12:12:46Z,,0,32,https://2gis.com/firm/70000001039528859,branch,17,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726544
Около,минимаркет,Продуктовые магазины,"Дубнинская улица, 22 к6",,127540,,Восточное Дегунино,Москва,,Москва,Россия,Пн: 09:00-23:00; Вт: 09:00-23:00; Ср: 09:00-23:00; Чт: 09:00-23:00; Пт: 09:00-23:00; Сб: 09:00-23:00; Вс: 09:00-23:00,+03:00,,,84956628888,,,,,,,,,,,,,,,,,,,,,,,,,,,https://t.me/okolo10,,,,,,,,,70000001103848609,55.872576,37.561698,4504235282541464,,,148,70000001080350055,Около,минимаркет,Продуктовые магазины,shop,1,6,2026-04-06T10:47:17Z,,0,32,https://2gis.com/firm/70000001103848609,branch,17,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726544
Ароматный мир,винный супермаркет,Продуктовые магазины; Алкогольные напитки,"Дубнинская улица, 10",1 этаж,127540,,Восточное Дегунино,Москва,,Москва,Россия,Пн: 09:30-22:30; Вт: 09:30-22:30; Ср: 09:30-22:30; Чт: 09:30-22:30; Пт: 09:30-22:30; Сб: 09:30-22:30; Вс: 10:00-22:00 (Время продажи алкоголя ограничено.),+03:00,4.7,17,88007777290,84957775190 (доп.4036),,,,,http://amwine.ru,http://max.ru/amwineru,,,,,,,,,,,https://vk.com/amwineru,,,,,,,,,https://t.me/amwineru,,,https://youtube.com/@Aromatnyi_Mir_Vino_bez_vody,,,,,,70000001060584316,55.862507,37.567542,4504235282541963,,,564,4504136498285713,Ароматный мир,винный супермаркет,Продуктовые магазины,shop,2,5,2026-07-09T13:23:09Z,,0,32,https://2gis.com/firm/70000001060584316,branch,17,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726544
Продуктовый магазин,,Продуктовые магазины,"Керамический проезд, 47 к1",,127540,,Восточное Дегунино,Москва,,Москва,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,1.7,6,89269544714,89966819745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4504128908535580,55.872732,37.568475,4504235282543014,,,1,4504137598403204,Продуктовый магазин,Продуктовый магазин,Продуктовые магазины,shop,1,6,2026-04-03T13:56:10Z,,0,32,https://2gis.com/firm/4504128908535580,branch,17,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726544
Фермер,гастроном,Продуктовые магазины,"Дубнинская улица, 12 к2",,127540,,Восточное Дегунино,Москва,,Москва,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+03:00,,,89993331975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70000001088173711,55.864149,37.568725,4504235282541556,,,3,70000001088173049,Фермер,гастроном,Продуктовые магазины,shop,1,4,2026-05-18T17:43:59Z,,0,32,https://2gis.com/firm/70000001088173711,branch,17,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726544
Магазин продуктов,ИП Расулова Г. Э.,Продуктовые магазины,"Дубнинская улица, 12Б ст13",28 павильон,127540,,Восточное Дегунино,Москва,,Москва,Россия,Пн: 08:00-21:00; Вт: 08:00-21:00; Ср: 08:00-21:00; Чт: 08:00-21:00; Пт: 08:00-21:00; Сб: 08:00-21:00; Вс: 08:00-21:00,+03:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70000001007352259,55.865455,37.572376,4504235282542241,,,1,70000001007352260,"Магазин продуктов, ИП Расулова Г. Э.",Магазин продуктов,Продуктовые магазины,shop,1,4,2026-05-13T13:39:59Z,,0,32,https://2gis.com/firm/70000001007352259,branch,17,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726544
Продуктовый магазин,,Продуктовые магазины,"Дубнинская улица, 18 к1",,127540,,Восточное Дегунино,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,3.6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4504127908464070,55.870037,37.569362,4504235282541487,,,1,4504136498323306,Продуктовый магазин,Продуктовый магазин,Продуктовые магазины,shop,1,7,2026-04-06T11:30:49Z,,0,32,https://2gis.com/firm/4504127908464070,branch,17,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726544
