Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,E-mail 3,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,Instagram 1,Instagram 2,Instagram 3,Twitter 1,Twitter 2,Twitter 3,Facebook 1,Facebook 2,Facebook 3,ВКонтакте 1,ВКонтакте 2,ВКонтакте 3,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber 1,Viber 2,Viber 3,Telegram 1,Telegram 2,Telegram 3,YouTube 1,YouTube 2,YouTube 3,Skype 1,Skype 2,Skype 3,ID объекта,Широта,Долгота,ID здания,Название здания,ID этажа,Количество филиалов,ID сети,Название сети,Специализация сети,Главная рубрика,POI-категория,Кол-во рубрик,Кол-во атрибутов,Дата обновления,Удалён,ID сегмента,ID региона,2GIS URL,Тип,Ожидаемое кол-во (2GIS),Ссылка запроса
Красное&Белое,продуктовый магазин,Продуктовые магазины; Алкогольные напитки,"улица Хлобыстова, 14 к1",,109542,,Выхино-Жулебино,Москва,,Москва,Россия,Пн: 09:00-22:05; Вт: 09:00-22:05; Ср: 09:00-22:05; Чт: 09:00-22:05; Пт: 09:00-22:05; Сб: 09:00-22:05; Вс: 09:00-22:05 (Время продажи алкоголя ограничено.),+03:00,4.9,8,88001000804,89227033000,,,,,http://krasnoeibeloe.ru,http://zen.yandex.ru/id/5dde5c1021552277da47ba4b,http://max.ru/krasnoebeloe,,,,,,,,,,https://vk.com/krasnoebeloe,,,,,,,,,https://t.me/krasnoeibeloe,,,,,,,,,70000001080470971,55.718685,37.805898,4504235283013973,,,2113,70000001090565128,Красное&Белое,продуктовый магазин,Продуктовые магазины,shop,2,5,2026-06-21T07:48:46Z,,0,32,https://2gis.com/firm/70000001080470971,branch,37,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726600
Красное&Белое,продуктовый магазин,Продуктовые магазины; Алкогольные напитки,"квартал 137а Самаркандский Бульвар, к7",,109507,,Выхино-Жулебино,Москва,,Москва,Россия,Пн: 09:00-22:05; Вт: 09:00-22:05; Ср: 09:00-22:05; Чт: 09:00-22:05; Пт: 09:00-22:05; Сб: 09:00-22:05; Вс: 09:00-22:05 (Время продажи алкоголя ограничено.),+03:00,5.0,3,88001000804,89227033000,,,,,http://krasnoeibeloe.ru,http://zen.yandex.ru/id/5dde5c1021552277da47ba4b,http://max.ru/krasnoebeloe,,,,,,,,,,https://vk.com/krasnoebeloe,,,,,,,,,https://t.me/krasnoeibeloe,,,,,,,,,70000001105093692,55.698703,37.816697,4504235282593708,,,2113,70000001090565128,Красное&Белое,продуктовый магазин,Продуктовые магазины,shop,2,5,2026-06-21T07:49:19Z,,0,32,https://2gis.com/firm/70000001105093692,branch,37,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726600
Винлаб,супермаркет напитков,Продуктовые магазины; Алкогольные напитки,"улица Хлобыстова, 18 к1",,109542,,Выхино-Жулебино,Москва,,Москва,Россия,Пн: 10:00-23:00; Вт: 10:00-23:00; Ср: 10:00-23:00; Чт: 10:00-23:00; Пт: 10:00-23:00; Сб: 10:00-23:00; Вс: 10:00-23:00 (Время продажи алкоголя ограничено.),+03:00,5.0,2,88003017755,,,,,,http://winelab.ru,http://max.ru/winelab_ru,,,,,,,,,,,https://vk.com/winelabru,,,,,,,,,https://t.me/winelab_chatbot,,,,,,,,,70000001035862936,55.717184,37.810589,4504235301168923,,,1163,70000001019234769,Винлаб,супермаркет напитков,Продуктовые магазины,shop,2,6,2026-07-07T13:35:44Z,,0,32,https://2gis.com/firm/70000001035862936,branch,37,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726600
Ароматный мир,винный супермаркет,Продуктовые магазины; Алкогольные напитки,"улица Академика Скрябина, 3/1 к1",,109377,,Выхино-Жулебино,Москва,,Москва,Россия,Пн: 10:00-22:30; Вт: 10:00-22:30; Ср: 10:00-22:30; Чт: 10:00-22:30; Пт: 10:00-22:30; Сб: 10:00-22:30; Вс: 10:00-22:00 (Время продажи алкоголя ограничено.),+03:00,5.0,2,88007777290,84957775190 (доп.4235),,,,,http://amwine.ru,http://max.ru/amwineru,,,,,,,,,,,https://vk.com/amwineru,,,,,,,,,https://t.me/amwineru,,,https://youtube.com/@Aromatnyi_Mir_Vino_bez_vody,,,,,,70000001093513353,55.71286,37.803966,70030076242323772,,,564,4504136498285713,Ароматный мир,винный супермаркет,Продуктовые магазины,shop,2,4,2026-07-09T13:23:15Z,,0,32,https://2gis.com/firm/70000001093513353,branch,37,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726600
Винлаб,супермаркет напитков,Продуктовые магазины; Алкогольные напитки,"улица Академика Скрябина, 3/1 к3",,109444,,Выхино-Жулебино,Москва,,Москва,Россия,Пн: 10:00-23:00; Вт: 10:00-23:00; Ср: 10:00-23:00; Чт: 10:00-23:00; Пт: 10:00-23:00; Сб: 10:00-23:00; Вс: 10:00-23:00 (Время продажи алкоголя ограничено.),+03:00,4.6,3,88003017755,,,,,,http://b2b.winelab.ru,http://max.ru/winelab_ru,,,,,,,,,,,https://vk.com/winelabru,,,,,,,,,https://t.me/winelab_chatbot,,,,,,,,,70000001093361286,55.711676,37.80359,70030076483198590,,,1163,70000001019234769,Винлаб,супермаркет напитков,Продуктовые магазины,shop,2,3,2026-07-07T13:29:28Z,,0,32,https://2gis.com/firm/70000001093361286,branch,37,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726600
Красное&Белое,продуктовый магазин,Продуктовые магазины; Алкогольные напитки,"Жулебинский бульвар, 14",1 этаж,109153,,Выхино-Жулебино,Москва,,Москва,Россия,Пн: 09:00-22:05; Вт: 09:00-22:05; Ср: 09:00-22:05; Чт: 09:00-22:05; Пт: 09:00-22:05; Сб: 09:00-22:05; Вс: 09:00-22:05 (Время продажи алкоголя ограничено.),+03:00,5.0,1,88001000804,89227033000,,,,,http://krasnoeibeloe.ru,http://zen.yandex.ru/id/5dde5c1021552277da47ba4b,http://max.ru/krasnoebeloe,,,,,,,,,,https://vk.com/krasnoebeloe,,,,,,,,,https://t.me/krasnoeibeloe,,,,,,,,,70000001100375155,55.69742,37.85156,4504235282908408,,,2113,70000001090565128,Красное&Белое,продуктовый магазин,Продуктовые магазины,shop,2,3,2026-06-21T07:49:08Z,,0,32,https://2gis.com/firm/70000001100375155,branch,37,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726600
Винлаб,супермаркет напитков,Продуктовые магазины; Алкогольные напитки,"Ташкентская улица, 12/20",,109444,,Выхино-Жулебино,Москва,,Москва,Россия,Пн: 10:00-23:00; Вт: 10:00-23:00; Ср: 10:00-23:00; Чт: 10:00-23:00; Пт: 10:00-23:00; Сб: 10:00-23:00; Вс: 10:00-23:00 (Время продажи алкоголя ограничено.),+03:00,5.0,1,88003017755,,,,,,http://b2b.winelab.ru,http://max.ru/winelab_ru,,,,,,,,,,,https://vk.com/winelabru,,,,,,,,,https://t.me/winelab_chatbot,,,,,,,,,70000001111762556,55.704662,37.81637,4504235282594005,,,1163,70000001019234769,Винлаб,супермаркет напитков,Продуктовые магазины,shop,2,5,2026-07-07T13:29:24Z,,0,32,https://2gis.com/firm/70000001111762556,branch,37,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726600
Фермерская лавка,гастроном,Продуктовые магазины,"Ташкентская улица, 24 к1",,109472,,Выхино-Жулебино,Москва,,Москва,Россия,Пн: 09:00-22:00; Вт: 09:00-22:00; Ср: 09:00-22:00; Чт: 09:00-22:00; Пт: 09:00-22:00; Сб: 09:00-22:00; Вс: 09:00-22:00,+03:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70000001034375022,55.700134,37.809074,4504235282593964,,,1,70000001034375021,Фермерская лавка,гастроном,Продуктовые магазины,shop,1,6,2026-06-19T11:13:01Z,,0,32,https://2gis.com/firm/70000001034375022,branch,37,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726600
Мини-маркет,,Продуктовые магазины,"Ташкентская улица, 25 к1",1 этаж,109472,,Выхино-Жулебино,Москва,,Москва,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,5.0,9,84957092811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4504127915312701,55.700728,37.811702,4504235282594839,,,1,4504136499230141,Мини-маркет,Мини-маркет,Продуктовые магазины,shop,1,4,2026-03-12T14:19:25Z,,0,32,https://2gis.com/firm/4504127915312701,branch,37,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726600
Красное&Белое,продуктовый магазин,Продуктовые магазины; Алкогольные напитки,"Привольная улица, 61 к1",1 этаж,109431,,Выхино-Жулебино,Москва,,Москва,Россия,Пн: 09:00-22:05; Вт: 09:00-22:05; Ср: 09:00-22:05; Чт: 09:00-22:05; Пт: 09:00-22:05; Сб: 09:00-22:05; Вс: 09:00-22:05 (Время продажи алкоголя ограничено.),+03:00,4.7,3,88001000804,89227033000,,,,,http://krasnoeibeloe.ru,http://zen.yandex.ru/id/5dde5c1021552277da47ba4b,http://max.ru/krasnoebeloe,,,,,,,,,,https://vk.com/krasnoebeloe,,,,,,,,,https://t.me/krasnoeibeloe,,,,,,,,,70000001033280710,55.68342,37.845552,4504235282788712,,,2113,70000001090565128,Красное&Белое,продуктовый магазин,Продуктовые магазины,shop,2,5,2026-06-21T07:49:48Z,,0,32,https://2gis.com/firm/70000001033280710,branch,37,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726600
Красное&Белое,продуктовый магазин,Продуктовые магазины; Алкогольные напитки,"улица Авиаконструктора Миля, 24",1 этаж,109431,,Выхино-Жулебино,Москва,,Москва,Россия,Пн: 09:00-22:05; Вт: 09:00-22:05; Ср: 09:00-22:05; Чт: 09:00-22:05; Пт: 09:00-22:05; Сб: 09:00-22:05; Вс: 09:00-22:05 (Время продажи алкоголя ограничено.),+03:00,5.0,1,88001000804,89227033000,,,,,http://krasnoeibeloe.ru,http://zen.yandex.ru/id/5dde5c1021552277da47ba4b,http://max.ru/krasnoebeloe,,,,,,,,,,https://vk.com/krasnoebeloe,,,,,,,,,https://t.me/krasnoeibeloe,,,,,,,,,70000001087647173,55.678623,37.857927,4504235282788115,,,2113,70000001090565128,Красное&Белое,продуктовый магазин,Продуктовые магазины,shop,2,5,2026-06-21T07:48:56Z,,0,32,https://2gis.com/firm/70000001087647173,branch,37,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726600
777,продуктовый магазин,Продуктовые магазины,"Ташкентская улица, 15/22",,109444,,Выхино-Жулебино,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 09:00-22:00,+03:00,3.2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4504127915272266,55.704534,37.819046,4504235282593943,,,1,4504136499225787,777,продуктовый магазин,Продуктовые магазины,shop,1,4,2025-11-18T11:49:52Z,,0,32,https://2gis.com/firm/4504127915272266,branch,37,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726600
Продуктовый магазин,,Продуктовые магазины,"Рязанский проспект, 82 к5",,109542,,Выхино-Жулебино,Москва,,Москва,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,4.3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70000001025947847,55.708472,37.825551,4504235282584255,,,1,70000001025947846,Продуктовый магазин,Продуктовый магазин,Продуктовые магазины,shop,1,4,2025-12-22T12:15:08Z,,0,32,https://2gis.com/firm/70000001025947847,branch,37,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726600
Винлаб,супермаркет напитков,Продуктовые магазины; Алкогольные напитки,"улица Хлобыстова, 18 к1",,109542,,Выхино-Жулебино,Москва,,Москва,Россия,Пн: 10:00-23:00; Вт: 10:00-23:00; Ср: 10:00-23:00; Чт: 10:00-23:00; Пт: 10:00-23:00; Сб: 10:00-23:00; Вс: 10:00-23:00 (Время продажи алкоголя ограничено.),+03:00,5.0,2,88003017755,,,,,,http://winelab.ru,http://max.ru/winelab_ru,,,,,,,,,,,https://vk.com/winelabru,,,,,,,,,https://t.me/winelab_chatbot,,,,,,,,,70000001035862936,55.717184,37.810589,4504235301168923,,,1163,70000001019234769,Винлаб,супермаркет напитков,Продуктовые магазины,shop,2,6,2026-07-07T13:35:44Z,,0,32,https://2gis.com/firm/70000001035862936,branch,37,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726600
Мини-маркет,,Продуктовые магазины,"Рязанский проспект, 99а ст1",1 этаж,109542,,Выхино-Жулебино,Москва,,Москва,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70000001059226622,55.712698,37.815845,4504235282663061,ТЦ Маяк,,1,70000001059226621,Мини-маркет,Мини-маркет,Продуктовые магазины,shop,1,4,2026-01-12T12:43:15Z,,0,32,https://2gis.com/firm/70000001059226622,branch,37,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726600
Линия вкуса,магазин белорусских товаров,Продуктовые магазины,"МКАД 8 километр, 3 к2",Л4-10 павильон; 1 этаж,109145,,Выхино-Жулебино,Москва,,Москва,Россия,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+03:00,,,89265441230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70000001063820560,55.702346,37.832959,4504235283019223,ТРЦ Скарабей,70030076862256654,1,70000001063820559,Линия вкуса,магазин белорусских товаров,Продуктовые магазины,shop,1,5,2026-04-13T16:23:55Z,,0,32,https://2gis.com/firm/70000001063820560,branch,37,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726600
