Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,E-mail 3,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,Instagram 1,Instagram 2,Instagram 3,Twitter 1,Twitter 2,Twitter 3,Facebook 1,Facebook 2,Facebook 3,ВКонтакте 1,ВКонтакте 2,ВКонтакте 3,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber 1,Viber 2,Viber 3,Telegram 1,Telegram 2,Telegram 3,YouTube 1,YouTube 2,YouTube 3,Skype 1,Skype 2,Skype 3,ID объекта,Широта,Долгота,ID здания,Название здания,ID этажа,Количество филиалов,ID сети,Название сети,Специализация сети,Главная рубрика,POI-категория,Кол-во рубрик,Кол-во атрибутов,Дата обновления,Удалён,ID сегмента,ID региона,2GIS URL,Тип,Ожидаемое кол-во (2GIS),Ссылка запроса
Дикси,супермаркет,Супермаркеты,"Самаркандский бульвар, 8",,109444,,Выхино-Жулебино,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,4.2,99,88001011001,,,,,,http://dixy.ru,,,,,,,,,,,,https://vk.com/dixyclub,,,,,,,,,https://t.me/dixy_russia,,,https://youtube.com/user/dixychannel,,,,,,4504127908762340,55.705844,37.827915,4504235282584215,,,1418,4504136498313374,Дикси,супермаркет,Супермаркеты,mart,1,9,2026-06-25T04:05:45Z,,0,32,https://2gis.com/firm/4504127908762340,branch,88,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726600
Перекрёсток,супермаркет,Супермаркеты; Доставка продуктов,"Сормовская улица, 6",1 этаж,109444,,Выхино-Жулебино,Москва,,Москва,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,4.8,160,88002009555 (многоканальный),,,info@x5.ru,,,http://perekrestok.ru/?utm_source=2gis_maps&utm_medium=display&utm_campaign=maps_wo_promo&utm_content=main_url,http://max.ru/perekrestok_shop,,,,,,,,,,,https://vk.com/perekrestok_shop,,,,,,,,,https://t.me/+rHsiEm_QR3EwNTky,,,,,,,,,70000001018752836,55.710897,37.812546,4504235282593619,ТЦ Сормовский,,487,4504136498303078,Перекрёсток,супермаркет,Супермаркеты,mart,2,13,2026-07-02T13:43:08Z,,0,32,https://2gis.com/firm/70000001018752836,branch,88,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726600
Eurospar,супермаркет,Супермаркеты; Доставка продуктов,"Ферганская улица, 21",1 этаж,109444,,Выхино-Жулебино,Москва,,Москва,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,4.5,185,88005001329 (бесплатная горячая линия: пн-вс 8:00-23:00),,,,,,http://myspar.ru,,,,,,,,,,,,https://vk.com/spar.russia,,,,,,,,,https://t.me/myspar,,,,,,,,,70000001033027217,55.705174,37.820855,4504235282584031,,,55,70000001028701845,Eurospar,супермаркет,Супермаркеты,mart,2,14,2026-07-06T04:33:41Z,,0,32,https://2gis.com/firm/70000001033027217,branch,88,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726600
Samra,оптовый супермаркет,Супермаркеты,"МКАД 8 километр, 3 к2",Л1-32 павильон; 1 этаж,109145,,Выхино-Жулебино,Москва,,Москва,Россия,,+03:00,5.0,4,89299565656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70000001103849373,55.70316,37.833359,4504235283019223,ТРЦ Скарабей,70030076862256654,2,70000001049805943,Samra,оптовый супермаркет,Супермаркеты,mart,1,4,2026-04-15T09:07:30Z,,0,32,https://2gis.com/firm/70000001103849373,branch,88,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726600
Светофор,супермаркет,Супермаркеты,"Рязанский проспект, 101 ст5",,109542,,Выхино-Жулебино,Москва,,Москва,Россия,Пн: 08:00-20:00; Вт: 08:00-20:00; Ср: 08:00-20:00; Чт: 08:00-20:00; Пт: 08:00-20:00; Сб: 08:00-20:00; Вс: 08:00-20:00,+03:00,4.9,10,,,,,,,http://msk-ryazan.svetoforonline.ru,http://msk-ryazan.svetoforonline.ru/content/kontakti,http://svetoforonline.ru/content/kontakti,,,,,,,,,,,,,,,,,,,,,,,,,,,,70000001092038106,55.714346,37.819633,4504235283174007,,,71,70000001029494343,Светофор,супермаркет,Супермаркеты,mart,1,4,2026-06-23T05:29:19Z,,0,32,https://2gis.com/firm/70000001092038106,branch,88,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726600
Ашан,супермаркет,Супермаркеты; Доставка продуктов,"Ферганская улица, 8",1 этаж,109444,,Выхино-Жулебино,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,3.4,20,88007005800 (единая справочная),,,,,,http://auchan.ru,http://max.ru/auchanrus,,,,,,,,,,,https://vk.com/auchan,,,,,,,,,https://t.me/auchanrusbot,,,,,,,,,70000001032172858,55.709599,37.804243,4504235317887109,,,77,70000001031401982,Ашан,супермаркет,Супермаркеты,mart,2,11,2026-03-11T13:30:12Z,,0,32,https://2gis.com/firm/70000001032172858,branch,88,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726600
Азбука вкуса,супермаркет,Супермаркеты; Доставка продуктов,"Жулебинский бульвар, 16",1 этаж,109153,,Выхино-Жулебино,Москва,,Москва,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,4.8,131,84955043478 (служба поддержки),88007003487 (бесплатная единая справочная: пн-вс 9:00-21:00),84952230200,,,,http://av.ru,http://max.ru/azbukavkusa,,,,,,,,,,,https://vk.com/azbukavkusa,,,,,,,,,https://t.me/azbukavkusa,,,https://youtube.com/azbukav,,,,,,70000001006577444,55.696644,37.852886,4504235282644032,,,102,4504136498318829,Азбука вкуса,супермаркет,Супермаркеты,mart,2,12,2026-06-10T03:20:17Z,,0,32,https://2gis.com/firm/70000001006577444,branch,88,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726600
Светофор,супермаркет,Супермаркеты,"Лермонтовский проспект, 19 к2",1 этаж,109153,,Выхино-Жулебино,Москва,,Москва,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+03:00,4.6,136,89773363389,,,,,,http://msk-lerm.svetoforonline.ru/content/kontakti,http://svetoforonline.ru/content/kontakti,http://msk-lerm.svetoforonline.ru,,,,,,,,,,https://vk.com/club203657194,,,,,,,,,,,,,,,,,,70000001047541331,55.700289,37.855693,4504235282908236,ТЦ Феникс,70030076469764320,71,70000001029494343,Светофор,супермаркет,Супермаркеты,mart,1,7,2026-06-23T05:29:21Z,,0,32,https://2gis.com/firm/70000001047541331,branch,88,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726600
Пятёрочка,супермаркет,Супермаркеты; Доставка продуктов,"Ферганская улица, 6 к2",цокольный этаж,109444,,Выхино-Жулебино,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,4.7,44,88007700400,,,info@x5.ru,,,http://5ka.ru/catalog?utm_source=2gis&utm_medium=cpm&utm_campaign=000161-17_igronik_media_5ka_promo_04_2026%7Cformat_banner%7Ctype_banner&utm_content=%7Ccreo_1&utm_term,http://max.ru/tspyaterochka,,,,,https://twitter.com/pyaterochka,,,,,,https://vk.com/pyaterochka_shop,,,,,,,,,,,,,,,,,,70000001025928584,55.709639,37.803215,4504235283005318,,,3347,4504136498316193,Пятёрочка,супермаркет,Супермаркеты,mart,2,13,2026-06-22T08:07:35Z,,0,32,https://2gis.com/firm/70000001025928584,branch,88,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726600
Перекрёсток,супермаркет,Супермаркеты; Доставка продуктов,"улица Маршала Полубоярова, 16 к1",1 этаж,109156,,Выхино-Жулебино,Москва,,Москва,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,4.8,129,88002009555 (многоканальный),,,info@x5.ru,,,http://perekrestok.ru/?utm_source=2gis_maps&utm_medium=display&utm_campaign=maps_wo_promo&utm_content=main_url,http://max.ru/perekrestok_shop,,,,,,,,,,,https://vk.com/perekrestok_shop,,,,,,,,,https://t.me/+rHsiEm_QR3EwNTky,,,,,,,,,4504127909007061,55.68541,37.862879,4504235282961479,,,487,4504136498303078,Перекрёсток,супермаркет,Супермаркеты,mart,2,14,2026-06-30T09:37:11Z,,0,32,https://2gis.com/firm/4504127909007061,branch,88,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726600
