Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,E-mail 3,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,Instagram 1,Instagram 2,Instagram 3,Twitter 1,Twitter 2,Twitter 3,Facebook 1,Facebook 2,Facebook 3,ВКонтакте 1,ВКонтакте 2,ВКонтакте 3,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber 1,Viber 2,Viber 3,Telegram 1,Telegram 2,Telegram 3,YouTube 1,YouTube 2,YouTube 3,Skype 1,Skype 2,Skype 3,ID объекта,Широта,Долгота,ID здания,Название здания,ID этажа,Количество филиалов,ID сети,Название сети,Специализация сети,Главная рубрика,POI-категория,Кол-во рубрик,Кол-во атрибутов,Дата обновления,Удалён,ID сегмента,ID региона,2GIS URL,Тип,Ожидаемое кол-во (2GIS),Ссылка запроса
Красное&Белое,продуктовый магазин,Продуктовые магазины; Алкогольные напитки,"60-летия Октября проспект, 3 к1",,119334,,Гагаринский,Москва,,Москва,Россия,Пн: 09:00-22:05; Вт: 09:00-22:05; Ср: 09:00-22:05; Чт: 09:00-22:05; Пт: 09:00-22:05; Сб: 09:00-22:05; Вс: 09:00-22:05 (Время продажи алкоголя ограничено.),+03:00,4.7,17,88001000804,89227033000,,,,,http://krasnoeibeloe.ru,http://zen.yandex.ru/id/5dde5c1021552277da47ba4b,http://max.ru/krasnoebeloe,,,,,,,,,,https://vk.com/krasnoebeloe,,,,,,,,,https://t.me/krasnoeibeloe,,,,,,,,,70000001081219503,55.705892,37.581432,4504235282582539,,,2113,70000001090565128,Красное&Белое,продуктовый магазин,Продуктовые магазины,shop,2,3,2026-07-04T04:33:25Z,,0,32,https://2gis.com/firm/70000001081219503,branch,22,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726624
Красное&Белое,продуктовый магазин,Продуктовые магазины; Алкогольные напитки,"Молодёжная улица, 6",цокольный этаж,119296,,Гагаринский,Москва,,Москва,Россия,Пн: 09:00-22:05; Вт: 09:00-22:05; Ср: 09:00-22:05; Чт: 09:00-22:05; Пт: 09:00-22:05; Сб: 09:00-22:05; Вс: 09:00-22:05 (Время продажи алкоголя ограничено.),+03:00,4.5,5,88001000804,89227033000,,,,,http://krasnoeibeloe.ru,http://zen.yandex.ru/id/5dde5c1021552277da47ba4b,http://max.ru/krasnoebeloe,,,,,,,,,,https://vk.com/krasnoebeloe,,,,,,,,,https://t.me/krasnoeibeloe,,,,,,,,,70000001024759944,55.696085,37.546336,4504235282606716,,,2113,70000001090565128,Красное&Белое,продуктовый магазин,Продуктовые магазины,shop,2,5,2026-06-21T07:49:45Z,,0,32,https://2gis.com/firm/70000001024759944,branch,22,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726624
Ароматный мир,винный супермаркет,Продуктовые магазины; Алкогольные напитки,"Ленинский проспект, 41/2",,119334,,Гагаринский,Москва,,Москва,Россия,Пн: 10:00-22:30; Вт: 10:00-22:30; Ср: 10:00-22:30; Чт: 10:00-22:30; Пт: 10:00-22:30; Сб: 10:00-22:30; Вс: 10:00-22:00 (Время продажи алкоголя ограничено.),+03:00,4.5,2,88007777290,84957775190 (доп.7694),,,,,http://amwine.ru,http://max.ru/amwineru,,,,,,,,,,,https://vk.com/amwineru,,,,,,,,,https://t.me/amwineru,,,https://youtube.com/@Aromatnyi_Mir_Vino_bez_vody,,,,,,70000001022588417,55.705297,37.579848,4504235282608502,,,564,4504136498285713,Ароматный мир,винный супермаркет,Продуктовые магазины,shop,2,6,2026-07-09T13:23:12Z,,0,32,https://2gis.com/firm/70000001022588417,branch,22,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726624
Красное&Белое,продуктовый магазин,Продуктовые магазины; Алкогольные напитки,"Ленинский проспект, 64/2",1 этаж,119296,,Гагаринский,Москва,,Москва,Россия,Пн: 09:00-22:05; Вт: 09:00-22:05; Ср: 09:00-22:05; Чт: 09:00-22:05; Пт: 09:00-22:05; Сб: 09:00-22:05; Вс: 09:00-22:05 (Время продажи алкоголя ограничено.),+03:00,4.8,27,88001000804,89227033000,,,,,http://krasnoeibeloe.ru,http://zen.yandex.ru/id/5dde5c1021552277da47ba4b,http://max.ru/krasnoebeloe,,,,,,,,,,https://vk.com/krasnoebeloe,,,,,,,,,https://t.me/krasnoeibeloe,,,,,,,,,70000001034530584,55.691916,37.550612,4504235282606586,,,2113,70000001090565128,Красное&Белое,продуктовый магазин,Продуктовые магазины,shop,2,4,2026-06-21T07:49:54Z,,0,32,https://2gis.com/firm/70000001034530584,branch,22,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726624
Красное&Белое,продуктовый магазин,Продуктовые магазины; Алкогольные напитки,"Ленинский проспект, 77 к2",1 этаж,119261,,Гагаринский,Москва,,Москва,Россия,Пн: 09:00-22:05; Вт: 09:00-22:05; Ср: 09:00-22:05; Чт: 09:00-22:05; Пт: 09:00-22:05; Сб: 09:00-22:05; Вс: 09:00-22:05 (Время продажи алкоголя ограничено.),+03:00,4.7,21,88001000804,89227033000,,,,,http://krasnoeibeloe.ru,http://zen.yandex.ru/id/5dde5c1021552277da47ba4b,http://max.ru/krasnoebeloe,,,,,,,,,,https://vk.com/krasnoebeloe,,,,,,,,,https://t.me/krasnoeibeloe,,,,,,,,,70000001033694213,55.685893,37.544993,4504235282586378,,,2113,70000001090565128,Красное&Белое,продуктовый магазин,Продуктовые магазины,shop,2,4,2026-06-21T07:49:50Z,,0,32,https://2gis.com/firm/70000001033694213,branch,22,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726624
Бристоль,магазин у дома,Продуктовые магазины; Алкогольные напитки,"Ленинский проспект, 62/1",1 этаж,119296,,Гагаринский,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00 (Время продажи алкоголя ограничено.),+03:00,3.2,8,88002222002,,,,,,http://bristol.ru,,,,,,,,,,,,https://vk.com/bristol_retail,,,,,,,,,https://t.me/bristolretail,,,,,,,,,70000001089593583,55.69448,37.555129,4504235282606528,,,635,70000001018898719,Бристоль,магазин у дома,Продуктовые магазины,shop,2,3,2026-07-07T13:55:29Z,,0,32,https://2gis.com/firm/70000001089593583,branch,22,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726624
Ароматный мир,винный супермаркет,Продуктовые магазины; Алкогольные напитки,"Ленинский проспект, 40",1 этаж,119334,,Гагаринский,Москва,,Москва,Россия,Пн: 09:30-22:30; Вт: 09:30-22:30; Ср: 09:30-22:30; Чт: 09:30-22:30; Пт: 09:30-22:30; Сб: 09:30-22:30; Вс: 10:00-22:00 (Время продажи алкоголя ограничено.),+03:00,4.8,22,84957775190 (доп.7610),88007777290,,,,,http://amwine.ru,http://max.ru/amwineru,,,,,,,,,,,https://vk.com/amwineru,,,,,,,,,https://t.me/amwineru,,,https://youtube.com/@Aromatnyi_Mir_Vino_bez_vody,,,,,,4504127908481546,55.702767,37.570055,4504235282608168,,,564,4504136498285713,Ароматный мир,винный супермаркет,Продуктовые магазины,shop,2,4,2026-07-09T13:23:12Z,,0,32,https://2gis.com/firm/4504127908481546,branch,22,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726624
Бристоль,магазин у дома,Продуктовые магазины; Алкогольные напитки,"улица Вавилова, 52 к1",,119296,,Гагаринский,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00 (Время продажи алкоголя ограничено.),+03:00,4.8,8,88002222002,,,,,,http://bristol.ru,,,,,,,,,,,,https://vk.com/bristol_retail,,,,,,,,,https://t.me/bristolretail,,,,,,,,,70000001080686010,55.689044,37.557705,70030076155699670,,,635,70000001018898719,Бристоль,магазин у дома,Продуктовые магазины,shop,2,4,2026-07-07T13:55:07Z,,0,32,https://2gis.com/firm/70000001080686010,branch,22,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726624
Бристоль,магазин у дома,Продуктовые магазины; Алкогольные напитки,"Ломоносовский проспект, 7 к1",цокольный этаж,119261,,Гагаринский,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00 (Время продажи алкоголя ограничено.),+03:00,4.7,25,88002222002,,,,,,http://bristol.ru,,,,,,,,,,,,https://vk.com/bristol_retail,,,,,,,,,https://t.me/bristolretail,,,,,,,,,70000001035855330,55.686341,37.547122,4504235282569177,,,635,70000001018898719,Бристоль,магазин у дома,Продуктовые магазины,shop,2,4,2026-07-07T13:55:44Z,,0,32,https://2gis.com/firm/70000001035855330,branch,22,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726624
Ароматный мир,винный супермаркет,Продуктовые магазины; Алкогольные напитки,"Университетский проспект, 4",1 этаж,119333,,Гагаринский,Москва,,Москва,Россия,Пн: 10:00-22:30; Вт: 10:00-22:30; Ср: 10:00-22:30; Чт: 10:00-22:30; Пт: 10:00-22:30; Сб: 10:00-22:30; Вс: 10:00-22:00 (Время продажи алкоголя ограничено.),+03:00,5.0,3,88007777290,84957775190 (доп.4207),,,,,http://amwine.ru,http://max.ru/amwineru,,,,,,,,,,,https://vk.com/amwineru,,,,,,,,,https://t.me/amwineru,,,https://youtube.com/@Aromatnyi_Mir_Vino_bez_vody,,,,,,70000001086858411,55.696963,37.553939,4504235282607876,,,564,4504136498285713,Ароматный мир,винный супермаркет,Продуктовые магазины,shop,2,5,2026-07-09T13:23:15Z,,0,32,https://2gis.com/firm/70000001086858411,branch,22,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726624
