Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,E-mail 3,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,Instagram 1,Instagram 2,Instagram 3,Twitter 1,Twitter 2,Twitter 3,Facebook 1,Facebook 2,Facebook 3,ВКонтакте 1,ВКонтакте 2,ВКонтакте 3,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber 1,Viber 2,Viber 3,Telegram 1,Telegram 2,Telegram 3,YouTube 1,YouTube 2,YouTube 3,Skype 1,Skype 2,Skype 3,ID объекта,Широта,Долгота,ID здания,Название здания,ID этажа,Количество филиалов,ID сети,Название сети,Специализация сети,Главная рубрика,POI-категория,Кол-во рубрик,Кол-во атрибутов,Дата обновления,Удалён,ID сегмента,ID региона,2GIS URL,Тип,Ожидаемое кол-во (2GIS),Ссылка запроса
Пятёрочка,супермаркет,Супермаркеты; Доставка продуктов,"Кронштадтский бульвар, 30Б",,125499,,Головинский,Москва,,Москва,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,4.7,63,88007700400,,,info@x5.ru,,,http://5ka.ru/catalog?utm_source=2gis&utm_medium=cpm&utm_campaign=000161-17_igronik_media_5ka_promo_04_2026%7Cformat_banner%7Ctype_banner&utm_content=%7Ccreo_1&utm_term,http://max.ru/tspyaterochka,,,,,https://twitter.com/pyaterochka,,,,,,https://vk.com/pyaterochka_shop,,,,,,,,,,,,,,,,,,70000001025103044,55.851656,37.513093,4504235282615986,,,3347,4504136498316193,Пятёрочка,супермаркет,Супермаркеты,mart,2,14,2026-06-22T08:04:59Z,,0,32,https://2gis.com/firm/70000001025103044,branch,49,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726549
Перекрёсток,супермаркет,Супермаркеты; Доставка продуктов,"Кронштадтский бульвар, 3а",-1 этаж,125212,,Головинский,Москва,,Москва,Россия,Пн: 09:00-23:00; Вт: 09:00-23:00; Ср: 09:00-23:00; Чт: 09:00-23:00; Пт: 09:00-23:00; Сб: 09:00-23:00; Вс: 09:00-23:00,+03:00,3.7,29,88002009555 (многоканальный),,,info@x5.ru,,,http://perekrestok.ru/?utm_source=2gis_maps&utm_medium=display&utm_campaign=maps_wo_promo&utm_content=main_url,http://max.ru/perekrestok_shop,,,,,,,,,,,https://vk.com/perekrestok_shop,,,,,,,,,https://t.me/+rHsiEm_QR3EwNTky,,,,,,,,,70000001038006524,55.841029,37.485328,4504235282628828,ТЦ Гавань,70030076415027847,487,4504136498303078,Перекрёсток,супермаркет,Супермаркеты,mart,2,12,2026-06-27T05:12:00Z,,0,32,https://2gis.com/firm/70000001038006524,branch,49,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726549
Пятёрочка,супермаркет,Супермаркеты; Доставка продуктов; Интересные здания,"Онежская улица, 2а",,125438,,Головинский,Москва,,Москва,Россия,Пн: 08:00-22:00; Вт: 08:00-22:00; Ср: 08:00-22:00; Чт: 08:00-22:00; Пт: 08:00-22:00; Сб: 08:00-22:00; Вс: 08:00-22:00,+03:00,4.6,33,88007700400,,,info@x5.ru,,,http://5ka.ru/catalog?utm_source=2gis&utm_medium=cpm&utm_campaign=000161-17_igronik_media_5ka_promo_04_2026%7Cformat_banner%7Ctype_banner&utm_content=%7Ccreo_1&utm_term,http://max.ru/tspyaterochka,,,,,https://twitter.com/pyaterochka,,,,,,https://vk.com/pyaterochka_shop,,,,,,,,,,,,,,,,,,70000001020702974,55.843483,37.522313,4504235282563150,,,3347,4504136498316193,Пятёрочка,супермаркет,Супермаркеты,mart,3,12,2026-06-22T08:04:59Z,,0,32,https://2gis.com/firm/70000001020702974,branch,49,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726549
Ашан,супермаркет,Супермаркеты; Доставка продуктов,"Авангардная улица, 3",1 этаж,125493,,Головинский,Москва,,Москва,Россия,Пн: 08:00-22:00; Вт: 08:00-22:00; Ср: 08:00-22:00; Чт: 08:00-22:00; Пт: 08:00-22:00; Сб: 08:00-22:00; Вс: 08:00-22:00,+03:00,3.7,17,88007005800 (единая справочная),,,,,,http://auchan.ru,http://max.ru/auchanrus,,,,,,,,,,,https://vk.com/auchan,,,,,,,,,https://t.me/auchanrusbot,,,,,,,,,4504127908980877,55.843445,37.491002,4504235282628643,ТОЦ Сатурн,,77,70000001031401982,Ашан,супермаркет,Супермаркеты,mart,2,9,2026-03-11T12:10:22Z,,0,32,https://2gis.com/firm/4504127908980877,branch,49,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726549
Пятёрочка,супермаркет,Супермаркеты,"Михалковская улица, 52 ст18",,125438,,Головинский,Москва,,Москва,Россия,Пн: 08:00-22:00; Вт: 08:00-22:00; Ср: 08:00-22:00; Чт: 08:00-22:00; Пт: 08:00-22:00; Сб: 08:00-22:00; Вс: 08:00-22:00,+03:00,3.9,3,88007700400,,,info@x5.ru,,,http://5ka.ru/catalog?utm_source=2gis&utm_medium=cpm&utm_campaign=000161-17_igronik_media_5ka_promo_04_2026%7Cformat_banner%7Ctype_banner&utm_content=%7Ccreo_1&utm_term,http://max.ru/tspyaterochka,,,,,https://twitter.com/pyaterochka,,,,,,https://vk.com/pyaterochka_shop,,,,,,,,,,,,,,,,,,70000001102588571,55.838265,37.511575,4504235282950053,,,3347,4504136498316193,Пятёрочка,супермаркет,Супермаркеты,mart,1,14,2026-06-22T08:06:56Z,,0,32,https://2gis.com/firm/70000001102588571,branch,49,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726549
Пятёрочка,супермаркет,Супермаркеты; Доставка продуктов,"Кронштадтский бульвар, 7",-1 этаж,125212,,Головинский,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,4.8,33,88007700400,,,info@x5.ru,,,http://5ka.ru/catalog?utm_source=2gis&utm_medium=cpm&utm_campaign=000161-17_igronik_media_5ka_promo_04_2026%7Cformat_banner%7Ctype_banner&utm_content=%7Ccreo_1&utm_term,http://max.ru/tspyaterochka,,,,,https://twitter.com/pyaterochka,,,,,,https://vk.com/pyaterochka_shop,,,,,,,,,,,,,,,,,,70000001076207429,55.841164,37.486912,4504235282628794,ТОЦ Крона,70030076820885342,3347,4504136498316193,Пятёрочка,супермаркет,Супермаркеты,mart,2,10,2026-06-22T08:06:38Z,,0,32,https://2gis.com/firm/70000001076207429,branch,49,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726549
Пятёрочка,супермаркет,Супермаркеты; Доставка продуктов,"Солнечногорская улица, 7 к1",1 этаж,125413,,Головинский,Москва,,Москва,Россия,Пн: 08:30-23:00; Вт: 08:30-23:00; Ср: 08:30-23:00; Чт: 08:30-23:00; Пт: 08:30-23:00; Сб: 08:30-23:00; Вс: 08:30-23:00,+03:00,4.5,56,88007700400,,,info@x5.ru,,,http://5ka.ru/catalog?utm_source=2gis&utm_medium=cpm&utm_campaign=000161-17_igronik_media_5ka_promo_04_2026%7Cformat_banner%7Ctype_banner&utm_content=%7Ccreo_1&utm_term,http://max.ru/tspyaterochka,,,,,https://twitter.com/pyaterochka,,,,,,https://vk.com/pyaterochka_shop,,,,,,,,,,,,,,,,,,70000001029870018,55.858637,37.516064,4504235282532171,,,3347,4504136498316193,Пятёрочка,супермаркет,Супермаркеты,mart,2,11,2026-06-22T08:05:03Z,,0,32,https://2gis.com/firm/70000001029870018,branch,49,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726549
Перекрёсток,супермаркет,Супермаркеты; Доставка продуктов,"Онежская улица, 20",1 этаж,125438,,Головинский,Москва,,Москва,Россия,Пн: 07:00-23:00; Вт: 07:00-23:00; Ср: 07:00-23:00; Чт: 07:00-23:00; Пт: 07:00-23:00; Сб: 07:00-23:00; Вс: 07:00-23:00,+03:00,4.7,64,88002009555 (многоканальный),,,dir_SAGK@x5.ru,,,http://perekrestok.ru/?utm_source=2gis_maps&utm_medium=display&utm_campaign=maps_wo_promo&utm_content=main_url,http://max.ru/perekrestok_shop,,,,,,,,,,,https://vk.com/perekrestok_shop,,,,,,,,,https://t.me/+rHsiEm_QR3EwNTky,,,,,,,,,70000001029847030,55.851635,37.519848,4504235282549928,,,487,4504136498303078,Перекрёсток,супермаркет,Супермаркеты,mart,2,14,2026-06-27T05:12:07Z,,0,32,https://2gis.com/firm/70000001029847030,branch,49,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726549
Пятёрочка,супермаркет,Супермаркеты; Доставка продуктов,"Смольная улица, 7",1 этаж,125493,,Головинский,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,4.6,36,88007700400,,,info@x5.ru,,,http://5ka.ru/catalog?utm_source=2gis&utm_medium=cpm&utm_campaign=000161-17_igronik_media_5ka_promo_04_2026%7Cformat_banner%7Ctype_banner&utm_content=%7Ccreo_1&utm_term,http://max.ru/tspyaterochka,,,,,https://twitter.com/pyaterochka,,,,,,https://vk.com/pyaterochka_shop,,,,,,,,,,,,,,,,,,70000001027990507,55.845735,37.499568,4504235282559667,,,3347,4504136498316193,Пятёрочка,супермаркет,Супермаркеты,mart,2,12,2026-06-22T08:04:59Z,,0,32,https://2gis.com/firm/70000001027990507,branch,49,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726549
Пятёрочка,супермаркет,Супермаркеты; Доставка продуктов,"Кронштадтский бульвар, 15 к1",,125493,,Головинский,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,3.1,11,88007700400,,,info@x5.ru,,,http://5ka.ru/catalog?utm_source=2gis&utm_medium=cpm&utm_campaign=000161-17_igronik_media_5ka_promo_04_2026%7Cformat_banner%7Ctype_banner&utm_content=%7Ccreo_1&utm_term,http://max.ru/tspyaterochka,,,,,https://twitter.com/pyaterochka,,,,,,https://vk.com/pyaterochka_shop,,,,,,,,,,,,,,,,,,70000001029411889,55.842475,37.494117,4504235282561342,,,3347,4504136498316193,Пятёрочка,супермаркет,Супермаркеты,mart,2,14,2026-06-22T08:05:00Z,,0,32,https://2gis.com/firm/70000001029411889,branch,49,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726549
Магнит,супермаркет,Супермаркеты,"Михалковская улица, вл48 к3",1 этаж,125438,,Головинский,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,4.7,6,88002009002 (единая справочная: пн-вс 6:00-00:00),,,info@magnit.ru,,,http://magnit.ru/?utm_source=_geopriority_&utm_medium=&utm_campaign=_MM_Geoprioritety_-&utm_content=main&utm_term=,,,,,,,,,,,,https://vk.com/magnitretail,,,,,,,,,https://t.me/magnit_retail,,,,,,,,,70000001095629258,55.838053,37.514578,70030076399419428,,,1562,4504137598701571,Магнит,супермаркет,Супермаркеты,mart,1,15,2026-07-02T13:02:43Z,,0,32,https://2gis.com/firm/70000001095629258,branch,49,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726549
Магнит,супермаркет,Супермаркеты,"Смольная улица, 15",,125493,,Головинский,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,4.6,58,88002009002 (единая справочная: пн-вс 6:00-00:00),,,info@magnit.ru,,,http://magnit.ru/?utm_source=_geopriority_&utm_medium=&utm_campaign=_MM_Geoprioritety_-&utm_content=main&utm_term=,,,,,,,,,,,,https://vk.com/magnitretail,,,,,,,,,https://t.me/magnit_retail,,,,,,,,,70000001022138989,55.846836,37.498826,4504235282559663,,,1562,4504137598701571,Магнит,супермаркет,Супермаркеты,mart,1,12,2026-07-02T13:01:39Z,,0,32,https://2gis.com/firm/70000001022138989,branch,49,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726549
