Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,E-mail 3,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,Instagram 1,Instagram 2,Instagram 3,Twitter 1,Twitter 2,Twitter 3,Facebook 1,Facebook 2,Facebook 3,ВКонтакте 1,ВКонтакте 2,ВКонтакте 3,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber 1,Viber 2,Viber 3,Telegram 1,Telegram 2,Telegram 3,YouTube 1,YouTube 2,YouTube 3,Skype 1,Skype 2,Skype 3,ID объекта,Широта,Долгота,ID здания,Название здания,ID этажа,Количество филиалов,ID сети,Название сети,Специализация сети,Главная рубрика,POI-категория,Кол-во рубрик,Кол-во атрибутов,Дата обновления,Удалён,ID сегмента,ID региона,2GIS URL,Тип,Ожидаемое кол-во (2GIS),Ссылка запроса
Магнит,супермаркет,Супермаркеты; Доставка продуктов,"улица Шаболовка, 65 к1",1 этаж,115419,,Даниловский,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,4.7,69,88002009002 (единая справочная: пн-вс 6:00-00:00),,,info@magnit.ru,,,http://magnit.ru/?utm_source=_geopriority_&utm_medium=&utm_campaign=_MM_Geoprioritety_-&utm_content=main&utm_term=,,,,,,,,,,,,https://vk.com/magnitretail,,,,,,,,,https://t.me/magnit_retail,,,,,,,,,4504128908709286,55.71295,37.607251,4504235282711050,,,1562,4504137598701571,Магнит,супермаркет,Супермаркеты,mart,2,10,2026-07-02T13:04:34Z,,0,32,https://2gis.com/firm/4504128908709286,branch,92,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726602
Чижик,супермаркет,Супермаркеты,"Дербеневская улица, 24 ст3",1 этаж,115114,,Даниловский,Москва,,Москва,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+03:00,4.8,47,84992702713,,,112@chizhik.club,,,http://chizhik.club/?utm_campaign=HACW&utm_medium=maps&utm_source=2gis,,,,,,,,,,,,https://vk.com/chizhik.club,,,,,,,,,,,,,,,,,,70000001101431226,55.717938,37.646766,4504235282648407,,,613,70000001046125844,Чижик,супермаркет,Супермаркеты,mart,1,5,2026-07-05T12:23:10Z,,0,32,https://2gis.com/firm/70000001101431226,branch,92,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726602
Eurospar,супермаркет,Супермаркеты; Доставка продуктов,"улица Ленинская Слобода, 26 ст2",1 этаж,115280,,Даниловский,Москва,,Москва,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,4.1,41,88005001329 (бесплатная горячая линия: пн-вс 8:00-23:00),,,,,,http://max.ru/spar_russia,,,,,,,,,,,,https://vk.com/spar.russia,,,,,,,,,https://t.me/myspar,,,,,,,,,70000001069726239,55.712249,37.656137,4504235283002131,ТЦ Глобал Молл,70030076196330243,55,70000001028701845,Eurospar,супермаркет,Супермаркеты,mart,2,11,2026-07-06T04:31:35Z,,0,32,https://2gis.com/firm/70000001069726239,branch,92,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726602
Перекрёсток,супермаркет,Супермаркеты; Доставка продуктов,"Большая Тульская улица, 2",-1 этаж,115191,,Даниловский,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,4.4,34,88002009555 (многоканальный),,,info@x5.ru,,,http://perekrestok.ru/?utm_source=2gis_maps&utm_medium=display&utm_campaign=maps_wo_promo&utm_content=main_url,http://max.ru/perekrestok_shop,,,,,,,,,,,https://vk.com/perekrestok_shop,,,,,,,,,https://t.me/+rHsiEm_QR3EwNTky,,,,,,,,,70000001021572975,55.710139,37.620965,4504235282583264,,,487,4504136498303078,Перекрёсток,супермаркет,Супермаркеты,mart,2,13,2026-06-27T05:12:05Z,,0,32,https://2gis.com/firm/70000001021572975,branch,92,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726602
Чижик,супермаркет,Супермаркеты,"Духовской переулок, 16",,115191,,Даниловский,Москва,,Москва,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+03:00,4.9,65,84992702713,,,112@chizhik.club,,,http://chizhik.club/?utm_campaign=HA4D&utm_medium=maps&utm_source=2gis,,,,,,,,,,,,https://vk.com/chizhik.club,,,,,,,,,,,,,,,,,,70000001080671245,55.705566,37.616187,4504235282711641,,,613,70000001046125844,Чижик,супермаркет,Супермаркеты,mart,1,8,2026-07-05T12:23:07Z,,0,32,https://2gis.com/firm/70000001080671245,branch,92,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726602
Перекрёсток,супермаркет,Супермаркеты; Доставка продуктов,"Андропова проспект, 8",1 этаж,115432,,Даниловский,Москва,,Москва,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,4.8,342,88002009555 (многоканальный),,,info@x5.ru,,,http://perekrestok.ru/?utm_source=2gis_maps&utm_medium=display&utm_campaign=maps_wo_promo&utm_content=main_url,http://max.ru/perekrestok_shop,,,,,,,,,,,https://vk.com/perekrestok_shop,,,,,,,,,https://t.me/+rHsiEm_QR3EwNTky,,,,,,,,,70000001037122411,55.695817,37.664782,4504235282998213,ТРЦ Мегаполис,4504694873471465,487,4504136498303078,Перекрёсток,супермаркет,Супермаркеты,mart,2,11,2026-06-27T05:12:00Z,,0,32,https://2gis.com/firm/70000001037122411,branch,92,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726602
Пятёрочка,супермаркет,Супермаркеты; Доставка продуктов,"Автозаводская улица, 23 ст120",1 этаж,115280,,Даниловский,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,4.7,15,88007700400,,,info@x5.ru,,,http://5ka.ru/catalog?utm_source=2gis&utm_medium=cpm&utm_campaign=000161-17_igronik_media_5ka_promo_04_2026%7Cformat_banner%7Ctype_banner&utm_content=%7Ccreo_1&utm_term,http://max.ru/tspyaterochka,,,,,https://twitter.com/pyaterochka,,,,,,https://vk.com/pyaterochka_shop,,,,,,,,,,,,,,,,,,70000001093046039,55.70037,37.641668,4504235304714952,,,3347,4504136498316193,Пятёрочка,супермаркет,Супермаркеты,mart,2,11,2026-06-22T08:08:01Z,,0,32,https://2gis.com/firm/70000001093046039,branch,92,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726602
Пятёрочка,супермаркет,Супермаркеты; Доставка продуктов,"улица Мастеркова, 8",1 этаж,115280,,Даниловский,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,4.3,10,88007700400,,,info@x5.ru,,,http://5ka.ru/catalog?utm_source=2gis&utm_medium=cpm&utm_campaign=000161-17_igronik_media_5ka_promo_04_2026%7Cformat_banner%7Ctype_banner&utm_content=%7Ccreo_1&utm_term,http://max.ru/tspyaterochka,,,,,https://twitter.com/pyaterochka,,,,,,https://vk.com/pyaterochka_shop,,,,,,,,,,,,,,,,,,70000001084327667,55.707526,37.656961,4504235283002190,,,3347,4504136498316193,Пятёрочка,супермаркет,Супермаркеты,mart,2,12,2026-06-22T08:05:23Z,,0,32,https://2gis.com/firm/70000001084327667,branch,92,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726602
Азбука вкуса,супермаркет,Супермаркеты; Доставка продуктов,"Большая Тульская улица, 13",1 этаж,115191,,Даниловский,Москва,,Москва,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,4.8,297,84955043478 (служба поддержки),88007003487 (бесплатная единая справочная: пн-вс 9:00-21:00),84952230200,,,,http://av.ru,http://max.ru/azbukavkusa,,,,,,,,,,,https://vk.com/azbukavkusa,,,,,,,,,https://t.me/azbukavkusa,,,https://youtube.com/azbukav,,,,,,4504127909387633,55.708012,37.622033,4504235282739966,Ереван Плаза,4504694860664674,102,4504136498318829,Азбука вкуса,супермаркет,Супермаркеты,mart,2,9,2026-06-10T03:20:20Z,,0,32,https://2gis.com/firm/4504127909387633,branch,92,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726602
Перекрёсток,супермаркет,Супермаркеты; Доставка продуктов,"бульвар Братьев Весниных, 2",1 этаж,115432,,Даниловский,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,3.5,11,88002009555 (многоканальный),,,info@x5.ru,,,http://perekrestok.ru/?utm_source=2gis_maps&utm_medium=display&utm_campaign=maps_wo_promo&utm_content=main_url,http://max.ru/perekrestok_shop,,,,,,,,,,,https://vk.com/perekrestok_shop,,,,,,,,,https://t.me/+rHsiEm_QR3EwNTky,,,,,,,,,70000001094389157,55.698354,37.638146,4504235318750659,,70030077089656363,487,4504136498303078,Перекрёсток,супермаркет,Супермаркеты,mart,2,11,2026-06-27T05:12:02Z,,0,32,https://2gis.com/firm/70000001094389157,branch,92,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726602
Азбука вкуса,супермаркет,Супермаркеты; Доставка продуктов,"улица Симоновский Вал, 12 к2",1 этаж,115088,,Даниловский,Москва,,Москва,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,4.8,70,84955043478 (служба поддержки),88007003487 (бесплатная единая справочная: пн-вс 9:00-21:00),84952230200,,,,http://av.ru,http://max.ru/azbukavkusa,,,,,,,,,,,https://vk.com/azbukavkusa,,,,,,,,,https://t.me/azbukavkusa,,,https://youtube.com/azbukav,,,,,,70000001030218862,55.724615,37.662926,4504235282629881,,,102,4504136498318829,Азбука вкуса,супермаркет,Супермаркеты,mart,2,11,2026-06-25T10:14:15Z,,0,32,https://2gis.com/firm/70000001030218862,branch,92,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726602
Пятёрочка,супермаркет,Супермаркеты; Доставка продуктов,"1-й Павловский переулок, 5",1 этаж,115093,,Даниловский,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,4.4,70,88007700400,,,info@x5.ru,,,http://5ka.ru/catalog?utm_source=2gis&utm_medium=cpm&utm_campaign=000161-17_igronik_media_5ka_promo_04_2026%7Cformat_banner%7Ctype_banner&utm_content=%7Ccreo_1&utm_term,http://max.ru/tspyaterochka,,,,,https://twitter.com/pyaterochka,,,,,,https://vk.com/pyaterochka_shop,,,,,,,,,,,,,,,,,,4504127917341818,55.716803,37.629633,4504235282738603,,,3347,4504136498316193,Пятёрочка,супермаркет,Супермаркеты,mart,2,14,2026-06-24T08:11:29Z,,0,32,https://2gis.com/firm/4504127917341818,branch,92,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726602
Пятёрочка,супермаркет,Супермаркеты; Доставка продуктов,"улица Мастеркова, 8",1 этаж,115280,,Даниловский,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,4.3,10,88007700400,,,info@x5.ru,,,http://5ka.ru/catalog?utm_source=2gis&utm_medium=cpm&utm_campaign=000161-17_igronik_media_5ka_promo_04_2026%7Cformat_banner%7Ctype_banner&utm_content=%7Ccreo_1&utm_term,http://max.ru/tspyaterochka,,,,,https://twitter.com/pyaterochka,,,,,,https://vk.com/pyaterochka_shop,,,,,,,,,,,,,,,,,,70000001084327667,55.707526,37.656961,4504235283002190,,,3347,4504136498316193,Пятёрочка,супермаркет,Супермаркеты,mart,2,12,2026-06-22T08:05:23Z,,0,32,https://2gis.com/firm/70000001084327667,branch,92,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726602
Пятёрочка,супермаркет,Супермаркеты; Доставка продуктов,"3-й Павелецкий проезд, 4",1 этаж,115114,,Даниловский,Москва,,Москва,Россия,Пн: 09:00-22:00; Вт: 09:00-22:00; Ср: 09:00-22:00; Чт: 09:00-22:00; Пт: 09:00-22:00; Сб: 09:00-22:00; Вс: 09:00-22:00,+03:00,4.6,69,89096453442,89677774203,,info@x5.ru,,,http://5ka.ru/catalog?utm_source=2gis&utm_medium=cpm&utm_campaign=000161-17_igronik_media_5ka_promo_04_2026%7Cformat_banner%7Ctype_banner&utm_content=%7Ccreo_1&utm_term,http://max.ru/tspyaterochka,,,,,https://twitter.com/pyaterochka,,,,,,https://vk.com/pyaterochka_shop,,,,,,,,,,,,,,,,,,70000001023291394,55.712861,37.645643,4504235282821005,ТЦ Павелецкий,70030076641512836,3347,4504136498316193,Пятёрочка,супермаркет,Супермаркеты,mart,2,12,2026-06-22T08:07:40Z,,0,32,https://2gis.com/firm/70000001023291394,branch,92,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726602
Продуктовый магазин,,Супермаркеты,"Восточная улица, 7",1 этаж,115280,,Даниловский,Москва,,Москва,Россия,Пн: 07:00-01:00; Вт: 07:00-01:00; Ср: 07:00-01:00; Чт: 07:00-01:00; Пт: 07:00-01:00; Сб: 07:00-01:00; Вс: 07:00-01:00,+03:00,,,89661789845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70000001103330587,55.715049,37.660405,4504235282628033,,,1,70000001103330586,Продуктовый магазин,Продуктовый магазин,Супермаркеты,mart,1,4,2026-03-19T15:52:13Z,,0,32,https://2gis.com/firm/70000001103330587,branch,92,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726602
