Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,E-mail 3,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,Instagram 1,Instagram 2,Instagram 3,Twitter 1,Twitter 2,Twitter 3,Facebook 1,Facebook 2,Facebook 3,ВКонтакте 1,ВКонтакте 2,ВКонтакте 3,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber 1,Viber 2,Viber 3,Telegram 1,Telegram 2,Telegram 3,YouTube 1,YouTube 2,YouTube 3,Skype 1,Skype 2,Skype 3,ID объекта,Широта,Долгота,ID здания,Название здания,ID этажа,Количество филиалов,ID сети,Название сети,Специализация сети,Главная рубрика,POI-категория,Кол-во рубрик,Кол-во атрибутов,Дата обновления,Удалён,ID сегмента,ID региона,2GIS URL,Тип,Ожидаемое кол-во (2GIS),Ссылка запроса
Пятёрочка,супермаркет,Супермаркеты; Доставка продуктов,"Ленинский проспект, 30",1 этаж,119334,,Донской,Москва,,Москва,Россия,Пн: 09:00-23:00; Вт: 09:00-23:00; Ср: 09:00-23:00; Чт: 09:00-23:00; Пт: 09:00-23:00; Сб: 09:00-23:00; Вс: 09:00-23:00,+03:00,4.6,62,88007700400,,,info@x5.ru,,,http://5ka.ru/catalog?utm_source=2gis&utm_medium=cpm&utm_campaign=000161-17_igronik_media_5ka_promo_04_2026%7Cformat_banner%7Ctype_banner&utm_content=%7Ccreo_1&utm_term,http://max.ru/tspyaterochka,,,,,https://twitter.com/pyaterochka,,,,,,https://vk.com/pyaterochka_shop,,,,,,,,,,,,,,,,,,70000001034560064,55.710634,37.584225,4504235282714521,,,3347,4504136498316193,Пятёрочка,супермаркет,Супермаркеты,mart,2,9,2026-06-22T08:07:08Z,,0,32,https://2gis.com/firm/70000001034560064,branch,23,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726605
Пятёрочка,супермаркет,Супермаркеты,"Новоданиловская набережная, 6 к1",1 этаж,117105,,Донской,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,4.5,16,88007700400,,,info@x5.ru,,,http://5ka.ru/catalog?utm_source=2gis&utm_medium=cpm&utm_campaign=000161-17_igronik_media_5ka_promo_04_2026%7Cformat_banner%7Ctype_banner&utm_content=%7Ccreo_1&utm_term,http://max.ru/tspyaterochka,,,,,https://twitter.com/pyaterochka,,,,,,https://vk.com/pyaterochka_shop,,,,,,,,,,,,,,,,,,70000001080276737,55.69793,37.625185,4504235283165471,БЦ Данилов плаза,,3347,4504136498316193,Пятёрочка,супермаркет,Супермаркеты,mart,1,12,2026-06-22T08:07:46Z,,0,32,https://2gis.com/firm/70000001080276737,branch,23,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726605
Пятёрочка,супермаркет,Супермаркеты; Доставка продуктов,"Малая Тульская улица, 57",1 этаж,115191,,Донской,Москва,,Москва,Россия,Пн: 09:00-23:00; Вт: 09:00-23:00; Ср: 09:00-23:00; Чт: 09:00-23:00; Пт: 09:00-23:00; Сб: 09:00-23:00; Вс: 09:00-23:00,+03:00,4.2,80,88007700400,,,info@x5.ru,,,http://5ka.ru/catalog?utm_source=2gis&utm_medium=cpm&utm_campaign=000161-17_igronik_media_5ka_promo_04_2026%7Cformat_banner%7Ctype_banner&utm_content=%7Ccreo_1&utm_term,http://max.ru/tspyaterochka,,,,,https://twitter.com/pyaterochka,,,,,,https://vk.com/pyaterochka_shop,,,,,,,,,,,,,,,,,,4504127909831636,55.701415,37.617169,4504235282706075,,,3347,4504136498316193,Пятёрочка,супермаркет,Супермаркеты,mart,2,10,2026-06-22T08:07:39Z,,0,32,https://2gis.com/firm/4504127909831636,branch,23,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726605
ВкусВилл,супермаркет,Супермаркеты; Доставка продуктов; Кулинарии; Доставка еды,"Ленинский проспект, 37а",1 этаж,119334,,Донской,Москва,,Москва,Россия,Пн: 07:00-23:30; Вт: 07:00-23:30; Ср: 07:00-23:30; Чт: 07:00-23:30; Пт: 07:00-23:30; Сб: 07:00-23:30; Вс: 07:00-23:30,+03:00,4.7,94,89261871533,,,,,,http://vkusvill.ru/goods/?utm_source=2gis&utm_medium=maps&utm_campaign=glavnaya&deep_link_value=https%3A%2F%2Fvkusvill.ru%2Fmobile%3Fcatalog%2F&af_dp=vkusvill%3A%2F%2F&c=glavnaya&shortlink=5ca647b8&source_,http://max.ru/vkusvill_ru,,,,,,,,,,,https://vk.com/vkusvill_ru,,,,,,,,,https://t.me/we_are_vkusvill,,,,,,,,,70000001020306052,55.708434,37.587093,4504235282714392,,,1420,4504137598285175,ВкусВилл,супермаркет,Супермаркеты,mart,4,17,2026-06-28T05:22:29Z,,0,32,https://2gis.com/firm/70000001020306052,branch,23,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726605
Магнит,супермаркет,Супермаркеты,"Загородное шоссе, 7 к1",1 этаж,117152,,Донской,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,4.9,16,88002009002 (единая справочная: пн-вс 6:00-00:00),,,info@magnit.ru,,,http://magnit.ru/?utm_source=_geopriority_&utm_medium=&utm_campaign=_MM_Geoprioritety_-&utm_content=main&utm_term=,,,,,,,,,,,,https://vk.com/magnitretail,,,,,,,,,https://t.me/magnit_retail,,,,,,,,,70000001033315816,55.69531,37.611181,4504235282706007,,,1562,4504137598701571,Магнит,супермаркет,Супермаркеты,mart,1,10,2026-07-02T13:01:36Z,,0,32,https://2gis.com/firm/70000001033315816,branch,23,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726605
Eurospar Express,минимаркет,Супермаркеты; Доставка продуктов,"Ленинский проспект, 15а",1 этаж,119071,,Донской,Москва,,Москва,Россия,Пн: 07:00-23:00; Вт: 07:00-23:00; Ср: 07:00-23:00; Чт: 07:00-23:00; Пт: 07:00-23:00; Сб: 07:00-23:00; Вс: 07:00-23:00,+03:00,4.6,126,88005001329 (бесплатная горячая линия: пн-вс 8:00-23:00),,,,,,http://myspar.ru,,,,,,,,,,,,https://vk.com/spar.russia,,,,,,,,,https://t.me/myspar,,,https://youtube.com/c/sparnnru_retail,,,,,,70000001047309407,55.721088,37.60056,4504235282717085,БЦ Central Park Tower,,20,70000001034731594,Eurospar Express,минимаркет,Супермаркеты,mart,2,5,2026-07-02T07:44:41Z,,0,32,https://2gis.com/firm/70000001047309407,branch,23,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726605
Пятёрочка,супермаркет,Супермаркеты,"улица Шаболовка, вл56",цокольный этаж,115419,,Донской,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,,,88007700400,,,info@x5.ru,,,http://5ka.ru/catalog?utm_source=2gis&utm_medium=cpm&utm_campaign=000161-17_igronik_media_5ka_promo_04_2026%7Cformat_banner%7Ctype_banner&utm_content=%7Ccreo_1&utm_term,http://max.ru/tspyaterochka,,,,,https://twitter.com/pyaterochka,,,,,,https://vk.com/pyaterochka_shop,,,,,,,,,,,,,,,,,,70000001099379892,55.712096,37.60603,70030076200228221,,,3347,4504136498316193,Пятёрочка,супермаркет,Супермаркеты,mart,1,12,2026-07-06T11:01:35Z,,0,32,https://2gis.com/firm/70000001099379892,branch,23,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726605
Азбука вкуса,супермаркет,Супермаркеты; Доставка продуктов,"Ленинский проспект, 21",1 этаж,119071,,Донской,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,4.8,60,84955043478 (служба поддержки),88007003487 (бесплатная единая справочная: пн-вс 9:00-21:00),84952230200,,,,http://av.ru,http://max.ru/azbukavkusa,,,,,,,,,,,https://vk.com/azbukavkusa,,,,,,,,,https://t.me/azbukavkusa,,,https://youtube.com/azbukav,,,,,,70000001007110826,55.717942,37.595922,4504235282717026,,,102,4504136498318829,Азбука вкуса,супермаркет,Супермаркеты,mart,2,12,2026-06-09T05:08:51Z,,0,32,https://2gis.com/firm/70000001007110826,branch,23,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726605
Пятёрочка,супермаркет,Супермаркеты; Доставка продуктов,"Севастопольский проспект, 9 к1",1 этаж,117152,,Донской,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,4.5,118,88007700400,,,info@x5.ru,,,http://5ka.ru/catalog?utm_source=2gis&utm_medium=cpm&utm_campaign=000161-17_igronik_media_5ka_promo_04_2026%7Cformat_banner%7Ctype_banner&utm_content=%7Ccreo_1&utm_term,http://max.ru/tspyaterochka,,,,,https://twitter.com/pyaterochka,,,,,,https://vk.com/pyaterochka_shop,,,,,,,,,,,,,,,,,,70000001022624217,55.691419,37.607322,4504235282705839,,,3347,4504136498316193,Пятёрочка,супермаркет,Супермаркеты,mart,2,14,2026-06-22T08:06:13Z,,0,32,https://2gis.com/firm/70000001022624217,branch,23,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726605
Чижик,супермаркет,Супермаркеты; Доставка продуктов,"Загородное шоссе, 5 к1",1 этаж,117152,,Донской,Москва,,Москва,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+03:00,4.7,49,84992702713,,,112@chizhik.club,,,http://chizhik.club/?utm_campaign=HAAP&utm_medium=maps&utm_source=2gis,,,,,,,,,,,,https://vk.com/chizhik.club,,,,,,,,,,,,,,,,,,70000001081794026,55.69626,37.611933,4504235282706010,,,613,70000001046125844,Чижик,супермаркет,Супермаркеты,mart,2,9,2026-07-05T12:23:07Z,,0,32,https://2gis.com/firm/70000001081794026,branch,23,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726605
Верный,универсам,Супермаркеты,"улица Орджоникидзе, 6 к9",1 этаж,115419,,Донской,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,4.3,65,88126010110,,,,,,http://verno-info.ru,,,,,,,,,,,,https://vk.com/verny_official,,,,,,,,,,,,,,,,,,70000001046111960,55.710598,37.598268,4504235282582956,,,539,4504137598364786,Верный,универсам,Супермаркеты,mart,1,7,2026-07-09T15:30:06Z,,0,32,https://2gis.com/firm/70000001046111960,branch,23,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726605
Проспект,гастроном,Супермаркеты,"Ленинский проспект, 20",1 этаж,119071,,Донской,Москва,,Москва,Россия,Пн: 07:30-23:00; Вт: 07:30-23:00; Ср: 07:30-23:00; Чт: 07:30-23:00; Пт: 07:30-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,4.3,5,84959520828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4504127909018880,55.71723,37.593234,4504235282717386,,,1,4504136498634247,Проспект,гастроном,Супермаркеты,mart,1,8,2025-11-28T11:58:04Z,,0,32,https://2gis.com/firm/4504127909018880,branch,23,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726605
Пятёрочка,супермаркет,Супермаркеты,"улица Шаболовка, вл56",цокольный этаж,115419,,Донской,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,,,88007700400,,,info@x5.ru,,,http://5ka.ru/catalog?utm_source=2gis&utm_medium=cpm&utm_campaign=000161-17_igronik_media_5ka_promo_04_2026%7Cformat_banner%7Ctype_banner&utm_content=%7Ccreo_1&utm_term,http://max.ru/tspyaterochka,,,,,https://twitter.com/pyaterochka,,,,,,https://vk.com/pyaterochka_shop,,,,,,,,,,,,,,,,,,70000001099379892,55.712096,37.60603,70030076200228221,,,3347,4504136498316193,Пятёрочка,супермаркет,Супермаркеты,mart,1,12,2026-07-06T11:01:35Z,,0,32,https://2gis.com/firm/70000001099379892,branch,23,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726605
Верный,универсам,Супермаркеты,"улица Орджоникидзе, 6 к9",1 этаж,115419,,Донской,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,4.3,65,88126010110,,,,,,http://verno-info.ru,,,,,,,,,,,,https://vk.com/verny_official,,,,,,,,,,,,,,,,,,70000001046111960,55.710598,37.598268,4504235282582956,,,539,4504137598364786,Верный,универсам,Супермаркеты,mart,1,7,2026-07-09T15:30:06Z,,0,32,https://2gis.com/firm/70000001046111960,branch,23,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726605
Пятёрочка,супермаркет,Супермаркеты; Доставка продуктов,"Ленинский проспект, 30",1 этаж,119334,,Донской,Москва,,Москва,Россия,Пн: 09:00-23:00; Вт: 09:00-23:00; Ср: 09:00-23:00; Чт: 09:00-23:00; Пт: 09:00-23:00; Сб: 09:00-23:00; Вс: 09:00-23:00,+03:00,4.6,62,88007700400,,,info@x5.ru,,,http://5ka.ru/catalog?utm_source=2gis&utm_medium=cpm&utm_campaign=000161-17_igronik_media_5ka_promo_04_2026%7Cformat_banner%7Ctype_banner&utm_content=%7Ccreo_1&utm_term,http://max.ru/tspyaterochka,,,,,https://twitter.com/pyaterochka,,,,,,https://vk.com/pyaterochka_shop,,,,,,,,,,,,,,,,,,70000001034560064,55.710634,37.584225,4504235282714521,,,3347,4504136498316193,Пятёрочка,супермаркет,Супермаркеты,mart,2,9,2026-06-22T08:07:08Z,,0,32,https://2gis.com/firm/70000001034560064,branch,23,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726605
ВкусВилл,супермаркет,Супермаркеты; Доставка продуктов; Кулинарии; Доставка еды,"Ленинский проспект, 37а",1 этаж,119334,,Донской,Москва,,Москва,Россия,Пн: 07:00-23:30; Вт: 07:00-23:30; Ср: 07:00-23:30; Чт: 07:00-23:30; Пт: 07:00-23:30; Сб: 07:00-23:30; Вс: 07:00-23:30,+03:00,4.7,94,89261871533,,,,,,http://vkusvill.ru/goods/?utm_source=2gis&utm_medium=maps&utm_campaign=glavnaya&deep_link_value=https%3A%2F%2Fvkusvill.ru%2Fmobile%3Fcatalog%2F&af_dp=vkusvill%3A%2F%2F&c=glavnaya&shortlink=5ca647b8&source_,http://max.ru/vkusvill_ru,,,,,,,,,,,https://vk.com/vkusvill_ru,,,,,,,,,https://t.me/we_are_vkusvill,,,,,,,,,70000001020306052,55.708434,37.587093,4504235282714392,,,1420,4504137598285175,ВкусВилл,супермаркет,Супермаркеты,mart,4,17,2026-06-28T05:22:29Z,,0,32,https://2gis.com/firm/70000001020306052,branch,23,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726605
