Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,E-mail 3,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,Instagram 1,Instagram 2,Instagram 3,Twitter 1,Twitter 2,Twitter 3,Facebook 1,Facebook 2,Facebook 3,ВКонтакте 1,ВКонтакте 2,ВКонтакте 3,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber 1,Viber 2,Viber 3,Telegram 1,Telegram 2,Telegram 3,YouTube 1,YouTube 2,YouTube 3,Skype 1,Skype 2,Skype 3,ID объекта,Широта,Долгота,ID здания,Название здания,ID этажа,Количество филиалов,ID сети,Название сети,Специализация сети,Главная рубрика,POI-категория,Кол-во рубрик,Кол-во атрибутов,Дата обновления,Удалён,ID сегмента,ID региона,2GIS URL,Тип,Ожидаемое кол-во (2GIS),Ссылка запроса
Ермолино,фирменный магазин,Продуктовые магазины; Колбасные изделия; Продукты быстрого приготовления; Мясо и полуфабрикаты; Сыры; Кондитерские изделия; Молочные продукты,"Высоковольтная улица, 22",,140104,,Залинейный район,Раменское,Раменский муниципальный округ,Московская область,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+03:00,,,89132020588,89208800212,,,,,http://ermolino-produkty.ru,http://max.ru/produktyermolino,,,,,,,,,,,https://vk.com/produktyermolino,,,,,,,,,https://t.me/produktyermolino,,,https://youtube.com/c/ErmolinskieProdukty,,,,,,70000001113921768,55.573634,38.202558,4504235283178757,,,677,70000001026552772,Ермолино,фирменный магазин,Продуктовые магазины,shop,7,0,2026-07-11T04:26:50Z,,0,32,https://2gis.com/firm/70000001113921768,branch,16,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=70030076948022768
Красное&Белое,продуктовый магазин,Продуктовые магазины; Алкогольные напитки,"Десантная улица, 17",1 этаж,140104,Красный Октябрь м-н,Залинейный район,Раменское,Раменский муниципальный округ,Московская область,Россия,Пн: 09:00-22:05; Вт: 09:00-22:05; Ср: 09:00-22:05; Чт: 09:00-22:05; Пт: 09:00-22:05; Сб: 09:00-22:05; Вс: 09:00-22:05 (Время продажи алкоголя ограничено.),+03:00,5.0,1,88001000804,89227033000,,,,,http://krasnoeibeloe.ru,http://zen.yandex.ru/id/5dde5c1021552277da47ba4b,http://max.ru/krasnoebeloe,,,,,,,,,,https://vk.com/krasnoebeloe,,,,,,,,,https://t.me/krasnoeibeloe,,,,,,,,,70000001071756087,55.566511,38.198906,4504235283036151,,,2113,70000001090565128,Красное&Белое,продуктовый магазин,Продуктовые магазины,shop,2,6,2026-07-09T05:55:54Z,,0,32,https://2gis.com/firm/70000001071756087,branch,16,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=70030076948022768
Красное&Белое,продуктовый магазин,Продуктовые магазины; Алкогольные напитки,"Высоковольтная улица, 22",1 этаж,140104,,Залинейный район,Раменское,Раменский муниципальный округ,Московская область,Россия,Пн: 09:00-22:05; Вт: 09:00-22:05; Ср: 09:00-22:05; Чт: 09:00-22:05; Пт: 09:00-22:05; Сб: 09:00-22:05; Вс: 09:00-22:05 (Время продажи алкоголя ограничено.),+03:00,4.8,41,88001000804,89227033000,,,,,http://krasnoeibeloe.ru,http://zen.yandex.ru/id/5dde5c1021552277da47ba4b,http://max.ru/krasnoebeloe,,,,,,,,,,https://vk.com/krasnoebeloe,,,,,,,,,https://t.me/krasnoeibeloe,,,,,,,,,70000001029330401,55.573686,38.202583,4504235283178757,,,2113,70000001090565128,Красное&Белое,продуктовый магазин,Продуктовые магазины,shop,2,6,2026-07-09T05:55:54Z,,0,32,https://2gis.com/firm/70000001029330401,branch,16,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=70030076948022768
Ермолино,фирменный магазин,Продуктовые магазины; Колбасные изделия; Продукты быстрого приготовления; Мясо и полуфабрикаты; Сыры; Кондитерские изделия; Молочные продукты,"Лучистая улица, 10",,140104,,Залинейный район,Раменское,Раменский муниципальный округ,Московская область,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+03:00,1.0,1,89132020588,89208800212,,,,,http://ermolino-produkty.ru,http://max.ru/produktyermolino,,,,,,,,,,,https://vk.com/produktyermolino,,,,,,,,,https://t.me/produktyermolino,,,https://youtube.com/c/ErmolinskieProdukty,,,,,,70000001110107506,55.566782,38.196541,70030076991663534,,,677,70000001026552772,Ермолино,фирменный магазин,Продуктовые магазины,shop,7,0,2026-07-11T04:26:46Z,,0,32,https://2gis.com/firm/70000001110107506,branch,16,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=70030076948022768
Фермер,магазин продуктов,Продуктовые магазины,,,140102,,Залинейный район,Раменское,Раменский муниципальный округ,Московская область,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+03:00,5.0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70000001062416986,55.564454,38.201391,70030076395242489,,,1,70000001062416985,Фермер,магазин продуктов,Продуктовые магазины,shop,1,6,2026-01-12T12:14:27Z,,0,32,https://2gis.com/firm/70000001062416986,branch,16,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=70030076948022768
Бристоль,магазин у дома,Продуктовые магазины; Алкогольные напитки,"Десантная улица, 17",1 этаж,140104,Красный Октябрь м-н,Залинейный район,Раменское,Раменский муниципальный округ,Московская область,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00 (Время продажи алкоголя ограничено.),+03:00,,,88002222002,,,,,,http://bristol.ru,,,,,,,,,,,,https://vk.com/bristol_retail,,,,,,,,,https://t.me/bristolretail,,,,,,,,,70000001071756085,55.567394,38.198917,4504235283036151,,,635,70000001018898719,Бристоль,магазин у дома,Продуктовые магазины,shop,2,6,2026-07-07T13:55:26Z,,0,32,https://2gis.com/firm/70000001071756085,branch,16,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=70030076948022768
Бристоль,магазин у дома,Продуктовые магазины; Алкогольные напитки,"Десантная улица, 3а",,140104,,Залинейный район,Раменское,Раменский муниципальный округ,Московская область,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00 (Время продажи алкоголя ограничено.),+03:00,5.0,1,88002222002,,,,,,http://bristol.ru,,,,,,,,,,,,https://vk.com/bristol_retail,,,,,,,,,https://t.me/bristolretail,,,,,,,,,70000001114096975,55.569158,38.209441,4504235283039069,,,635,70000001018898719,Бристоль,магазин у дома,Продуктовые магазины,shop,2,0,2026-07-07T13:55:22Z,,0,32,https://2gis.com/firm/70000001114096975,branch,16,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=70030076948022768
Авокадо,минимаркет,Продуктовые магазины,"Октябрьская улица, 25",,140108,,Залинейный район,Раменское,Раменский муниципальный округ,Московская область,Россия,Пн: 08:00-22:00; Вт: 08:00-22:00; Ср: 08:00-22:00; Чт: 08:00-22:00; Пт: 08:00-22:00; Сб: 08:00-22:00; Вс: 08:00-22:00,+03:00,,,88002007575,,,,,,http://авокадо.рф,http://max.ru/avocado_grocery_stores,,,,,,,,,,,,,,,,,,,,https://t.me/avocadoswnn,,,,,,,,,70000001086745568,55.56558,38.223116,70030076210766505,,,687,70000001041565312,Авокадо,минимаркет,Продуктовые магазины,shop,1,0,2026-06-06T04:51:47Z,,0,32,https://2gis.com/firm/70000001086745568,branch,16,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=70030076948022768
Продуктовый магазин,,Продуктовые магазины,"улица 100-й Свирской Дивизии, 45/1",,140104,,Залинейный район,Раменское,Раменский муниципальный округ,Московская область,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,5.0,1,89031913295,,,,,,,,,,,,,,,,,,,,,https://wa.me/79031913295,,,,,,,,,,,,,,,4504127916677112,55.560235,38.214224,4504235283039074,,,1,4504136499469263,Продуктовый магазин,Продуктовый магазин,Продуктовые магазины,shop,1,4,2026-05-06T16:28:13Z,,0,32,https://2gis.com/firm/4504127916677112,branch,16,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=70030076948022768
Ароматный мир,винный супермаркет,Продуктовые магазины; Алкогольные напитки,"Высоковольтная улица, 22",1 этаж,140104,,Залинейный район,Раменское,Раменский муниципальный округ,Московская область,Россия,Пн: 10:00-22:30; Вт: 10:00-22:30; Ср: 10:00-22:30; Чт: 10:00-22:30; Пт: 10:00-22:30; Сб: 10:00-22:30; Вс: 10:00-22:00 (Время продажи алкоголя ограничено.),+03:00,4.6,14,88007777290,84957775195 (доп.4831),,,,,http://amwine.ru,http://max.ru/amwineru,,,,,,,,,,,https://vk.com/amwineru,,,,,,,,,https://t.me/amwineru,,,https://youtube.com/@Aromatnyi_Mir_Vino_bez_vody,,,,,,70000001046687102,55.573875,38.202186,4504235283178757,,,564,4504136498285713,Ароматный мир,винный супермаркет,Продуктовые магазины,shop,2,6,2026-07-09T13:23:19Z,,0,32,https://2gis.com/firm/70000001046687102,branch,16,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=70030076948022768
