Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,E-mail 3,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,Instagram 1,Instagram 2,Instagram 3,Twitter 1,Twitter 2,Twitter 3,Facebook 1,Facebook 2,Facebook 3,ВКонтакте 1,ВКонтакте 2,ВКонтакте 3,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber 1,Viber 2,Viber 3,Telegram 1,Telegram 2,Telegram 3,YouTube 1,YouTube 2,YouTube 3,Skype 1,Skype 2,Skype 3,ID объекта,Широта,Долгота,ID здания,Название здания,ID этажа,Количество филиалов,ID сети,Название сети,Специализация сети,Главная рубрика,POI-категория,Кол-во рубрик,Кол-во атрибутов,Дата обновления,Удалён,ID сегмента,ID региона,2GIS URL,Тип,Ожидаемое кол-во (2GIS),Ссылка запроса
Дикси,супермаркет,Супермаркеты,"Десантная улица, 16",,140104,Красный Октябрь м-н,Залинейный район,Раменское,Раменский муниципальный округ,Московская область,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,4.4,74,88001011001,,,,,,http://dixy.ru,,,,,,,,,,,,https://vk.com/dixyclub,,,,,,,,,https://t.me/dixy_russia,,,https://youtube.com/user/dixychannel,,,,,,70000001006715130,55.56869,38.204564,4504235282868280,,,1418,4504136498313374,Дикси,супермаркет,Супермаркеты,mart,1,9,2026-06-25T04:05:46Z,,0,32,https://2gis.com/firm/70000001006715130,branch,16,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=70030076948022768
Мираторг,супермаркет,Супермаркеты; Доставка продуктов,"Десантная улица, 1",1 этаж,140104,,Залинейный район,Раменское,Раменский муниципальный округ,Московская область,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,4.8,60,88005502719,,,,,,http://miratorg.ru/super,http://t.me/+Y3RA1ifcI7RhNDNi,,,,,,,,,,,https://vk.com/supermarketmiratorg,,,,,,,,,https://t.me/+Y3RA1ifcI7RhNDNi,,,,,,,,,4504128908899165,55.56919,38.211706,4504235282868946,,,97,4504136499896740,Мираторг,супермаркет,Супермаркеты,mart,2,11,2026-07-09T14:48:14Z,,0,32,https://2gis.com/firm/4504128908899165,branch,16,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=70030076948022768
Да!,супермаркет,Супермаркеты,"Десантная улица, 1в",,140104,,Залинейный район,Раменское,Раменский муниципальный округ,Московская область,Россия,Пн: 08:00-22:00; Вт: 08:00-22:00; Ср: 08:00-22:00; Чт: 08:00-22:00; Пт: 08:00-22:00; Сб: 08:00-22:00; Вс: 08:00-22:00,+03:00,5.0,9,88005002755 (единая справочная: пн-вс 9:00-21:00),,,,,,http://market-da.ru,http://max.ru/magazin_da,,,,,,,,,,,https://vk.com/magazin_da,,,,,,,,,https://t.me/marketda,,,,,,,,,70000001025605151,55.569266,38.213109,4504235304735149,,,156,70000001020160443,Да!,супермаркет,Супермаркеты,mart,1,9,2026-07-09T15:00:27Z,,0,32,https://2gis.com/firm/70000001025605151,branch,16,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=70030076948022768
Чижик,супермаркет,Супермаркеты,"Десантная улица, ст44в",1 этаж,140104,Красный Октябрь м-н,Залинейный район,Раменское,Раменский муниципальный округ,Московская область,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+03:00,4.7,29,84992702713,,,112@chizhik.club,,,http://chizhik.club/?utm_campaign=HAG3&utm_medium=maps&utm_source=2gis,,,,,,,,,,,,https://vk.com/chizhik.club,,,,,,,,,,,,,,,,,,70000001085768658,55.567758,38.196013,70030076263113387,,,613,70000001046125844,Чижик,супермаркет,Супермаркеты,mart,1,7,2026-07-05T12:23:09Z,,0,32,https://2gis.com/firm/70000001085768658,branch,16,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=70030076948022768
Пятёрочка,супермаркет,Супермаркеты,"Лучистая улица, 3а",1 этаж,140102,,Залинейный район,Раменское,Раменский муниципальный округ,Московская область,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,4.9,11,88007700400,,,info@x5.ru,,,http://5ka.ru/catalog?utm_source=2gis&utm_medium=cpm&utm_campaign=000161-17_igronik_media_5ka_promo_04_2026%7Cformat_banner%7Ctype_banner&utm_content=%7Ccreo_1&utm_term,http://max.ru/tspyaterochka,,,,,https://twitter.com/pyaterochka,,,,,,https://vk.com/pyaterochka_shop,,,,,,,,,,,,,,,,,,70000001071756114,55.56437,38.198194,70030076442422548,,,3347,4504136498316193,Пятёрочка,супермаркет,Супермаркеты,mart,1,12,2026-06-22T08:06:38Z,,0,32,https://2gis.com/firm/70000001071756114,branch,16,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=70030076948022768
Перекрёсток,супермаркет,Супермаркеты; Доставка продуктов,"Лучистая улица, 10",,140104,,Залинейный район,Раменское,Раменский муниципальный округ,Московская область,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,,,88002009555 (многоканальный),,,info@x5.ru,,,http://perekrestok.ru/?utm_source=2gis_maps&utm_medium=display&utm_campaign=maps_wo_promo&utm_content=main_url,http://max.ru/perekrestok_shop,,,,,,,,,,,https://vk.com/perekrestok_shop,,,,,,,,,https://t.me/+rHsiEm_QR3EwNTky,,,,,,,,,70000001105093648,55.566976,38.196343,70030076991663534,,,487,4504136498303078,Перекрёсток,супермаркет,Супермаркеты,mart,2,5,2026-06-30T03:52:23Z,,0,32,https://2gis.com/firm/70000001105093648,branch,16,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=70030076948022768
Ярче!,супермаркет,Супермаркеты,"Высоковольтная улица, 22",1 этаж,140104,,Залинейный район,Раменское,Раменский муниципальный округ,Московская область,Россия,Пн: 07:00-23:00; Вт: 07:00-23:00; Ср: 07:00-23:00; Чт: 07:00-23:00; Пт: 07:00-23:00; Сб: 07:00-23:00; Вс: 07:00-23:00,+03:00,4.8,21,,,,,,,http://ярче.рф,http://yarcheplus.ru,,,,,,,,,,,https://vk.com/supermarket_yarche,,,,,,,,,,,,,,,,,,70000001026761501,55.573066,38.203892,4504235283178757,,,198,70000001025914019,Ярче!,супермаркет,Супермаркеты,mart,1,9,2026-06-23T09:21:12Z,,0,32,https://2gis.com/firm/70000001026761501,branch,16,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=70030076948022768
ВкусВилл,супермаркет,Супермаркеты; Кулинарии; Доставка продуктов; Доставка еды,"Высоковольтная улица, 20",1 этаж,140104,,Залинейный район,Раменское,Раменский муниципальный округ,Московская область,Россия,Пн: 08:00-22:00; Вт: 08:00-22:00; Ср: 08:00-22:00; Чт: 08:00-22:00; Пт: 08:00-22:00; Сб: 09:00-22:00; Вс: 09:00-22:00,+03:00,5.0,10,89366224598,,,,,,http://vkusvill.ru/goods/?utm_source=2gis&utm_medium=maps&utm_campaign=glavnaya&deep_link_value=https%3A%2F%2Fvkusvill.ru%2Fmobile%3Fcatalog%2F&af_dp=vkusvill%3A%2F%2F&c=glavnaya&shortlink=5ca647b8&source_,http://max.ru/vkusvill_ru,,,,,,,,,,,https://vk.com/vkusvill_ru,,,,,,,,,https://t.me/we_are_vkusvill,,,,,,,,,70000001078520060,55.572827,38.202616,4504235283158121,,,1420,4504137598285175,ВкусВилл,супермаркет,Супермаркеты,mart,4,18,2026-06-28T05:22:44Z,,0,32,https://2gis.com/firm/70000001078520060,branch,16,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=70030076948022768
Пятёрочка,супермаркет,Супермаркеты,"Десантная улица, 17",1 этаж,140104,Красный Октябрь м-н,Залинейный район,Раменское,Раменский муниципальный округ,Московская область,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,4.6,33,88007700400,,,info@x5.ru,,,http://5ka.ru/catalog?utm_source=2gis&utm_medium=cpm&utm_campaign=000161-17_igronik_media_5ka_promo_04_2026%7Cformat_banner%7Ctype_banner&utm_content=%7Ccreo_1&utm_term,http://max.ru/tspyaterochka,,,,,https://twitter.com/pyaterochka,,,,,,https://vk.com/pyaterochka_shop,,,,,,,,,,,,,,,,,,70000001018274321,55.567174,38.197875,4504235283036151,,,3347,4504136498316193,Пятёрочка,супермаркет,Супермаркеты,mart,1,12,2026-06-22T08:07:07Z,,0,32,https://2gis.com/firm/70000001018274321,branch,16,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=70030076948022768
Пятёрочка,супермаркет,Супермаркеты; Доставка продуктов,"улица 100-й Свирской Дивизии, 116",1 этаж,140104,,Залинейный район,Раменское,Раменский муниципальный округ,Московская область,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,4.7,9,88007700400,,,info@x5.ru,,,http://5ka.ru/catalog?utm_source=2gis&utm_medium=cpm&utm_campaign=000161-17_igronik_media_5ka_promo_04_2026%7Cformat_banner%7Ctype_banner&utm_content=%7Ccreo_1&utm_term,http://max.ru/tspyaterochka,,,,,https://twitter.com/pyaterochka,,,,,,https://vk.com/pyaterochka_shop,,,,,,,,,,,,,,,,,,70000001076647059,55.557438,38.22267,4504235283373654,ТЦ Премьер,,3347,4504136498316193,Пятёрочка,супермаркет,Супермаркеты,mart,2,12,2026-06-22T08:07:41Z,,0,32,https://2gis.com/firm/70000001076647059,branch,16,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=70030076948022768
