Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,E-mail 3,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,Instagram 1,Instagram 2,Instagram 3,Twitter 1,Twitter 2,Twitter 3,Facebook 1,Facebook 2,Facebook 3,ВКонтакте 1,ВКонтакте 2,ВКонтакте 3,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber 1,Viber 2,Viber 3,Telegram 1,Telegram 2,Telegram 3,YouTube 1,YouTube 2,YouTube 3,Skype 1,Skype 2,Skype 3,ID объекта,Широта,Долгота,ID здания,Название здания,ID этажа,Количество филиалов,ID сети,Название сети,Специализация сети,Главная рубрика,POI-категория,Кол-во рубрик,Кол-во атрибутов,Дата обновления,Удалён,ID сегмента,ID региона,2GIS URL,Тип,Ожидаемое кол-во (2GIS),Ссылка запроса
Пятёрочка,супермаркет,Супермаркеты; Доставка продуктов,"Дмитровское шоссе, вл71",,125504,,Западное Дегунино,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,4.4,40,88007700400,,,info@x5.ru,,,http://5ka.ru/catalog?utm_source=2gis&utm_medium=cpm&utm_campaign=000161-17_igronik_media_5ka_promo_04_2026%7Cformat_banner%7Ctype_banner&utm_content=%7Ccreo_1&utm_term,http://max.ru/tspyaterochka,,,,,https://twitter.com/pyaterochka,,,,,,https://vk.com/pyaterochka_shop,,,,,,,,,,,,,,,,,,70000001062804841,55.854755,37.559337,70030076169816376,,,3347,4504136498316193,Пятёрочка,супермаркет,Супермаркеты,mart,2,11,2026-06-22T08:06:33Z,,0,32,https://2gis.com/firm/70000001062804841,branch,55,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726546
Чижик,супермаркет,Супермаркеты,"Дмитровское шоссе, 85",1 этаж,125504,,Западное Дегунино,Москва,,Москва,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+03:00,4.8,103,84992702713,,,112@chizhik.club,,,http://chizhik.club/?utm_campaign=HDWH&utm_medium=maps&utm_source=2gis,,,,,,,,,,,,https://vk.com/chizhik.club,,,,,,,,,,,,,,,,,,70000001079731997,55.863125,37.547389,4504235282632389,БЦ РТС,,613,70000001046125844,Чижик,супермаркет,Супермаркеты,mart,1,7,2026-07-05T12:23:13Z,,0,32,https://2gis.com/firm/70000001079731997,branch,55,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726546
Перекрёсток,супермаркет,Супермаркеты; Доставка продуктов,"Дмитровское шоссе, 89",1 этаж,127486,,Западное Дегунино,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,4.5,191,84957898965,,,info@x5.ru,,,http://perekrestok.ru/?utm_source=2gis_maps&utm_medium=display&utm_campaign=maps_wo_promo&utm_content=main_url,http://max.ru/perekrestok_shop,,,,,,,,,,,https://vk.com/perekrestok_shop,,,,,,,,,https://t.me/+rHsiEm_QR3EwNTky,,,,,,,,,4504127908401384,55.863961,37.544874,4504235282552773,ТРЦ XL,70030076137120918,487,4504136498303078,Перекрёсток,супермаркет,Супермаркеты,mart,2,12,2026-06-27T05:12:00Z,,0,32,https://2gis.com/firm/4504127908401384,branch,55,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726546
Супер Лента,супермаркет,Супермаркеты,"Дегунинская улица, 13 ст3",,127486,,Западное Дегунино,Москва,,Москва,Россия,Пн: 08:00-24:00; Вт: 08:00-24:00; Ср: 08:00-24:00; Чт: 08:00-24:00; Пт: 08:00-24:00; Сб: 08:00-24:00; Вс: 08:00-24:00,+03:00,4.6,112,84957774111 (горячая линия: круглосуточно),88007004111 (горячая линия: круглосуточно),,info@lenta.com,,,http://lentaapp.go.link/main?adj_t=1ovv6zw6&adj_deep_link=lentochka%3A%2F%2Fmain&adj_fallback=https%3A%2F%2Flenta.com%2F%3Futm_campaign%3Dmaps_free%26utm_medium%3Drefferal%26utm_source%3D2gis.maps&adj_redirect_macos=https%3A%2F%2Flenta.com%2F%3Futm_campaign%3Dmaps_free%26utm_medium%3Drefferal%26utm_source%3D2gis.maps,http://max.ru/lentacom,,,,,,,,,,,https://vk.com/lentacom,,,,,,,,,https://t.me/lenta_promobot,,,https://youtube.com/channel/UCrrKUFYJyIfkBeBSwBWrqXQ,,,,,,70000001058980224,55.8654,37.53574,70030076169941931,,,139,70000001058978863,Супер Лента,супермаркет,Супермаркеты,mart,1,13,2026-06-04T10:46:32Z,,0,32,https://2gis.com/firm/70000001058980224,branch,55,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726546
Перекрёсток,супермаркет,Супермаркеты; Доставка продуктов,"Дмитровское шоссе, 73 ст3",1 этаж,125504,,Западное Дегунино,Москва,,Москва,Россия,Пн: 07:00-23:00; Вт: 07:00-23:00; Ср: 07:00-23:00; Чт: 07:00-23:00; Пт: 07:00-23:00; Сб: 07:00-23:00; Вс: 07:00-23:00,+03:00,4.6,73,88002009555 (многоканальный),,,info@x5.ru,,,http://perekrestok.ru/?utm_source=2gis_maps&utm_medium=display&utm_campaign=maps_wo_promo&utm_content=main_url,http://max.ru/perekrestok_shop,,,,,,,,,,,https://vk.com/perekrestok_shop,,,,,,,,,https://t.me/+rHsiEm_QR3EwNTky,,,,,,,,,70000001034356026,55.85699,37.557893,4504235311802236,ТЦ Metromall,70030076416034769,487,4504136498303078,Перекрёсток,супермаркет,Супермаркеты,mart,2,13,2026-07-07T11:12:43Z,,0,32,https://2gis.com/firm/70000001034356026,branch,55,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726546
Ашан,супермаркет,Супермаркеты; Доставка продуктов,"Ангарская улица, 13",1 этаж,125635,,Западное Дегунино,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,4.2,28,88007005800 (единая справочная),,,,,,http://auchan.ru,http://max.ru/auchanrus,,,,,,,,,,,https://vk.com/auchan,,,,,,,,,https://t.me/auchanrusbot,,,,,,,,,4504127908980872,55.874575,37.514919,4504235282547084,,,77,70000001031401982,Ашан,супермаркет,Доставка продуктов,mart,2,9,2026-03-11T12:20:15Z,,0,32,https://2gis.com/firm/4504127908980872,branch,55,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726546
Пятёрочка,супермаркет,Супермаркеты; Доставка продуктов,"Коровинское шоссе, 1 к1",цокольный этаж,127486,,Западное Дегунино,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,4.8,20,88007700400,,,info@x5.ru,,,http://5ka.ru/catalog?utm_source=2gis&utm_medium=cpm&utm_campaign=000161-17_igronik_media_5ka_promo_04_2026%7Cformat_banner%7Ctype_banner&utm_content=%7Ccreo_1&utm_term,http://max.ru/tspyaterochka,,,,,https://twitter.com/pyaterochka,,,,,,https://vk.com/pyaterochka_shop,,,,,,,,,,,,,,,,,,70000001081195110,55.865227,37.543665,4504235282551593,,,3347,4504136498316193,Пятёрочка,супермаркет,Супермаркеты,mart,2,12,2026-06-22T08:07:47Z,,0,32,https://2gis.com/firm/70000001081195110,branch,55,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726546
Пятёрочка,супермаркет,Супермаркеты,"Дмитровское шоссе, 73Б",,125504,,Западное Дегунино,Москва,,Москва,Россия,Пн: 08:00-22:00; Вт: 08:00-22:00; Ср: 08:00-22:00; Чт: 08:00-22:00; Пт: 08:00-22:00; Сб: 08:00-22:00; Вс: 08:00-22:00,+03:00,4.0,2,88007700400,,,info@x5.ru,,,http://5ka.ru/catalog?utm_source=2gis&utm_medium=cpm&utm_campaign=000161-17_igronik_media_5ka_promo_04_2026%7Cformat_banner%7Ctype_banner&utm_content=%7Ccreo_1&utm_term,http://max.ru/tspyaterochka,,,,,https://twitter.com/pyaterochka,,,,,,https://vk.com/pyaterochka_shop,,,,,,,,,,,,,,,,,,70000001100969527,55.856025,37.556782,70030076187487984,,,3347,4504136498316193,Пятёрочка,супермаркет,Супермаркеты,mart,1,14,2026-06-22T08:06:53Z,,0,32,https://2gis.com/firm/70000001100969527,branch,55,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726546
Пятёрочка,супермаркет,Супермаркеты; Доставка продуктов,"Ильменский проезд, 17 к1",1 этаж; вход с торца,125504,,Западное Дегунино,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,3.2,31,88007700400,,,info@x5.ru,,,http://5ka.ru/catalog?utm_source=2gis&utm_medium=cpm&utm_campaign=000161-17_igronik_media_5ka_promo_04_2026%7Cformat_banner%7Ctype_banner&utm_content=%7Ccreo_1&utm_term,http://max.ru/tspyaterochka,,,,,https://twitter.com/pyaterochka,,,,,,https://vk.com/pyaterochka_shop,,,,,,,,,,,,,,,,,,70000001062080904,55.860641,37.541826,70030076192865964,,,3347,4504136498316193,Пятёрочка,супермаркет,Супермаркеты,mart,2,12,2026-06-03T14:34:05Z,,0,32,https://2gis.com/firm/70000001062080904,branch,55,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726546
Мираторг,супермаркет,Супермаркеты; Доставка продуктов,"Ильменский проезд, 14 к3",1 этаж,125504,,Западное Дегунино,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,4.8,18,88005502719,,,,,,http://miratorg.ru/super,http://t.me/+Y3RA1ifcI7RhNDNi,,,,,,,,,,,https://vk.com/supermarketmiratorg,,,,,,,,,https://t.me/+Y3RA1ifcI7RhNDNi,,,,,,,,,70000001064829043,55.860875,37.543447,70030076176235254,,,97,4504136499896740,Мираторг,супермаркет,Супермаркеты,mart,2,12,2026-07-04T20:56:22Z,,0,32,https://2gis.com/firm/70000001064829043,branch,55,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726546
