Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,E-mail 3,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,Instagram 1,Instagram 2,Instagram 3,Twitter 1,Twitter 2,Twitter 3,Facebook 1,Facebook 2,Facebook 3,ВКонтакте 1,ВКонтакте 2,ВКонтакте 3,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber 1,Viber 2,Viber 3,Telegram 1,Telegram 2,Telegram 3,YouTube 1,YouTube 2,YouTube 3,Skype 1,Skype 2,Skype 3,ID объекта,Широта,Долгота,ID здания,Название здания,ID этажа,Количество филиалов,ID сети,Название сети,Специализация сети,Главная рубрика,POI-категория,Кол-во рубрик,Кол-во атрибутов,Дата обновления,Удалён,ID сегмента,ID региона,2GIS URL,Тип,Ожидаемое кол-во (2GIS),Ссылка запроса
Красное&Белое,продуктовый магазин,Продуктовые магазины; Алкогольные напитки,"улица Чугунова, 15",1 этаж,140105,,Западный район,Раменское,Раменский муниципальный округ,Московская область,Россия,Пн: 09:00-22:05; Вт: 09:00-22:05; Ср: 09:00-22:05; Чт: 09:00-22:05; Пт: 09:00-22:05; Сб: 09:00-22:05; Вс: 09:00-22:05 (Время продажи алкоголя ограничено.),+03:00,4.9,27,88001000804,89227033000,,,,,http://krasnoeibeloe.ru,http://zen.yandex.ru/id/5dde5c1021552277da47ba4b,http://max.ru/krasnoebeloe,,,,,,,,,,https://vk.com/krasnoebeloe,,,,,,,,,https://t.me/krasnoeibeloe,,,,,,,,,70000001026537783,55.57759,38.206268,4504235282869720,,,2113,70000001090565128,Красное&Белое,продуктовый магазин,Продуктовые магазины,shop,2,4,2026-07-09T05:55:54Z,,0,32,https://2gis.com/firm/70000001026537783,branch,20,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=70030076948023156
Бристоль,магазин у дома,Продуктовые магазины; Алкогольные напитки,"улица Чугунова, 41",1 этаж,140105,,Западный район,Раменское,Раменский муниципальный округ,Московская область,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00 (Время продажи алкоголя ограничено.),+03:00,,,88002222002,,,,,,http://bristol.ru,,,,,,,,,,,,https://vk.com/bristol_retail,,,,,,,,,https://t.me/bristolretail,,,,,,,,,70000001072104324,55.57979,38.201658,4504235283157482,,,635,70000001018898719,Бристоль,магазин у дома,Продуктовые магазины,shop,2,6,2026-07-07T13:55:36Z,,0,32,https://2gis.com/firm/70000001072104324,branch,20,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=70030076948023156
Красное&Белое,продуктовый магазин,Продуктовые магазины; Алкогольные напитки,"улица Космонавтов, 18а",,140105,Холодово м-н,Западный район,Раменское,Раменский муниципальный округ,Московская область,Россия,Пн: 09:00-22:05; Вт: 09:00-22:05; Ср: 09:00-22:05; Чт: 09:00-22:05; Пт: 09:00-22:05; Сб: 09:00-22:05; Вс: 09:00-22:05 (Время продажи алкоголя ограничено.),+03:00,4.9,20,88001000804,89227033000,,,,,http://krasnoeibeloe.ru,http://zen.yandex.ru/id/5dde5c1021552277da47ba4b,http://max.ru/krasnoebeloe,,,,,,,,,,https://vk.com/krasnoebeloe,,,,,,,,,https://t.me/krasnoeibeloe,,,,,,,,,70000001082820319,55.58726,38.207128,4504235282869986,,,2113,70000001090565128,Красное&Белое,продуктовый магазин,Продуктовые магазины,shop,2,5,2026-07-09T05:55:54Z,,0,32,https://2gis.com/firm/70000001082820319,branch,20,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=70030076948023156
Бристоль,магазин у дома,Продуктовые магазины; Алкогольные напитки,"улица Воровского, 14",1 этаж,140105,,Западный район,Раменское,Раменский муниципальный округ,Московская область,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00 (Время продажи алкоголя ограничено.),+03:00,4.9,37,88002222002,,,,,,http://bristol.ru,,,,,,,,,,,,https://vk.com/bristol_retail,,,,,,,,,https://t.me/bristolretail,,,,,,,,,70000001074428893,55.573763,38.208515,4504235282664672,,,635,70000001018898719,Бристоль,магазин у дома,Продуктовые магазины,shop,2,6,2026-07-07T13:55:30Z,,0,32,https://2gis.com/firm/70000001074428893,branch,20,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=70030076948023156
Красное&Белое,продуктовый магазин,Продуктовые магазины; Алкогольные напитки,"Северное шоссе, 26",1 этаж,140105,,Западный район,Раменское,Раменский муниципальный округ,Московская область,Россия,Пн: 09:00-22:05; Вт: 09:00-22:05; Ср: 09:00-22:05; Чт: 09:00-22:05; Пт: 09:00-22:05; Сб: 09:00-22:05; Вс: 09:00-22:05 (Время продажи алкоголя ограничено.),+03:00,4.9,33,88001000804,89227033000,,,,,http://krasnoeibeloe.ru,http://zen.yandex.ru/id/5dde5c1021552277da47ba4b,http://max.ru/krasnoebeloe,,,,,,,,,,https://vk.com/krasnoebeloe,,,,,,,,,https://t.me/krasnoeibeloe,,,,,,,,,70000001061447592,55.579137,38.219762,4504235283384275,,,2113,70000001090565128,Красное&Белое,продуктовый магазин,Продуктовые магазины,shop,2,4,2026-07-09T05:55:54Z,,0,32,https://2gis.com/firm/70000001061447592,branch,20,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=70030076948023156
Красное&Белое,продуктовый магазин,Продуктовые магазины; Алкогольные напитки,"Северное шоссе, 30",1 этаж,140105,,Западный район,Раменское,Раменский муниципальный округ,Московская область,Россия,Пн: 09:00-22:05; Вт: 09:00-22:05; Ср: 09:00-22:05; Чт: 09:00-22:05; Пт: 09:00-22:05; Сб: 09:00-22:05; Вс: 09:00-22:05 (Время продажи алкоголя ограничено.),+03:00,4.8,18,88001000804,89227033000,,,,,http://krasnoeibeloe.ru,http://zen.yandex.ru/id/5dde5c1021552277da47ba4b,http://max.ru/krasnoebeloe,,,,,,,,,,https://vk.com/krasnoebeloe,,,,,,,,,https://t.me/krasnoeibeloe,,,,,,,,,70000001057243794,55.580743,38.219491,4504235283359952,,,2113,70000001090565128,Красное&Белое,продуктовый магазин,Продуктовые магазины,shop,2,5,2026-07-09T05:55:54Z,,0,32,https://2gis.com/firm/70000001057243794,branch,20,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=70030076948023156
Градусы,магазин алкогольных напитков,Продуктовые магазины; Алкогольные напитки,"Северное шоссе, 18",,140105,,Западный район,Раменское,Раменский муниципальный округ,Московская область,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00 (Время продажи алкоголя ограничено.),+03:00,4.4,13,88126776384 (доп.доп.2231),,,,,,http://gradusi.net,,,,,,,,,,,,https://vk.com/gradusimarket,,,,,,,,,https://t.me/gradusimarket,,,,,,,,,70000001080144573,55.579999,38.215139,4504235283132413,,,60,70000001047328890,Градусы,магазин алкогольных напитков,Продуктовые магазины,shop,2,4,2026-05-05T07:42:47Z,,0,32,https://2gis.com/firm/70000001080144573,branch,20,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=70030076948023156
Ароматный мир,винный супермаркет,Продуктовые магазины; Алкогольные напитки,"Северное шоссе, 16а",1 этаж,140105,,Западный район,Раменское,Раменский муниципальный округ,Московская область,Россия,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 11:00-22:00 (Время продажи алкоголя ограничено.),+03:00,4.8,19,88007777290,84957775195 (доп.4820),,,,,http://amwine.ru,http://max.ru/amwineru,,,,,,,,,,,https://vk.com/amwineru,,,,,,,,,https://t.me/amwineru,,,https://youtube.com/@Aromatnyi_Mir_Vino_bez_vody,,,,,,70000001050795542,55.581,38.213056,4504235283157616,,,564,4504136498285713,Ароматный мир,винный супермаркет,Продуктовые магазины,shop,2,5,2026-07-09T13:23:19Z,,0,32,https://2gis.com/firm/70000001050795542,branch,20,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=70030076948023156
Продуктовый магазин,,Продуктовые магазины,"улица Мира, 2",1 этаж,140105,,Западный район,Раменское,Раменский муниципальный округ,Московская область,Россия,Пн: 09:00-22:00; Вт: 09:00-22:00; Ср: 09:00-22:00; Чт: 09:00-22:00; Пт: 09:00-22:00; Сб: 09:00-22:00; Вс: 09:00-22:00,+03:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70000001020257784,55.576997,38.21319,4504235282869390,,,1,70000001020257783,Продуктовый магазин,Продуктовый магазин,Продуктовые магазины,shop,1,6,2026-07-07T06:47:21Z,,0,32,https://2gis.com/firm/70000001020257784,branch,20,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=70030076948023156
Винлаб,супермаркет напитков,Продуктовые магазины; Алкогольные напитки,"улица Чугунова, 18а",1 этаж,140105,,Западный район,Раменское,Раменский муниципальный округ,Московская область,Россия,Пн: 10:00-23:00; Вт: 10:00-23:00; Ср: 10:00-23:00; Чт: 10:00-23:00; Пт: 10:00-23:00; Сб: 10:00-23:00; Вс: 10:00-23:00 (Время продажи алкоголя ограничено.),+03:00,5.0,8,88003017755,,,,,,http://b2b.winelab.ru,http://max.ru/winelab_ru,,,,,,,,,,,https://vk.com/winelabru,,,,,,,,,https://t.me/winelab_chatbot,,,,,,,,,70000001075769910,55.577395,38.207717,70030076131825673,,,1163,70000001019234769,Винлаб,супермаркет напитков,Продуктовые магазины,shop,2,4,2026-07-07T13:29:18Z,,0,32,https://2gis.com/firm/70000001075769910,branch,20,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=70030076948023156
