Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,E-mail 3,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,Instagram 1,Instagram 2,Instagram 3,Twitter 1,Twitter 2,Twitter 3,Facebook 1,Facebook 2,Facebook 3,ВКонтакте 1,ВКонтакте 2,ВКонтакте 3,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber 1,Viber 2,Viber 3,Telegram 1,Telegram 2,Telegram 3,YouTube 1,YouTube 2,YouTube 3,Skype 1,Skype 2,Skype 3,ID объекта,Широта,Долгота,ID здания,Название здания,ID этажа,Количество филиалов,ID сети,Название сети,Специализация сети,Главная рубрика,POI-категория,Кол-во рубрик,Кол-во атрибутов,Дата обновления,Удалён,ID сегмента,ID региона,2GIS URL,Тип,Ожидаемое кол-во (2GIS),Ссылка запроса
Пятёрочка,супермаркет,Супермаркеты; Доставка продуктов,"улица Чугунова, 15а",цокольный этаж,140105,,Западный район,Раменское,Раменский муниципальный округ,Московская область,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,4.7,76,88007700400,,,info@x5.ru,,,http://5ka.ru/catalog?utm_source=2gis&utm_medium=cpm&utm_campaign=000161-17_igronik_media_5ka_promo_04_2026%7Cformat_banner%7Ctype_banner&utm_content=%7Ccreo_1&utm_term,http://max.ru/tspyaterochka,,,,,https://twitter.com/pyaterochka,,,,,,https://vk.com/pyaterochka_shop,,,,,,,,,,,,,,,,,,70000001007270104,55.576583,38.20765,4504235283040489,,,3347,4504136498316193,Пятёрочка,супермаркет,Супермаркеты,mart,2,12,2026-07-09T09:54:50Z,,0,32,https://2gis.com/firm/70000001007270104,branch,35,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=70030076948023156
Пятёрочка,супермаркет,Супермаркеты; Доставка продуктов,"Северное шоссе, 4",1 этаж,140105,,Западный район,Раменское,Раменский муниципальный округ,Московская область,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,4.9,82,88007700400,,,info@x5.ru,,,http://5ka.ru/catalog?utm_source=2gis&utm_medium=cpm&utm_campaign=000161-17_igronik_media_5ka_promo_04_2026%7Cformat_banner%7Ctype_banner&utm_content=%7Ccreo_1&utm_term,http://max.ru/tspyaterochka,,,,,https://twitter.com/pyaterochka,,,,,,https://vk.com/pyaterochka_shop,,,,,,,,,,,,,,,,,,70000001023902357,55.579073,38.217346,4504235283380231,,,3347,4504136498316193,Пятёрочка,супермаркет,Супермаркеты,mart,2,14,2026-06-22T08:05:41Z,,0,32,https://2gis.com/firm/70000001023902357,branch,35,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=70030076948023156
Ярче!,супермаркет,Супермаркеты; Доставка продуктов,"улица Воровского, 8/1",1 этаж,140105,,Западный район,Раменское,Раменский муниципальный округ,Московская область,Россия,Пн: 07:00-23:00; Вт: 07:00-23:00; Ср: 07:00-23:00; Чт: 07:00-23:00; Пт: 07:00-23:00; Сб: 07:00-23:00; Вс: 07:00-23:00,+03:00,4.7,18,,,,,,,http://ярче.рф,http://yarcheplus.ru,,,,,,,,,,,https://vk.com/supermarket_yarche,,,,,,,,,,,,,,,,,,70000001026762862,55.572671,38.211203,70030076130861793,,,198,70000001025914019,Ярче!,супермаркет,Супермаркеты,mart,2,10,2026-06-23T09:22:07Z,,0,32,https://2gis.com/firm/70000001026762862,branch,35,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=70030076948023156
Ярче!,супермаркет,Супермаркеты; Доставка продуктов,"улица Космонавтов, 36а",,140105,Холодово м-н,Западный район,Раменское,Раменский муниципальный округ,Московская область,Россия,Пн: 07:00-23:00; Вт: 07:00-23:00; Ср: 07:00-23:00; Чт: 07:00-23:00; Пт: 07:00-23:00; Сб: 07:00-23:00; Вс: 07:00-23:00,+03:00,4.9,20,,,,,,,http://ярче.рф,http://yarcheplus.ru,,,,,,,,,,,https://vk.com/supermarket_yarche,,,,,,,,,,,,,,,,,,70000001028383287,55.59065,38.203393,4504235282664071,,,198,70000001025914019,Ярче!,супермаркет,Супермаркеты,mart,2,9,2026-06-23T09:22:37Z,,0,32,https://2gis.com/firm/70000001028383287,branch,35,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=70030076948023156
ВкусВилл,супермаркет,Супермаркеты; Доставка продуктов; Кулинарии; Доставка еды,"улица Космонавтов, 1в ст2",1 этаж,140105,Холодово м-н,Западный район,Раменское,Раменский муниципальный округ,Московская область,Россия,Пн: 08:00-21:00; Вт: 08:00-21:00; Ср: 08:00-21:00; Чт: 08:00-21:00; Пт: 08:00-21:00; Сб: 08:00-21:00; Вс: 08:00-21:00,+03:00,5.0,5,89253318708,,,,,,http://vkusvill.ru/goods/?utm_source=2gis&utm_medium=maps&utm_campaign=glavnaya&deep_link_value=https%3A%2F%2Fvkusvill.ru%2Fmobile%3Fcatalog%2F&af_dp=vkusvill%3A%2F%2F&c=glavnaya&shortlink=5ca647b8&source_,http://max.ru/vkusvill_ru,,,,,,,,,,,https://vk.com/vkusvill_ru,,,,,,,,,https://t.me/we_are_vkusvill,,,,,,,,,70000001035215861,55.585132,38.203696,4504235283028316,,,1420,4504137598285175,ВкусВилл,супермаркет,Супермаркеты,mart,4,17,2026-07-11T06:02:10Z,,0,32,https://2gis.com/firm/70000001035215861,branch,35,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=70030076948023156
Пятёрочка,супермаркет,Супермаркеты,"улица Чугунова, 9",,140105,,Западный район,Раменское,Раменский муниципальный округ,Московская область,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,4.4,9,88007700400,,,info@x5.ru,,,http://5ka.ru/catalog?utm_source=2gis&utm_medium=cpm&utm_campaign=000161-17_igronik_media_5ka_promo_04_2026%7Cformat_banner%7Ctype_banner&utm_content=%7Ccreo_1&utm_term,http://max.ru/tspyaterochka,,,,,https://twitter.com/pyaterochka,,,,,,https://vk.com/pyaterochka_shop,,,,,,,,,,,,,,,,,,70000001089896939,55.574607,38.211003,70030076423439980,,,3347,4504136498316193,Пятёрочка,супермаркет,Супермаркеты,mart,1,11,2026-06-22T08:05:20Z,,0,32,https://2gis.com/firm/70000001089896939,branch,35,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=70030076948023156
Магнит,супермаркет,Супермаркеты; Доставка продуктов,"улица Чугунова, 15Б",,140105,,Западный район,Раменское,Раменский муниципальный округ,Московская область,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,4.8,40,88002009002 (единая справочная: пн-вс 6:00-00:00),,,info@magnit.ru,,,http://magnit.ru/?utm_source=_geopriority_&utm_medium=&utm_campaign=_MM_Geoprioritety_-&utm_content=main&utm_term=,,,,,,,,,,,,https://vk.com/magnitretail,,,,,,,,,https://t.me/magnit_retail,,,,,,,,,70000001040764106,55.575819,38.209178,4504235283110565,,,1562,4504137598701571,Магнит,супермаркет,Супермаркеты,mart,2,9,2026-07-02T13:02:40Z,,0,32,https://2gis.com/firm/70000001040764106,branch,35,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=70030076948023156
Пятёрочка,супермаркет,Супермаркеты; Доставка продуктов,"Северное шоссе, 12",1 этаж,140105,,Западный район,Раменское,Раменский муниципальный округ,Московская область,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,4.5,43,88007700400,,,info@x5.ru,,,http://5ka.ru/catalog?utm_source=2gis&utm_medium=cpm&utm_campaign=000161-17_igronik_media_5ka_promo_04_2026%7Cformat_banner%7Ctype_banner&utm_content=%7Ccreo_1&utm_term,http://max.ru/tspyaterochka,,,,,https://twitter.com/pyaterochka,,,,,,https://vk.com/pyaterochka_shop,,,,,,,,,,,,,,,,,,70000001020251711,55.579366,38.213622,4504235283132386,,,3347,4504136498316193,Пятёрочка,супермаркет,Супермаркеты,mart,2,12,2026-06-22T08:07:55Z,,0,32,https://2gis.com/firm/70000001020251711,branch,35,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=70030076948023156
Пятёрочка,супермаркет,Супермаркеты; Доставка продуктов,"Коммунистическая улица, 20а",1 этаж,140105,Холодово м-н,Западный район,Раменское,Раменский муниципальный округ,Московская область,Россия,Пн: 07:00-24:00; Вт: 07:00-24:00; Ср: 07:00-24:00; Чт: 07:00-24:00; Пт: 07:00-24:00; Сб: 07:00-24:00; Вс: 07:00-24:00,+03:00,4.8,70,89637189496,,,info@x5.ru,,,http://5ka.ru/catalog?utm_source=2gis&utm_medium=cpm&utm_campaign=000161-17_igronik_media_5ka_promo_04_2026%7Cformat_banner%7Ctype_banner&utm_content=%7Ccreo_1&utm_term,http://max.ru/tspyaterochka,,,,,https://twitter.com/pyaterochka,,,,,,https://vk.com/pyaterochka_shop,,,,,,,,,,,,,,,,,,4504128908898434,55.588628,38.210934,4504235282870344,,,3347,4504136498316193,Пятёрочка,супермаркет,Супермаркеты,mart,2,13,2026-06-22T08:07:04Z,,0,32,https://2gis.com/firm/4504128908898434,branch,35,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=70030076948023156
ВкусВилл,супермаркет,Супермаркеты; Доставка продуктов; Доставка еды; Кулинарии,"улица Чугунова, 18а",1 этаж,140105,,Западный район,Раменское,Раменский муниципальный округ,Московская область,Россия,Пн: 08:00-22:00; Вт: 08:00-22:00; Ср: 08:00-22:00; Чт: 08:00-22:00; Пт: 08:00-22:00; Сб: 08:00-22:00; Вс: 08:00-22:00,+03:00,4.9,25,89295242569,,,,,,http://vkusvill.ru/goods/?utm_source=2gis&utm_medium=maps&utm_campaign=glavnaya&deep_link_value=https%3A%2F%2Fvkusvill.ru%2Fmobile%3Fcatalog%2F&af_dp=vkusvill%3A%2F%2F&c=glavnaya&shortlink=5ca647b8&source_,http://max.ru/vkusvill_ru,,,,,,,,,,,https://vk.com/vkusvill_ru,,,,,,,,,https://t.me/we_are_vkusvill,,,,,,,,,70000001049827346,55.577486,38.207594,70030076131825673,,,1420,4504137598285175,ВкусВилл,супермаркет,Супермаркеты,mart,4,18,2026-06-28T05:22:44Z,,0,32,https://2gis.com/firm/70000001049827346,branch,35,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=70030076948023156
