Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,E-mail 3,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,Instagram 1,Instagram 2,Instagram 3,Twitter 1,Twitter 2,Twitter 3,Facebook 1,Facebook 2,Facebook 3,ВКонтакте 1,ВКонтакте 2,ВКонтакте 3,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber 1,Viber 2,Viber 3,Telegram 1,Telegram 2,Telegram 3,YouTube 1,YouTube 2,YouTube 3,Skype 1,Skype 2,Skype 3,ID объекта,Широта,Долгота,ID здания,Название здания,ID этажа,Количество филиалов,ID сети,Название сети,Специализация сети,Главная рубрика,POI-категория,Кол-во рубрик,Кол-во атрибутов,Дата обновления,Удалён,ID сегмента,ID региона,2GIS URL,Тип,Ожидаемое кол-во (2GIS),Ссылка запроса
Дикси,супермаркет,Супермаркеты; Доставка продуктов,"Азовская улица, 21",1 этаж,117452,,Зюзино,Москва,,Москва,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,4.5,157,88001011001,,,,,,http://dixy.ru,,,,,,,,,,,,https://vk.com/dixyclub,,,,,,,,,https://t.me/dixy_russia,,,https://youtube.com/user/dixychannel,,,,,,4504127915575231,55.653625,37.598934,4504235282582932,,,1418,4504136498313374,Дикси,супермаркет,Супермаркеты,mart,2,11,2026-06-25T04:05:45Z,,0,32,https://2gis.com/firm/4504127915575231,branch,36,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726628
Перекрёсток,супермаркет,Супермаркеты; Доставка продуктов,"Болотниковская улица, 30",,117149,,Зюзино,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,4.7,85,88002009555 (многоканальный),,,dir_SAEY@x5.ru,,,http://perekrestok.ru/?utm_source=2gis_maps&utm_medium=display&utm_campaign=maps_wo_promo&utm_content=main_url,http://max.ru/perekrestok_shop,,,,,,,,,,,https://vk.com/perekrestok_shop,,,,,,,,,https://t.me/+rHsiEm_QR3EwNTky,,,,,,,,,70000001028795054,55.658078,37.59591,4504235282582142,,,487,4504136498303078,Перекрёсток,супермаркет,Супермаркеты,mart,2,13,2026-06-27T05:12:07Z,,0,32,https://2gis.com/firm/70000001028795054,branch,36,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726628
ВкусВилл,супермаркет,Супермаркеты; Доставка продуктов; Кулинарии; Доставка еды,"Азовская улица, 3",1 этаж,117638,,Зюзино,Москва,,Москва,Россия,Пн: 07:00-23:00; Вт: 07:00-23:00; Ср: 07:00-23:00; Чт: 07:00-23:00; Пт: 07:00-23:00; Сб: 07:00-23:00; Вс: 07:00-23:00,+03:00,4.4,30,89257862215,,,,,,http://vkusvill.ru/goods/?utm_source=2gis&utm_medium=maps&utm_campaign=glavnaya&deep_link_value=https%3A%2F%2Fvkusvill.ru%2Fmobile%3Fcatalog%2F&af_dp=vkusvill%3A%2F%2F&c=glavnaya&shortlink=5ca647b8&source_,http://max.ru/vkusvill_ru,,,,,,,,,,,https://vk.com/vkusvill_ru,,,,,,,,,https://t.me/we_are_vkusvill,,,,,,,,,70000001030113840,55.662295,37.605589,4504235282572284,,,1420,4504137598285175,ВкусВилл,супермаркет,Супермаркеты,mart,4,16,2026-06-28T05:22:41Z,,0,32,https://2gis.com/firm/70000001030113840,branch,36,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726628
Ашан,супермаркет,Супермаркеты; Доставка продуктов,"Малая Юшуньская улица, 1 ст1",-1 этаж; вход под мостом,117303,,Зюзино,Москва,,Москва,Россия,Пн: 07:00-23:00; Вт: 07:00-23:00; Ср: 07:00-23:00; Чт: 07:00-23:00; Пт: 07:00-23:00; Сб: 07:00-23:00; Вс: 07:00-23:00,+03:00,3.6,22,88007005800 (единая справочная),,,,,,http://auchan.ru,http://max.ru/auchanrus,,,,,,,,,,,https://vk.com/auchan,,,,,,,,,https://t.me/auchanrusbot,,,,,,,,,4504128908905413,55.65312,37.594877,4504235282688164,БЦ Берлин,,77,70000001031401982,Ашан,супермаркет,Супермаркеты,mart,2,11,2026-05-14T07:51:42Z,,0,32,https://2gis.com/firm/4504128908905413,branch,36,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726628
Магнолия,супермаркет,Супермаркеты; Доставка продуктов,"Нахимовский проспект, 9а",,117638,,Зюзино,Москва,,Москва,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,3.8,60,84996131669,84959213237,,,,,http://mgnl.ru,,,,,,,,,,,,https://vk.com/magnoliya.store,,,https://wa.me/79160378137,,,,,,,,,,,,,,,4504127908454396,55.663533,37.608041,4504235282572412,,,205,4504136498318542,Магнолия,супермаркет,Супермаркеты,mart,2,11,2026-03-10T12:06:37Z,,0,32,https://2gis.com/firm/4504127908454396,branch,36,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726628
Азбука вкуса,супермаркет,Супермаркеты; Доставка продуктов,"Симферопольский бульвар, 22 к3",1 этаж,117452,,Зюзино,Москва,,Москва,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,4.7,27,84952230244,88007003487 (бесплатная единая справочная: пн-вс 9:00-21:00),84952230200,,,,http://av.ru,http://max.ru/azbukavkusa,,,,,,,,,,,https://vk.com/azbukavkusa,,,,,,,,,https://t.me/azbukavkusa,,,https://youtube.com/azbukav,,,,,,4504127909394266,55.647023,37.604912,4504235282565056,,,102,4504136498318829,Азбука вкуса,супермаркет,Супермаркеты,mart,2,10,2026-06-08T10:11:55Z,,0,32,https://2gis.com/firm/4504127909394266,branch,36,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726628
Пятёрочка,супермаркет,Супермаркеты; Доставка продуктов,"Керченская улица, 1Б",1 этаж,117303,,Зюзино,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,4.6,100,88007700400,,,info@x5.ru,,,http://5ka.ru/catalog?utm_source=2gis&utm_medium=cpm&utm_campaign=000161-17_igronik_media_5ka_promo_04_2026%7Cformat_banner%7Ctype_banner&utm_content=%7Ccreo_1&utm_term,http://max.ru/tspyaterochka,,,,,https://twitter.com/pyaterochka,,,,,,https://vk.com/pyaterochka_shop,,,,,,,,,,,,,,,,,,4504127909885118,55.654958,37.583118,4504235282581717,,,3347,4504136498316193,Пятёрочка,супермаркет,Супермаркеты,mart,2,12,2026-06-22T08:07:39Z,,0,32,https://2gis.com/firm/4504127909885118,branch,36,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726628
Магнит,супермаркет,Супермаркеты,"Болотниковская улица, 47 к1",1 этаж,117209,,Зюзино,Москва,,Москва,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,4.6,47,88002009002 (единая справочная: пн-вс 6:00-00:00),,,info@magnit.ru,,,http://magnit.ru/?utm_source=_geopriority_&utm_medium=&utm_campaign=_MM_Geoprioritety_-&utm_content=main&utm_term=,,,,,,,,,,,,https://vk.com/magnitretail,,,,,,,,,https://t.me/magnit_retail,,,,,,,,,70000001094714645,55.662004,37.583391,4504235282581897,,,1562,4504137598701571,Магнит,супермаркет,Супермаркеты,mart,1,13,2026-07-02T13:01:42Z,,0,32,https://2gis.com/firm/70000001094714645,branch,36,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726628
Перекрёсток,супермаркет,Супермаркеты; Доставка продуктов,"улица Каховка, 27",1 этаж,117461,,Зюзино,Москва,,Москва,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,4.8,219,88002009555 (многоканальный),,,info@x5.ru,,,http://perekrestok.ru/?utm_source=2gis_maps&utm_medium=display&utm_campaign=maps_wo_promo&utm_content=main_url,http://max.ru/perekrestok_shop,,,,,,,,,,,https://vk.com/perekrestok_shop,,,,,,,,,https://t.me/+rHsiEm_QR3EwNTky,,,,,,,,,70000001040061474,55.65583,37.571743,4504235282584724,ТЦ Бухарест,,487,4504136498303078,Перекрёсток,супермаркет,Супермаркеты,mart,2,13,2026-06-27T05:12:00Z,,0,32,https://2gis.com/firm/70000001040061474,branch,36,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726628
ВкусВилл,супермаркет,Супермаркеты; Доставка еды,"Одесская улица, 16",1 этаж,117303,,Зюзино,Москва,,Москва,Россия,Пн: 08:00-22:00; Вт: 08:00-22:00; Ср: 08:00-22:00; Чт: 08:00-22:00; Пт: 08:00-22:00; Сб: 08:00-22:00; Вс: 08:00-22:00,+03:00,4.7,8,89259648655,,,,,,http://vkusvill.ru/goods/?utm_source=2gis&utm_medium=maps&utm_campaign=glavnaya&deep_link_value=https%3A%2F%2Fvkusvill.ru%2Fmobile%3Fcatalog%2F&af_dp=vkusvill%3A%2F%2F&c=glavnaya&shortlink=5ca647b8&source_,http://max.ru/vkusvill_ru,,,,,,,,,,,https://vk.com/vkusvill_ru,,,,,,,,,https://t.me/we_are_vkusvill,,,,,,,,,70000001056045113,55.656252,37.590159,4504235282581810,,,1420,4504137598285175,ВкусВилл,супермаркет,Супермаркеты,mart,2,17,2026-06-28T21:51:52Z,,0,32,https://2gis.com/firm/70000001056045113,branch,36,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726628
