Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,E-mail 3,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,Instagram 1,Instagram 2,Instagram 3,Twitter 1,Twitter 2,Twitter 3,Facebook 1,Facebook 2,Facebook 3,ВКонтакте 1,ВКонтакте 2,ВКонтакте 3,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber 1,Viber 2,Viber 3,Telegram 1,Telegram 2,Telegram 3,YouTube 1,YouTube 2,YouTube 3,Skype 1,Skype 2,Skype 3,ID объекта,Широта,Долгота,ID здания,Название здания,ID этажа,Количество филиалов,ID сети,Название сети,Специализация сети,Главная рубрика,POI-категория,Кол-во рубрик,Кол-во атрибутов,Дата обновления,Удалён,ID сегмента,ID региона,2GIS URL,Тип,Ожидаемое кол-во (2GIS),Ссылка запроса
Красное&Белое,продуктовый магазин,Продуктовые магазины; Алкогольные напитки,"Ореховый бульвар, 24 к2",,115580,,Зябликово,Москва,,Москва,Россия,Пн: 09:00-22:05; Вт: 09:00-22:05; Ср: 09:00-22:05; Чт: 09:00-22:05; Пт: 09:00-22:05; Сб: 09:00-22:05; Вс: 09:00-22:05 (Время продажи алкоголя ограничено.),+03:00,3.7,31,88001000804,89227033000,,,,,http://krasnoeibeloe.ru,http://zen.yandex.ru/id/5dde5c1021552277da47ba4b,http://max.ru/krasnoebeloe,,,,,,,,,,https://vk.com/krasnoebeloe,,,,,,,,,https://t.me/krasnoeibeloe,,,,,,,,,70000001067089791,55.612468,37.748686,70030076181427184,,,2113,70000001090565128,Красное&Белое,продуктовый магазин,Продуктовые магазины,shop,2,6,2026-06-21T07:49:39Z,,0,32,https://2gis.com/firm/70000001067089791,branch,14,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726617
Дикси,супермаркет,Продуктовые магазины; Супермаркеты,"Ореховый проезд, 41 ст2",,115573,,Зябликово,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,,,88001011001,,,,,,http://dixy.ru,,,,,,,,,,,,https://vk.com/dixyclub,,,,,,,,,https://t.me/dixy_russia,,,https://youtube.com/user/dixychannel,,,,,,70000001109879730,55.616096,37.730692,4504235282531971,,,1418,4504136498313374,Дикси,супермаркет,Продуктовые магазины,mart,2,10,2026-06-25T04:05:49Z,,0,32,https://2gis.com/firm/70000001109879730,branch,14,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726617
Винлаб,супермаркет напитков,Продуктовые магазины; Алкогольные напитки,"Ореховый бульвар, 24 к4",1 этаж,115580,,Зябликово,Москва,,Москва,Россия,Пн: 10:00-23:00; Вт: 10:00-23:00; Ср: 10:00-23:00; Чт: 10:00-23:00; Пт: 10:00-23:00; Сб: 10:00-23:00; Вс: 10:00-23:00 (Время продажи алкоголя ограничено.),+03:00,5.0,1,88003017755,,,,,,http://b2b.winelab.ru,http://max.ru/winelab_ru,,,,,,,,,,,https://vk.com/winelabru,,,,,,,,,https://t.me/winelab_chatbot,,,,,,,,,70000001067411802,55.612897,37.751248,70030076181427441,,,1163,70000001019234769,Винлаб,супермаркет напитков,Продуктовые магазины,shop,2,4,2026-07-07T13:29:18Z,,0,32,https://2gis.com/firm/70000001067411802,branch,14,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726617
Ермолино,фирменный магазин,Продуктовые магазины,"Ореховый бульвар, вл61 к2а",,115682,,Зябликово,Москва,,Москва,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+03:00,4.7,4,89132020588,89208800212,,,,,http://ermolino-produkty.ru,http://max.ru/produktyermolino,,,,,,,,,,,https://vk.com/produktyermolino,,,,,,,,,https://t.me/produktyermolino,,,https://youtube.com/c/ErmolinskieProdukty,,,,,,70000001092808294,55.617028,37.756728,4504235282536227,,,677,70000001026552772,Ермолино,фирменный магазин,Продуктовые магазины,shop,1,6,2026-07-11T04:26:35Z,,0,32,https://2gis.com/firm/70000001092808294,branch,14,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726617
Ермолино,фирменный магазин,Продуктовые магазины; Колбасные изделия; Продукты быстрого приготовления; Мясо и полуфабрикаты; Сыры; Кондитерские изделия; Молочные продукты,"улица Мусы Джалиля, 20",1 этаж,115573,,Зябликово,Москва,,Москва,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+03:00,4.5,2,89132020588,89208800212,,,,,http://ermolino-produkty.ru,http://max.ru/produktyermolino,,,,,,,,,,,https://vk.com/produktyermolino,,,,,,,,,https://t.me/produktyermolino,,,https://youtube.com/c/ErmolinskieProdukty,,,,,,70000001108300601,55.623324,37.742489,4504235282535938,,,677,70000001026552772,Ермолино,фирменный магазин,Продуктовые магазины,shop,7,4,2026-07-11T04:26:46Z,,0,32,https://2gis.com/firm/70000001108300601,branch,14,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726617
Ермолино,фирменный магазин,Продуктовые магазины; Колбасные изделия; Продукты быстрого приготовления; Мясо и полуфабрикаты; Сыры; Кондитерские изделия; Молочные продукты,"Ореховый проезд, 35 к2",,115573,,Зябликово,Москва,,Москва,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+03:00,,,89132020588,89208800212,,,,,http://ermolino-produkty.ru,http://max.ru/produktyermolino,,,,,,,,,,,https://vk.com/produktyermolino,,,,,,,,,https://t.me/produktyermolino,,,https://youtube.com/c/ErmolinskieProdukty,,,,,,70000001115322312,55.618357,37.734939,4504235282531980,,,677,70000001026552772,Ермолино,фирменный магазин,Колбасные изделия,shop,7,0,2026-07-11T04:26:50Z,,0,32,https://2gis.com/firm/70000001115322312,branch,14,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726617
Авокадо,магазин продуктов,Продуктовые магазины,"Задонский проезд, 36 к1",цокольный этаж,115682,,Зябликово,Москва,,Москва,Россия,Пн: 09:00-23:00; Вт: 09:00-23:00; Ср: 09:00-23:00; Чт: 09:00-23:00; Пт: 09:00-23:00; Сб: 09:00-23:00; Вс: 09:00-23:00,+03:00,5.0,1,89104694554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4504128908398873,55.62018,37.75925,4504235282536349,,,1,4504137598314938,Авокадо,магазин продуктов,Продуктовые магазины,shop,1,3,2026-07-07T06:47:23Z,,0,32,https://2gis.com/firm/4504128908398873,branch,14,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726617
Продуктовый магазин,,Продуктовые магазины,"Шипиловская улица, 48 к2а",,115573,,Зябликово,Москва,,Москва,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70000001007529942,55.620672,37.735427,4504235283027287,,,1,70000001007529941,Продуктовый магазин,Продуктовый магазин,Продуктовые магазины,shop,1,4,2026-04-21T15:59:21Z,,0,32,https://2gis.com/firm/70000001007529942,branch,14,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726617
Лерик-2000,продовольственный магазин,Продуктовые магазины,"Шипиловская улица, 53 к2",,115580,,Зябликово,Москва,,Москва,Россия,Пн: 09:00-23:00; Вт: 09:00-23:00; Ср: 09:00-23:00; Чт: 09:00-23:00; Пт: 09:00-23:00; Сб: 09:00-23:00; Вс: 09:00-23:00,+03:00,2.7,3,84953963375,84953967093,89853618007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4504127908801403,55.622535,37.745867,4504235282536469,,,1,4504136498512364,Лерик-2000,продовольственный магазин,Продуктовые магазины,shop,1,6,2026-02-02T10:12:25Z,,0,32,https://2gis.com/firm/4504127908801403,branch,14,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726617
Лерик-2000,продуктовый магазин,Продуктовые магазины; Алкогольные напитки,"Шипиловская улица, 53 к2",1 этаж,115580,,Зябликово,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00 (Время продажи алкоголя ограничено.),+03:00,,,84953967093,84953963375,,,,,,,,,,,,,,,,,,,,https://wa.me/79263877000,,,,,,,,,,,,,,,70000001037059688,55.622388,37.745975,4504235282536469,,,1,70000001037059687,Лерик-2000,продуктовый магазин,Продуктовые магазины,shop,2,6,2026-02-02T10:00:15Z,,0,32,https://2gis.com/firm/70000001037059688,branch,14,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726617
