Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,E-mail 3,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,Instagram 1,Instagram 2,Instagram 3,Twitter 1,Twitter 2,Twitter 3,Facebook 1,Facebook 2,Facebook 3,ВКонтакте 1,ВКонтакте 2,ВКонтакте 3,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber 1,Viber 2,Viber 3,Telegram 1,Telegram 2,Telegram 3,YouTube 1,YouTube 2,YouTube 3,Skype 1,Skype 2,Skype 3,ID объекта,Широта,Долгота,ID здания,Название здания,ID этажа,Количество филиалов,ID сети,Название сети,Специализация сети,Главная рубрика,POI-категория,Кол-во рубрик,Кол-во атрибутов,Дата обновления,Удалён,ID сегмента,ID региона,2GIS URL,Тип,Ожидаемое кол-во (2GIS),Ссылка запроса
Пятёрочка,супермаркет,Супермаркеты; Доставка продуктов,"Ореховый бульвар, 43",,115573,,Зябликово,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,4.6,126,88007700400,,,info@x5.ru,,,http://5ka.ru/catalog?utm_source=2gis&utm_medium=cpm&utm_campaign=000161-17_igronik_media_5ka_promo_04_2026%7Cformat_banner%7Ctype_banner&utm_content=%7Ccreo_1&utm_term,http://max.ru/tspyaterochka,,,,,https://twitter.com/pyaterochka,,,,,,https://vk.com/pyaterochka_shop,,,,,,,,,,,,,,,,,,4504127909831627,55.614522,37.741858,4504235282535499,,,3347,4504136498316193,Пятёрочка,супермаркет,Супермаркеты,mart,2,11,2026-06-22T08:06:20Z,,0,32,https://2gis.com/firm/4504127909831627,branch,30,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726617
Чижик,супермаркет,Супермаркеты; Доставка продуктов,"Шипиловская улица, вл41 к1",1 этаж,115573,,Зябликово,Москва,,Москва,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+03:00,4.8,111,84992702713,,,112@chizhik.club,,,http://chizhik.club/?utm_campaign=HDZO&utm_medium=maps&utm_source=2gis,,,,,,,,,,,,https://vk.com/chizhik.club,,,,,,,,,,,,,,,,,,70000001077797417,55.622795,37.736918,4504235282535879,,,613,70000001046125844,Чижик,супермаркет,Супермаркеты,mart,2,7,2026-07-05T12:23:13Z,,0,32,https://2gis.com/firm/70000001077797417,branch,30,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726617
Перекрёсток,супермаркет,Супермаркеты; Доставка продуктов,"Шипиловская улица, 50 к1",1 этаж,115573,,Зябликово,Москва,,Москва,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,4.4,78,88002009555 (многоканальный),,,info@x5.ru,,,http://perekrestok.ru/?utm_source=2gis_maps&utm_medium=display&utm_campaign=maps_wo_promo&utm_content=main_url,http://max.ru/perekrestok_shop,,,,,,,,,,,https://vk.com/perekrestok_shop,,,,,,,,,https://t.me/+rHsiEm_QR3EwNTky,,,,,,,,,4504127917743547,55.621223,37.738173,4504235282531987,,,487,4504136498303078,Перекрёсток,супермаркет,Супермаркеты,mart,2,13,2026-06-27T05:12:04Z,,0,32,https://2gis.com/firm/4504127917743547,branch,30,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726617
ВкусВилл,супермаркет,Супермаркеты; Доставка продуктов; Кулинарии; Доставка еды,"улица Мусы Джалиля, 16",1 этаж,115573,,Зябликово,Москва,,Москва,Россия,Пн: 08:00-22:00; Вт: 08:00-22:00; Ср: 08:00-22:00; Чт: 08:00-22:00; Пт: 08:00-22:00; Сб: 08:00-22:00; Вс: 08:00-22:00,+03:00,4.8,41,89654416094,,,,,,http://vkusvill.ru/goods/?utm_source=2gis&utm_medium=maps&utm_campaign=glavnaya&deep_link_value=https%3A%2F%2Fvkusvill.ru%2Fmobile%3Fcatalog%2F&af_dp=vkusvill%3A%2F%2F&c=glavnaya&shortlink=5ca647b8&source_,http://max.ru/vkusvill_ru,,,,,,,,,,,https://vk.com/vkusvill_ru,,,,,,,,,https://t.me/we_are_vkusvill,,,,,,,,,70000001030301733,55.624097,37.742136,4504235282535940,,,1420,4504137598285175,ВкусВилл,супермаркет,Супермаркеты,mart,4,18,2026-06-28T05:22:29Z,,0,32,https://2gis.com/firm/70000001030301733,branch,30,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726617
Пятёрочка,супермаркет,Супермаркеты; Доставка продуктов,"Ореховый проезд, 33 ст2",1 этаж,115573,,Зябликово,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,4.9,13,88007700400,,,info@x5.ru,,,http://5ka.ru/catalog?utm_source=2gis&utm_medium=cpm&utm_campaign=000161-17_igronik_media_5ka_promo_04_2026%7Cformat_banner%7Ctype_banner&utm_content=%7Ccreo_1&utm_term,http://max.ru/tspyaterochka,,,,,https://twitter.com/pyaterochka,,,,,,https://vk.com/pyaterochka_shop,,,,,,,,,,,,,,,,,,4504127909831619,55.618914,37.730666,4504235283006755,,,3347,4504136498316193,Пятёрочка,супермаркет,Супермаркеты,mart,2,12,2026-06-22T08:06:22Z,,0,32,https://2gis.com/firm/4504127909831619,branch,30,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726617
Магнит,супермаркет,Супермаркеты,"Кустанайская улица, 5 к4",1 этаж,115682,,Зябликово,Москва,,Москва,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,3.9,2,88002009002 (единая справочная: пн-вс 6:00-00:00),,,info@magnit.ru,,,http://magnit.ru/?utm_source=_geopriority_&utm_medium=&utm_campaign=_MM_Geoprioritety_-&utm_content=main&utm_term=,,,,,,,,,,,,https://vk.com/magnitretail,,,,,,,,,https://t.me/magnit_retail,,,,,,,,,70000001103044021,55.618454,37.755041,4504235282536256,,,1562,4504137598701571,Магнит,супермаркет,Супермаркеты,mart,1,13,2026-07-02T13:00:56Z,,0,32,https://2gis.com/firm/70000001103044021,branch,30,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726617
Авоська,супермаркет,Супермаркеты,"улица Мусы Джалиля, 2",,115573,,Зябликово,Москва,,Москва,Россия,Пн: 09:00-23:00; Вт: 09:00-23:00; Ср: 09:00-23:00; Чт: 09:00-23:00; Пт: 09:00-23:00; Сб: 09:00-23:00; Вс: 09:00-23:00,+03:00,4.6,59,84956567022 (единая справочная: пн-пт 9:00-18:00 ),84957254154 (единая справочная: пн-пт 9:00-18:00),,,,,http://avoska.ru,,,,,,,,,,,,https://vk.com/universam.avoska,,,,,,,,,https://t.me/universam_avoska,,,,,,,,,4504127908974603,55.629889,37.740993,4504235282536014,,,53,4504136498316240,Авоська,супермаркет,Супермаркеты,mart,1,8,2026-04-09T03:00:00Z,,0,32,https://2gis.com/firm/4504127908974603,branch,30,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726617
Перекрёсток,супермаркет,Супермаркеты; Доставка продуктов,"Кустанайская улица, 6",1 этаж,115580,,Зябликово,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 09:00-23:00; Вс: 09:00-23:00,+03:00,4.5,54,88002009555 (многоканальный),,,info@x5.ru,,,http://perekrestok.ru/?utm_source=2gis_maps&utm_medium=display&utm_campaign=maps_wo_promo&utm_content=main_url,http://max.ru/perekrestok_shop,,,,,,,,,,,https://vk.com/perekrestok_shop,,,,,,,,,https://t.me/+rHsiEm_QR3EwNTky,,,,,,,,,4504127908401392,55.619502,37.751997,4504235282536150,ТЦ Столица,70030076382244181,487,4504136498303078,Перекрёсток,супермаркет,Супермаркеты,mart,2,13,2026-07-08T12:55:25Z,,0,32,https://2gis.com/firm/4504127908401392,branch,30,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726617
Ашан,супермаркет,Супермаркеты; Доставка продуктов,"Задонский проезд, 20",,115580,,Зябликово,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,4.8,7,88007005800 (единая справочная),,,,,,http://auchan.ru,http://max.ru/auchanrus,,,,,,,,,,,https://vk.com/auchan,,,,,,,,,https://t.me/auchanrusbot,,,,,,,,,4504128908704427,55.624683,37.752391,4504235282629130,,,77,70000001031401982,Ашан,супермаркет,Супермаркеты,mart,2,10,2026-05-11T18:20:11Z,,0,32,https://2gis.com/firm/4504128908704427,branch,30,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726617
Пятёрочка,супермаркет,Супермаркеты; Доставка продуктов,"улица Мусы Джалиля, 4а",1 этаж,115573,,Зябликово,Москва,,Москва,Россия,Пн: 09:00-23:00; Вт: 09:00-23:00; Ср: 09:00-23:00; Чт: 09:00-23:00; Пт: 09:00-23:00; Сб: 09:00-23:00; Вс: 09:00-23:00,+03:00,4.5,31,88007700400,,,info@x5.ru,,,http://5ka.ru/catalog?utm_source=2gis&utm_medium=cpm&utm_campaign=000161-17_igronik_media_5ka_promo_04_2026%7Cformat_banner%7Ctype_banner&utm_content=%7Ccreo_1&utm_term,http://max.ru/tspyaterochka,,,,,https://twitter.com/pyaterochka,,,,,,https://vk.com/pyaterochka_shop,,,,,,,,,,,,,,,,,,4504127909831628,55.628943,37.741505,4504235282532041,,,3347,4504136498316193,Пятёрочка,супермаркет,Супермаркеты,mart,2,13,2026-06-22T08:07:38Z,,0,32,https://2gis.com/firm/4504127909831628,branch,30,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726617
