Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,E-mail 3,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,Instagram 1,Instagram 2,Instagram 3,Twitter 1,Twitter 2,Twitter 3,Facebook 1,Facebook 2,Facebook 3,ВКонтакте 1,ВКонтакте 2,ВКонтакте 3,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber 1,Viber 2,Viber 3,Telegram 1,Telegram 2,Telegram 3,YouTube 1,YouTube 2,YouTube 3,Skype 1,Skype 2,Skype 3,ID объекта,Широта,Долгота,ID здания,Название здания,ID этажа,Количество филиалов,ID сети,Название сети,Специализация сети,Главная рубрика,POI-категория,Кол-во рубрик,Кол-во атрибутов,Дата обновления,Удалён,ID сегмента,ID региона,2GIS URL,Тип,Ожидаемое кол-во (2GIS),Ссылка запроса
Бристоль,магазин у дома,Продуктовые магазины; Алкогольные напитки,"Федеративный проспект, 48 к1",1 этаж,111558,,Ивановское,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00 (Время продажи алкоголя ограничено.),+03:00,4.6,57,88002222002,,,,,,http://bristol.ru,,,,,,,,,,,,https://vk.com/bristol_retail,,,,,,,,,https://t.me/bristolretail,,,,,,,,,70000001049000679,55.753035,37.825238,4504235282596872,,,635,70000001018898719,Бристоль,магазин у дома,Продуктовые магазины,shop,2,6,2026-07-07T13:55:39Z,,0,32,https://2gis.com/firm/70000001049000679,branch,19,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726579
Красное&Белое,продуктовый магазин,Продуктовые магазины; Алкогольные напитки,"Саянская улица, 6а",,111555,,Ивановское,Москва,,Москва,Россия,Пн: 09:00-22:05; Вт: 09:00-22:05; Ср: 09:00-22:05; Чт: 09:00-22:05; Пт: 09:00-22:05; Сб: 09:00-22:05; Вс: 09:00-22:05 (Время продажи алкоголя ограничено.),+03:00,4.5,32,88001000804,89227033000,,,,,http://krasnoeibeloe.ru,http://zen.yandex.ru/id/5dde5c1021552277da47ba4b,http://max.ru/krasnoebeloe,,,,,,,,,,https://vk.com/krasnoebeloe,,,,,,,,,https://t.me/krasnoeibeloe,,,,,,,,,70000001031588310,55.767152,37.826457,4504235282588513,,,2113,70000001090565128,Красное&Белое,продуктовый магазин,Продуктовые магазины,shop,2,4,2026-06-21T07:49:26Z,,0,32,https://2gis.com/firm/70000001031588310,branch,19,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726579
Красное&Белое,продуктовый магазин,Продуктовые магазины; Алкогольные напитки,"улица Сталеваров, 22 к2",1 этаж,111558,,Ивановское,Москва,,Москва,Россия,Пн: 09:00-22:05; Вт: 09:00-22:05; Ср: 09:00-22:05; Чт: 09:00-22:05; Пт: 09:00-22:05; Сб: 09:00-22:05; Вс: 09:00-22:05 (Время продажи алкоголя ограничено.),+03:00,4.9,3,88001000804,89227033000,,,,,http://krasnoeibeloe.ru,http://zen.yandex.ru/id/5dde5c1021552277da47ba4b,http://max.ru/krasnoebeloe,,,,,,,,,,https://vk.com/krasnoebeloe,,,,,,,,,https://t.me/krasnoeibeloe,,,,,,,,,70000001098996452,55.754216,37.83874,4504235282587848,,,2113,70000001090565128,Красное&Белое,продуктовый магазин,Продуктовые магазины,shop,2,5,2026-06-21T07:49:11Z,,0,32,https://2gis.com/firm/70000001098996452,branch,19,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726579
Красное&Белое,продуктовый магазин,Продуктовые магазины; Алкогольные напитки,"улица Молостовых, 16 к1",1 этаж,111558,,Ивановское,Москва,,Москва,Россия,Пн: 09:00-22:05; Вт: 09:00-22:05; Ср: 09:00-22:05; Чт: 09:00-22:05; Пт: 09:00-22:05; Сб: 09:00-22:05; Вс: 09:00-22:05 (Время продажи алкоголя ограничено.),+03:00,4.8,61,88001000804,89227033000,,,,,http://krasnoeibeloe.ru,http://zen.yandex.ru/id/5dde5c1021552277da47ba4b,http://max.ru/krasnoebeloe,,,,,,,,,,https://vk.com/krasnoebeloe,,,,,,,,,https://t.me/krasnoeibeloe,,,,,,,,,70000001042045827,55.751841,37.83155,4504235282588770,,,2113,70000001090565128,Красное&Белое,продуктовый магазин,Продуктовые магазины,shop,2,6,2026-06-21T07:48:14Z,,0,32,https://2gis.com/firm/70000001042045827,branch,19,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726579
Винлаб,супермаркет напитков,Продуктовые магазины; Алкогольные напитки,"улица Молостовых, 16 к1",,111558,,Ивановское,Москва,,Москва,Россия,Пн: 10:00-23:00; Вт: 10:00-23:00; Ср: 10:00-23:00; Чт: 10:00-23:00; Пт: 10:00-23:00; Сб: 10:00-23:00; Вс: 10:00-23:00 (Время продажи алкоголя ограничено.),+03:00,5.0,4,88003017755,,,,,,http://b2b.winelab.ru,http://max.ru/winelab_ru,,,,,,,,,,,https://vk.com/winelabru,,,,,,,,,https://t.me/winelab_chatbot,,,,,,,,,70000001081110996,55.751991,37.831559,4504235282588770,,,1163,70000001019234769,Винлаб,супермаркет напитков,Продуктовые магазины,shop,2,6,2026-07-07T13:29:23Z,,0,32,https://2gis.com/firm/70000001081110996,branch,19,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726579
Бристоль,магазин у дома,Продуктовые магазины; Алкогольные напитки,"улица Молостовых, 17 к1",1 этаж,111558,,Ивановское,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00 (Время продажи алкоголя ограничено.),+03:00,4.8,46,88002222002,,,,,,http://bristol.ru,,,,,,,,,,,,https://vk.com/bristol_retail,,,,,,,,,https://t.me/bristolretail,,,,,,,,,70000001040657658,55.752594,37.832863,4504235282587891,,,635,70000001018898719,Бристоль,магазин у дома,Продуктовые магазины,shop,2,5,2026-07-07T13:55:19Z,,0,32,https://2gis.com/firm/70000001040657658,branch,19,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726579
Красное&Белое,продуктовый магазин,Продуктовые магазины; Алкогольные напитки,"шоссе Энтузиастов, 98Б ст1",,111531,,Ивановское,Москва,,Москва,Россия,Пн: 09:00-22:05; Вт: 09:00-22:05; Ср: 09:00-22:05; Чт: 09:00-22:05; Пт: 09:00-22:05; Сб: 09:00-22:05; Вс: 09:00-22:05 (Время продажи алкоголя ограничено.),+03:00,4.9,33,88001000804,89227033000,,,,,http://krasnoeibeloe.ru,http://zen.yandex.ru/id/5dde5c1021552277da47ba4b,http://max.ru/krasnoebeloe,,,,,,,,,,https://vk.com/krasnoebeloe,,,,,,,,,https://t.me/krasnoeibeloe,,,,,,,,,70000001058916446,55.771566,37.832907,4504235283014389,,,2113,70000001090565128,Красное&Белое,продуктовый магазин,Алкогольные напитки,shop,2,4,2026-06-21T07:49:09Z,,0,32,https://2gis.com/firm/70000001058916446,branch,19,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726579
Ароматный мир,винный супермаркет,Продуктовые магазины; Алкогольные напитки,"Саянская улица, 9а",1 этаж,111531,,Ивановское,Москва,,Москва,Россия,Пн: 09:30-22:30; Вт: 09:30-22:30; Ср: 09:30-22:30; Чт: 09:30-22:30; Пт: 09:30-22:30; Сб: 09:30-22:30; Вс: 10:00-22:00 (Время продажи алкоголя ограничено.),+03:00,5.0,5,88007777290,84957775190 (доп.4006),,,,,http://amwine.ru,http://max.ru/amwineru,,,,,,,,,,,https://vk.com/amwineru,,,,,,,,,https://t.me/amwineru,,,https://youtube.com/@Aromatnyi_Mir_Vino_bez_vody,,,,,,70000001060007845,55.769063,37.832777,4504235282597632,ТЦ Саянский,,564,4504136498285713,Ароматный мир,винный супермаркет,Продуктовые магазины,shop,2,4,2026-07-09T13:23:08Z,,0,32,https://2gis.com/firm/70000001060007845,branch,19,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726579
Изабела,торговый ряд,Продуктовые магазины,"Саянская улица, 9г",,111531,,Ивановское,Москва,,Москва,Россия,Пн: 09:00-20:30; Вт: 09:00-20:30; Ср: 09:00-20:30; Чт: 09:00-20:30; Пт: 09:00-20:30; Сб: 09:00-20:30; Вс: 09:00-19:00,+03:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4504127908851357,55.770525,37.832837,4504235282600010,,,1,4504136498547441,"Изабела, ООО, торговый ряд",торговый ряд,Продуктовые магазины,shop,1,4,2026-04-02T15:38:03Z,,0,32,https://2gis.com/firm/4504127908851357,branch,19,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726579
Магазин продуктов,,Продуктовые магазины,"Челябинская улица, 8",1 этаж,105568,Южное Измайлово м-н,Ивановское,Москва,,Москва,Россия,"Пн: 00:00-03:00, 04:00-24:00; Вт: 00:00-03:00, 04:00-24:00; Ср: 00:00-03:00, 04:00-24:00; Чт: 00:00-03:00, 04:00-24:00; Пт: 00:00-03:00, 04:00-24:00; Сб: 00:00-03:00, 04:00-24:00; Вс: 00:00-03:00, 04:00-24:00",+03:00,,,89660801166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70000001110963152,55.775447,37.824235,4504235282597737,,,1,70000001110963151,Магазин продуктов,Магазин продуктов,Продуктовые магазины,shop,1,3,2026-01-26T06:46:27Z,,0,32,https://2gis.com/firm/70000001110963152,branch,19,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726579
