Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,E-mail 3,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,Instagram 1,Instagram 2,Instagram 3,Twitter 1,Twitter 2,Twitter 3,Facebook 1,Facebook 2,Facebook 3,ВКонтакте 1,ВКонтакте 2,ВКонтакте 3,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber 1,Viber 2,Viber 3,Telegram 1,Telegram 2,Telegram 3,YouTube 1,YouTube 2,YouTube 3,Skype 1,Skype 2,Skype 3,ID объекта,Широта,Долгота,ID здания,Название здания,ID этажа,Количество филиалов,ID сети,Название сети,Специализация сети,Главная рубрика,POI-категория,Кол-во рубрик,Кол-во атрибутов,Дата обновления,Удалён,ID сегмента,ID региона,2GIS URL,Тип,Ожидаемое кол-во (2GIS),Ссылка запроса
Конкордия,продуктовый магазин,Продуктовые магазины,"Измайловское шоссе, 71 к2Б",1 этаж,105613,,Измайлово,Москва,,Москва,Россия,Пн: 09:00-23:00; Вт: 09:00-23:00; Ср: 09:00-23:00; Чт: 09:00-23:00; Пт: 09:00-23:00; Сб: 09:00-23:00; Вс: 09:00-23:00,+03:00,3.8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70000001038036054,55.789177,37.747412,4504235282547281,Гостиница Бета,,1,70000001038036053,Конкордия,продуктовый магазин,Продуктовые магазины,shop,1,5,2026-02-10T15:36:21Z,,0,32,https://2gis.com/firm/70000001038036054,branch,40,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726587
Авокадо,минимаркет,Продуктовые магазины,"Измайловское шоссе, 71 к2Б",,105613,,Измайлово,Москва,,Москва,Россия,Пн: 08:00-22:00; Вт: 08:00-22:00; Ср: 08:00-22:00; Чт: 08:00-22:00; Пт: 08:00-22:00; Сб: 08:00-22:00; Вс: 08:00-22:00,+03:00,,,88002007575,,,,,,http://авокадо.рф,http://max.ru/avocado_grocery_stores,,,,,,,,,,,,,,,,,,,,https://t.me/avocadoswnn,,,,,,,,,70000001114855267,55.789615,37.747355,4504235282547281,Гостиница Бета,,687,70000001041565312,Авокадо,минимаркет,Продуктовые магазины,shop,1,0,2026-06-06T04:51:47Z,,0,32,https://2gis.com/firm/70000001114855267,branch,40,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726587
Альтаир-л,гастроном,Продуктовые магазины,"Измайловское шоссе, 69д",1 этаж,105187,,Измайлово,Москва,,Москва,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,2.0,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4504127909386508,55.788537,37.747762,4504235282547295,ТЦ Альбатрос,70030076552791272,1,4504136498759742,"Альтаир-л, ООО, гастроном",гастроном,Продуктовые магазины,shop,1,5,2026-03-23T10:54:04Z,,0,32,https://2gis.com/firm/4504127909386508,branch,40,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726587
Домашняя кулинария,гастроном,Продуктовые магазины,"Измайловское шоссе, 71 ст14",,105613,,Измайлово,Москва,,Москва,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,2.7,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70000001017546452,55.791047,37.748273,4504235282996488,,,1,70000001017546451,Домашняя кулинария,гастроном,Продуктовые магазины,shop,1,5,2026-02-10T16:12:13Z,,0,32,https://2gis.com/firm/70000001017546452,branch,40,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726587
Красное&Белое,продуктовый магазин,Продуктовые магазины; Алкогольные напитки,"Сиреневый бульвар, 4/1",1 этаж,105122,,Измайлово,Москва,,Москва,Россия,Пн: 09:00-22:05; Вт: 09:00-22:05; Ср: 09:00-22:05; Чт: 09:00-22:05; Пт: 09:00-22:05; Сб: 09:00-22:05; Вс: 09:00-22:05 (Время продажи алкоголя ограничено.),+03:00,5.0,1,88001000804,89227033000,,,,,http://krasnoeibeloe.ru,http://zen.yandex.ru/id/5dde5c1021552277da47ba4b,http://max.ru/krasnoebeloe,,,,,,,,,,https://vk.com/krasnoebeloe,,,,,,,,,https://t.me/krasnoeibeloe,,,,,,,,,70000001095754660,55.799361,37.763136,70030076224302362,,,2113,70000001090565128,Красное&Белое,продуктовый магазин,Продуктовые магазины,shop,2,5,2026-06-21T07:49:25Z,,0,32,https://2gis.com/firm/70000001095754660,branch,40,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726587
Красное&Белое,продуктовый магазин,Продуктовые магазины; Алкогольные напитки,"3-я Парковая улица, 38 к1",1 этаж,105425,,Измайлово,Москва,,Москва,Россия,Пн: 09:00-22:05; Вт: 09:00-22:05; Ср: 09:00-22:05; Чт: 09:00-22:05; Пт: 09:00-22:05; Сб: 09:00-22:05; Вс: 09:00-22:05 (Время продажи алкоголя ограничено.),+03:00,4.5,1,88001000804,89227033000,,,,,http://krasnoeibeloe.ru,http://zen.yandex.ru/id/5dde5c1021552277da47ba4b,http://max.ru/krasnoebeloe,,,,,,,,,,https://vk.com/krasnoebeloe,,,,,,,,,https://t.me/krasnoeibeloe,,,,,,,,,70000001083438021,55.801497,37.782861,4504235282542612,,,2113,70000001090565128,Красное&Белое,продуктовый магазин,Продуктовые магазины,shop,2,4,2026-06-21T07:49:41Z,,0,32,https://2gis.com/firm/70000001083438021,branch,40,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726587
Красное&Белое,продуктовый магазин,Продуктовые магазины; Алкогольные напитки,"6-я Парковая улица, 20/53",1 этаж,105043,,Измайлово,Москва,,Москва,Россия,Пн: 09:00-22:05; Вт: 09:00-22:05; Ср: 09:00-22:05; Чт: 09:00-22:05; Пт: 09:00-22:05; Сб: 09:00-22:05; Вс: 09:00-22:05 (Время продажи алкоголя ограничено.),+03:00,2.7,2,88001000804,89227033000,,,,,http://krasnoeibeloe.ru,http://zen.yandex.ru/id/5dde5c1021552277da47ba4b,http://max.ru/krasnoebeloe,,,,,,,,,,https://vk.com/krasnoebeloe,,,,,,,,,https://t.me/krasnoeibeloe,,,,,,,,,70000001036850133,55.793291,37.791401,4504235282546722,,,2113,70000001090565128,Красное&Белое,продуктовый магазин,Продуктовые магазины,shop,2,4,2026-06-21T07:49:56Z,,0,32,https://2gis.com/firm/70000001036850133,branch,40,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726587
Красное&Белое,продуктовый магазин,Продуктовые магазины; Алкогольные напитки,"Верхняя Первомайская улица, 2/32",Цокольный этаж,105264,,Измайлово,Москва,,Москва,Россия,Пн: 09:00-22:05; Вт: 09:00-22:05; Ср: 09:00-22:05; Чт: 09:00-22:05; Пт: 09:00-22:05; Сб: 09:00-22:05; Вс: 09:00-22:05 (Время продажи алкоголя ограничено.),+03:00,4.7,3,88001000804,89227033000,,,,,http://krasnoeibeloe.ru,http://zen.yandex.ru/id/5dde5c1021552277da47ba4b,http://max.ru/krasnoebeloe,,,,,,,,,,https://vk.com/krasnoebeloe,,,,,,,,,https://t.me/krasnoeibeloe,,,,,,,,,70000001098194559,55.799006,37.783132,4504235282538590,,,2113,70000001090565128,Красное&Белое,продуктовый магазин,Продуктовые магазины,shop,2,4,2026-06-21T07:49:24Z,,0,32,https://2gis.com/firm/70000001098194559,branch,40,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726587
Красное&Белое,продуктовый магазин,Продуктовые магазины; Алкогольные напитки,"Заводской проезд, 25",1 этаж,105043,,Измайлово,Москва,,Москва,Россия,Пн: 09:00-22:05; Вт: 09:00-22:05; Ср: 09:00-22:05; Чт: 09:00-22:05; Пт: 09:00-22:05; Сб: 09:00-22:05; Вс: 09:00-22:05 (Время продажи алкоголя ограничено.),+03:00,3.7,10,88001000804,89227033000,,,,,http://krasnoeibeloe.ru,http://zen.yandex.ru/id/5dde5c1021552277da47ba4b,http://max.ru/krasnoebeloe,,,,,,,,,,https://vk.com/krasnoebeloe,,,,,,,,,https://t.me/krasnoeibeloe,,,,,,,,,70000001045973542,55.790212,37.789729,4504235282550536,,,2113,70000001090565128,Красное&Белое,продуктовый магазин,Продуктовые магазины,shop,2,5,2026-07-07T09:54:29Z,,0,32,https://2gis.com/firm/70000001045973542,branch,40,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726587
Либертас,продуктовый магазин,Продуктовые магазины,"Измайловское шоссе, 71 к4г-д",1 этаж,105613,,Измайлово,Москва,,Москва,Россия,Пн: 09:00-23:00; Вт: 09:00-23:00; Ср: 09:00-23:00; Чт: 09:00-23:00; Пт: 09:00-23:00; Сб: 09:00-23:00; Вс: 09:00-23:00,+03:00,2.9,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70000001017580507,55.792228,37.74928,4504235282547287,,,1,70000001017580506,"Либертас, ООО, продуктовый магазин",продуктовый магазин,Продуктовые магазины,shop,1,4,2025-09-16T11:10:06Z,,0,32,https://2gis.com/firm/70000001017580507,branch,40,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726587
Красное&Белое,продуктовый магазин,Продуктовые магазины; Алкогольные напитки,"Измайловский проезд, 5/1 к4",1 этаж,105037,,Измайлово,Москва,,Москва,Россия,Пн: 09:00-22:05; Вт: 09:00-22:05; Ср: 09:00-22:05; Чт: 09:00-22:05; Пт: 09:00-22:05; Сб: 09:00-22:05; Вс: 09:00-22:05 (Время продажи алкоголя ограничено.),+03:00,5.0,2,88001000804,89227033000,,,,,http://krasnoeibeloe.ru,http://zen.yandex.ru/id/5dde5c1021552277da47ba4b,http://max.ru/krasnoebeloe,,,,,,,,,,https://vk.com/krasnoebeloe,,,,,,,,,https://t.me/krasnoeibeloe,,,,,,,,,70000001089019145,55.798428,37.766093,70030076185069319,,,2113,70000001090565128,Красное&Белое,продуктовый магазин,Продуктовые магазины,shop,2,5,2026-06-21T07:48:43Z,,0,32,https://2gis.com/firm/70000001089019145,branch,40,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726587
