Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,E-mail 3,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,Instagram 1,Instagram 2,Instagram 3,Twitter 1,Twitter 2,Twitter 3,Facebook 1,Facebook 2,Facebook 3,ВКонтакте 1,ВКонтакте 2,ВКонтакте 3,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber 1,Viber 2,Viber 3,Telegram 1,Telegram 2,Telegram 3,YouTube 1,YouTube 2,YouTube 3,Skype 1,Skype 2,Skype 3,ID объекта,Широта,Долгота,ID здания,Название здания,ID этажа,Количество филиалов,ID сети,Название сети,Специализация сети,Главная рубрика,POI-категория,Кол-во рубрик,Кол-во атрибутов,Дата обновления,Удалён,ID сегмента,ID региона,2GIS URL,Тип,Ожидаемое кол-во (2GIS),Ссылка запроса
Перекрёсток,супермаркет,Супермаркеты; Доставка продуктов,"Измайловское шоссе, 71а",цокольный этаж,105187,,Измайлово,Москва,,Москва,Россия,Пн: 09:00-23:00; Вт: 09:00-23:00; Ср: 09:00-23:00; Чт: 09:00-23:00; Пт: 09:00-23:00; Сб: 09:00-23:00; Вс: 09:00-23:00,+03:00,3.9,106,88002009555 (многоканальный),,,info@x5.ru,,,http://perekrestok.ru/?utm_source=2gis_maps&utm_medium=display&utm_campaign=maps_wo_promo&utm_content=main_url,http://max.ru/perekrestok_shop,,,,,,,,,,,https://vk.com/perekrestok_shop,,,,,,,,,https://t.me/myperekrestokbot,,,,,,,,,70000001036670408,55.789592,37.752764,4504235282554175,ТЦ Измайловский пассаж,70030076553779178,487,4504136498303078,Перекрёсток,супермаркет,Супермаркеты,mart,2,13,2026-06-27T05:12:00Z,,0,32,https://2gis.com/firm/70000001036670408,branch,65,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726587
Супер Лента,супермаркет,Супермаркеты,"Измайловский проезд, 3 к2",,105037,,Измайлово,Москва,,Москва,Россия,Пн: 08:00-22:00; Вт: 08:00-22:00; Ср: 08:00-22:00; Чт: 08:00-22:00; Пт: 08:00-22:00; Сб: 09:00-22:00; Вс: 09:00-22:00,+03:00,4.7,63,84957774111 (горячая линия: круглосуточно),88007004111 (горячая линия: круглосуточно),,info@lenta.com,,,http://lentaapp.go.link/main?adj_t=1ovv6zw6&adj_deep_link=lentochka%3A%2F%2Fmain&adj_fallback=https%3A%2F%2Flenta.com%2F%3Futm_campaign%3Dmaps_free%26utm_medium%3Drefferal%26utm_source%3D2gis.maps&adj_redirect_macos=https%3A%2F%2Flenta.com%2F%3Futm_campaign%3Dmaps_free%26utm_medium%3Drefferal%26utm_source%3D2gis.maps,http://max.ru/lentacom,,,,,,,,,,,https://vk.com/lentacom,,,,,,,,,https://t.me/lenta_promobot,,,https://youtube.com/channel/UCrrKUFYJyIfkBeBSwBWrqXQ,,,,,,70000001058983786,55.795582,37.768815,4504235282996127,,,139,70000001058978863,Супер Лента,супермаркет,Супермаркеты,mart,1,11,2026-07-05T05:33:12Z,,0,32,https://2gis.com/firm/70000001058983786,branch,65,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726587
Чижик,супермаркет,Супермаркеты,"Измайловский проезд, 5 к2",1 этаж,105037,,Измайлово,Москва,,Москва,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+03:00,3.2,6,84992702713,,,112@chizhik.club,,,http://chizhik.club/?utm_campaign=HB5P&utm_medium=maps&utm_source=2gis,,,,,,,,,,,,https://vk.com/chizhik.club,,,,,,,,,,,,,,,,,,70000001096405662,55.796357,37.768723,4504235282539368,,,613,70000001046125844,Чижик,супермаркет,Супермаркеты,mart,1,8,2026-07-05T12:23:13Z,,0,32,https://2gis.com/firm/70000001096405662,branch,65,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726587
Чижик,супермаркет,Супермаркеты,"Первомайская улица, 33",цокольный этаж,105037,,Измайлово,Москва,,Москва,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+03:00,4.8,39,84992702713,,,112@chizhik.club,,,http://chizhik.club/?utm_campaign=HAOD&utm_medium=maps&utm_source=2gis,,,,,,,,,,,,https://vk.com/chizhik.club,,,,,,,,,,,,,,,,,,70000001089132964,55.792911,37.781966,4504235282539695,,,613,70000001046125844,Чижик,супермаркет,Супермаркеты,mart,1,5,2026-07-03T10:52:15Z,,0,32,https://2gis.com/firm/70000001089132964,branch,65,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726587
Перекрёсток,супермаркет,Супермаркеты; Доставка продуктов,"3-я Парковая улица, 24",1 этаж,105043,,Измайлово,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,4.6,139,88002009555 (многоканальный),,,info@x5.ru,,,http://perekrestok.ru/?utm_source=2gis_maps&utm_medium=display&utm_campaign=maps_wo_promo&utm_content=main_url,http://max.ru/perekrestok_shop,,,,,,,,,,,https://vk.com/perekrestok_shop,,,,,,,,,https://t.me/+rHsiEm_QR3EwNTky,,,,,,,,,70000001025655988,55.794963,37.783955,4504235306768618,ТЦ Парагон,70030076576864356,487,4504136498303078,Перекрёсток,супермаркет,Супермаркеты,mart,2,12,2026-07-03T14:00:40Z,,0,32,https://2gis.com/firm/70000001025655988,branch,65,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726587
Перекрёсток,супермаркет,Супермаркеты; Доставка продуктов,"Никитинская улица, 11 к1",,105037,,Измайлово,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,4.5,88,88002009555 (многоканальный),,,info@x5.ru,,,http://perekrestok.ru/?utm_source=2gis_maps&utm_medium=display&utm_campaign=maps_wo_promo&utm_content=main_url,http://max.ru/perekrestok_shop,,,,,,,,,,,https://vk.com/perekrestok_shop,,,,,,,,,https://t.me/+rHsiEm_QR3EwNTky,,,,,,,,,70000001029699791,55.798368,37.774834,4504235282544427,,,487,4504136498303078,Перекрёсток,супермаркет,Супермаркеты,mart,2,12,2026-06-27T05:12:07Z,,0,32,https://2gis.com/firm/70000001029699791,branch,65,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726587
Мираторг,супермаркет,Супермаркеты; Доставка продуктов,"Первомайская улица, 66",1 этаж,105043,,Измайлово,Москва,,Москва,Россия,Пн: 07:00-24:00; Вт: 07:00-24:00; Ср: 07:00-24:00; Чт: 07:00-24:00; Пт: 07:00-24:00; Сб: 07:00-24:00; Вс: 07:00-24:00,+03:00,4.7,154,88005502719,,,,,,http://miratorg.ru/super,http://t.me/+Y3RA1ifcI7RhNDNi,,,,,,,,,,,https://vk.com/supermarketmiratorg,,,,,,,,,https://t.me/+Y3RA1ifcI7RhNDNi,,,,,,,,,70000001034163383,55.79306,37.797806,4504235282550734,,,97,4504136499896740,Мираторг,супермаркет,Супермаркеты,mart,2,12,2026-07-04T20:56:32Z,,0,32,https://2gis.com/firm/70000001034163383,branch,65,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726587
Перекрёсток,супермаркет,Супермаркеты; Доставка продуктов,"Первомайская улица, 42",1 этаж,105043,,Измайлово,Москва,,Москва,Россия,Пн: 08:00-24:00; Вт: 08:00-24:00; Ср: 08:00-24:00; Чт: 08:00-24:00; Пт: 08:00-24:00; Сб: 08:00-24:00; Вс: 08:00-24:00,+03:00,4.7,243,88002009555 (многоканальный),,,info@x5.ru,,,http://perekrestok.ru/?utm_source=2gis_maps&utm_medium=display&utm_campaign=maps_wo_promo&utm_content=main_url,http://max.ru/perekrestok_shop,,,,,,,,,,,https://vk.com/perekrestok_shop,,,,,,,,,https://t.me/+rHsiEm_QR3EwNTky,,,,,,,,,4504128908761652,55.792619,37.786654,4504235283049554,,70030077100384298,487,4504136498303078,Перекрёсток,супермаркет,Супермаркеты,mart,2,13,2026-06-27T05:12:04Z,,0,32,https://2gis.com/firm/4504128908761652,branch,65,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726587
Пятёрочка,супермаркет,Супермаркеты,"Измайловская площадь, 1",1 этаж,105037,,Измайлово,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,,,88007700400,,,info@x5.ru,,,http://5ka.ru/catalog?utm_source=2gis&utm_medium=cpm&utm_campaign=000161-17_igronik_media_5ka_promo_04_2026%7Cformat_banner%7Ctype_banner&utm_content=%7Ccreo_1&utm_term,http://max.ru/tspyaterochka,,,,,https://twitter.com/pyaterochka,,,,,,https://vk.com/pyaterochka_shop,,,,,,,,,,,,,,,,,,70000001096466953,55.791861,37.775179,4504235311933285,,,3347,4504136498316193,Пятёрочка,супермаркет,Супермаркеты,mart,1,14,2026-06-22T08:06:46Z,,0,32,https://2gis.com/firm/70000001096466953,branch,65,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726587
Чижик,супермаркет,Супермаркеты; Доставка продуктов,"Никитинская улица, 10",1 этаж,105425,,Измайлово,Москва,,Москва,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+03:00,4.6,50,84992702713,,,112@chizhik.club,,,http://chizhik.club/?utm_campaign=HAF4&utm_medium=maps&utm_source=2gis,,,,,,,,,,,,https://vk.com/chizhik.club,,,,,,,,,,,,,,,,,,70000001083257086,55.799322,37.776421,70030076143626168,,,613,70000001046125844,Чижик,супермаркет,Супермаркеты,mart,2,7,2026-07-05T12:23:10Z,,0,32,https://2gis.com/firm/70000001083257086,branch,65,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726587
