Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,E-mail 3,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,Instagram 1,Instagram 2,Instagram 3,Twitter 1,Twitter 2,Twitter 3,Facebook 1,Facebook 2,Facebook 3,ВКонтакте 1,ВКонтакте 2,ВКонтакте 3,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber 1,Viber 2,Viber 3,Telegram 1,Telegram 2,Telegram 3,YouTube 1,YouTube 2,YouTube 3,Skype 1,Skype 2,Skype 3,ID объекта,Широта,Долгота,ID здания,Название здания,ID этажа,Количество филиалов,ID сети,Название сети,Специализация сети,Главная рубрика,POI-категория,Кол-во рубрик,Кол-во атрибутов,Дата обновления,Удалён,ID сегмента,ID региона,2GIS URL,Тип,Ожидаемое кол-во (2GIS),Ссылка запроса
Магнит,супермаркет,Супермаркеты,"квартал 3-й Капотня, 13",1 этаж,109429,,Капотня,Москва,,Москва,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,2.7,8,88002009002 (единая справочная: пн-вс 6:00-00:00),,,info@magnit.ru,,,http://magnit.ru/?utm_source=_geopriority_&utm_medium=&utm_campaign=_MM_Geoprioritety_-&utm_content=main&utm_term=,,,,,,,,,,,,https://vk.com/magnitretail,,,,,,,,,https://t.me/magnit_retail,,,,,,,,,70000001086868547,55.635084,37.796054,4504235282607509,,,1562,4504137598701571,Магнит,супермаркет,Супермаркеты,mart,1,10,2026-07-02T13:00:56Z,,0,32,https://2gis.com/firm/70000001086868547,branch,12,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726597
Пятёрочка,супермаркет,Супермаркеты,"квартал 1-й Капотня, 15",1 этаж,109429,,Капотня,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,5.0,1,88007700400,,,info@x5.ru,,,http://5ka.ru/catalog?utm_source=2gis&utm_medium=cpm&utm_campaign=000161-17_igronik_media_5ka_promo_04_2026%7Cformat_banner%7Ctype_banner&utm_content=%7Ccreo_1&utm_term,http://max.ru/tspyaterochka,,,,,https://twitter.com/pyaterochka,,,,,,https://vk.com/pyaterochka_shop,,,,,,,,,,,,,,,,,,70000001095230974,55.640595,37.789536,4504235282629017,,,3347,4504136498316193,Пятёрочка,супермаркет,Супермаркеты,mart,1,5,2026-06-22T08:06:47Z,,0,32,https://2gis.com/firm/70000001095230974,branch,12,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726597
Дикси,супермаркет,Супермаркеты,"квартал 4-й Капотня, 3",1 этаж,109429,,Капотня,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,4.7,126,88001011001,,,,,,http://dixy.ru,,,,,,,,,,,,https://vk.com/dixyclub,,,,,,,,,https://t.me/dixy_russia,,,https://youtube.com/user/dixychannel,,,,,,4504128908484317,55.635742,37.794216,4504235282628971,,,1418,4504136498313374,Дикси,супермаркет,Супермаркеты,mart,1,10,2026-06-25T04:05:58Z,,0,32,https://2gis.com/firm/4504128908484317,branch,12,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726597
Пятёрочка,супермаркет,Супермаркеты; Доставка продуктов,"квартал 5-й Капотня, 24",1 этаж,109649,,Капотня,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,3.8,17,88007700400,,,info@x5.ru,,,http://5ka.ru/catalog?utm_source=2gis&utm_medium=cpm&utm_campaign=000161-17_igronik_media_5ka_promo_04_2026%7Cformat_banner%7Ctype_banner&utm_content=%7Ccreo_1&utm_term,http://max.ru/tspyaterochka,,,,,https://twitter.com/pyaterochka,,,,,,https://vk.com/pyaterochka_shop,,,,,,,,,,,,,,,,,,70000001027339831,55.630746,37.799506,4504235282628802,,,3347,4504136498316193,Пятёрочка,супермаркет,Супермаркеты,mart,2,11,2026-06-22T08:07:35Z,,0,32,https://2gis.com/firm/70000001027339831,branch,12,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726597
Пятёрочка,супермаркет,Супермаркеты; Доставка продуктов,"квартал 4-й Капотня, 3",1 этаж,109429,,Капотня,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,3.3,24,88007700400,,,info@x5.ru,,,http://5ka.ru/catalog?utm_source=2gis&utm_medium=cpm&utm_campaign=000161-17_igronik_media_5ka_promo_04_2026%7Cformat_banner%7Ctype_banner&utm_content=%7Ccreo_1&utm_term,http://max.ru/tspyaterochka,,,,,https://twitter.com/pyaterochka,,,,,,https://vk.com/pyaterochka_shop,,,,,,,,,,,,,,,,,,4504127917327466,55.636154,37.794156,4504235282628971,,,3347,4504136498316193,Пятёрочка,супермаркет,Супермаркеты,mart,2,13,2026-06-22T08:07:35Z,,0,32,https://2gis.com/firm/4504127917327466,branch,12,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726597
У Алёны,минимаркет,Супермаркеты,"МКАД 14 километр, 30а",1 этаж,109429,,Капотня,Москва,,Москва,Россия,Пн: 07:00-19:00; Вт: 07:00-19:00; Ср: 07:00-19:00; Чт: 07:00-19:00; Пт: 07:00-19:00; Сб: 07:00-19:00; Вс: 07:00-19:00,+03:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70000001104555526,55.653366,37.829068,4504235283123483,,70030076428152033,1,70000001104555525,У Алёны,минимаркет,Супермаркеты,mart,1,3,2026-03-18T13:54:46Z,,0,32,https://2gis.com/firm/70000001104555526,branch,12,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726597
Дикси,супермаркет,Супермаркеты,"квартал 5-й Капотня, 11 ст2",,109649,,Капотня,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,4.0,9,88001011001,,,,,,http://dixy.ru,,,,,,,,,,,,https://vk.com/dixyclub,,,,,,,,,https://t.me/dixy_russia,,,https://youtube.com/user/dixychannel,,,,,,70000001007193467,55.631744,37.795547,4504235282679922,,,1418,4504136498313374,Дикси,супермаркет,Супермаркеты,mart,1,9,2026-06-25T04:05:49Z,,0,32,https://2gis.com/firm/70000001007193467,branch,12,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726597
Супермаркет,,Супермаркеты,"квартал 2-й Капотня, 2",1 этаж,109429,,Капотня,Москва,,Москва,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70000001112381119,55.639546,37.795724,4504235282629046,,,1,70000001112381118,Супермаркет,Супермаркет,Супермаркеты,mart,1,6,2026-03-03T09:37:06Z,,0,32,https://2gis.com/firm/70000001112381119,branch,12,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726597
Магнит,супермаркет,Супермаркеты,"квартал 5-й Капотня, 26",1 этаж,109649,,Капотня,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,1.7,6,88002009002 (единая справочная: пн-вс 6:00-00:00),,,info@magnit.ru,,,http://magnit.ru/?utm_source=_geopriority_&utm_medium=&utm_campaign=_MM_Geoprioritety_-&utm_content=main&utm_term=,,,,,,,,,,,,https://vk.com/magnitretail,,,,,,,,,https://t.me/magnit_retail,,,,,,,,,70000001081853892,55.630953,37.798547,4504235282628810,,,1562,4504137598701571,Магнит,супермаркет,Супермаркеты,mart,1,9,2026-07-02T13:01:39Z,,0,32,https://2gis.com/firm/70000001081853892,branch,12,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726597
Супермаркет,,Супермаркеты,"квартал 5-й Капотня, 20 ст2",1 этаж,109649,,Капотня,Москва,,Москва,Россия,Пн: 08:00-21:00; Вт: 08:00-21:00; Ср: 08:00-21:00; Чт: 08:00-21:00; Пт: 08:00-21:00; Сб: 08:00-21:00; Вс: 08:00-21:00,+03:00,,,89858899586,,,,,,,,,,,,,,,,,,,,,https://wa.me/79858899586,,,,,,,,,,,,,,,70000001076298990,55.631036,37.799322,4504235282628819,,,1,70000001076298989,Супермаркет,Супермаркет,Супермаркеты,mart,1,5,2025-09-22T17:07:49Z,,0,32,https://2gis.com/firm/70000001076298990,branch,12,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726597
