Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,E-mail 3,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,Instagram 1,Instagram 2,Instagram 3,Twitter 1,Twitter 2,Twitter 3,Facebook 1,Facebook 2,Facebook 3,ВКонтакте 1,ВКонтакте 2,ВКонтакте 3,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber 1,Viber 2,Viber 3,Telegram 1,Telegram 2,Telegram 3,YouTube 1,YouTube 2,YouTube 3,Skype 1,Skype 2,Skype 3,ID объекта,Широта,Долгота,ID здания,Название здания,ID этажа,Количество филиалов,ID сети,Название сети,Специализация сети,Главная рубрика,POI-категория,Кол-во рубрик,Кол-во атрибутов,Дата обновления,Удалён,ID сегмента,ID региона,2GIS URL,Тип,Ожидаемое кол-во (2GIS),Ссылка запроса
Красное&Белое,продуктовый магазин,Продуктовые магазины; Алкогольные напитки,"квартал 2, 5 ст1",1 этаж,108820,,Коммунарка,Москва,,Москва,Россия,Пн: 09:00-22:05; Вт: 09:00-22:05; Ср: 09:00-22:05; Чт: 09:00-22:05; Пт: 09:00-22:05; Сб: 09:00-22:05; Вс: 09:00-22:05 (Время продажи алкоголя ограничено.),+03:00,4.6,2,89097555854,89265753519,,,,,http://krasnoeibeloe.ru,http://zen.yandex.ru/id/5dde5c1021552277da47ba4b,http://max.ru/krasnoebeloe,,,,,,,,,,https://vk.com/krasnoebeloe,,,,,,,,,https://t.me/krasnoeibeloe,,,,,,,,,70000001097312719,55.633574,37.455218,70030076284265923,,,2113,70000001090565128,Красное&Белое,продуктовый магазин,Продуктовые магазины,shop,2,3,2026-06-21T07:49:11Z,,0,32,https://2gis.com/firm/70000001097312719,branch,198,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209520926899
Красное&Белое,продуктовый магазин,Продуктовые магазины; Алкогольные напитки,"Саларьевская улица, 13 к1",1 этаж,108811,,Коммунарка,Москва,,Москва,Россия,Пн: 09:00-22:05; Вт: 09:00-22:05; Ср: 09:00-22:05; Чт: 09:00-22:05; Пт: 09:00-22:05; Сб: 09:00-22:05; Вс: 09:00-22:05 (Время продажи алкоголя ограничено.),+03:00,4.8,17,88001000804,89227033000,,,,,http://krasnoeibeloe.ru,http://zen.yandex.ru/id/5dde5c1021552277da47ba4b,http://max.ru/krasnoebeloe,,,,,,,,,,https://vk.com/krasnoebeloe,,,,,,,,,https://t.me/krasnoeibeloe,,,,,,,,,70000001066067426,55.614284,37.412688,70030076168395840,,,2113,70000001090565128,Красное&Белое,продуктовый магазин,Продуктовые магазины,shop,2,4,2026-06-21T07:49:25Z,,0,32,https://2gis.com/firm/70000001066067426,branch,198,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209520926899
Винлаб,супермаркет напитков,Продуктовые магазины; Алкогольные напитки,"квартал 2, 5 ст1",1 этаж,108820,,Коммунарка,Москва,,Москва,Россия,Пн: 10:00-23:00; Вт: 10:00-23:00; Ср: 10:00-23:00; Чт: 10:00-23:00; Пт: 10:00-23:00; Сб: 10:00-23:00; Вс: 10:00-23:00 (Время продажи алкоголя ограничено.),+03:00,5.0,2,88003017755,,,,,,http://b2b.winelab.ru,http://max.ru/winelab_ru,,,,,,,,,,,https://vk.com/winelabru,,,,,,,,,https://t.me/winelab_chatbot,,,,,,,,,70000001089451078,55.633708,37.45489,70030076284265923,,,1163,70000001019234769,Винлаб,супермаркет напитков,Продуктовые магазины,shop,2,3,2026-07-07T13:29:27Z,,0,32,https://2gis.com/firm/70000001089451078,branch,198,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209520926899
Красное&Белое,продуктовый магазин,Продуктовые магазины; Алкогольные напитки,"улица Малое Понизовье, 10",1 этаж,108802,,Коммунарка,Москва,,Москва,Россия,Пн: 09:00-22:05; Вт: 09:00-22:05; Ср: 09:00-22:05; Чт: 09:00-22:05; Пт: 09:00-22:05; Сб: 09:00-22:05; Вс: 09:00-22:05 (Время продажи алкоголя ограничено.),+03:00,4.7,27,88001000804,89227033000,,,,,http://krasnoeibeloe.ru,http://zen.yandex.ru/id/5dde5c1021552277da47ba4b,http://max.ru/krasnoebeloe,,,,,,,,,,https://vk.com/krasnoebeloe,,,,,,,,,https://t.me/krasnoeibeloe,,,,,,,,,70000001062149806,55.601361,37.411637,70030076178151755,,,2113,70000001090565128,Красное&Белое,продуктовый магазин,Продуктовые магазины,shop,2,4,2026-06-21T07:48:49Z,,0,32,https://2gis.com/firm/70000001062149806,branch,198,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209520926899
Армянский дом,магазин,Продуктовые магазины,"1-я Новая улица, ст1",1 этаж,108811,,Коммунарка,,,Москва,Россия,Пн: 09:00-22:00; Вт: 09:00-22:00; Ср: 09:00-22:00; Чт: 09:00-22:00; Пт: 09:00-22:00; Сб: 09:00-22:00; Вс: 09:00-22:00,+03:00,,,89670778363,,,,,,,,,,,,,,,,,,,,,https://wa.me/79670778363,,,,,,,,,,,,,,,70000001024119835,55.62449,37.440037,4504235325607325,,,2,70000001057408566,Армянский дом,магазин,Продуктовые магазины,shop,1,4,2026-05-25T13:07:57Z,,0,32,https://2gis.com/firm/70000001024119835,branch,198,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209520926899
Бристоль,магазин у дома,Продуктовые магазины; Алкогольные напитки,"Калужское шоссе 22 километр, 10",26-32 павильон; 1 этаж,108802,,Коммунарка,Москва,,Москва,Россия,Пн: 08:00-22:00; Вт: 08:00-22:00; Ср: 08:00-22:00; Чт: 08:00-22:00; Пт: 08:00-22:00; Сб: 08:00-22:00; Вс: 08:00-22:00 (Время продажи алкоголя ограничено.),+03:00,,,88002222002,,,,,,http://bristol.ru,,,,,,,,,,,,https://vk.com/bristol_retail,,,,,,,,,https://t.me/bristolretail,,,,,,,,,70000001095704087,55.600322,37.474419,4504235283119276,ФУД СИТИ,70030076482998368,635,70000001018898719,Бристоль,магазин у дома,Продуктовые магазины,shop,2,6,2026-07-07T13:55:35Z,,0,32,https://2gis.com/firm/70000001095704087,branch,198,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209520926899
Красное&Белое,продуктовый магазин,Продуктовые магазины; Алкогольные напитки,"Ясная улица, 2",1 этаж,108814,,Коммунарка,,,Москва,Россия,Пн: 09:00-22:05; Вт: 09:00-22:05; Ср: 09:00-22:05; Чт: 09:00-22:05; Пт: 09:00-22:05; Сб: 09:00-22:05; Вс: 09:00-22:05 (Время продажи алкоголя ограничено.),+03:00,4.7,34,88001000804,89227033000,,,,,http://krasnoeibeloe.ru,http://zen.yandex.ru/id/5dde5c1021552277da47ba4b,http://max.ru/krasnoebeloe,,,,,,,,,,https://vk.com/krasnoebeloe,,,,,,,,,https://t.me/krasnoeibeloe,,,,,,,,,70000001028987577,55.568413,37.474555,4504235283111678,,,2113,70000001090565128,Красное&Белое,продуктовый магазин,Продуктовые магазины,shop,2,4,2026-06-22T05:28:25Z,,0,32,https://2gis.com/firm/70000001028987577,branch,198,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209520926899
Красное&Белое,продуктовый магазин,Продуктовые магазины; Алкогольные напитки,"Красулинская улица, 22",1 этаж,108802,,Коммунарка,Москва,,Москва,Россия,Пн: 09:00-22:05; Вт: 09:00-22:05; Ср: 09:00-22:05; Чт: 09:00-22:05; Пт: 09:00-22:05; Сб: 09:00-22:05; Вс: 09:00-22:05 (Время продажи алкоголя ограничено.),+03:00,4.6,6,88001000804,89227033000,,,,,http://krasnoeibeloe.ru,http://zen.yandex.ru/id/5dde5c1021552277da47ba4b,http://max.ru/krasnoebeloe,,,,,,,,,,https://vk.com/krasnoebeloe,,,,,,,,,https://t.me/krasnoeibeloe,,,,,,,,,70000001079933616,55.607383,37.413081,70030076311363899,,,2113,70000001090565128,Красное&Белое,продуктовый магазин,Продуктовые магазины,shop,2,6,2026-06-21T07:48:42Z,,0,32,https://2gis.com/firm/70000001079933616,branch,198,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209520926899
Винлаб,супермаркет напитков,Продуктовые магазины; Алкогольные напитки,"Прокшинский проспект, 7",1 этаж,108802,,Коммунарка,Москва,,Москва,Россия,Пн: 10:00-23:00; Вт: 10:00-23:00; Ср: 10:00-23:00; Чт: 10:00-23:00; Пт: 10:00-23:00; Сб: 10:00-23:00; Вс: 10:00-23:00 (Время продажи алкоголя ограничено.),+03:00,5.0,4,88003017755,,,,,,http://b2b.winelab.ru,http://max.ru/winelab_ru,,,,,,,,,,,https://vk.com/winelabru,,,,,,,,,https://t.me/winelab_chatbot,,,,,,,,,70000001101720377,55.592495,37.433462,70030076385510691,,,1163,70000001019234769,Винлаб,супермаркет напитков,Продуктовые магазины,shop,2,5,2026-07-07T13:29:22Z,,0,32,https://2gis.com/firm/70000001101720377,branch,198,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209520926899
Красное&Белое,продуктовый магазин,Продуктовые магазины; Алкогольные напитки,"улица Большое Понизовье, 3",1 этаж,108802,,Коммунарка,Москва,,Москва,Россия,Пн: 09:00-22:05; Вт: 09:00-22:05; Ср: 09:00-22:05; Чт: 09:00-22:05; Пт: 09:00-22:05; Сб: 09:00-22:05; Вс: 09:00-22:05 (Время продажи алкоголя ограничено.),+03:00,4.6,5,88001000804,89227033000,,,,,http://krasnoeibeloe.ru,http://zen.yandex.ru/id/5dde5c1021552277da47ba4b,http://max.ru/krasnoebeloe,,,,,,,,,,https://vk.com/krasnoebeloe,,,,,,,,,https://t.me/krasnoeibeloe,,,,,,,,,70000001079933643,55.603986,37.416934,70030076225015039,,,2113,70000001090565128,Красное&Белое,продуктовый магазин,Продуктовые магазины,shop,2,6,2026-06-21T07:49:41Z,,0,32,https://2gis.com/firm/70000001079933643,branch,198,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209520926899
