Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,E-mail 3,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,Instagram 1,Instagram 2,Instagram 3,Twitter 1,Twitter 2,Twitter 3,Facebook 1,Facebook 2,Facebook 3,ВКонтакте 1,ВКонтакте 2,ВКонтакте 3,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber 1,Viber 2,Viber 3,Telegram 1,Telegram 2,Telegram 3,YouTube 1,YouTube 2,YouTube 3,Skype 1,Skype 2,Skype 3,ID объекта,Широта,Долгота,ID здания,Название здания,ID этажа,Количество филиалов,ID сети,Название сети,Специализация сети,Главная рубрика,POI-категория,Кол-во рубрик,Кол-во атрибутов,Дата обновления,Удалён,ID сегмента,ID региона,2GIS URL,Тип,Ожидаемое кол-во (2GIS),Ссылка запроса
Пятёрочка,супермаркет,Супермаркеты; Доставка продуктов,"Саларьевская улица, 14 к3",,108811,,Коммунарка,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,3.9,74,88007700400,,,info@x5.ru,,,http://5ka.ru/catalog?utm_source=2gis&utm_medium=cpm&utm_campaign=000161-17_igronik_media_5ka_promo_04_2026%7Cformat_banner%7Ctype_banner&utm_content=%7Ccreo_1&utm_term,http://max.ru/tspyaterochka,,,,,https://twitter.com/pyaterochka,,,,,,https://vk.com/pyaterochka_shop,,,,,,,,,,,,,,,,,,70000001043081913,55.618232,37.410032,70030076142305944,,,3347,4504136498316193,Пятёрочка,супермаркет,Супермаркеты,mart,2,11,2026-06-22T08:07:38Z,,0,32,https://2gis.com/firm/70000001043081913,branch,241,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209520926899
Чижик,супермаркет,Супермаркеты,"Скандинавский бульвар, 2 к8",,108801,,Коммунарка,,,Москва,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+03:00,4.9,46,84992702713,,,112@chizhik.club,,,http://chizhik.club/?utm_campaign=HA7G&utm_medium=maps&utm_source=2gis,,,,,,,,,,,,https://vk.com/chizhik.club,,,,,,,,,,,,,,,,,,70000001080847243,55.564628,37.493213,70030076173515608,,,613,70000001046125844,Чижик,супермаркет,Супермаркеты,mart,1,9,2026-07-05T12:23:07Z,,0,32,https://2gis.com/firm/70000001080847243,branch,241,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209520926899
Перекрёсток,супермаркет,Супермаркеты; Доставка продуктов,"улица Александры Монаховой, 30 ст2",1 этаж,108814,,Коммунарка,,,Москва,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,4.3,68,84951457575,,,info@x5.ru,,,http://perekrestok.ru/?utm_source=2gis_maps&utm_medium=display&utm_campaign=maps_wo_promo&utm_content=main_url,http://max.ru/perekrestok_shop,,,,,,,,,,,https://vk.com/perekrestok_shop,,,,,,,,,https://t.me/+rHsiEm_QR3EwNTky,,,,,,,,,70000001025345491,55.56642,37.482966,4504235282731453,,,487,4504136498303078,Перекрёсток,супермаркет,Супермаркеты,mart,2,12,2026-06-27T05:12:07Z,,0,32,https://2gis.com/firm/70000001025345491,branch,241,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209520926899
ВкусВилл,супермаркет,Супермаркеты; Доставка продуктов; Кулинарии; Доставка еды,"Лазурная улица, 3",1 этаж,108814,,Коммунарка,,,Москва,Россия,Пн: 09:00-22:00; Вт: 09:00-22:00; Ср: 09:00-22:00; Чт: 09:00-22:00; Пт: 09:00-22:00; Сб: 09:00-22:00; Вс: 09:00-22:00,+03:00,4.8,47,89257812826,,,,,,http://vkusvill.ru/goods/?utm_source=2gis&utm_medium=maps&utm_campaign=glavnaya&deep_link_value=https%3A%2F%2Fvkusvill.ru%2Fmobile%3Fcatalog%2F&af_dp=vkusvill%3A%2F%2F&c=glavnaya&shortlink=5ca647b8&source_,http://max.ru/vkusvill_ru,,,,,,,,,,,https://vk.com/vkusvill_ru,,,,,,,,,https://t.me/we_are_vkusvill,,,,,,,,,70000001024796006,55.568238,37.472699,4504235283111656,,,1420,4504137598285175,ВкусВилл,супермаркет,Супермаркеты,mart,4,19,2026-06-28T05:22:46Z,,0,32,https://2gis.com/firm/70000001024796006,branch,241,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209520926899
Samra,оптовый супермаркет,Супермаркеты,"Калужское шоссе 22 километр, 10",6 линия; 98 павильон; 1 этаж,108802,,Коммунарка,Москва,,Москва,Россия,Пн: 07:00-18:00; Вт: 07:00-18:00; Ср: 07:00-18:00; Чт: 07:00-18:00; Пт: 07:00-18:00; Сб: 07:00-18:00; Вс: 07:00-18:00,+03:00,4.2,4,89661069393,,,,,,http://samraretail.ru,,,,,,,,,,,,,,,https://wa.me/79661069393,,,,,,,,,,,,,,,70000001049805944,55.602022,37.467384,4504235283119276,ФУД СИТИ,70030076482998368,2,70000001049805943,Samra,оптовый супермаркет,Супермаркеты,mart,1,7,2026-06-24T15:44:40Z,,0,32,https://2gis.com/firm/70000001049805944,branch,241,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209520926899
Пятёрочка,супермаркет,Супермаркеты,"посёлок Завода Мосрентген, 31",1 этаж,108820,,Коммунарка,,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,4.6,78,88007700400,,,info@x5.ru,,,http://5ka.ru/catalog?utm_source=2gis&utm_medium=cpm&utm_campaign=000161-17_igronik_media_5ka_promo_04_2026%7Cformat_banner%7Ctype_banner&utm_content=%7Ccreo_1&utm_term,http://max.ru/tspyaterochka,,,,,https://twitter.com/pyaterochka,,,,,,https://vk.com/pyaterochka_shop,,,,,,,,,,,,,,,,,,70000001029489804,55.620829,37.472079,4504235282811663,,,3347,4504136498316193,Пятёрочка,супермаркет,Супермаркеты,mart,1,12,2026-06-22T08:06:36Z,,0,32,https://2gis.com/firm/70000001029489804,branch,241,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209520926899
Супер Лента,супермаркет,Супермаркеты,"Скандинавский бульвар, 1 ст4",,108801,,Коммунарка,,,Москва,Россия,Пн: 09:00-23:00; Вт: 09:00-23:00; Ср: 09:00-23:00; Чт: 09:00-23:00; Пт: 09:00-23:00; Сб: 09:00-23:00; Вс: 09:00-23:00,+03:00,4.0,33,84957774111 (горячая линия: круглосуточно),88007004111 (горячая линия: круглосуточно),,info@lenta.com,,,http://lentaapp.go.link/main?adj_t=1ovv6zw6&adj_deep_link=lentochka%3A%2F%2Fmain&adj_fallback=https%3A%2F%2Flenta.com%2F%3Futm_campaign%3Dmaps_free%26utm_medium%3Drefferal%26utm_source%3D2gis.maps&adj_redirect_macos=https%3A%2F%2Flenta.com%2F%3Futm_campaign%3Dmaps_free%26utm_medium%3Drefferal%26utm_source%3D2gis.maps,http://max.ru/lentacom,,,,,,,,,,,https://vk.com/lentacom,,,,,,,,,https://t.me/lenta_promobot,,,https://youtube.com/channel/UCrrKUFYJyIfkBeBSwBWrqXQ,,,,,,70000001058980383,55.568855,37.494555,70030076211385022,,,139,70000001058978863,Супер Лента,супермаркет,Супермаркеты,mart,1,12,2026-05-05T05:57:04Z,,0,32,https://2gis.com/firm/70000001058980383,branch,241,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209520926899
Перекрёсток,супермаркет,Супермаркеты; Доставка продуктов,"Прокшинский проспект, 9",1 этаж,108802,,Коммунарка,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,4.6,33,88002009555 (многоканальный),,,info@x5.ru,,,http://perekrestok.ru/?utm_source=2gis_maps&utm_medium=display&utm_campaign=maps_wo_promo&utm_content=main_url,http://max.ru/perekrestok_shop,,,,,,,,,,,https://vk.com/perekrestok_shop,,,,,,,,,https://t.me/+rHsiEm_QR3EwNTky,,,,,,,,,70000001080142476,55.591849,37.428672,70030076251873662,,,487,4504136498303078,Перекрёсток,супермаркет,Супермаркеты,mart,2,13,2026-06-27T05:12:02Z,,0,32,https://2gis.com/firm/70000001080142476,branch,241,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209520926899
Пятёрочка,супермаркет,Супермаркеты; Доставка продуктов,"посёлок Газопровод, 12Б ст1",,108814,,Коммунарка,,,Москва,Россия,Пн: 09:00-23:00; Вт: 09:00-23:00; Ср: 09:00-23:00; Чт: 09:00-23:00; Пт: 09:00-23:00; Сб: 09:00-23:00; Вс: 09:00-23:00,+03:00,4.5,78,88007700400,,,info@x5.ru,,,http://5ka.ru/catalog?utm_source=2gis&utm_medium=cpm&utm_campaign=000161-17_igronik_media_5ka_promo_04_2026%7Cformat_banner%7Ctype_banner&utm_content=%7Ccreo_1&utm_term,http://max.ru/tspyaterochka,,,,,https://twitter.com/pyaterochka,,,,,,https://vk.com/pyaterochka_shop,,,,,,,,,,,,,,,,,,70000001045864827,55.580274,37.478872,4504235282782824,,,3347,4504136498316193,Пятёрочка,супермаркет,Супермаркеты,mart,2,11,2026-06-22T08:07:24Z,,0,32,https://2gis.com/firm/70000001045864827,branch,241,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209520926899
Пятёрочка,супермаркет,Супермаркеты,"улица Большое Понизовье, 8",,108802,,Коммунарка,Москва,,Москва,Россия,Пн: 09:00-22:00; Вт: 09:00-22:00; Ср: 09:00-22:00; Чт: 09:00-22:00; Пт: 09:00-22:00; Сб: 09:00-22:00; Вс: 09:00-22:00,+03:00,5.0,1,88007700400,,,info@x5.ru,,,http://5ka.ru/catalog?utm_source=2gis&utm_medium=cpm&utm_campaign=000161-17_igronik_media_5ka_promo_04_2026%7Cformat_banner%7Ctype_banner&utm_content=%7Ccreo_1&utm_term,http://max.ru/tspyaterochka,,,,,https://twitter.com/pyaterochka,,,,,,https://vk.com/pyaterochka_shop,,,,,,,,,,,,,,,,,,70000001113038866,55.605826,37.413856,70030077006111804,,,3347,4504136498316193,Пятёрочка,супермаркет,Супермаркеты,mart,1,12,2026-06-22T08:08:11Z,,0,32,https://2gis.com/firm/70000001113038866,branch,241,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209520926899
