Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,E-mail 3,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,Instagram 1,Instagram 2,Instagram 3,Twitter 1,Twitter 2,Twitter 3,Facebook 1,Facebook 2,Facebook 3,ВКонтакте 1,ВКонтакте 2,ВКонтакте 3,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber 1,Viber 2,Viber 3,Telegram 1,Telegram 2,Telegram 3,YouTube 1,YouTube 2,YouTube 3,Skype 1,Skype 2,Skype 3,ID объекта,Широта,Долгота,ID здания,Название здания,ID этажа,Количество филиалов,ID сети,Название сети,Специализация сети,Главная рубрика,POI-категория,Кол-во рубрик,Кол-во атрибутов,Дата обновления,Удалён,ID сегмента,ID региона,2GIS URL,Тип,Ожидаемое кол-во (2GIS),Ссылка запроса
ВкусВилл,супермаркет,Супермаркеты; Доставка продуктов; Доставка еды,"Миклухо-Маклая улица, 43",1 этаж,117485,,Коньково,Москва,,Москва,Россия,Пн: 08:00-22:00; Вт: 08:00-22:00; Ср: 08:00-22:00; Чт: 08:00-22:00; Пт: 08:00-22:00; Сб: 09:00-22:00; Вс: 09:00-22:00,+03:00,4.4,10,89257754084,,,,,,http://vkusvill.ru/goods/?utm_source=2gis&utm_medium=maps&utm_campaign=glavnaya&deep_link_value=https%3A%2F%2Fvkusvill.ru%2Fmobile%3Fcatalog%2F&af_dp=vkusvill%3A%2F%2F&c=glavnaya&shortlink=5ca647b8&source_,http://max.ru/vkusvill_ru,,,,,,,,,,,https://vk.com/vkusvill_ru,,,,,,,,,https://t.me/we_are_vkusvill,,,,,,,,,70000001046316310,55.644346,37.523225,4504235282578523,,,1420,4504137598285175,ВкусВилл,супермаркет,Супермаркеты,mart,3,20,2026-06-28T05:22:32Z,,0,32,https://2gis.com/firm/70000001046316310,branch,56,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726629
Eurospar,супермаркет,Супермаркеты; Доставка продуктов,"Миклухо-Маклая улица, 18 к3",-1 этаж,117437,,Коньково,Москва,,Москва,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,4.0,84,88005001329 (бесплатная горячая линия: пн-вс 8:00-23:00),,,,,,http://myspar.ru,,,,,,,,,,,,https://vk.com/spar.russia,,,,,,,,,https://t.me/myspar,,,,,,,,,70000001029109174,55.644283,37.520868,70030076143546596,ТК Шоколад,70030076713763206,55,70000001028701845,Eurospar,супермаркет,Супермаркеты,mart,2,12,2026-07-06T04:33:28Z,,0,32,https://2gis.com/firm/70000001029109174,branch,56,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726629
Атак,супермаркет,Супермаркеты; Доставка продуктов,"улица Бутлерова, 3а",1 этаж,117485,,Коньково,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,3.0,23,88007005800 (единая справочная),,,,,,http://auchan.ru,http://max.ru/auchanrus,,,,,,,,,,,https://vk.com/auchan,,,,,,,,,https://t.me/auchanrusbot,,,,,,,,,70000001019667793,55.654267,37.524184,4504235282579130,,,77,70000001031401982,Ашан,супермаркет,Супермаркеты,mart,2,11,2026-06-19T09:00:10Z,,0,32,https://2gis.com/firm/70000001019667793,branch,56,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726629
Перекрёсток,супермаркет,Супермаркеты; Доставка продуктов,"Миклухо-Маклая улица, 37",1 этаж,117485,,Коньково,Москва,,Москва,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,4.1,44,84956600500,,,dir_IM@x5.ru,,,http://perekrestok.ru/?utm_source=2gis_maps&utm_medium=display&utm_campaign=maps_wo_promo&utm_content=main_url,http://max.ru/perekrestok_shop,,,,,,,,,,,https://vk.com/perekrestok_shop,,,,,,,,,https://t.me/+rHsiEm_QR3EwNTky,,,,,,,,,70000001028794931,55.645193,37.521129,4504235282579328,,,487,4504136498303078,Перекрёсток,супермаркет,Супермаркеты,mart,2,13,2026-06-27T05:12:00Z,,0,32,https://2gis.com/firm/70000001028794931,branch,56,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726629
Магнит,супермаркет,Супермаркеты; Доставка продуктов,"Профсоюзная улица, 69",1 этаж,117342,,Коньково,Москва,,Москва,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,3.8,20,88002009002 (единая справочная: пн-вс 6:00-00:00),,,info@magnit.ru,,,http://magnit.ru/?utm_source=_geopriority_&utm_medium=&utm_campaign=_MM_Geoprioritety_-&utm_content=main&utm_term=,,,,,,,,,,,,https://vk.com/magnitretail,,,,,,,,,https://t.me/magnit_retail,,,,,,,,,70000001020797665,55.649018,37.533843,4504235282596036,,,1562,4504137598701571,Магнит,супермаркет,Супермаркеты,mart,2,16,2026-07-02T13:01:39Z,,0,32,https://2gis.com/firm/70000001020797665,branch,56,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726629
Пятёрочка,супермаркет,Супермаркеты,"Миклухо-Маклая улица, 27а",цокольный этаж,117485,,Коньково,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,5.0,4,88007700400,,,info@x5.ru,,,http://5ka.ru/catalog?utm_source=2gis&utm_medium=cpm&utm_campaign=000161-17_igronik_media_5ka_promo_04_2026%7Cformat_banner%7Ctype_banner&utm_content=%7Ccreo_1&utm_term,http://max.ru/tspyaterochka,,,,,https://twitter.com/pyaterochka,,,,,,https://vk.com/pyaterochka_shop,,,,,,,,,,,,,,,,,,70000001098564046,55.647554,37.516859,70030076238902820,РЦ Витязь,70030077086205124,3347,4504136498316193,Пятёрочка,супермаркет,Супермаркеты,mart,1,12,2026-06-22T08:06:48Z,,0,32,https://2gis.com/firm/70000001098564046,branch,56,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726629
Чижик,супермаркет,Супермаркеты; Доставка продуктов,"улица Введенского, 3 к6",,117342,,Коньково,Москва,,Москва,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+03:00,4.7,55,84992702713,,,112@chizhik.club,,,http://chizhik.club/?utm_campaign=HA29&utm_medium=maps&utm_source=2gis,,,,,,,,,,,,https://vk.com/chizhik.club,,,,,,,,,,,,,,,,,,70000001080490185,55.646854,37.546345,4504235290711251,,,613,70000001046125844,Чижик,супермаркет,Супермаркеты,mart,2,6,2026-07-05T12:23:07Z,,0,32,https://2gis.com/firm/70000001080490185,branch,56,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726629
Пятёрочка,супермаркет,Супермаркеты; Доставка продуктов,"улица Академика Арцимовича, 8",1 этаж,117437,,Коньково,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,4.8,76,88007700400,,,info@x5.ru,,,http://5ka.ru/catalog?utm_source=2gis&utm_medium=cpm&utm_campaign=000161-17_igronik_media_5ka_promo_04_2026%7Cformat_banner%7Ctype_banner&utm_content=%7Ccreo_1&utm_term,http://max.ru/tspyaterochka,,,,,https://twitter.com/pyaterochka,,,,,,https://vk.com/pyaterochka_shop,,,,,,,,,,,,,,,,,,70000001029571760,55.643918,37.510991,4504235282574130,,,3347,4504136498316193,Пятёрочка,супермаркет,Супермаркеты,mart,2,14,2026-06-23T08:49:02Z,,0,32,https://2gis.com/firm/70000001029571760,branch,56,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726629
Пятёрочка,супермаркет,Супермаркеты; Доставка продуктов,"улица Бутлерова, 24",1 этаж,117342,,Коньково,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,3.7,15,88007700400,,,info@x5.ru,,,http://5ka.ru/catalog?utm_source=2gis&utm_medium=cpm&utm_campaign=000161-17_igronik_media_5ka_promo_04_2026%7Cformat_banner%7Ctype_banner&utm_content=%7Ccreo_1&utm_term,http://max.ru/tspyaterochka,,,,,https://twitter.com/pyaterochka,,,,,,https://vk.com/pyaterochka_shop,,,,,,,,,,,,,,,,,,70000001018336024,55.648754,37.53589,4504235282573731,,,3347,4504136498316193,Пятёрочка,супермаркет,Супермаркеты,mart,2,14,2025-12-24T15:06:22Z,,0,32,https://2gis.com/firm/70000001018336024,branch,56,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726629
Магнит,супермаркет,Супермаркеты; Доставка продуктов,"Миклухо-Маклая улица, 28а",1 этаж,117437,,Коньково,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,4.5,29,88002009002 (единая справочная: пн-вс 6:00-00:00),,,info@magnit.ru,,,http://magnit.ru/?utm_source=_geopriority_&utm_medium=&utm_campaign=_MM_Geoprioritety_-&utm_content=main&utm_term=,,,,,,,,,,,,https://vk.com/magnitretail,,,,,,,,,https://t.me/magnit_retail,,,,,,,,,70000001033724460,55.642166,37.520274,4504235282580138,ТЦ Вау,,1562,4504137598701571,Магнит,супермаркет,Супермаркеты,mart,2,9,2026-07-02T13:01:36Z,,0,32,https://2gis.com/firm/70000001033724460,branch,56,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726629
Чижик,супермаркет,Супермаркеты,"Профсоюзная улица, 118",1 этаж,117437,,Коньково,Москва,,Москва,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+03:00,4.7,81,84992702713,,,112@chizhik.club,,,http://chizhik.club/?utm_campaign=HDJL&utm_medium=maps&utm_source=2gis,,,,,,,,,,,,https://vk.com/chizhik.club,,,,,,,,,,,,,,,,,,70000001074643065,55.636383,37.521079,4504235283106136,ТЦ Дропин,70030076457042424,613,70000001046125844,Чижик,супермаркет,Супермаркеты,mart,1,6,2026-07-05T12:23:10Z,,0,32,https://2gis.com/firm/70000001074643065,branch,56,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726629
Чижик,супермаркет,Супермаркеты; Доставка продуктов,"Миклухо-Маклая улица, 36а",-1 этаж,117279,,Коньково,Москва,,Москва,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+03:00,4.1,6,84992702713,,,112@chizhik.club,,,http://chizhik.club/?utm_campaign=HA2G&utm_medium=maps&utm_source=2gis,,,,,,,,,,,,https://vk.com/chizhik.club,,,,,,,,,,,,,,,,,,70000001081191154,55.639946,37.532801,4504235283009009,ТЦ МЦ,70030076413423612,613,70000001046125844,Чижик,супермаркет,Супермаркеты,mart,2,6,2026-07-05T12:23:07Z,,0,32,https://2gis.com/firm/70000001081191154,branch,56,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726629
Пятёрочка,супермаркет,Супермаркеты; Доставка продуктов,"Профсоюзная улица, 103а",,117279,,Коньково,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,4.6,50,88007700400,,,info@x5.ru,,,http://5ka.ru/catalog?utm_source=2gis&utm_medium=cpm&utm_campaign=000161-17_igronik_media_5ka_promo_04_2026%7Cformat_banner%7Ctype_banner&utm_content=%7Ccreo_1&utm_term,http://max.ru/tspyaterochka,,,,,https://twitter.com/pyaterochka,,,,,,https://vk.com/pyaterochka_shop,,,,,,,,,,,,,,,,,,70000001030959562,55.635776,37.525712,4504235282573212,,,3347,4504136498316193,Пятёрочка,супермаркет,Супермаркеты,mart,2,15,2026-06-22T08:07:10Z,,0,32,https://2gis.com/firm/70000001030959562,branch,56,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726629
Чижик,супермаркет,Супермаркеты,"Профсоюзная улица, 118",1 этаж,117437,,Коньково,Москва,,Москва,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+03:00,4.7,81,84992702713,,,112@chizhik.club,,,http://chizhik.club/?utm_campaign=HDJL&utm_medium=maps&utm_source=2gis,,,,,,,,,,,,https://vk.com/chizhik.club,,,,,,,,,,,,,,,,,,70000001074643065,55.636383,37.521079,4504235283106136,ТЦ Дропин,70030076457042424,613,70000001046125844,Чижик,супермаркет,Супермаркеты,mart,1,6,2026-07-05T12:23:10Z,,0,32,https://2gis.com/firm/70000001074643065,branch,56,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726629
