Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,E-mail 3,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,Instagram 1,Instagram 2,Instagram 3,Twitter 1,Twitter 2,Twitter 3,Facebook 1,Facebook 2,Facebook 3,ВКонтакте 1,ВКонтакте 2,ВКонтакте 3,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber 1,Viber 2,Viber 3,Telegram 1,Telegram 2,Telegram 3,YouTube 1,YouTube 2,YouTube 3,Skype 1,Skype 2,Skype 3,ID объекта,Широта,Долгота,ID здания,Название здания,ID этажа,Количество филиалов,ID сети,Название сети,Специализация сети,Главная рубрика,POI-категория,Кол-во рубрик,Кол-во атрибутов,Дата обновления,Удалён,ID сегмента,ID региона,2GIS URL,Тип,Ожидаемое кол-во (2GIS),Ссылка запроса
Магнит,супермаркет,Супермаркеты,"улица Приорова, 2а",1 этаж,127299,,Коптево,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,4.3,49,88002009002 (единая справочная: пн-вс 6:00-00:00),,,info@magnit.ru,,,http://magnit.ru/?utm_source=_geopriority_&utm_medium=&utm_campaign=_MM_Geoprioritety_-&utm_content=main&utm_term=,,,,,,,,,,,,https://vk.com/magnitretail,,,,,,,,,https://t.me/magnit_retail,,,,,,,,,70000001036568566,55.818062,37.532833,4504235282534419,,,1562,4504137598701571,Магнит,супермаркет,Супермаркеты,mart,1,12,2026-07-02T13:04:36Z,,0,32,https://2gis.com/firm/70000001036568566,branch,40,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726550
Чижик,супермаркет,Супермаркеты,"Михалковская улица, 4",цокольный этаж,125008,,Коптево,Москва,,Москва,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+03:00,4.8,97,84992702713,,,112@chizhik.club,,,http://chizhik.club/?utm_campaign=HD7F&utm_medium=maps&utm_source=2gis,,,,,,,,,,,,https://vk.com/chizhik.club,,,,,,,,,,,,,,,,,,70000001065669905,55.837127,37.537938,4504235282558311,ТЦ Байкал,,613,70000001046125844,Чижик,супермаркет,Супермаркеты,mart,1,8,2026-07-05T12:23:08Z,,0,32,https://2gis.com/firm/70000001065669905,branch,40,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726550
Дикси,супермаркет,Супермаркеты,"Большая Академическая улица, 73 к1",1 этаж,125183,,Коптево,Москва,,Москва,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,3.3,27,88001011001,,,,,,http://dixy.ru,,,,,,,,,,,,https://vk.com/dixyclub,,,,,,,,,https://t.me/dixy_russia,,,https://youtube.com/user/dixychannel,,,,,,4504128908412113,55.842357,37.553122,4504235282542919,,,1418,4504136498313374,Дикси,супермаркет,Супермаркеты,mart,1,11,2026-06-25T04:05:58Z,,0,32,https://2gis.com/firm/4504128908412113,branch,40,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726550
Супер Лента,супермаркет,Супермаркеты; Доставка продуктов,"улица Зои и Александра Космодемьянских, 23",-1 этаж,125130,,Коптево,Москва,,Москва,Россия,Пн: 09:00-23:00; Вт: 09:00-23:00; Ср: 09:00-23:00; Чт: 09:00-23:00; Пт: 09:00-23:00; Сб: 09:00-23:00; Вс: 09:00-23:00,+03:00,4.4,157,84957774111 (горячая линия: круглосуточно),88007004111 (горячая линия: круглосуточно),,info@lenta.com,,,http://lentaapp.go.link/main?adj_t=1ovv6zw6&adj_deep_link=lentochka%3A%2F%2Fmain&adj_fallback=https%3A%2F%2Flenta.com%2F%3Futm_campaign%3Dmaps_free%26utm_medium%3Drefferal%26utm_source%3D2gis.maps&adj_redirect_macos=https%3A%2F%2Flenta.com%2F%3Futm_campaign%3Dmaps_free%26utm_medium%3Drefferal%26utm_source%3D2gis.maps,http://max.ru/lentacom,,,,,,,,,,,https://vk.com/lentacom,,,,,,,,,https://t.me/lenta_promobot,,,https://youtube.com/channel/UCrrKUFYJyIfkBeBSwBWrqXQ,,,,,,70000001058979205,55.82414,37.51797,4504235282550925,РЦ Рассвет,70030076335062211,139,70000001058978863,Супер Лента,супермаркет,Супермаркеты,mart,2,11,2026-06-05T12:54:38Z,,0,32,https://2gis.com/firm/70000001058979205,branch,40,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726550
ВкусВилл,супермаркет,Супермаркеты; Доставка продуктов; Кулинарии; Доставка еды,"улица Зои и Александра Космодемьянских, 35/1",1 этаж,125130,,Коптево,Москва,,Москва,Россия,Пн: 08:00-22:00; Вт: 08:00-22:00; Ср: 08:00-22:00; Чт: 08:00-22:00; Пт: 08:00-22:00; Сб: 09:00-22:00; Вс: 09:00-22:00,+03:00,4.7,32,89257861835,,,,,,http://vkusvill.ru/goods/?utm_source=2gis&utm_medium=maps&utm_campaign=glavnaya&deep_link_value=https%3A%2F%2Fvkusvill.ru%2Fmobile%3Fcatalog%2F&af_dp=vkusvill%3A%2F%2F&c=glavnaya&shortlink=5ca647b8&source_,http://max.ru/vkusvill_ru,,,,,,,,,,,https://vk.com/vkusvill_ru,,,,,,,,,https://t.me/we_are_vkusvill,,,,,,,,,70000001006564548,55.825057,37.525783,4504235282595929,,,1420,4504137598285175,ВкусВилл,супермаркет,Супермаркеты,mart,4,18,2026-06-28T05:22:38Z,,0,32,https://2gis.com/firm/70000001006564548,branch,40,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726550
Пятёрочка,супермаркет,Супермаркеты; Доставка продуктов,"Большая Академическая улица, 13а",1 этаж,125130,,Коптево,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,4.3,13,88007700400,,,info@x5.ru,,,http://5ka.ru/catalog?utm_source=2gis&utm_medium=cpm&utm_campaign=000161-17_igronik_media_5ka_promo_04_2026%7Cformat_banner%7Ctype_banner&utm_content=%7Ccreo_1&utm_term,http://max.ru/tspyaterochka,,,,,https://twitter.com/pyaterochka,,,,,,https://vk.com/pyaterochka_shop,,,,,,,,,,,,,,,,,,70000001020433146,55.822747,37.525084,4504235282534343,,,3347,4504136498316193,Пятёрочка,супермаркет,Супермаркеты,mart,2,13,2026-06-22T08:04:59Z,,0,32,https://2gis.com/firm/70000001020433146,branch,40,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726550
В1 — Первый выбор,супермаркет-дискаунтер,Супермаркеты,"Михалковская улица, 1/51",1 этаж,125008,,Коптево,Москва,,Москва,Россия,Пн: 09:00-22:00; Вт: 09:00-22:00; Ср: 09:00-22:00; Чт: 09:00-22:00; Пт: 09:00-22:00; Сб: 09:00-22:00; Вс: 09:00-22:00,+03:00,4.9,58,88002008474 (единый номер: пн-вс 9:00-21:00),,,,,,http://v1.market,,,,,,,,,,,,https://vk.com/v1_discount,,,,,,,,,https://t.me/v1_discount,,,,,,,,,70000001083871876,55.836373,37.537543,4504235282558088,,,96,70000001068717318,В1 — Первый выбор,супермаркет-дискаунтер,Супермаркеты,mart,1,9,2026-06-24T04:44:39Z,,0,32,https://2gis.com/firm/70000001083871876,branch,40,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726550
Пятёрочка,супермаркет,Супермаркеты; Доставка продуктов,"Новопетровская улица, 3",1 этаж,125239,,Коптево,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,4.6,83,88007700400,,,info@x5.ru,,,http://5ka.ru/catalog?utm_source=2gis&utm_medium=cpm&utm_campaign=000161-17_igronik_media_5ka_promo_04_2026%7Cformat_banner%7Ctype_banner&utm_content=%7Ccreo_1&utm_term,http://max.ru/tspyaterochka,,,,,https://twitter.com/pyaterochka,,,,,,https://vk.com/pyaterochka_shop,,,,,,,,,,,,,,,,,,4504127909675923,55.827581,37.522567,4504235282561028,,,3347,4504136498316193,Пятёрочка,супермаркет,Супермаркеты,mart,2,14,2026-06-22T08:05:52Z,,0,32,https://2gis.com/firm/4504127909675923,branch,40,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726550
Перекрёсток,супермаркет,Супермаркеты; Доставка продуктов,"Новопетровская улица, 6",1 этаж,125130,,Коптево,Москва,,Москва,Россия,Пн: 09:00-23:00; Вт: 09:00-23:00; Ср: 09:00-23:00; Чт: 09:00-23:00; Пт: 09:00-23:00; Сб: 09:00-23:00; Вс: 09:00-23:00,+03:00,4.6,120,88002009555 (многоканальный),,,dir_SAFK@x5.ru,,,http://perekrestok.ru/?utm_source=2gis_maps&utm_medium=display&utm_campaign=maps_wo_promo&utm_content=main_url,http://max.ru/perekrestok_shop,,,,,,,,,,,https://vk.com/perekrestok_shop,,,,,,,,,https://t.me/+rHsiEm_QR3EwNTky,,,,,,,,,70000001032287914,55.825627,37.516605,4504235294264492,ТЦ Петровский,70030076576858869,487,4504136498303078,Перекрёсток,супермаркет,Супермаркеты,mart,2,12,2026-06-27T05:12:07Z,,0,32,https://2gis.com/firm/70000001032287914,branch,40,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726550
Пятёрочка,супермаркет,Супермаркеты; Доставка продуктов,"Коптевский бульвар, 11",1 этаж,125239,,Коптево,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,4.6,54,88007700400,,,info@x5.ru,,,http://5ka.ru/catalog?utm_source=2gis&utm_medium=cpm&utm_campaign=000161-17_igronik_media_5ka_promo_04_2026%7Cformat_banner%7Ctype_banner&utm_content=%7Ccreo_1&utm_term,http://max.ru/tspyaterochka,,,,,https://twitter.com/pyaterochka,,,,,,https://vk.com/pyaterochka_shop,,,,,,,,,,,,,,,,,,4504127917327472,55.831085,37.524752,4504235282557366,,,3347,4504136498316193,Пятёрочка,супермаркет,Супермаркеты,mart,2,14,2026-06-22T08:04:59Z,,0,32,https://2gis.com/firm/4504127917327472,branch,40,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726550
