Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,E-mail 3,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,Instagram 1,Instagram 2,Instagram 3,Twitter 1,Twitter 2,Twitter 3,Facebook 1,Facebook 2,Facebook 3,ВКонтакте 1,ВКонтакте 2,ВКонтакте 3,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber 1,Viber 2,Viber 3,Telegram 1,Telegram 2,Telegram 3,YouTube 1,YouTube 2,YouTube 3,Skype 1,Skype 2,Skype 3,ID объекта,Широта,Долгота,ID здания,Название здания,ID этажа,Количество филиалов,ID сети,Название сети,Специализация сети,Главная рубрика,POI-категория,Кол-во рубрик,Кол-во атрибутов,Дата обновления,Удалён,ID сегмента,ID региона,2GIS URL,Тип,Ожидаемое кол-во (2GIS),Ссылка запроса
Пятёрочка,супермаркет,Супермаркеты; Доставка продуктов,"улица Наташи Качуевской, 2",,111675,,Косино-Ухтомский,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,4.7,98,89150090529,,,info@x5.ru,,,http://5ka.ru/catalog?utm_source=2gis&utm_medium=cpm&utm_campaign=000161-17_igronik_media_5ka_promo_04_2026%7Cformat_banner%7Ctype_banner&utm_content=%7Ccreo_1&utm_term,http://max.ru/tspyaterochka,,,,,https://twitter.com/pyaterochka,,,,,,https://vk.com/pyaterochka_shop,,,,,,,,,,,,,,,,,,70000001023943536,55.711794,37.88042,4504235283019989,,,3347,4504136498316193,Пятёрочка,супермаркет,Супермаркеты,mart,2,13,2026-06-22T08:07:35Z,,0,32,https://2gis.com/firm/70000001023943536,branch,38,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726577
Магнит,супермаркет,Супермаркеты,"Лухмановская улица, вл10а",,111675,,Косино-Ухтомский,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,4.4,18,88002009002 (единая справочная: пн-вс 6:00-00:00),,,info@magnit.ru,,,http://magnit.ru/?utm_source=_geopriority_&utm_medium=&utm_campaign=_MM_Geoprioritety_-&utm_content=main&utm_term=,,,,,,,,,,,,https://vk.com/magnitretail,,,,,,,,,https://t.me/magnit_retail,,,,,,,,,70000001021356454,55.715527,37.90018,4504235306740686,,,1562,4504137598701571,Магнит,супермаркет,Супермаркеты,mart,1,12,2026-07-02T13:01:11Z,,0,32,https://2gis.com/firm/70000001021356454,branch,38,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726577
Пятёрочка,супермаркет,Супермаркеты; Доставка продуктов,"Святоозёрская улица, 3а",,111675,,Косино-Ухтомский,Москва,,Москва,Россия,Пн: 07:00-23:00; Вт: 07:00-23:00; Ср: 07:00-23:00; Чт: 07:00-23:00; Пт: 07:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,4.6,105,88007700400,,,info@x5.ru,,,http://5ka.ru/catalog?utm_source=2gis&utm_medium=cpm&utm_campaign=000161-17_igronik_media_5ka_promo_04_2026%7Cformat_banner%7Ctype_banner&utm_content=%7Ccreo_1&utm_term,http://max.ru/tspyaterochka,,,,,https://twitter.com/pyaterochka,,,,,,https://vk.com/pyaterochka_shop,,,,,,,,,,,,,,,,,,70000001019077916,55.714581,37.886422,4504235299162980,,,3347,4504136498316193,Пятёрочка,супермаркет,Супермаркеты,mart,2,15,2026-06-22T08:07:26Z,,0,32,https://2gis.com/firm/70000001019077916,branch,38,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726577
Пятёрочка,супермаркет,Супермаркеты; Доставка продуктов,"Большая Косинская улица, 16 к1",1 этаж,111621,Косино м-н,Косино-Ухтомский,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,4.6,36,88007700400,,,info@x5.ru,,,http://5ka.ru/catalog?utm_source=2gis&utm_medium=cpm&utm_campaign=000161-17_igronik_media_5ka_promo_04_2026%7Cformat_banner%7Ctype_banner&utm_content=%7Ccreo_1&utm_term,http://max.ru/tspyaterochka,,,,,https://twitter.com/pyaterochka,,,,,,https://vk.com/pyaterochka_shop,,,,,,,,,,,,,,,,,,4504127917327447,55.711371,37.854488,4504235282643751,,,3347,4504136498316193,Пятёрочка,супермаркет,Супермаркеты,mart,2,12,2026-06-22T08:07:35Z,,0,32,https://2gis.com/firm/4504127917327447,branch,38,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726577
Пятёрочка,супермаркет,Супермаркеты; Доставка продуктов,"улица Дмитриевского, 15",1 этаж,111675,,Косино-Ухтомский,Москва,,Москва,Россия,Пн: 09:00-23:00; Вт: 09:00-23:00; Ср: 09:00-23:00; Чт: 09:00-23:00; Пт: 09:00-23:00; Сб: 09:00-23:00; Вс: 09:00-23:00,+03:00,4.4,49,88007700400,,,info@x5.ru,,,http://5ka.ru/catalog?utm_source=2gis&utm_medium=cpm&utm_campaign=000161-17_igronik_media_5ka_promo_04_2026%7Cformat_banner%7Ctype_banner&utm_content=%7Ccreo_1&utm_term,http://max.ru/tspyaterochka,,,,,https://twitter.com/pyaterochka,,,,,,https://vk.com/pyaterochka_shop,,,,,,,,,,,,,,,,,,70000001039469985,55.709011,37.892751,4504235282649690,,,3347,4504136498316193,Пятёрочка,супермаркет,Супермаркеты,mart,2,9,2026-06-22T08:07:35Z,,0,32,https://2gis.com/firm/70000001039469985,branch,38,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726577
Пятёрочка,супермаркет,Супермаркеты,"Большая Косинская улица, 24а",1 этаж,111622,Косино м-н,Косино-Ухтомский,Москва,,Москва,Россия,Пн: 09:00-23:00; Вт: 09:00-23:00; Ср: 09:00-23:00; Чт: 09:00-23:00; Пт: 09:00-23:00; Сб: 09:00-23:00; Вс: 09:00-23:00,+03:00,3.9,2,88007700400,,,info@x5.ru,,,http://5ka.ru/catalog?utm_source=2gis&utm_medium=cpm&utm_campaign=000161-17_igronik_media_5ka_promo_04_2026%7Cformat_banner%7Ctype_banner&utm_content=%7Ccreo_1&utm_term,http://max.ru/tspyaterochka,,,,,https://twitter.com/pyaterochka,,,,,,https://vk.com/pyaterochka_shop,,,,,,,,,,,,,,,,,,70000001104991824,55.714364,37.855548,4504235282643783,,,3347,4504136498316193,Пятёрочка,супермаркет,Супермаркеты,mart,1,8,2026-06-22T08:07:00Z,,0,32,https://2gis.com/firm/70000001104991824,branch,38,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726577
Чижик,супермаркет,Супермаркеты,"Оренбургская улица, 20а",1 этаж,111622,Косино м-н,Косино-Ухтомский,Москва,,Москва,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+03:00,4.7,50,84992702713,,,112@chizhik.club,,,http://chizhik.club/?utm_campaign=HDBP&utm_medium=maps&utm_source=2gis,,,,,,,,,,,,https://vk.com/chizhik.club,,,,,,,,,,,,,,,,,,70000001065938429,55.710351,37.862234,4504235282643712,,,613,70000001046125844,Чижик,супермаркет,Супермаркеты,mart,1,7,2026-07-05T12:23:08Z,,0,32,https://2gis.com/firm/70000001065938429,branch,38,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726577
Дикси,супермаркет,Супермаркеты; Доставка продуктов,"Лухмановская улица, 2",1 этаж,111675,Кожухово пос.,Косино-Ухтомский,Москва,,Москва,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,4.5,98,88001011001,,,,,,http://dixy.ru,,,,,,,,,,,,https://vk.com/dixyclub,,,,,,,,,https://t.me/dixy_russia,,,https://youtube.com/user/dixychannel,,,,,,4504128908522596,55.711806,37.898251,4504235283127583,ТЦ Кожуховский,,1418,4504136498313374,Дикси,супермаркет,Супермаркеты,mart,2,11,2026-06-25T04:05:49Z,,0,32,https://2gis.com/firm/4504128908522596,branch,38,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726577
Чижик,супермаркет,Супермаркеты,"улица Руднёвка, 5",1 этаж,111675,,Косино-Ухтомский,Москва,,Москва,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+03:00,4.9,61,84992702713,,,112@chizhik.club,,,http://chizhik.club/?utm_campaign=HDLY&utm_medium=maps&utm_source=2gis,,,,,,,,,,,,https://vk.com/chizhik.club,,,,,,,,,,,,,,,,,,70000001074439561,55.715578,37.881473,4504235282886052,ТЦ Визит,,613,70000001046125844,Чижик,супермаркет,Супермаркеты,mart,1,8,2026-07-05T12:23:10Z,,0,32,https://2gis.com/firm/70000001074439561,branch,38,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726577
Чижик,супермаркет,Супермаркеты,"Лухмановская улица, 36",1 этаж,111675,,Косино-Ухтомский,Москва,,Москва,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+03:00,4.8,91,84992702713,,,112@chizhik.club,,,http://chizhik.club/?utm_campaign=HA8V&utm_medium=maps&utm_source=2gis,,,,,,,,,,,,https://vk.com/chizhik.club,,,,,,,,,,,,,,,,,,70000001053947041,55.723634,37.909508,4504235283019937,ТЦ Лухмановский 36,,613,70000001046125844,Чижик,супермаркет,Супермаркеты,mart,1,6,2026-07-05T12:23:07Z,,0,32,https://2gis.com/firm/70000001053947041,branch,38,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726577
