Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,E-mail 3,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,Instagram 1,Instagram 2,Instagram 3,Twitter 1,Twitter 2,Twitter 3,Facebook 1,Facebook 2,Facebook 3,ВКонтакте 1,ВКонтакте 2,ВКонтакте 3,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber 1,Viber 2,Viber 3,Telegram 1,Telegram 2,Telegram 3,YouTube 1,YouTube 2,YouTube 3,Skype 1,Skype 2,Skype 3,ID объекта,Широта,Долгота,ID здания,Название здания,ID этажа,Количество филиалов,ID сети,Название сети,Специализация сети,Главная рубрика,POI-категория,Кол-во рубрик,Кол-во атрибутов,Дата обновления,Удалён,ID сегмента,ID региона,2GIS URL,Тип,Ожидаемое кол-во (2GIS),Ссылка запроса
Победа,продсклад,Продуктовые магазины,"село Ознобишино, 197",1 этаж,108825,,Краснопахорский,,,Москва,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+03:00,4.8,62,88422272705,,,,,,http://магазинпобеда.рф,,,,,,,,,,,,https://vk.com/magazinpobeda,,,,,,,,,,,,https://youtube.com/channel/UCV54csd0QgnPvZ5DwyRho9A,,,,,,70000001036808304,55.394472,37.431819,4504235283161580,,,21,70000001051895074,Победа,продсклад,Продуктовые магазины,shop,1,4,2026-07-06T13:12:20Z,,0,32,https://2gis.com/firm/70000001036808304,branch,33,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209520933720
Красное&Белое,продуктовый магазин,Продуктовые магазины; Алкогольные напитки,"деревня Троицкое, 2а ст1",,108827,,Краснопахорский,,,Москва,Россия,Пн: 09:00-22:05; Вт: 09:00-22:05; Ср: 09:00-22:05; Чт: 09:00-22:05; Пт: 09:00-22:05; Сб: 09:00-22:05; Вс: 09:00-22:05 (Время продажи алкоголя ограничено.),+03:00,5.0,1,88001000804,89227033000,,,,,http://krasnoeibeloe.ru,http://zen.yandex.ru/id/5dde5c1021552277da47ba4b,http://max.ru/krasnoebeloe,,,,,,,,,,https://vk.com/krasnoebeloe,,,,,,,,,https://t.me/krasnoeibeloe,,,,,,,,,70000001094622494,55.389224,37.423355,4504235303188739,,,2113,70000001090565128,Красное&Белое,продуктовый магазин,Продуктовые магазины,shop,2,0,2026-06-21T07:49:19Z,,0,32,https://2gis.com/firm/70000001094622494,branch,33,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209520933720
Йола фреш,магазин,Продуктовые магазины,"Калужское шоссе 45 километр, 1а",1 этаж,108828,,Краснопахорский,Москва,,Москва,Россия,Пн: 08:00-23:30; Вт: 08:00-23:30; Ср: 08:00-23:30; Чт: 08:00-23:30; Пт: 08:00-23:30; Сб: 09:30-23:30; Вс: 09:30-23:30,+03:00,,,89261111092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70000001102643410,55.428801,37.277172,4504235299269237,,,1,70000001102643409,Йола фреш,магазин,Продуктовые магазины,shop,1,1,2025-11-26T12:11:29Z,,0,32,https://2gis.com/firm/70000001102643410,branch,33,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209520933720
Красное&Белое,продуктовый магазин,Продуктовые магазины; Алкогольные напитки,"посёлок Щапово, 58",,108825,,Краснопахорский,,,Москва,Россия,Пн: 09:00-22:05; Вт: 09:00-22:05; Ср: 09:00-22:05; Чт: 09:00-22:05; Пт: 09:00-22:05; Сб: 09:00-22:05; Вс: 09:00-22:05 (Время продажи алкоголя ограничено.),+03:00,4.7,22,88001000804,89227033000,,,,,http://krasnoeibeloe.ru,http://zen.yandex.ru/id/5dde5c1021552277da47ba4b,http://max.ru/krasnoebeloe,,,,,,,,,,https://vk.com/krasnoebeloe,,,,,,,,,https://t.me/krasnoeibeloe,,,,,,,,,70000001023509776,55.420096,37.410539,4504235283048614,,,2113,70000001090565128,Красное&Белое,продуктовый магазин,Продуктовые магазины,shop,2,4,2026-06-21T07:49:11Z,,0,32,https://2gis.com/firm/70000001023509776,branch,33,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209520933720
Авокадо,минимаркет,Продуктовые магазины,"посёлок подсобного хозяйства Минзаг, 1",,108828,,Краснопахорский,,,Москва,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+03:00,,,88002007575,,,,,,http://авокадо.рф,http://max.ru/avocado_grocery_stores,,,,,,,,,,,,,,,,,,,,https://t.me/avocadoswnn,,,,,,,,,70000001086746329,55.444732,37.328051,4504235282710338,,,687,70000001041565312,Авокадо,минимаркет,Продуктовые магазины,shop,1,0,2026-06-06T04:51:41Z,,0,32,https://2gis.com/firm/70000001086746329,branch,33,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209520933720
Красное&Белое,продуктовый магазин,Продуктовые магазины; Алкогольные напитки; Табачные изделия и товары для курения,,1 этаж,108825,,Краснопахорский,,,Москва,Россия,Пн: 09:00-22:05; Вт: 09:00-22:05; Ср: 09:00-22:05; Чт: 09:00-22:05; Пт: 09:00-22:05; Сб: 09:00-22:05; Вс: 09:00-22:05 (Время продажи алкоголя ограничено.),+03:00,,,88001000804,89227033000,,,,,http://krasnoeibeloe.ru,http://zen.yandex.ru/id/5dde5c1021552277da47ba4b,http://max.ru/krasnoebeloe,,,,,,,,,,https://vk.com/krasnoebeloe,,,,,,,,,https://t.me/krasnoeibeloe,,,,,,,,,70000001109883714,55.416724,37.408551,70030076194249930,,,2113,70000001090565128,Красное&Белое,продуктовый магазин,Продуктовые магазины,common_store,3,3,2026-06-21T07:49:22Z,,0,32,https://2gis.com/firm/70000001109883714,branch,33,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209520933720
Авокадо,минимаркет,Продуктовые магазины,"улица Сенькино-4, 135",,108833,,Краснопахорский,,,Москва,Россия,Пн: 09:00-22:00; Вт: 09:00-22:00; Ср: 09:00-22:00; Чт: 09:00-22:00; Пт: 09:00-22:00; Сб: 09:00-22:00; Вс: 09:00-22:00,+03:00,,,88002007575,,,,,,http://авокадо.рф,http://max.ru/avocado_grocery_stores,,,,,,,,,,,,,,,,,,,,https://t.me/avocadoswnn,,,,,,,,,70000001086802724,55.42908,37.145087,4504235283121733,,,687,70000001041565312,Авокадо,минимаркет,Продуктовые магазины,shop,1,0,2026-06-06T04:51:43Z,,0,32,https://2gis.com/firm/70000001086802724,branch,33,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209520933720
Продуктовый магазин,,Продуктовые магазины,"посёлок Щапово, 22",1 этаж,108825,,Краснопахорский,,,Москва,Россия,Пн: 09:00-20:30; Вт: 09:00-20:30; Ср: 09:00-20:30; Чт: 09:00-20:30; Пт: 09:00-20:30; Сб: 09:00-20:30; Вс: 09:00-20:30,+03:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70000001066697940,55.417725,37.409892,4504235282825228,,,1,70000001066697939,Продуктовый магазин,Продуктовый магазин,Продуктовые магазины,shop,1,4,2025-11-27T16:16:33Z,,0,32,https://2gis.com/firm/70000001066697940,branch,33,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209520933720
Магазин продуктов,,Продуктовые магазины,"Калужское шоссе 42 километр, вл5 ст1",,108828,,Краснопахорский,,,Москва,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,,,89671355189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70000001097042656,55.449021,37.291584,4504235283111001,,,1,70000001097042655,Магазин продуктов,Магазин продуктов,Продуктовые магазины,shop,1,0,2025-01-21T14:27:31Z,,0,32,https://2gis.com/firm/70000001097042656,branch,33,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209520933720
Продуктовый магазин,,Продуктовые магазины,"деревня Софьино, вл2",,108828,,Краснопахорский,,,Москва,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70000001111341439,55.431259,37.319593,4504235325676234,,,49,70000001103757285,Продуктовый магазин,Продуктовый магазин,Продуктовые магазины,shop,1,0,2026-03-13T10:22:15Z,,0,32,https://2gis.com/firm/70000001111341439,branch,33,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209520933720
