Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,E-mail 3,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,Instagram 1,Instagram 2,Instagram 3,Twitter 1,Twitter 2,Twitter 3,Facebook 1,Facebook 2,Facebook 3,ВКонтакте 1,ВКонтакте 2,ВКонтакте 3,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber 1,Viber 2,Viber 3,Telegram 1,Telegram 2,Telegram 3,YouTube 1,YouTube 2,YouTube 3,Skype 1,Skype 2,Skype 3,ID объекта,Широта,Долгота,ID здания,Название здания,ID этажа,Количество филиалов,ID сети,Название сети,Специализация сети,Главная рубрика,POI-категория,Кол-во рубрик,Кол-во атрибутов,Дата обновления,Удалён,ID сегмента,ID региона,2GIS URL,Тип,Ожидаемое кол-во (2GIS),Ссылка запроса
Магнит,супермаркет,Супермаркеты,"посёлок Шишкин Лес, 31Б",,108833,,Краснопахорский,,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,4.7,35,88002009002 (единая справочная: пн-вс 6:00-00:00),,,info@magnit.ru,,,http://magnit.ru/?utm_source=_geopriority_&utm_medium=&utm_campaign=_MM_Geoprioritety_-&utm_content=main&utm_term=,,,,,,,,,,,,https://vk.com/magnitretail,,,,,,,,,https://t.me/magnit_retail,,,,,,,,,70000001020671604,55.414925,37.190309,4504235282825686,,,1562,4504137598701571,Магнит,супермаркет,Супермаркеты,mart,1,3,2026-07-02T13:01:39Z,,0,32,https://2gis.com/firm/70000001020671604,branch,31,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209520933720
Чижик,супермаркет,Супермаркеты,"посёлок Щапово, 69а ст3-4",,108825,,Краснопахорский,,,Москва,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+03:00,4.9,4,84992702713,,,112@chizhik.club,,,http://chizhik.club/?utm_campaign=HA2Q&utm_medium=maps&utm_source=2gis,,,,,,,,,,,,https://vk.com/chizhik.club,,,,,,,,,,,,,,,,,,70000001082806132,55.420985,37.405585,4504235282711295,,,613,70000001046125844,Чижик,супермаркет,Супермаркеты,mart,1,4,2026-07-05T12:23:10Z,,0,32,https://2gis.com/firm/70000001082806132,branch,31,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209520933720
Дикси,супермаркет,Супермаркеты,"село Былово, вл1а",,108828,,Краснопахорский,,,Москва,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,4.3,29,88001011001,,,,,,http://dixy.ru,,,,,,,,,,,,https://vk.com/dixyclub,,,,,,,,,https://t.me/dixy_russia,,,https://youtube.com/user/dixychannel,,,,,,70000001023487913,55.446831,37.251936,4504235282934596,,,1418,4504136498313374,Дикси,супермаркет,Супермаркеты,mart,1,6,2026-06-25T04:05:45Z,,0,32,https://2gis.com/firm/70000001023487913,branch,31,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209520933720
Перекрёсток,супермаркет,Супермаркеты; Доставка продуктов,"село Ознобишино, 187",,108825,,Краснопахорский,,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,4.7,22,88002009555 (многоканальный),,,info@x5.ru,,,http://perekrestok.ru/?utm_source=2gis_maps&utm_medium=display&utm_campaign=maps_wo_promo&utm_content=main_url,http://max.ru/perekrestok_shop,,,,,,,,,,,https://vk.com/perekrestok_shop,,,,,,,,,https://t.me/+rHsiEm_QR3EwNTky,,,,,,,,,70000001023957312,55.395139,37.432754,4504235325208513,,,487,4504136498303078,Перекрёсток,супермаркет,Супермаркеты,mart,2,10,2026-06-27T05:12:04Z,,0,32,https://2gis.com/firm/70000001023957312,branch,31,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209520933720
ВкусВилл,супермаркет,Супермаркеты,"село Былово, 1г",1 этаж,108828,,Краснопахорский,,,Москва,Россия,,+03:00,,,84956638602 (горячая линия: пн-вс 9:00-21:00),,,,,,http://vkusvill.ru/goods/?utm_source=2gis&utm_medium=maps&utm_campaign=glavnaya&deep_link_value=https%3A%2F%2Fvkusvill.ru%2Fmobile%3Fcatalog%2F&af_dp=vkusvill%3A%2F%2F&c=glavnaya&shortlink=5ca647b8&source_,http://max.ru/vkusvill_ru,,,,,,,,,,,https://vk.com/vkusvill_ru,,,,,,,,,https://t.me/we_are_vkusvill,,,,,,,,,70000001096093633,55.446808,37.25135,70030076969571272,,,1420,4504137598285175,ВкусВилл,супермаркет,Супермаркеты,mart,1,1,2026-02-09T13:23:18Z,,0,32,https://2gis.com/firm/70000001096093633,branch,31,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209520933720
Пятёрочка,супермаркет,Супермаркеты,"Калужское шоссе, 4",,108828,,Краснопахорский,,,Москва,Россия,Пн: 07:30-23:00; Вт: 07:30-23:00; Ср: 07:30-23:00; Чт: 07:30-23:00; Пт: 07:30-23:00; Сб: 07:30-23:00; Вс: 07:30-23:00,+03:00,4.8,17,88007700400,,,info@x5.ru,,,http://5ka.ru/catalog?utm_source=2gis&utm_medium=cpm&utm_campaign=000161-17_igronik_media_5ka_promo_04_2026%7Cformat_banner%7Ctype_banner&utm_content=%7Ccreo_1&utm_term,http://max.ru/tspyaterochka,,,,,https://twitter.com/pyaterochka,,,,,,https://vk.com/pyaterochka_shop,,,,,,,,,,,,,,,,,,70000001030274951,55.429072,37.27419,4504235282826716,,,3347,4504136498316193,Пятёрочка,супермаркет,Супермаркеты,mart,1,8,2026-06-22T08:06:36Z,,0,32,https://2gis.com/firm/70000001030274951,branch,31,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209520933720
Светофор,супермаркет,Супермаркеты,"деревня Троицкое, 2в",,108827,,Краснопахорский,,,Москва,Россия,Пн: 09:00-20:00; Вт: 09:00-20:00; Ср: 09:00-20:00; Чт: 09:00-20:00; Пт: 09:00-20:00; Сб: 09:00-20:00; Вс: 09:00-20:00,+03:00,4.5,48,,,,,,,http://troickoe.svetoforonline.ru/content/kontakti,http://svetoforonline.ru/content/kontakti,http://troickoe.svetoforonline.ru,,,,,,,,,,,,,,,,,,,,,,,,,,,,70000001048492617,55.388314,37.422539,4504235282723910,,,71,70000001029494343,Светофор,супермаркет,Супермаркеты,mart,1,4,2026-06-23T05:29:19Z,,0,32,https://2gis.com/firm/70000001048492617,branch,31,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209520933720
Да!,супермаркет,Супермаркеты,"посёлок Щапово, 69а ст1",,108825,,Краснопахорский,,,Москва,Россия,Пн: 08:00-22:00; Вт: 08:00-22:00; Ср: 08:00-22:00; Чт: 08:00-22:00; Пт: 08:00-22:00; Сб: 08:00-22:00; Вс: 08:00-22:00,+03:00,4.8,60,88005002755 (единая справочная: пн-вс 9:00-21:00),,,,,,http://market-da.ru,http://max.ru/magazin_da,,,,,,,,,,,https://vk.com/magazin_da,,,,,,,,,https://t.me/marketda,,,,,,,,,70000001066581154,55.421078,37.40646,4504235282711289,,,156,70000001020160443,Да!,супермаркет,Супермаркеты,mart,1,3,2026-06-22T07:19:17Z,,0,32,https://2gis.com/firm/70000001066581154,branch,31,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209520933720
Пятёрочка,супермаркет,Супермаркеты,"Заводская улица, 28",1 этаж,108828,,Краснопахорский,,,Москва,Россия,Пн: 08:00-22:00; Вт: 08:00-22:00; Ср: 08:00-22:00; Чт: 08:00-22:00; Пт: 08:00-22:00; Сб: 08:00-22:00; Вс: 08:00-22:00,+03:00,4.8,35,88007700400,,,info@x5.ru,,,http://5ka.ru/catalog?utm_source=2gis&utm_medium=cpm&utm_campaign=000161-17_igronik_media_5ka_promo_04_2026%7Cformat_banner%7Ctype_banner&utm_content=%7Ccreo_1&utm_term,http://max.ru/tspyaterochka,,,,,https://twitter.com/pyaterochka,,,,,,https://vk.com/pyaterochka_shop,,,,,,,,,,,,,,,,,,70000001020761865,55.431872,37.273357,4504235283111079,ТЦ Стрекоза,,3347,4504136498316193,Пятёрочка,супермаркет,Супермаркеты,mart,1,9,2026-06-22T08:06:33Z,,0,32,https://2gis.com/firm/70000001020761865,branch,31,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209520933720
Пятёрочка,супермаркет,Супермаркеты; Доставка продуктов,"ДНП Русино, вл2 ст1",,108825,,Краснопахорский,Москва,,Москва,Россия,Пн: 08:00-22:00; Вт: 08:00-22:00; Ср: 08:00-22:00; Чт: 08:00-22:00; Пт: 08:00-22:00; Сб: 08:00-22:00; Вс: 08:00-22:00,+03:00,4.6,19,88007700400,,,info@x5.ru,,,http://5ka.ru/catalog?utm_source=2gis&utm_medium=cpm&utm_campaign=000161-17_igronik_media_5ka_promo_04_2026%7Cformat_banner%7Ctype_banner&utm_content=%7Ccreo_1&utm_term,http://max.ru/tspyaterochka,,,,,https://twitter.com/pyaterochka,,,,,,https://vk.com/pyaterochka_shop,,,,,,,,,,,,,,,,,,70000001022320325,55.432702,37.368024,4504235315055847,ТЦ Пахра Сити,,3347,4504136498316193,Пятёрочка,супермаркет,Супермаркеты,mart,2,5,2026-06-22T08:06:33Z,,0,32,https://2gis.com/firm/70000001022320325,branch,31,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209520933720
