Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,E-mail 3,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,Instagram 1,Instagram 2,Instagram 3,Twitter 1,Twitter 2,Twitter 3,Facebook 1,Facebook 2,Facebook 3,ВКонтакте 1,ВКонтакте 2,ВКонтакте 3,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber 1,Viber 2,Viber 3,Telegram 1,Telegram 2,Telegram 3,YouTube 1,YouTube 2,YouTube 3,Skype 1,Skype 2,Skype 3,ID объекта,Широта,Долгота,ID здания,Название здания,ID этажа,Количество филиалов,ID сети,Название сети,Специализация сети,Главная рубрика,POI-категория,Кол-во рубрик,Кол-во атрибутов,Дата обновления,Удалён,ID сегмента,ID региона,2GIS URL,Тип,Ожидаемое кол-во (2GIS),Ссылка запроса
Магнит,супермаркет,Супермаркеты; Доставка продуктов,"Большая Спасская улица, 6/1 ст1а",,129090,,Красносельский,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,4.6,43,88002009002 (единая справочная: пн-вс 6:00-00:00),,,info@magnit.ru,,,http://magnit.ru/?utm_source=_geopriority_&utm_medium=&utm_campaign=_MM_Geoprioritety_-&utm_content=main&utm_term=,,,,,,,,,,,,https://vk.com/magnitretail,,,,,,,,,https://t.me/magnit_retail,,,,,,,,,70000001027949293,55.774904,37.641408,4504235303368709,,,1562,4504137598701571,Магнит,супермаркет,Супермаркеты,mart,2,15,2026-07-02T13:01:39Z,,0,32,https://2gis.com/firm/70000001027949293,branch,43,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726540
Пятёрочка,супермаркет,Супермаркеты; Доставка продуктов,"Комсомольская площадь, 6",1 этаж,107140,,Красносельский,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,4.4,125,88007700400,,,info@x5.ru,,,http://5ka.ru/catalog?utm_source=2gis&utm_medium=cpm&utm_campaign=000161-17_igronik_media_5ka_promo_04_2026%7Cformat_banner%7Ctype_banner&utm_content=%7Ccreo_1&utm_term,http://max.ru/tspyaterochka,,,,,https://twitter.com/pyaterochka,,,,,,https://vk.com/pyaterochka_shop,,,,,,,,,,,,,,,,,,70000001030449956,55.776097,37.661171,4504235282656901,Универмаг Московский,70030076176417673,3347,4504136498316193,Пятёрочка,супермаркет,Супермаркеты,mart,2,11,2026-06-22T08:06:01Z,,0,32,https://2gis.com/firm/70000001030449956,branch,43,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726540
Перекрёсток,супермаркет,Супермаркеты; Доставка продуктов,"Краснопрудная улица, 13а",,107140,,Красносельский,Москва,,Москва,Россия,Пн: 07:00-24:00; Вт: 07:00-24:00; Ср: 07:00-24:00; Чт: 07:00-24:00; Пт: 07:00-24:00; Сб: 07:00-24:00; Вс: 07:00-24:00,+03:00,4.7,223,84952133167,,,info@x5.ru,,,http://perekrestok.ru/?utm_source=2gis_maps&utm_medium=display&utm_campaign=maps_wo_promo&utm_content=main_url,http://max.ru/perekrestok_shop,,,,,,,,,,,https://vk.com/perekrestok_shop,,,,,,,,,https://t.me/+rHsiEm_QR3EwNTky,,,,,,,,,4504127909010570,55.780343,37.666017,4504235303246299,,,487,4504136498303078,Перекрёсток,супермаркет,Супермаркеты,mart,2,14,2026-06-27T05:12:00Z,,0,32,https://2gis.com/firm/4504127909010570,branch,43,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726540
Супер Лента,супермаркет,Супермаркеты; Доставка продуктов,"Комсомольская площадь, 2",-1 этаж,107140,,Красносельский,Москва,,Москва,Россия,Пн: 06:30-23:30; Вт: 06:30-23:30; Ср: 06:30-23:30; Чт: 06:30-23:30; Пт: 06:30-23:30; Сб: 06:30-23:30; Вс: 06:30-23:30,+03:00,4.6,390,84957774111 (горячая линия: круглосуточно),88007004111 (горячая линия: круглосуточно),,info@lenta.com,,,http://lentaapp.go.link,http://max.ru/lentacom,,,,,,,,,,,https://vk.com/lentacom,,,,,,,,,https://t.me/lenta_promobot,,,https://youtube.com/channel/UCrrKUFYJyIfkBeBSwBWrqXQ,,,,,,70000001061294332,55.77379,37.655151,4504235282657018,Казанский вокзал,70030076568824536,139,70000001058978863,Супер Лента,супермаркет,Супермаркеты,mart,2,13,2026-07-05T05:36:15Z,,0,32,https://2gis.com/firm/70000001061294332,branch,43,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726540
Пятёрочка,супермаркет,Супермаркеты; Доставка продуктов,"Луков переулок, 8",1 этаж,107045,,Красносельский,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,4.7,42,88007700400,,,info@x5.ru,,,http://5ka.ru/catalog?utm_source=2gis&utm_medium=cpm&utm_campaign=000161-17_igronik_media_5ka_promo_04_2026%7Cformat_banner%7Ctype_banner&utm_content=%7Ccreo_1&utm_term,http://max.ru/tspyaterochka,,,,,https://twitter.com/pyaterochka,,,,,,https://vk.com/pyaterochka_shop,,,,,,,,,,,,,,,,,,70000001077190555,55.768003,37.634314,4504235282648949,,,3347,4504136498316193,Пятёрочка,супермаркет,Супермаркеты,mart,2,11,2026-06-22T08:06:40Z,,0,32,https://2gis.com/firm/70000001077190555,branch,43,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726540
Налету,супермаркет,Супермаркеты; Доставка продуктов,"Комсомольская площадь, 3",-1 этаж,107140,,Красносельский,Москва,,Москва,Россия,Пн: 00:00-23:30; Вт: 00:00-23:30; Ср: 00:00-23:30; Чт: 00:00-23:30; Пт: 00:00-23:30; Сб: 00:00-23:30; Вс: 00:00-23:30,+03:00,,,88007700400,,,info@x5.ru,,,http://5ka.ru/catalog?utm_source=2gis&utm_medium=cpm&utm_campaign=000161-17_igronik_media_5ka_promo_04_2026%7Cformat_banner%7Ctype_banner&utm_content=%7Ccreo_1&utm_term,http://max.ru/tspyaterochka,,,,,https://twitter.com/pyaterochka,,,,,,https://vk.com/pyaterochka_shop,,,,,,,,,,,,,,,,,,70000001114345519,55.776193,37.655137,4504235282823055,Ленинградский вокзал,70030076238921234,3347,4504136498316193,Пятёрочка,супермаркет,Супермаркеты,mart,2,8,2026-06-23T03:38:33Z,,0,32,https://2gis.com/firm/70000001114345519,branch,43,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726540
Eurospar,супермаркет,Супермаркеты; Доставка продуктов,"Большая Спасская улица, 27",1 этаж,129090,,Красносельский,Москва,,Москва,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,4.6,311,88005001329 (бесплатная горячая линия: пн-вс 8:00-23:00),,,,,,http://myspar.ru,,,,,,,,,,,,https://vk.com/spar.russia,,,,,,,,,https://t.me/myspar,,,,,,,,,70000001028701896,55.775961,37.642247,4504235282657822,,,55,70000001028701845,Eurospar,супермаркет,Супермаркеты,mart,2,13,2026-07-06T04:33:23Z,,0,32,https://2gis.com/firm/70000001028701896,branch,43,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726540
Супер Лента,супермаркет,Супермаркеты,"Комсомольская площадь, 6",-1 этаж,107140,,Красносельский,Москва,,Москва,Россия,Пн: 07:00-23:00; Вт: 07:00-23:00; Ср: 07:00-23:00; Чт: 07:00-23:00; Пт: 07:00-23:00; Сб: 07:00-23:00; Вс: 07:00-23:00,+03:00,4.4,63,84957774111 (горячая линия: круглосуточно),88007004111 (горячая линия: круглосуточно),,info@lenta.com,,,http://lentaapp.go.link/main?adj_t=1ovv6zw6&adj_deep_link=lentochka%3A%2F%2Fmain&adj_fallback=https%3A%2F%2Flenta.com%2F%3Futm_campaign%3Dmaps_free%26utm_medium%3Drefferal%26utm_source%3D2gis.maps&adj_redirect_macos=https%3A%2F%2Flenta.com%2F%3Futm_campaign%3Dmaps_free%26utm_medium%3Drefferal%26utm_source%3D2gis.maps,http://max.ru/lentacom,,,,,,,,,,,https://vk.com/lentacom,,,,,,,,,https://t.me/lenta_promobot,,,https://youtube.com/channel/UCrrKUFYJyIfkBeBSwBWrqXQ,,,,,,70000001058984647,55.775629,37.659237,4504235282656901,Универмаг Московский,70030076176832627,139,70000001058978863,Супер Лента,супермаркет,Супермаркеты,mart,1,10,2026-05-05T05:57:04Z,,0,32,https://2gis.com/firm/70000001058984647,branch,43,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726540
ВкусВилл,супермаркет,Супермаркеты; Доставка продуктов; Кулинарии; Доставка еды,"Верхняя Красносельская улица, 38/19 ст1",1 этаж,107140,,Красносельский,Москва,,Москва,Россия,Пн: 07:00-23:00; Вт: 07:00-23:00; Ср: 07:00-23:00; Чт: 07:00-23:00; Пт: 07:00-23:00; Сб: 07:00-23:00; Вс: 07:00-23:00,+03:00,4.7,96,89263943218,,,,,,http://vkusvill.ru/goods/?utm_source=2gis&utm_medium=maps&utm_campaign=glavnaya&deep_link_value=https%3A%2F%2Fvkusvill.ru%2Fmobile%3Fcatalog%2F&af_dp=vkusvill%3A%2F%2F&c=glavnaya&shortlink=5ca647b8&source_,http://max.ru/vkusvill_ru,,,,,,,,,,,https://vk.com/vkusvill_ru,,,,,,,,,https://t.me/we_are_vkusvill,,,,,,,,,70000001031076655,55.779654,37.665627,4504235282652547,,,1420,4504137598285175,ВкусВилл,супермаркет,Супермаркеты,mart,4,17,2026-06-28T05:22:46Z,,0,32,https://2gis.com/firm/70000001031076655,branch,43,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726540
ВкусВилл,супермаркет,Супермаркеты; Доставка продуктов,"Мясницкая улица, 17 ст1",1 этаж,101000,,Красносельский,Москва,,Москва,Россия,Пн: 07:00-23:00; Вт: 07:00-23:00; Ср: 07:00-23:00; Чт: 07:00-23:00; Пт: 07:00-23:00; Сб: 07:00-23:00; Вс: 07:00-23:00,+03:00,4.7,60,89267159488,,,,,,http://vkusvill.ru/goods/?utm_source=2gis&utm_medium=maps&utm_campaign=glavnaya&deep_link_value=https%3A%2F%2Fvkusvill.ru%2Fmobile%3Fcatalog%2F&af_dp=vkusvill%3A%2F%2F&c=glavnaya&shortlink=5ca647b8&source_,http://max.ru/vkusvill_ru,,,,,,,,,,,https://vk.com/vkusvill_ru,,,,,,,,,https://t.me/we_are_vkusvill,,,,,,,,,70000001067526849,55.763547,37.635606,4504235282764193,,,1420,4504137598285175,ВкусВилл,супермаркет,Супермаркеты,mart,2,14,2026-06-28T05:22:42Z,,0,32,https://2gis.com/firm/70000001067526849,branch,43,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726540
