Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,E-mail 3,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,Instagram 1,Instagram 2,Instagram 3,Twitter 1,Twitter 2,Twitter 3,Facebook 1,Facebook 2,Facebook 3,ВКонтакте 1,ВКонтакте 2,ВКонтакте 3,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber 1,Viber 2,Viber 3,Telegram 1,Telegram 2,Telegram 3,YouTube 1,YouTube 2,YouTube 3,Skype 1,Skype 2,Skype 3,ID объекта,Широта,Долгота,ID здания,Название здания,ID этажа,Количество филиалов,ID сети,Название сети,Специализация сети,Главная рубрика,POI-категория,Кол-во рубрик,Кол-во атрибутов,Дата обновления,Удалён,ID сегмента,ID региона,2GIS URL,Тип,Ожидаемое кол-во (2GIS),Ссылка запроса
Дикси,супермаркет,Супермаркеты,"улица Крылатские Холмы, 29",1 этаж,121614,,Крылатское,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,4.4,36,88001011001,,,,,,http://dixy.ru,,,,,,,,,,,,https://vk.com/dixyclub,,,,,,,,,https://t.me/dixy_russia,,,https://youtube.com/user/dixychannel,,,,,,70000001061402190,55.756604,37.417616,4504235282627351,,,1418,4504136498313374,Дикси,супермаркет,Супермаркеты,mart,1,11,2026-06-30T06:41:46Z,,0,32,https://2gis.com/firm/70000001061402190,branch,23,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726635
Перекрёсток,супермаркет,Супермаркеты; Доставка продуктов,"Осенний бульвар, 12 к1",,121614,,Крылатское,Москва,,Москва,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,4.7,291,88002009555 (многоканальный),,,info@x5.ru,,,http://perekrestok.ru/?utm_source=2gis_maps&utm_medium=display&utm_campaign=maps_wo_promo&utm_content=main_url,http://max.ru/perekrestok_shop,,,,,,,,,,,https://vk.com/perekrestok_shop,,,,,,,,,https://t.me/+rHsiEm_QR3EwNTky,,,,,,,,,4504127913450157,55.758484,37.409412,4504235282627166,,,487,4504136498303078,Перекрёсток,супермаркет,Супермаркеты,mart,2,13,2026-06-27T05:12:00Z,,0,32,https://2gis.com/firm/4504127913450157,branch,23,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726635
Eurospar,супермаркет,Супермаркеты; Доставка продуктов,"Рублёвское шоссе, 48/1",1 этаж,121609,,Крылатское,Москва,,Москва,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,4.7,247,88005001329 (бесплатная горячая линия: пн-вс 8:00-23:00),,,,,,http://myspar.ru,,,,,,,,,,,,https://vk.com/spar.russia,,,,,,,,,https://t.me/myspar,,,,,,,,,70000001065091649,55.754695,37.407337,4504235282701287,,,55,70000001028701845,Eurospar,супермаркет,Супермаркеты,mart,2,13,2026-07-06T04:33:15Z,,0,32,https://2gis.com/firm/70000001065091649,branch,23,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726635
Азбука вкуса,супермаркет,Супермаркеты; Доставка продуктов,"Осенний бульвар, 8 к1",1 этаж,121609,,Крылатское,Москва,,Москва,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,4.3,45,84955043478 (служба поддержки),88007003487 (бесплатная единая справочная: пн-вс 9:00-21:00),84952230200,,,,http://av.ru,http://max.ru/azbukavkusa,,,,,,,,,,,https://vk.com/azbukavkusa,,,,,,,,,https://t.me/azbukavkusa,,,https://youtube.com/azbukav,,,,,,70000001028761435,55.755375,37.409169,4504235282627131,,,102,4504136498318829,Азбука вкуса,супермаркет,Супермаркеты,mart,2,12,2026-04-08T09:35:42Z,,0,32,https://2gis.com/firm/70000001028761435,branch,23,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726635
Пятёрочка,супермаркет,Супермаркеты; Доставка продуктов,"Осенняя улица, 24",,121614,,Крылатское,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,3.8,12,88007700400,,,info@x5.ru,,,http://5ka.ru/catalog?utm_source=2gis&utm_medium=cpm&utm_campaign=000161-17_igronik_media_5ka_promo_04_2026%7Cformat_banner%7Ctype_banner&utm_content=%7Ccreo_1&utm_term,http://max.ru/tspyaterochka,,,,,https://twitter.com/pyaterochka,,,,,,https://vk.com/pyaterochka_shop,,,,,,,,,,,,,,,,,,4504127917206356,55.766854,37.408033,4504235282559208,,,3347,4504136498316193,Пятёрочка,супермаркет,Супермаркеты,mart,2,15,2026-06-22T08:05:08Z,,0,32,https://2gis.com/firm/4504127917206356,branch,23,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726635
Пятёрочка,супермаркет,Супермаркеты; Доставка продуктов,"Рублёвское шоссе, 30 к1",1 этаж,121609,,Крылатское,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,4.6,87,88007700400,,,info@x5.ru,,,http://5ka.ru/catalog?utm_source=2gis&utm_medium=cpm&utm_campaign=000161-17_igronik_media_5ka_promo_04_2026%7Cformat_banner%7Ctype_banner&utm_content=%7Ccreo_1&utm_term,http://max.ru/tspyaterochka,,,,,https://twitter.com/pyaterochka,,,,,,https://vk.com/pyaterochka_shop,,,,,,,,,,,,,,,,,,70000001019724444,55.747181,37.419926,4504235282627036,,,3347,4504136498316193,Пятёрочка,супермаркет,Супермаркеты,mart,2,14,2026-06-22T08:08:14Z,,0,32,https://2gis.com/firm/70000001019724444,branch,23,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726635
Пятёрочка,супермаркет,Супермаркеты,"Осенний бульвар, 8а",цокольный этаж,121609,,Крылатское,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,4.5,16,88007700400,,,info@x5.ru,,,http://5ka.ru/catalog?utm_source=2gis&utm_medium=cpm&utm_campaign=000161-17_igronik_media_5ka_promo_04_2026%7Cformat_banner%7Ctype_banner&utm_content=%7Ccreo_1&utm_term,http://max.ru/tspyaterochka,,,,,https://twitter.com/pyaterochka,,,,,,https://vk.com/pyaterochka_shop,,,,,,,,,,,,,,,,,,70000001088056269,55.755994,37.409319,4504235282557967,,,3347,4504136498316193,Пятёрочка,супермаркет,Супермаркеты,mart,1,13,2026-06-22T08:05:22Z,,0,32,https://2gis.com/firm/70000001088056269,branch,23,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726635
Дикси,супермаркет,Супермаркеты; Доставка продуктов,"Рублёвское шоссе, 38 к1",,121609,,Крылатское,Москва,,Москва,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,4.2,56,88001011001,,,,,,http://dixy.ru,,,,,,,,,,,,https://vk.com/dixyclub,,,,,,,,,https://t.me/dixy_russia,,,https://youtube.com/user/dixychannel,,,,,,4504128908568498,55.749688,37.415386,4504235282626856,,,1418,4504136498313374,Дикси,супермаркет,Супермаркеты,mart,2,12,2026-06-25T04:05:55Z,,0,32,https://2gis.com/firm/4504128908568498,branch,23,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726635
Верный,универсам,Супермаркеты; Доставка продуктов,"Крылатская улица, 33 к3",1 этаж,121614,,Крылатское,Москва,,Москва,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,4.5,72,88126010110,,,,,,http://verno-info.ru,,,,,,,,,,,,https://vk.com/verny_official,,,,,,,,,,,,,,,,,,70000001043298912,55.769597,37.408035,4504235282629196,,,539,4504137598364786,Верный,универсам,Супермаркеты,mart,2,12,2026-07-09T15:29:41Z,,0,32,https://2gis.com/firm/70000001043298912,branch,23,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726635
Азбука вкуса,супермаркет,Супермаркеты; Доставка продуктов,"Рублёвское шоссе, 42 к1",цокольный этаж,121609,,Крылатское,Москва,,Москва,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,4.7,55,84955043478 (служба поддержки),88007003487 (бесплатная единая справочная: пн-вс 9:00-21:00),84952230200,,,,http://av.ru,http://max.ru/azbukavkusa,,,,,,,,,,,https://vk.com/azbukavkusa,,,,,,,,,https://t.me/azbukavkusa,,,https://youtube.com/azbukav,,,,,,70000001006924290,55.750638,37.41251,4504235282626781,Zar Галерея,,102,4504136498318829,Азбука вкуса,супермаркет,Супермаркеты,mart,2,11,2026-06-09T03:00:29Z,,0,32,https://2gis.com/firm/70000001006924290,branch,23,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726635
