Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,E-mail 3,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,Instagram 1,Instagram 2,Instagram 3,Twitter 1,Twitter 2,Twitter 3,Facebook 1,Facebook 2,Facebook 3,ВКонтакте 1,ВКонтакте 2,ВКонтакте 3,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber 1,Viber 2,Viber 3,Telegram 1,Telegram 2,Telegram 3,YouTube 1,YouTube 2,YouTube 3,Skype 1,Skype 2,Skype 3,ID объекта,Широта,Долгота,ID здания,Название здания,ID этажа,Количество филиалов,ID сети,Название сети,Специализация сети,Главная рубрика,POI-категория,Кол-во рубрик,Кол-во атрибутов,Дата обновления,Удалён,ID сегмента,ID региона,2GIS URL,Тип,Ожидаемое кол-во (2GIS),Ссылка запроса
Магнит,супермаркет,Супермаркеты,"Рублёвское шоссе, 91 к1",1 этаж,121467,,Кунцево,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,4.8,48,88002009002 (единая справочная: пн-вс 6:00-00:00),,,info@magnit.ru,,,http://magnit.ru/?utm_source=_geopriority_&utm_medium=&utm_campaign=_MM_Geoprioritety_-&utm_content=main&utm_term=,,,,,,,,,,,,https://vk.com/magnitretail,,,,,,,,,https://t.me/magnit_retail,,,,,,,,,70000001034052136,55.740832,37.427266,4504235282557731,,,1562,4504137598701571,Магнит,супермаркет,Супермаркеты,mart,1,13,2026-07-02T13:04:36Z,,0,32,https://2gis.com/firm/70000001034052136,branch,63,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726634
Пятёрочка,супермаркет,Супермаркеты; Доставка продуктов,"Ярцевская улица, 29 к4",,121552,,Кунцево,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,4.6,111,88007700400,,,info@x5.ru,,,http://5ka.ru/catalog?utm_source=2gis&utm_medium=cpm&utm_campaign=000161-17_igronik_media_5ka_promo_04_2026%7Cformat_banner%7Ctype_banner&utm_content=%7Ccreo_1&utm_term,http://max.ru/tspyaterochka,,,,,https://twitter.com/pyaterochka,,,,,,https://vk.com/pyaterochka_shop,,,,,,,,,,,,,,,,,,4504127909669957,55.742819,37.417611,4504235283034495,,,3347,4504136498316193,Пятёрочка,супермаркет,Супермаркеты,mart,2,14,2026-06-22T08:05:05Z,,0,32,https://2gis.com/firm/4504127909669957,branch,63,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726634
Чижик,супермаркет,Супермаркеты,"Рублёвское шоссе, 22 к1",,121615,,Кунцево,Москва,,Москва,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+03:00,5.0,1,84992702713,,,112@chizhik.club,,,http://chizhik.club/?utm_campaign=HCBO&utm_medium=maps&utm_source=2gis,,,,,,,,,,,,https://vk.com/chizhik.club,,,,,,,,,,,,,,,,,,70000001113895406,55.743684,37.426889,4504235282628327,,,613,70000001046125844,Чижик,супермаркет,Супермаркеты,mart,1,1,2026-07-05T12:23:16Z,,0,32,https://2gis.com/firm/70000001113895406,branch,63,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726634
Дикси,супермаркет,Супермаркеты; Доставка продуктов,"улица Академика Павлова, 6/36",,121359,,Кунцево,Москва,,Москва,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,4.3,86,88001011001,,,,,,http://dixy.ru,,,,,,,,,,,,https://vk.com/dixyclub,,,,,,,,,https://t.me/dixy_russia,,,https://youtube.com/user/dixychannel,,,,,,4504127908762350,55.740267,37.395698,4504235282558729,,,1418,4504136498313374,Дикси,супермаркет,Супермаркеты,mart,2,12,2026-07-10T03:15:09Z,,0,32,https://2gis.com/firm/4504127908762350,branch,63,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726634
Супер Лента,супермаркет,Супермаркеты,"улица Ивана Франко, 38 к1",1 этаж,121351,,Кунцево,Москва,,Москва,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+03:00,4.6,34,84957774111 (горячая линия: круглосуточно),88007004111 (горячая линия: круглосуточно),,info@lenta.com,,,http://lentaapp.go.link/main?adj_t=1ovv6zw6&adj_deep_link=lentochka%3A%2F%2Fmain&adj_fallback=https%3A%2F%2Flenta.com%2F%3Futm_campaign%3Dmaps_free%26utm_medium%3Drefferal%26utm_source%3D2gis.maps&adj_redirect_macos=https%3A%2F%2Flenta.com%2F%3Futm_campaign%3Dmaps_free%26utm_medium%3Drefferal%26utm_source%3D2gis.maps,http://max.ru/lentacom,,,,,,,,,,,https://vk.com/lentacom,,,,,,,,,https://t.me/lenta_promobot,,,https://youtube.com/channel/UCrrKUFYJyIfkBeBSwBWrqXQ,,,,,,70000001058984949,55.728134,37.416189,4504235282621777,,,139,70000001058978863,Супер Лента,супермаркет,Супермаркеты,mart,1,14,2026-07-02T07:52:40Z,,0,32,https://2gis.com/firm/70000001058984949,branch,63,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726634
ВкусВилл,супермаркет,Супермаркеты; Доставка продуктов; Кулинарии; Доставка еды,"Ельнинская улица, 23 ст2",,121552,,Кунцево,Москва,,Москва,Россия,Пн: 07:00-23:30; Вт: 07:00-23:30; Ср: 07:00-23:30; Чт: 07:00-23:30; Пт: 07:00-23:30; Сб: 07:00-23:30; Вс: 07:00-23:30,+03:00,4.6,32,89255880070,,,,,,http://vkusvill.ru/goods/?utm_source=2gis&utm_medium=maps&utm_campaign=glavnaya&deep_link_value=https%3A%2F%2Fvkusvill.ru%2Fmobile%3Fcatalog%2F&af_dp=vkusvill%3A%2F%2F&c=glavnaya&shortlink=5ca647b8&source_,http://max.ru/vkusvill_ru,,,,,,,,,,,https://vk.com/vkusvill_ru,,,,,,,,,https://t.me/we_are_vkusvill,,,,,,,,,70000001029823549,55.740707,37.416865,4504235282625862,,,1420,4504137598285175,ВкусВилл,супермаркет,Супермаркеты,mart,4,15,2026-06-28T05:22:40Z,,0,32,https://2gis.com/firm/70000001029823549,branch,63,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726634
Пятёрочка,супермаркет,Супермаркеты; Доставка продуктов,"Молдавская улица, 4",2 этаж,121467,,Кунцево,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,4.5,94,88007700400,,,info@x5.ru,,,http://5ka.ru/catalog?utm_source=2gis&utm_medium=cpm&utm_campaign=000161-17_igronik_media_5ka_promo_04_2026%7Cformat_banner%7Ctype_banner&utm_content=%7Ccreo_1&utm_term,http://max.ru/tspyaterochka,,,,,https://twitter.com/pyaterochka,,,,,,https://vk.com/pyaterochka_shop,,,,,,,,,,,,,,,,,,4504127909669954,55.730865,37.441656,4504235282556677,,,3347,4504136498316193,Пятёрочка,супермаркет,Супермаркеты,mart,2,13,2026-06-22T08:05:08Z,,0,32,https://2gis.com/firm/4504127909669954,branch,63,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726634
Да!,супермаркет,Супермаркеты,"Кунцевская улица, 13а",,121351,,Кунцево,Москва,,Москва,Россия,Пн: 08:00-22:00; Вт: 08:00-22:00; Ср: 08:00-22:00; Чт: 08:00-22:00; Пт: 08:00-22:00; Сб: 08:00-22:00; Вс: 08:00-22:00,+03:00,4.7,29,88005002755 (единая справочная: пн-вс 9:00-21:00),,,,,,http://market-da.ru,http://max.ru/magazin_da,,,,,,,,,,,https://vk.com/magazin_da,,,,,,,,,https://t.me/marketda,,,,,,,,,70000001034835669,55.729863,37.412535,70030077128765682,,,156,70000001020160443,Да!,супермаркет,Супермаркеты,mart,1,9,2026-06-22T07:19:16Z,,0,32,https://2gis.com/firm/70000001034835669,branch,63,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726634
Авоська,супермаркет,Супермаркеты,"Рублёвское шоссе, 20 к2",,121615,,Кунцево,Москва,,Москва,Россия,Пн: 09:00-23:00; Вт: 09:00-23:00; Ср: 09:00-23:00; Чт: 09:00-23:00; Пт: 09:00-23:00; Сб: 09:00-23:00; Вс: 09:00-23:00,+03:00,4.5,45,84956567022 (единая справочная: пн-пт 9:00-18:00 ),84957254154 (единая справочная: пн-пт 9:00-18:00),,,,,http://avoska.ru,,,,,,,,,,,,https://vk.com/universam.avoska,,,,,,,,,https://t.me/universam_avoska,,,,,,,,,4504128908603525,55.74276,37.430568,4504235282558302,,,53,4504136498316240,Авоська,супермаркет,Супермаркеты,mart,1,8,2026-02-18T13:40:58Z,,0,32,https://2gis.com/firm/4504128908603525,branch,63,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726634
Солос,супермаркет,Супермаркеты; Доставка продуктов,"Бобруйская улица, 22 к1",,121359,,Кунцево,Москва,,Москва,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,4.8,143,84951490120,84991407514,89151163606,,,,http://solos-m.ru,,,,,,,,,,,,https://vk.com/magazin_solos,,,https://wa.me/79151163606,,,,,,,,,,,,,,,4504127908829154,55.73776,37.399119,4504235282558801,,,1,4504136498532927,Солос,супермаркет,Супермаркеты,mart,2,11,2026-04-09T03:00:00Z,,0,32,https://2gis.com/firm/4504127908829154,branch,63,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726634
Авоська,супермаркет,Супермаркеты,"Молдавская улица, 2/3",,121467,,Кунцево,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,4.8,22,84956567022 (единая справочная: пн-пт 9:00-18:00 ),84957254154 (единая справочная: пн-пт 9:00-18:00),,,,,http://avoska.ru,,,,,,,,,,,,https://vk.com/universam.avoska,,,,,,,,,https://t.me/universam_avoska,,,,,,,,,70000001079921478,55.732382,37.443635,4504235282622727,,,53,4504136498316240,Авоська,супермаркет,Супермаркеты,mart,1,8,2025-10-22T12:31:53Z,,0,32,https://2gis.com/firm/70000001079921478,branch,63,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726634
