Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,E-mail 3,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,Instagram 1,Instagram 2,Instagram 3,Twitter 1,Twitter 2,Twitter 3,Facebook 1,Facebook 2,Facebook 3,ВКонтакте 1,ВКонтакте 2,ВКонтакте 3,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber 1,Viber 2,Viber 3,Telegram 1,Telegram 2,Telegram 3,YouTube 1,YouTube 2,YouTube 3,Skype 1,Skype 2,Skype 3,ID объекта,Широта,Долгота,ID здания,Название здания,ID этажа,Количество филиалов,ID сети,Название сети,Специализация сети,Главная рубрика,POI-категория,Кол-во рубрик,Кол-во атрибутов,Дата обновления,Удалён,ID сегмента,ID региона,2GIS URL,Тип,Ожидаемое кол-во (2GIS),Ссылка запроса
Магнолия,супермаркет,Супермаркеты; Доставка продуктов,"Соколово-Мещерская улица, 14",1 этаж,125466,,Куркино,Москва,,Москва,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,4.8,72,84995570335,84959213237,,,,,http://mgnl.ru,,,,,,,,,,,,https://vk.com/magnoliya.store,,,https://wa.me/79160378137,,,,,,,,,,,,,,,4504127908453591,55.896677,37.389193,4504235282949012,,,205,4504136498318542,Магнолия,супермаркет,Супермаркеты,mart,2,11,2026-07-02T18:53:13Z,,0,32,https://2gis.com/firm/4504127908453591,branch,21,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726651
Да!,супермаркет,Супермаркеты; Доставка продуктов,"МКАД 73 километр, 7",1 этаж,125466,,Куркино,Москва,,Москва,Россия,Пн: 08:00-22:00; Вт: 08:00-22:00; Ср: 08:00-22:00; Чт: 08:00-22:00; Пт: 08:00-22:00; Сб: 08:00-22:00; Вс: 08:00-22:00,+03:00,4.7,22,88005002755 (единая справочная: пн-вс 9:00-21:00),,,,,,http://market-da.ru,http://max.ru/magazin_da,,,,,,,,,,,https://vk.com/magazin_da,,,,,,,,,https://t.me/marketda,,,,,,,,,70000001022035912,55.876442,37.421635,4504235282881960,ТЦ Арфа,70030076604172631,156,70000001020160443,Да!,супермаркет,Супермаркеты,mart,2,8,2026-06-22T07:19:16Z,,0,32,https://2gis.com/firm/70000001022035912,branch,21,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726651
Перекрёсток,супермаркет,Супермаркеты; Доставка продуктов,"Новокуркинское шоссе, 1",1 этаж,125466,,Куркино,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,4.6,74,88002009555 (многоканальный),,,info@x5.ru,,,http://perekrestok.ru/?utm_source=2gis_maps&utm_medium=display&utm_campaign=maps_wo_promo&utm_content=main_url,http://max.ru/perekrestok_shop,,,,,,,,,,,https://vk.com/perekrestok_shop,,,,,,,,,https://t.me/+rHsiEm_QR3EwNTky,,,,,,,,,70000001048108200,55.885353,37.406287,4504235282939080,ТРК Парус,70030076310224538,487,4504136498303078,Перекрёсток,супермаркет,Супермаркеты,mart,2,12,2026-07-04T08:56:51Z,,0,32,https://2gis.com/firm/70000001048108200,branch,21,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726651
Мираторг,супермаркет,Супермаркеты; Доставка продуктов,"Соколово-Мещерская улица, 29",,125466,,Куркино,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,4.8,10,88005502719,,,,,,http://miratorg.ru/super,http://t.me/+Y3RA1ifcI7RhNDNi,,,,,,,,,,,https://vk.com/supermarketmiratorg,,,,,,,,,https://t.me/+Y3RA1ifcI7RhNDNi,,,,,,,,,70000001066881313,55.905959,37.385259,4504235282951233,,,97,4504136499896740,Мираторг,супермаркет,Супермаркеты,mart,2,9,2026-07-04T20:56:31Z,,0,32,https://2gis.com/firm/70000001066881313,branch,21,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726651
Перекрёсток,супермаркет,Супермаркеты; Доставка продуктов,"Воротынская улица, 18",1 этаж,125466,,Куркино,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,4.7,110,88002009555 (многоканальный),,,info@x5.ru,,,http://perekrestok.ru/?utm_source=2gis_maps&utm_medium=display&utm_campaign=maps_wo_promo&utm_content=main_url,http://max.ru/perekrestok_shop,,,,,,,,,,,https://vk.com/perekrestok_shop,,,,,,,,,https://t.me/+rHsiEm_QR3EwNTky,,,,,,,,,70000001020970393,55.889859,37.388164,4504235282941108,ТЦ Корабль,,487,4504136498303078,Перекрёсток,супермаркет,Супермаркеты,mart,2,12,2026-07-06T18:42:17Z,,0,32,https://2gis.com/firm/70000001020970393,branch,21,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726651
Пятёрочка,супермаркет,Супермаркеты,"Новокуркинское шоссе, 18",1 этаж,125466,,Куркино,Москва,,Москва,Россия,Пн: 09:00-22:00; Вт: 09:00-22:00; Ср: 09:00-22:00; Чт: 09:00-22:00; Пт: 09:00-22:00; Сб: 09:00-22:00; Вс: 09:00-22:00,+03:00,,,88007700400,,,info@x5.ru,,,http://5ka.ru/catalog?utm_source=2gis&utm_medium=cpm&utm_campaign=000161-17_igronik_media_5ka_promo_04_2026%7Cformat_banner%7Ctype_banner&utm_content=%7Ccreo_1&utm_term,http://max.ru/tspyaterochka,,,,,https://twitter.com/pyaterochka,,,,,,https://vk.com/pyaterochka_shop,,,,,,,,,,,,,,,,,,70000001100515348,55.899954,37.39915,4504235283110843,,,3347,4504136498316193,Пятёрочка,супермаркет,Супермаркеты,mart,1,13,2026-06-22T08:06:52Z,,0,32,https://2gis.com/firm/70000001100515348,branch,21,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726651
Пятёрочка,супермаркет,Супермаркеты; Доставка продуктов,"Соколово-Мещерская улица, 25",,125466,,Куркино,Москва,,Москва,Россия,Пн: 09:00-22:00; Вт: 09:00-22:00; Ср: 09:00-22:00; Чт: 09:00-22:00; Пт: 09:00-22:00; Сб: 09:00-22:00; Вс: 09:00-22:00,+03:00,3.9,7,88007700400,,,info@x5.ru,,,http://5ka.ru/catalog?utm_source=2gis&utm_medium=cpm&utm_campaign=000161-17_igronik_media_5ka_promo_04_2026%7Cformat_banner%7Ctype_banner&utm_content=%7Ccreo_1&utm_term,http://max.ru/tspyaterochka,,,,,https://twitter.com/pyaterochka,,,,,,https://vk.com/pyaterochka_shop,,,,,,,,,,,,,,,,,,4504127909815543,55.904066,37.384917,4504235282951085,,,3347,4504136498316193,Пятёрочка,супермаркет,Супермаркеты,mart,2,14,2026-06-22T08:05:52Z,,0,32,https://2gis.com/firm/4504127909815543,branch,21,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726651
Пятёрочка,супермаркет,Супермаркеты; Доставка продуктов,"Воротынская улица, 2",1 этаж,125466,,Куркино,Москва,,Москва,Россия,Пн: 08:00-22:00; Вт: 08:00-22:00; Ср: 08:00-22:00; Чт: 08:00-22:00; Пт: 08:00-22:00; Сб: 08:00-22:00; Вс: 08:00-22:00,+03:00,4.8,30,88007700400,,,info@x5.ru,,,http://5ka.ru/catalog?utm_source=2gis&utm_medium=cpm&utm_campaign=000161-17_igronik_media_5ka_promo_04_2026%7Cformat_banner%7Ctype_banner&utm_content=%7Ccreo_1&utm_term,http://max.ru/tspyaterochka,,,,,https://twitter.com/pyaterochka,,,,,,https://vk.com/pyaterochka_shop,,,,,,,,,,,,,,,,,,70000001045539692,55.887244,37.402771,4504235282942087,,,3347,4504136498316193,Пятёрочка,супермаркет,Супермаркеты,mart,2,13,2026-06-22T08:05:05Z,,0,32,https://2gis.com/firm/70000001045539692,branch,21,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726651
ВкусВилл,супермаркет,Супермаркеты; Доставка продуктов; Кулинарии; Доставка еды,"Воротынская улица, 6",1 этаж,125466,,Куркино,Москва,,Москва,Россия,Пн: 08:00-22:00; Вт: 08:00-22:00; Ср: 08:00-22:00; Чт: 08:00-22:00; Пт: 08:00-22:00; Сб: 08:00-22:00; Вс: 08:00-22:00,+03:00,5.0,5,89257802064,,,,,,http://vkusvill.ru/goods/?utm_source=2gis&utm_medium=maps&utm_campaign=glavnaya&deep_link_value=https%3A%2F%2Fvkusvill.ru%2Fmobile%3Fcatalog%2F&af_dp=vkusvill%3A%2F%2F&c=glavnaya&shortlink=5ca647b8&source_,http://max.ru/vkusvill_ru,,,,,,,,,,,https://vk.com/vkusvill_ru,,,,,,,,,https://t.me/we_are_vkusvill,,,,,,,,,70000001029857534,55.888055,37.400405,4504235282944261,,,1420,4504137598285175,ВкусВилл,супермаркет,Супермаркеты,mart,4,19,2026-06-28T05:22:39Z,,0,32,https://2gis.com/firm/70000001029857534,branch,21,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726651
Пятёрочка,супермаркет,Супермаркеты; Доставка продуктов,"Родионовская улица, 12",1 этаж,125466,,Куркино,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,4.5,18,88007700400,,,info@x5.ru,,,http://5ka.ru/catalog?utm_source=2gis&utm_medium=cpm&utm_campaign=000161-17_igronik_media_5ka_promo_04_2026%7Cformat_banner%7Ctype_banner&utm_content=%7Ccreo_1&utm_term,http://max.ru/tspyaterochka,,,,,https://twitter.com/pyaterochka,,,,,,https://vk.com/pyaterochka_shop,,,,,,,,,,,,,,,,,,4504127909815542,55.89433,37.388741,4504235282948832,,,3347,4504136498316193,Пятёрочка,супермаркет,Супермаркеты,mart,2,14,2026-07-03T08:50:17Z,,0,32,https://2gis.com/firm/4504127909815542,branch,21,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726651
