Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,E-mail 3,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,Instagram 1,Instagram 2,Instagram 3,Twitter 1,Twitter 2,Twitter 3,Facebook 1,Facebook 2,Facebook 3,ВКонтакте 1,ВКонтакте 2,ВКонтакте 3,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber 1,Viber 2,Viber 3,Telegram 1,Telegram 2,Telegram 3,YouTube 1,YouTube 2,YouTube 3,Skype 1,Skype 2,Skype 3,ID объекта,Широта,Долгота,ID здания,Название здания,ID этажа,Количество филиалов,ID сети,Название сети,Специализация сети,Главная рубрика,POI-категория,Кол-во рубрик,Кол-во атрибутов,Дата обновления,Удалён,ID сегмента,ID региона,2GIS URL,Тип,Ожидаемое кол-во (2GIS),Ссылка запроса
Магнит,супермаркет,Супермаркеты; Доставка продуктов,"Волочаевская улица, 9/1",1 этаж,111033,,Лефортово,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,4.5,78,88002009002 (единая справочная: пн-вс 6:00-00:00),,,info@magnit.ru,,,http://magnit.ru/?utm_source=_geopriority_&utm_medium=&utm_campaign=_MM_Geoprioritety_-&utm_content=main&utm_term=,,,,,,,,,,,,https://vk.com/magnitretail,,,,,,,,,https://t.me/magnit_retail,,,,,,,,,70000001028964699,55.751947,37.679693,4504235282664559,,,1562,4504137598701571,Магнит,супермаркет,Супермаркеты,mart,2,11,2026-07-09T12:39:24Z,,0,32,https://2gis.com/firm/70000001028964699,branch,62,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726590
Чижик,супермаркет,Супермаркеты,"проезд Завода Серп и Молот, 5 ст1а",1 этаж,111250,,Лефортово,Москва,,Москва,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+03:00,4.9,52,84992702713,,,112@chizhik.club,,,http://chizhik.club/?utm_campaign=HDNA&utm_medium=maps&utm_source=2gis,,,,,,,,,,,,https://vk.com/chizhik.club,,,,,,,,,,,,,,,,,,70000001075094969,55.750704,37.70867,4504235282665167,,,613,70000001046125844,Чижик,супермаркет,Супермаркеты,mart,1,6,2026-07-05T12:23:11Z,,0,32,https://2gis.com/firm/70000001075094969,branch,62,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726590
Ярче!,супермаркет,Супермаркеты,"Душинская улица, 10",1 этаж,111024,,Лефортово,Москва,,Москва,Россия,Пн: 08:00-22:00; Вт: 08:00-22:00; Ср: 08:00-22:00; Чт: 08:00-22:00; Пт: 08:00-22:00; Сб: 08:00-22:00; Вс: 08:00-22:00,+03:00,4.8,22,,,,,,,http://ярче.рф,http://yarcheplus.ru,,,,,,,,,,,https://vk.com/supermarket_yarche,,,,,,,,,,,,,,,,,,70000001090491981,55.747092,37.704521,4504235282590332,,,198,70000001025914019,Ярче!,супермаркет,Супермаркеты,mart,1,9,2026-06-24T12:00:20Z,,0,32,https://2gis.com/firm/70000001090491981,branch,62,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726590
Пятёрочка,супермаркет,Супермаркеты; Доставка продуктов,"Волочаевская улица, 2 к1",1 этаж,111033,,Лефортово,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,4.6,39,88007700400,,,info@x5.ru,,,http://5ka.ru/catalog?utm_source=2gis&utm_medium=cpm&utm_campaign=000161-17_igronik_media_5ka_promo_04_2026%7Cformat_banner%7Ctype_banner&utm_content=%7Ccreo_1&utm_term,http://max.ru/tspyaterochka,,,,,https://twitter.com/pyaterochka,,,,,,https://vk.com/pyaterochka_shop,,,,,,,,,,,,,,,,,,70000001066651200,55.758216,37.685414,4504235282663831,,,3347,4504136498316193,Пятёрочка,супермаркет,Супермаркеты,mart,2,12,2026-07-07T10:42:20Z,,0,32,https://2gis.com/firm/70000001066651200,branch,62,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726590
Полярная Звезда,универсам,Супермаркеты; Доставка еды,"Авиамоторная улица, 9",1 этаж,111020,,Лефортово,Москва,,Москва,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,4.7,348,84953614348,84953625422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4504127916927869,55.761464,37.712501,4504235282552419,,,2,4504136498968216,Полярная Звезда,универсам,Супермаркеты,mart,2,13,2025-09-12T17:53:48Z,,0,32,https://2gis.com/firm/4504127916927869,branch,62,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726590
Перекрёсток,супермаркет,Супермаркеты; Доставка продуктов,"Волочаевская улица, 12а",1 этаж,111033,,Лефортово,Москва,,Москва,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,4.8,195,88002009555 (многоканальный),,,info@x5.ru,,,http://perekrestok.ru/?utm_source=2gis_maps&utm_medium=display&utm_campaign=maps_wo_promo&utm_content=main_url,http://max.ru/perekrestok_shop,,,,,,,,,,,https://vk.com/perekrestok_shop,,,,,,,,,https://t.me/+rHsiEm_QR3EwNTky,,,,,,,,,70000001021001576,55.7559,37.68217,4504235282676033,,,487,4504136498303078,Перекрёсток,супермаркет,Супермаркеты,mart,2,13,2026-07-07T13:35:38Z,,0,32,https://2gis.com/firm/70000001021001576,branch,62,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726590
Smart,супермаркет,Супермаркеты,"2-я Синичкина улица, 9а ст3",1 этаж,111020,,Лефортово,Москва,,Москва,Россия,Пн: 08:00-21:00; Вт: 08:00-21:00; Ср: 08:00-21:00; Чт: 08:00-21:00; Пт: 08:00-21:00; Сб: 08:00-21:00; Вс: 08:00-21:00,+03:00,4.2,16,88002007575,,,,,,http://smart.swnn.ru,http://t.me/smart_discounter,http://max.ru/smart_discounter,,,,,,,,,,https://vk.com/smart.producty,,,,,,,,,,,,,,,,,,70000001077410145,55.761898,37.718148,4504235282642995,,,21,70000001056730676,Smart,супермаркет,Супермаркеты,mart,1,9,2025-09-16T14:04:09Z,,0,32,https://2gis.com/firm/70000001077410145,branch,62,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726590
Азбука вкуса,супермаркет,Супермаркеты; Доставка продуктов,"проезд Шелихова, 1 к1",1 этаж,111033,,Лефортово,Москва,,Москва,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,5.0,1,84955043478 (служба поддержки),88007003487 (бесплатная единая справочная: пн-вс 9:00-21:00),84952230200,,,,http://av.ru,http://max.ru/azbukavkusa,,,,,,,,,,,https://vk.com/azbukavkusa,,,,,,,,,https://t.me/azbukavkusa,,,https://youtube.com/azbukav,,,,,,70000001105756072,55.748979,37.689321,70030076308404895,,,102,4504136498318829,Азбука вкуса,супермаркет,Супермаркеты,mart,2,3,2026-04-13T15:28:38Z,,0,32,https://2gis.com/firm/70000001105756072,branch,62,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726590
Пятёрочка,супермаркет,Супермаркеты; Доставка продуктов,"Солдатская улица, 6а",1 этаж,111250,,Лефортово,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,3.8,6,88007700400,,,info@x5.ru,,,http://5ka.ru/catalog?utm_source=2gis&utm_medium=cpm&utm_campaign=000161-17_igronik_media_5ka_promo_04_2026%7Cformat_banner%7Ctype_banner&utm_content=%7Ccreo_1&utm_term,http://max.ru/tspyaterochka,,,,,https://twitter.com/pyaterochka,,,,,,https://vk.com/pyaterochka_shop,,,,,,,,,,,,,,,,,,70000001083034859,55.764967,37.701527,4504235282553334,,,3347,4504136498316193,Пятёрочка,супермаркет,Супермаркеты,mart,2,14,2026-06-22T08:06:40Z,,0,32,https://2gis.com/firm/70000001083034859,branch,62,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726590
Пятёрочка,супермаркет,Супермаркеты; Доставка продуктов,"Красноказарменная улица, 23",1 этаж,111024,,Лефортово,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,4.5,106,88007700400,,,info@x5.ru,,,http://5ka.ru/catalog?utm_source=2gis&utm_medium=cpm&utm_campaign=000161-17_igronik_media_5ka_promo_04_2026%7Cformat_banner%7Ctype_banner&utm_content=%7Ccreo_1&utm_term,http://max.ru/tspyaterochka,,,,,https://twitter.com/pyaterochka,,,,,,https://vk.com/pyaterochka_shop,,,,,,,,,,,,,,,,,,70000001026705391,55.753442,37.7125,4504235282552175,,,3347,4504136498316193,Пятёрочка,супермаркет,Супермаркеты,mart,2,14,2026-06-22T08:07:35Z,,0,32,https://2gis.com/firm/70000001026705391,branch,62,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726590
