Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,E-mail 3,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,Instagram 1,Instagram 2,Instagram 3,Twitter 1,Twitter 2,Twitter 3,Facebook 1,Facebook 2,Facebook 3,ВКонтакте 1,ВКонтакте 2,ВКонтакте 3,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber 1,Viber 2,Viber 3,Telegram 1,Telegram 2,Telegram 3,YouTube 1,YouTube 2,YouTube 3,Skype 1,Skype 2,Skype 3,ID объекта,Широта,Долгота,ID здания,Название здания,ID этажа,Количество филиалов,ID сети,Название сети,Специализация сети,Главная рубрика,POI-категория,Кол-во рубрик,Кол-во атрибутов,Дата обновления,Удалён,ID сегмента,ID региона,2GIS URL,Тип,Ожидаемое кол-во (2GIS),Ссылка запроса
Красное&Белое,продуктовый магазин,Продуктовые магазины; Алкогольные напитки,"Алтуфьевское шоссе, 97",,127572,,Лианозово,Москва,,Москва,Россия,Пн: 09:00-22:05; Вт: 09:00-22:05; Ср: 09:00-22:05; Чт: 09:00-22:05; Пт: 09:00-22:05; Сб: 09:00-22:05; Вс: 09:00-22:05 (Время продажи алкоголя ограничено.),+03:00,4.8,60,88001000804,89227033000,,,,,http://krasnoeibeloe.ru,http://zen.yandex.ru/id/5dde5c1021552277da47ba4b,http://max.ru/krasnoebeloe,,,,,,,,,,https://vk.com/krasnoebeloe,,,,,,,,,https://t.me/krasnoeibeloe,,,,,,,,,70000001036894070,55.903688,37.585965,4504235282531282,,,2113,70000001090565128,Красное&Белое,продуктовый магазин,Продуктовые магазины,shop,2,4,2026-06-21T07:48:19Z,,0,32,https://2gis.com/firm/70000001036894070,branch,15,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726559
Красное&Белое,продуктовый магазин,Продуктовые магазины; Алкогольные напитки,"Дмитровское шоссе, 116д",1 этаж,127253,,Лианозово,Москва,,Москва,Россия,Пн: 09:00-22:05; Вт: 09:00-22:05; Ср: 09:00-22:05; Чт: 09:00-22:05; Пт: 09:00-22:05; Сб: 09:00-22:05; Вс: 09:00-22:05 (Время продажи алкоголя ограничено.),+03:00,4.8,19,88001000804,89227033000,,,,,http://krasnoeibeloe.ru,http://zen.yandex.ru/id/5dde5c1021552277da47ba4b,http://max.ru/krasnoebeloe,,,,,,,,,,https://vk.com/krasnoebeloe,,,,,,,,,https://t.me/krasnoeibeloe,,,,,,,,,70000001067080482,55.901501,37.547836,4504235282547598,,70030076335070733,2113,70000001090565128,Красное&Белое,продуктовый магазин,Продуктовые магазины,shop,2,4,2026-06-21T07:48:58Z,,0,32,https://2gis.com/firm/70000001067080482,branch,15,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726559
Красное&Белое,продуктовый магазин,Продуктовые магазины; Алкогольные напитки,"Абрамцевская улица, 9 к1",,127572,,Лианозово,Москва,,Москва,Россия,Пн: 09:00-22:05; Вт: 09:00-22:05; Ср: 09:00-22:05; Чт: 09:00-22:05; Пт: 09:00-22:05; Сб: 09:00-22:05; Вс: 09:00-22:05 (Время продажи алкоголя ограничено.),+03:00,4.7,48,88001000804,89227033000,,,,,http://krasnoeibeloe.ru,http://zen.yandex.ru/id/5dde5c1021552277da47ba4b,http://max.ru/krasnoebeloe,,,,,,,,,,https://vk.com/krasnoebeloe,,,,,,,,,https://t.me/krasnoeibeloe,,,,,,,,,70000001033776199,55.905012,37.572469,4504235282537590,,,2113,70000001090565128,Красное&Белое,продуктовый магазин,Продуктовые магазины,shop,2,5,2026-06-21T07:49:49Z,,0,32,https://2gis.com/firm/70000001033776199,branch,15,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726559
Красное&Белое,продуктовый магазин,Продуктовые магазины; Алкогольные напитки,"Псковская улица, 2Б",,127253,,Лианозово,Москва,,Москва,Россия,Пн: 09:00-22:05; Вт: 09:00-22:05; Ср: 09:00-22:05; Чт: 09:00-22:05; Пт: 09:00-22:05; Сб: 09:00-22:05; Вс: 09:00-22:05 (Время продажи алкоголя ограничено.),+03:00,4.5,4,88001000804,89227033000,,,,,http://krasnoeibeloe.ru,http://zen.yandex.ru/id/5dde5c1021552277da47ba4b,http://max.ru/krasnoebeloe,,,,,,,,,,https://vk.com/krasnoebeloe,,,,,,,,,https://t.me/krasnoeibeloe,,,,,,,,,70000001047368965,55.901036,37.553476,4504235282540695,,,2113,70000001090565128,Красное&Белое,продуктовый магазин,Продуктовые магазины,shop,2,5,2026-06-21T07:49:04Z,,0,32,https://2gis.com/firm/70000001047368965,branch,15,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726559
Красное&Белое,продуктовый магазин,Продуктовые магазины; Алкогольные напитки,"Абрамцевская улица, 9 к1",,127572,,Лианозово,Москва,,Москва,Россия,Пн: 09:00-22:05; Вт: 09:00-22:05; Ср: 09:00-22:05; Чт: 09:00-22:05; Пт: 09:00-22:05; Сб: 09:00-22:05; Вс: 09:00-22:05 (Время продажи алкоголя ограничено.),+03:00,,,88001000804,89227033000,,,,,http://krasnoeibeloe.ru,http://zen.yandex.ru/id/5dde5c1021552277da47ba4b,http://max.ru/krasnoebeloe,,,,,,,,,,https://vk.com/krasnoebeloe,,,,,,,,,https://t.me/krasnoeibeloe,,,,,,,,,70000001104259476,55.903063,37.571987,4504235282537590,,,2113,70000001090565128,Красное&Белое,продуктовый магазин,Алкогольные напитки,shop,2,4,2025-09-08T13:37:08Z,,0,32,https://2gis.com/firm/70000001104259476,branch,15,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726559
Винлаб,супермаркет напитков,Продуктовые магазины; Алкогольные напитки,"Абрамцевская улица, 3",,127576,,Лианозово,Москва,,Москва,Россия,Пн: 10:00-23:00; Вт: 10:00-23:00; Ср: 10:00-23:00; Чт: 10:00-23:00; Пт: 10:00-23:00; Сб: 10:00-23:00; Вс: 10:00-23:00 (Время продажи алкоголя ограничено.),+03:00,4.4,11,88003017755,,,,,,http://b2b.winelab.ru,http://max.ru/winelab_ru,,,,,,,,,,,https://vk.com/winelabru,,,,,,,,,https://t.me/winelab_chatbot,,,,,,,,,70000001086857137,55.896098,37.573565,4504235282996484,,,1163,70000001019234769,Винлаб,супермаркет напитков,Продуктовые магазины,shop,2,3,2026-07-07T13:29:25Z,,0,32,https://2gis.com/firm/70000001086857137,branch,15,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726559
Красное&Белое,продуктовый магазин,Продуктовые магазины; Алкогольные напитки,"Псковская улица, 5 к3",,127253,,Лианозово,Москва,,Москва,Россия,Пн: 09:00-22:05; Вт: 09:00-22:05; Ср: 09:00-22:05; Чт: 09:00-22:05; Пт: 09:00-22:05; Сб: 09:00-22:05; Вс: 09:00-22:05 (Время продажи алкоголя ограничено.),+03:00,5.0,1,88001000804,89227033000,,,,,http://krasnoeibeloe.ru,http://zen.yandex.ru/id/5dde5c1021552277da47ba4b,http://max.ru/krasnoebeloe,,,,,,,,,,https://vk.com/krasnoebeloe,,,,,,,,,https://t.me/krasnoeibeloe,,,,,,,,,70000001101268077,55.904655,37.548151,4504235282542795,,,2113,70000001090565128,Красное&Белое,продуктовый магазин,Продуктовые магазины,shop,2,6,2026-06-21T07:49:10Z,,0,32,https://2gis.com/firm/70000001101268077,branch,15,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726559
Винлаб,супермаркет напитков,Продуктовые магазины; Алкогольные напитки,"Алтуфьевское шоссе, 83",,127576,,Лианозово,Москва,,Москва,Россия,Пн: 10:00-23:00; Вт: 10:00-23:00; Ср: 10:00-23:00; Чт: 10:00-23:00; Пт: 10:00-23:00; Сб: 10:00-23:00; Вс: 10:00-23:00 (Время продажи алкоголя ограничено.),+03:00,4.5,5,88003017755,,,,,,http://b2b.winelab.ru,http://max.ru/winelab_ru,,,,,,,,,,,https://vk.com/winelabru,,,,,,,,,https://t.me/winelab_chatbot,,,,,,,,,70000001091396658,55.890153,37.585499,4504235282531273,,,1163,70000001019234769,Винлаб,супермаркет напитков,Продуктовые магазины,shop,2,4,2026-07-07T13:29:28Z,,0,32,https://2gis.com/firm/70000001091396658,branch,15,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726559
Красное&Белое,продуктовый магазин,Продуктовые магазины; Алкогольные напитки,"Псковская улица, 5 к4",1 этаж,127253,,Лианозово,Москва,,Москва,Россия,Пн: 09:00-22:05; Вт: 09:00-22:05; Ср: 09:00-22:05; Чт: 09:00-22:05; Пт: 09:00-22:05; Сб: 09:00-22:05; Вс: 09:00-22:05 (Время продажи алкоголя ограничено.),+03:00,4.9,21,88001000804,89227033000,,,,,http://krasnoeibeloe.ru,http://zen.yandex.ru/id/5dde5c1021552277da47ba4b,http://max.ru/krasnoebeloe,,,,,,,,,,https://vk.com/krasnoebeloe,,,,,,,,,https://t.me/krasnoeibeloe,,,,,,,,,70000001024901896,55.906051,37.547983,4504235282542414,,,2113,70000001090565128,Красное&Белое,продуктовый магазин,Продуктовые магазины,shop,2,6,2026-06-21T07:49:45Z,,0,32,https://2gis.com/firm/70000001024901896,branch,15,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726559
Ласточка,продовольственный магазин,Продуктовые магазины,"Алтуфьевское шоссе, 95Б",цокольный этаж,127572,,Лианозово,Москва,,Москва,Россия,Пн: 08:00-21:30; Вт: 08:00-21:30; Ср: 08:00-21:30; Чт: 08:00-21:30; Пт: 08:00-21:30; Сб: 09:00-21:30; Вс: 09:00-21:30,+03:00,1.0,2,89263538258,,,,,,,,,,,,,,,,,,,,,https://wa.me/79263538258,,,,,,,,,,,,,,,4504127916434775,55.902822,37.583549,4504235282530324,,,1,4504136499438611,Ласточка,продовольственный магазин,Продуктовые магазины,shop,1,5,2025-11-21T09:35:27Z,,0,32,https://2gis.com/firm/4504127916434775,branch,15,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726559
