Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,E-mail 3,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,Instagram 1,Instagram 2,Instagram 3,Twitter 1,Twitter 2,Twitter 3,Facebook 1,Facebook 2,Facebook 3,ВКонтакте 1,ВКонтакте 2,ВКонтакте 3,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber 1,Viber 2,Viber 3,Telegram 1,Telegram 2,Telegram 3,YouTube 1,YouTube 2,YouTube 3,Skype 1,Skype 2,Skype 3,ID объекта,Широта,Долгота,ID здания,Название здания,ID этажа,Количество филиалов,ID сети,Название сети,Специализация сети,Главная рубрика,POI-категория,Кол-во рубрик,Кол-во атрибутов,Дата обновления,Удалён,ID сегмента,ID региона,2GIS URL,Тип,Ожидаемое кол-во (2GIS),Ссылка запроса
Магнит,супермаркет,Супермаркеты,"Череповецкая улица, 18 ст2",,127576,,Лианозово,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,4.2,9,88002009002 (единая справочная: пн-вс 6:00-00:00),,,info@magnit.ru,,,http://magnit.ru/?utm_source=_geopriority_&utm_medium=&utm_campaign=_MM_Geoprioritety_-&utm_content=main&utm_term=,,,,,,,,,,,,https://vk.com/magnitretail,,,,,,,,,https://t.me/magnit_retail,,,,,,,,,70000001088763270,55.897807,37.579458,4504235283041669,,,1562,4504137598701571,Магнит,супермаркет,Супермаркеты,mart,1,12,2026-07-02T13:00:40Z,,0,32,https://2gis.com/firm/70000001088763270,branch,25,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726559
Перекрёсток,супермаркет,Супермаркеты; Доставка продуктов,"Череповецкая улица, 18",1 этаж,127576,,Лианозово,Москва,,Москва,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,4.4,61,88002009555 (многоканальный),,,info@x5.ru,,,http://perekrestok.ru/?utm_source=2gis_maps&utm_medium=display&utm_campaign=maps_wo_promo&utm_content=main_url,http://max.ru/perekrestok_shop,,,,,,,,,,,https://vk.com/perekrestok_shop,,,,,,,,,https://t.me/+rHsiEm_QR3EwNTky,,,,,,,,,70000001040674223,55.89766,37.578867,4504235282536665,,,487,4504136498303078,Перекрёсток,супермаркет,Супермаркеты,mart,2,13,2026-06-27T05:12:00Z,,0,32,https://2gis.com/firm/70000001040674223,branch,25,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726559
Перекрёсток,супермаркет,Супермаркеты; Доставка продуктов,"Череповецкая улица, 17",,127572,,Лианозово,Москва,,Москва,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,4.7,420,84956600530,,,info@x5.ru,,,http://perekrestok.ru/?utm_source=2gis_maps&utm_medium=display&utm_campaign=maps_wo_promo&utm_content=main_url,http://max.ru/perekrestok_shop,,,,,,,,,,,https://vk.com/perekrestok_shop,,,,,,,,,https://t.me/+rHsiEm_QR3EwNTky,,,,,,,,,4504127909007053,55.898963,37.58508,4504235282539805,,,487,4504136498303078,Перекрёсток,супермаркет,Супермаркеты,mart,2,13,2026-06-27T05:12:00Z,,0,32,https://2gis.com/firm/4504127909007053,branch,25,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726559
Светофор,супермаркет,Супермаркеты,"Илимская улица, 3г",,127576,,Лианозово,Москва,,Москва,Россия,Пн: 09:00-20:00; Вт: 09:00-20:00; Ср: 09:00-20:00; Чт: 09:00-20:00; Пт: 09:00-20:00; Сб: 09:00-20:00; Вс: 09:00-20:00,+03:00,4.3,8,89168817878,,,,,,http://msk-ilimskaya.svetoforonline.ru/content/kontakti,http://t.me/svetofordostavka,http://svetoforonline.ru/content/kontakti,,,,,,,,,,,,,,,,,,,,,,,,,,,,70000001096789016,55.888814,37.573745,4504235282609296,,,71,70000001029494343,Светофор,супермаркет,Супермаркеты,mart,1,5,2026-06-23T05:29:19Z,,0,32,https://2gis.com/firm/70000001096789016,branch,25,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726559
Ярче!,супермаркет,Супермаркеты; Доставка продуктов,"Илимская улица, 12",,127576,,Лианозово,Москва,,Москва,Россия,Пн: 08:00-21:00; Вт: 08:00-21:00; Ср: 08:00-21:00; Чт: 08:00-21:00; Пт: 08:00-21:00; Сб: 08:00-21:00; Вс: 08:00-21:00,+03:00,4.9,117,,,,,,,http://ярче.рф,http://yarcheplus.ru,,,,,,,,,,,https://vk.com/supermarket_yarche,,,,,,,,,,,,,,,,,,70000001027799724,55.890158,37.585163,4504235282531274,,,198,70000001025914019,Ярче!,супермаркет,Супермаркеты,mart,2,8,2026-06-23T09:21:09Z,,0,32,https://2gis.com/firm/70000001027799724,branch,25,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726559
Пятёрочка,супермаркет,Супермаркеты; Доставка продуктов,"Илимская улица, 8",,127576,,Лианозово,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,4.7,65,88007700400,,,info@x5.ru,,,http://5ka.ru/catalog?utm_source=2gis&utm_medium=cpm&utm_campaign=000161-17_igronik_media_5ka_promo_04_2026%7Cformat_banner%7Ctype_banner&utm_content=%7Ccreo_1&utm_term,http://max.ru/tspyaterochka,,,,,https://twitter.com/pyaterochka,,,,,,https://vk.com/pyaterochka_shop,,,,,,,,,,,,,,,,,,4504127919527248,55.890653,37.580417,4504235282535993,,,3347,4504136498316193,Пятёрочка,супермаркет,Супермаркеты,mart,2,13,2026-06-22T08:05:33Z,,0,32,https://2gis.com/firm/4504127919527248,branch,25,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726559
Перекрёсток,супермаркет,Супермаркеты; Доставка продуктов,"Алтуфьевское шоссе, 95",1 этаж,127572,,Лианозово,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,4.7,96,88002009555 (многоканальный),,,info@x5.ru,,,http://perekrestok.ru/?utm_source=2gis_maps&utm_medium=display&utm_campaign=maps_wo_promo&utm_content=main_url,http://max.ru/perekrestok_shop,,,,,,,,,,,https://vk.com/perekrestok_shop,,,,,,,,,https://t.me/+rHsiEm_QR3EwNTky,,,,,,,,,4504127916432750,55.901936,37.585583,4504235282538740,ТК Алтуфьево,70030076821383228,487,4504136498303078,Перекрёсток,супермаркет,Супермаркеты,mart,2,12,2026-06-27T05:12:05Z,,0,32,https://2gis.com/firm/4504127916432750,branch,25,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726559
Магнолия,супермаркет,Супермаркеты; Доставка продуктов,"Череповецкая улица, 12",1 этаж,127576,,Лианозово,Москва,,Москва,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,4.6,46,84992006023,84959213237,,,,,http://mgnl.ru,,,,,,,,,,,,https://vk.com/magnoliya.store,,,https://wa.me/79160378137,,,,,,,,,,,,,,,4504127909559984,55.898161,37.571383,4504235282536955,,,205,4504136498318542,Магнолия,супермаркет,Супермаркеты,mart,2,12,2026-05-29T11:49:18Z,,0,32,https://2gis.com/firm/4504127909559984,branch,25,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726559
ВкусВилл,супермаркет,Супермаркеты; Доставка продуктов; Кулинарии; Доставка еды,"Псковская улица, 9 к1",1 этаж,127253,,Лианозово,Москва,,Москва,Россия,Пн: 08:00-22:00; Вт: 08:00-22:00; Ср: 08:00-22:00; Чт: 08:00-22:00; Пт: 08:00-22:00; Сб: 08:00-22:00; Вс: 08:00-22:00,+03:00,4.9,13,89261604829,,,,,,http://vkusvill.ru/goods/?utm_source=2gis&utm_medium=maps&utm_campaign=glavnaya&deep_link_value=https%3A%2F%2Fvkusvill.ru%2Fmobile%3Fcatalog%2F&af_dp=vkusvill%3A%2F%2F&c=glavnaya&shortlink=5ca647b8&source_,http://max.ru/vkusvill_ru,,,,,,,,,,,https://vk.com/vkusvill_ru,,,,,,,,,https://t.me/we_are_vkusvill,,,,,,,,,70000001033268506,55.905498,37.552037,4504235282542506,,,1420,4504137598285175,ВкусВилл,супермаркет,Супермаркеты,mart,4,18,2026-06-28T05:22:46Z,,0,32,https://2gis.com/firm/70000001033268506,branch,25,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726559
Пятёрочка,супермаркет,Супермаркеты; Доставка продуктов,"Абрамцевская улица, 14 к1",1 этаж,127572,,Лианозово,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,4.3,16,88007700400,,,info@x5.ru,,,http://5ka.ru/catalog?utm_source=2gis&utm_medium=cpm&utm_campaign=000161-17_igronik_media_5ka_promo_04_2026%7Cformat_banner%7Ctype_banner&utm_content=%7Ccreo_1&utm_term,http://max.ru/tspyaterochka,,,,,https://twitter.com/pyaterochka,,,,,,https://vk.com/pyaterochka_shop,,,,,,,,,,,,,,,,,,70000001029282362,55.901189,37.574349,4504235282531222,,,3347,4504136498316193,Пятёрочка,супермаркет,Супермаркеты,mart,2,14,2026-06-22T08:05:44Z,,0,32,https://2gis.com/firm/70000001029282362,branch,25,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726559
