Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,E-mail 3,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,Instagram 1,Instagram 2,Instagram 3,Twitter 1,Twitter 2,Twitter 3,Facebook 1,Facebook 2,Facebook 3,ВКонтакте 1,ВКонтакте 2,ВКонтакте 3,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber 1,Viber 2,Viber 3,Telegram 1,Telegram 2,Telegram 3,YouTube 1,YouTube 2,YouTube 3,Skype 1,Skype 2,Skype 3,ID объекта,Широта,Долгота,ID здания,Название здания,ID этажа,Количество филиалов,ID сети,Название сети,Специализация сети,Главная рубрика,POI-категория,Кол-во рубрик,Кол-во атрибутов,Дата обновления,Удалён,ID сегмента,ID региона,2GIS URL,Тип,Ожидаемое кол-во (2GIS),Ссылка запроса
Восточный маркет,магазин кыргызских продуктов,Продуктовые магазины,"улица Лётчика Бабушкина, 30 ст9",,129281,,Лосиноостровский,Москва,,Москва,Россия,Пн: 09:00-24:00; Вт: 09:00-24:00; Ср: 09:00-24:00; Чт: 09:00-24:00; Пт: 09:00-24:00; Сб: 09:00-24:00; Вс: 09:00-24:00,+03:00,5.0,1,89918570707,,,,,,,,,,,,,,,,,,,,,https://wa.me/79918570707,,,,,,,,,,,,,,,70000001083385105,55.869742,37.676926,4504235282579899,,,1,70000001083385104,Восточный маркет,магазин кыргызских продуктов,Продуктовые магазины,shop,1,4,2026-07-10T10:22:39Z,,0,32,https://2gis.com/firm/70000001083385105,branch,16,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726560
Красное&Белое,продуктовый магазин,Продуктовые магазины; Алкогольные напитки,"улица Коминтерна, 15",1 этаж,129327,,Лосиноостровский,Москва,,Москва,Россия,Пн: 09:00-22:05; Вт: 09:00-22:05; Ср: 09:00-22:05; Чт: 09:00-22:05; Пт: 09:00-22:05; Сб: 09:00-22:05; Вс: 09:00-22:05 (Время продажи алкоголя ограничено.),+03:00,5.0,6,88001000804,89227033000,,,,,http://krasnoeibeloe.ru,http://zen.yandex.ru/id/5dde5c1021552277da47ba4b,http://max.ru/krasnoebeloe,,,,,,,,,,https://vk.com/krasnoebeloe,,,,,,,,,https://t.me/krasnoeibeloe,,,,,,,,,70000001056582197,55.871738,37.688527,70030076195135097,,,2113,70000001090565128,Красное&Белое,продуктовый магазин,Продуктовые магазины,shop,2,5,2026-06-21T07:48:44Z,,0,32,https://2gis.com/firm/70000001056582197,branch,16,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726560
Красное&Белое,продуктовый магазин,Продуктовые магазины; Алкогольные напитки,"Тайнинская улица, 9",1 этаж,129345,,Лосиноостровский,Москва,,Москва,Россия,Пн: 09:00-22:05; Вт: 09:00-22:05; Ср: 09:00-22:05; Чт: 09:00-22:05; Пт: 09:00-22:05; Сб: 09:00-22:05; Вс: 09:00-22:05 (Время продажи алкоголя ограничено.),+03:00,5.0,2,88001000804,89227033000,,,,,http://krasnoeibeloe.ru,http://zen.yandex.ru/id/5dde5c1021552277da47ba4b,http://max.ru/krasnoebeloe,,,,,,,,,,https://vk.com/krasnoebeloe,,,,,,,,,https://t.me/krasnoeibeloe,,,,,,,,,70000001060628561,55.883411,37.682135,70030076164520293,,,2113,70000001090565128,Красное&Белое,продуктовый магазин,Продуктовые магазины,shop,2,5,2026-06-21T07:48:44Z,,0,32,https://2gis.com/firm/70000001060628561,branch,16,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726560
Красное&Белое,продуктовый магазин,Продуктовые магазины; Алкогольные напитки,"улица Малыгина, 6",1 этаж,129336,,Лосиноостровский,Москва,,Москва,Россия,Пн: 09:00-22:05; Вт: 09:00-22:05; Ср: 09:00-22:05; Чт: 09:00-22:05; Пт: 09:00-22:05; Сб: 09:00-22:05; Вс: 09:00-22:05 (Время продажи алкоголя ограничено.),+03:00,4.9,30,88001000804,89227033000,,,,,http://krasnoeibeloe.ru,http://zen.yandex.ru/id/5dde5c1021552277da47ba4b,http://max.ru/krasnoebeloe,,,,,,,,,,https://vk.com/krasnoebeloe,,,,,,,,,https://t.me/krasnoeibeloe,,,,,,,,,70000001037389118,55.883006,37.696886,4504235282575278,,,2113,70000001090565128,Красное&Белое,продуктовый магазин,Продуктовые магазины,shop,2,4,2026-06-21T07:48:19Z,,0,32,https://2gis.com/firm/70000001037389118,branch,16,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726560
Красное&Белое,продуктовый магазин,Продуктовые магазины; Алкогольные напитки,"Анадырский проезд, 14 к1",1 этаж,129327,,Лосиноостровский,Москва,,Москва,Россия,Пн: 09:00-22:05; Вт: 09:00-22:05; Ср: 09:00-22:05; Чт: 09:00-22:05; Пт: 09:00-22:05; Сб: 09:00-22:05; Вс: 09:00-22:05 (Время продажи алкоголя ограничено.),+03:00,4.9,22,88001000804,89227033000,,,,,http://krasnoeibeloe.ru,http://zen.yandex.ru/id/5dde5c1021552277da47ba4b,http://max.ru/krasnoebeloe,,,,,,,,,,https://vk.com/krasnoebeloe,,,,,,,,,https://t.me/krasnoeibeloe,,,,,,,,,70000001028284992,55.879883,37.70918,4504235282631380,,,2113,70000001090565128,Красное&Белое,продуктовый магазин,Продуктовые магазины,shop,2,5,2026-06-21T07:49:47Z,,0,32,https://2gis.com/firm/70000001028284992,branch,16,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726560
Магазин продуктов из Армении,,Продуктовые магазины,"Анадырский проезд, 8 к1",1 этаж,129327,,Лосиноостровский,Москва,,Москва,Россия,Пн: 08:00-20:00; Вт: 08:00-20:00; Ср: 08:00-20:00; Чт: 08:00-20:00; Пт: 08:00-20:00; Сб: 08:00-20:00; Вс: 08:00-20:00,+03:00,,,89197676461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70000001064250139,55.863491,37.682553,4504235282573866,ТЦ Лосиноостровский,,1,70000001064250138,Магазин продуктов из Армении,Магазин продуктов из Армении,Продуктовые магазины,shop,1,4,2026-02-11T08:44:12Z,,0,32,https://2gis.com/firm/70000001064250139,branch,16,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726560
Сырная лавка,продуктовый магазин,Продуктовые магазины,"Тайнинская улица, 24а",,129345,,Лосиноостровский,Москва,,Москва,Россия,Пн: 09:00-22:00; Вт: 09:00-22:00; Ср: 09:00-22:00; Чт: 09:00-22:00; Пт: 09:00-22:00; Сб: 09:00-22:00; Вс: 09:00-22:00,+03:00,4.8,33,89164422711,89858648604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70000001029469911,55.88476,37.687347,4504235282575405,,,1,70000001029469910,Сырная лавка,продуктовый магазин,Продуктовые магазины,shop,1,5,2026-03-20T13:59:01Z,,0,32,https://2gis.com/firm/70000001029469911,branch,16,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726560
Красное&Белое,продуктовый магазин,Продуктовые магазины; Алкогольные напитки,"Тайнинская улица, 7 к2",1 этаж,129345,,Лосиноостровский,Москва,,Москва,Россия,Пн: 09:00-22:05; Вт: 09:00-22:05; Ср: 09:00-22:05; Чт: 09:00-22:05; Пт: 09:00-22:05; Сб: 09:00-22:05; Вс: 09:00-22:05 (Время продажи алкоголя ограничено.),+03:00,,,88001000804,89227033000,,,,,http://krasnoeibeloe.ru,http://zen.yandex.ru/id/5dde5c1021552277da47ba4b,http://max.ru/krasnoebeloe,,,,,,,,,,https://vk.com/krasnoebeloe,,,,,,,,,https://t.me/krasnoeibeloe,,,,,,,,,70000001106098509,55.880934,37.683253,70030076349705100,,,2113,70000001090565128,Красное&Белое,продуктовый магазин,Алкогольные напитки,shop,2,5,2026-07-02T11:15:17Z,,0,32,https://2gis.com/firm/70000001106098509,branch,16,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726560
Магазин продуктов из Кыргызстана,,Продуктовые магазины,"Изумрудная улица, 3 ст2",,129281,,Лосиноостровский,Москва,,Москва,Россия,Пн: 09:00-24:00; Вт: 09:00-24:00; Ср: 09:00-24:00; Чт: 09:00-24:00; Пт: 09:00-24:00; Сб: 09:00-24:00; Вс: 09:00-24:00,+03:00,,,89685282406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70000001076027720,55.869501,37.678018,4504235282632327,,,1,70000001076027719,Магазин продуктов из Кыргызстана,Магазин продуктов из Кыргызстана,Продуктовые магазины,shop,1,6,2026-07-10T14:11:42Z,,0,32,https://2gis.com/firm/70000001076027720,branch,16,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726560
Гастроном,,Продуктовые магазины,"Анадырский проезд, 8 к3",,129327,,Лосиноостровский,Москва,,Москва,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70000001104054800,55.864095,37.683238,70030077092640763,,,1,70000001104054799,Гастроном,Гастроном,Продуктовые магазины,shop,1,3,2026-05-18T11:28:14Z,,0,32,https://2gis.com/firm/70000001104054800,branch,16,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726560
