Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,E-mail 3,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,Instagram 1,Instagram 2,Instagram 3,Twitter 1,Twitter 2,Twitter 3,Facebook 1,Facebook 2,Facebook 3,ВКонтакте 1,ВКонтакте 2,ВКонтакте 3,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber 1,Viber 2,Viber 3,Telegram 1,Telegram 2,Telegram 3,YouTube 1,YouTube 2,YouTube 3,Skype 1,Skype 2,Skype 3,ID объекта,Широта,Долгота,ID здания,Название здания,ID этажа,Количество филиалов,ID сети,Название сети,Специализация сети,Главная рубрика,POI-категория,Кол-во рубрик,Кол-во атрибутов,Дата обновления,Удалён,ID сегмента,ID региона,2GIS URL,Тип,Ожидаемое кол-во (2GIS),Ссылка запроса
Пятёрочка,супермаркет,Супермаркеты,"Норильская улица, 7",1 этаж,129346,,Лосиноостровский,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,5.0,2,88007700400,,,info@x5.ru,,,http://5ka.ru/catalog?utm_source=2gis&utm_medium=cpm&utm_campaign=000161-17_igronik_media_5ka_promo_04_2026%7Cformat_banner%7Ctype_banner&utm_content=%7Ccreo_1&utm_term,http://max.ru/tspyaterochka,,,,,https://twitter.com/pyaterochka,,,,,,https://vk.com/pyaterochka_shop,,,,,,,,,,,,,,,,,,70000001082789307,55.876149,37.695208,4504235282648179,,,3347,4504136498316193,Пятёрочка,супермаркет,Супермаркеты,mart,1,13,2026-06-22T08:06:43Z,,0,32,https://2gis.com/firm/70000001082789307,branch,40,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726560
Магнит,супермаркет,Супермаркеты; Доставка продуктов,"Изумрудная улица, 20",1 этаж,129346,,Лосиноостровский,Москва,,Москва,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,4.3,31,88002009002 (единая справочная: пн-вс 6:00-00:00),,,info@magnit.ru,,,http://magnit.ru/?utm_source=_geopriority_&utm_medium=&utm_campaign=_MM_Geoprioritety_-&utm_content=main&utm_term=,,,,,,,,,,,,https://vk.com/magnitretail,,,,,,,,,https://t.me/magnit_retail,,,,,,,,,4504128908533503,55.871622,37.683553,4504235282632468,,,1562,4504137598701571,Магнит,супермаркет,Супермаркеты,mart,2,11,2026-07-02T13:04:34Z,,0,32,https://2gis.com/firm/4504128908533503,branch,40,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726560
Чижик,супермаркет,Супермаркеты,"улица Коминтерна, 15",1 этаж,129327,,Лосиноостровский,Москва,,Москва,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+03:00,4.8,65,84992702713,,,112@chizhik.club,,,http://chizhik.club/?utm_campaign=HDBM&utm_medium=maps&utm_source=2gis,,,,,,,,,,,,https://vk.com/chizhik.club,,,,,,,,,,,,,,,,,,70000001067214212,55.870472,37.686435,70030076195135097,,,613,70000001046125844,Чижик,супермаркет,Супермаркеты,mart,1,6,2026-07-05T12:23:08Z,,0,32,https://2gis.com/firm/70000001067214212,branch,40,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726560
Дикси,супермаркет,Супермаркеты; Доставка продуктов,"Тайнинская улица, 4 ст2",,129345,,Лосиноостровский,Москва,,Москва,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,4.7,88,88001011001,,,,,,http://dixy.ru,,,,,,,,,,,,https://vk.com/dixyclub,,,,,,,,,https://t.me/dixy_russia,,,https://youtube.com/user/dixychannel,,,,,,4504128908435657,55.877459,37.682225,4504235282575802,,,1418,4504136498313374,Дикси,супермаркет,Супермаркеты,mart,2,8,2026-06-25T04:05:58Z,,0,32,https://2gis.com/firm/4504128908435657,branch,40,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726560
Перекрёсток,супермаркет,Супермаркеты; Доставка продуктов,"улица Малыгина, 7",1 этаж,129345,,Лосиноостровский,Москва,,Москва,Россия,Пн: 07:00-23:00; Вт: 07:00-23:00; Ср: 07:00-23:00; Чт: 07:00-23:00; Пт: 07:00-23:00; Сб: 07:00-23:00; Вс: 07:00-23:00,+03:00,4.8,206,88002009555 (многоканальный),,,info@x5.ru,,,http://perekrestok.ru/?utm_source=2gis_maps&utm_medium=display&utm_campaign=maps_wo_promo&utm_content=main_url,http://max.ru/perekrestok_shop,,,,,,,,,,,https://vk.com/perekrestok_shop,,,,,,,,,https://t.me/+rHsiEm_QR3EwNTky,,,,,,,,,70000001022054375,55.880266,37.694502,4504235282648177,,70030076823573786,487,4504136498303078,Перекрёсток,супермаркет,Супермаркеты,mart,2,13,2026-06-27T05:12:05Z,,0,32,https://2gis.com/firm/70000001022054375,branch,40,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726560
Eurospar,супермаркет,Супермаркеты; Доставка продуктов,"Изумрудная улица, 3 ст1",1 этаж,129281,,Лосиноостровский,Москва,,Москва,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,4.8,558,88005001329 (бесплатная горячая линия: пн-вс 8:00-23:00),,,,,,http://myspar.ru,,,,,,,,,,,,https://vk.com/spar.russia,,,,,,,,,https://t.me/myspar,,,,,,,,,70000001032503699,55.869831,37.678735,4504235282632319,,,55,70000001028701845,Eurospar,супермаркет,Супермаркеты,mart,2,15,2026-07-10T14:01:22Z,,0,32,https://2gis.com/firm/70000001032503699,branch,40,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726560
Чижик,супермаркет,Супермаркеты,"Янтарный проезд, 3",1 этаж,129327,,Лосиноостровский,Москва,,Москва,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+03:00,4.8,49,84992702713,,,112@chizhik.club,,,http://chizhik.club/?utm_campaign=HAGZ&utm_medium=maps&utm_source=2gis,,,,,,,,,,,,https://vk.com/chizhik.club,,,,,,,,,,,,,,,,,,70000001082674461,55.867278,37.680551,4504235282632591,,,613,70000001046125844,Чижик,супермаркет,Супермаркеты,mart,1,8,2026-07-05T12:23:10Z,,0,32,https://2gis.com/firm/70000001082674461,branch,40,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726560
Супер Лента,супермаркет,Супермаркеты,"Тайнинская улица, 20",1 этаж,129345,,Лосиноостровский,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,4.4,25,84957774111 (горячая линия: круглосуточно),88007004111 (горячая линия: круглосуточно),,info@lenta.com,,,http://lentaapp.go.link/main?adj_t=1ovv6zw6&adj_deep_link=lentochka%3A%2F%2Fmain&adj_fallback=https%3A%2F%2Flenta.com%2F%3Futm_campaign%3Dmaps_free%26utm_medium%3Drefferal%26utm_source%3D2gis.maps&adj_redirect_macos=https%3A%2F%2Flenta.com%2F%3Futm_campaign%3Dmaps_free%26utm_medium%3Drefferal%26utm_source%3D2gis.maps,http://max.ru/lentacom,,,,,,,,,,,https://vk.com/lentacom,,,,,,,,,https://t.me/lenta_promobot,,,https://youtube.com/channel/UCrrKUFYJyIfkBeBSwBWrqXQ,,,,,,70000001058984370,55.882429,37.685396,4504235282575787,,,139,70000001058978863,Супер Лента,супермаркет,Супермаркеты,mart,1,12,2026-06-05T06:02:36Z,,0,32,https://2gis.com/firm/70000001058984370,branch,40,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726560
Пятёрочка,супермаркет,Супермаркеты; Доставка продуктов,"улица Коминтерна, 15",1 этаж,129327,,Лосиноостровский,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,4.1,12,88007700400,,,info@x5.ru,,,http://5ka.ru/catalog?utm_source=2gis&utm_medium=cpm&utm_campaign=000161-17_igronik_media_5ka_promo_04_2026%7Cformat_banner%7Ctype_banner&utm_content=%7Ccreo_1&utm_term,http://max.ru/tspyaterochka,,,,,https://twitter.com/pyaterochka,,,,,,https://vk.com/pyaterochka_shop,,,,,,,,,,,,,,,,,,70000001051696471,55.871433,37.688424,70030076195135097,,,3347,4504136498316193,Пятёрочка,супермаркет,Супермаркеты,mart,2,14,2026-06-22T08:05:11Z,,0,32,https://2gis.com/firm/70000001051696471,branch,40,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726560
Ярче!,супермаркет,Супермаркеты,"Минусинская улица, 16",,129346,,Лосиноостровский,Москва,,Москва,Россия,Пн: 08:00-22:00; Вт: 08:00-22:00; Ср: 08:00-22:00; Чт: 08:00-22:00; Пт: 08:00-22:00; Сб: 08:00-22:00; Вс: 08:00-22:00,+03:00,4.9,33,,,,,,,http://ярче.рф,http://yarcheplus.ru,,,,,,,,,,,https://vk.com/supermarket_yarche,,,,,,,,,,,,,,,,,,70000001082399728,55.874947,37.690556,4504235282580158,,,198,70000001025914019,Ярче!,супермаркет,Супермаркеты,mart,1,9,2026-06-23T09:22:58Z,,0,32,https://2gis.com/firm/70000001082399728,branch,40,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726560
