Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,E-mail 3,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,Instagram 1,Instagram 2,Instagram 3,Twitter 1,Twitter 2,Twitter 3,Facebook 1,Facebook 2,Facebook 3,ВКонтакте 1,ВКонтакте 2,ВКонтакте 3,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber 1,Viber 2,Viber 3,Telegram 1,Telegram 2,Telegram 3,YouTube 1,YouTube 2,YouTube 3,Skype 1,Skype 2,Skype 3,ID объекта,Широта,Долгота,ID здания,Название здания,ID этажа,Количество филиалов,ID сети,Название сети,Специализация сети,Главная рубрика,POI-категория,Кол-во рубрик,Кол-во атрибутов,Дата обновления,Удалён,ID сегмента,ID региона,2GIS URL,Тип,Ожидаемое кол-во (2GIS),Ссылка запроса
Пятёрочка,супермаркет,Супермаркеты; Доставка продуктов,"40 лет Октября проспект, 19",1 этаж,109382,,Люблино,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,3.2,12,88007700400,,,info@x5.ru,,,http://5ka.ru/catalog?utm_source=2gis&utm_medium=cpm&utm_campaign=000161-17_igronik_media_5ka_promo_04_2026%7Cformat_banner%7Ctype_banner&utm_content=%7Ccreo_1&utm_term,http://max.ru/tspyaterochka,,,,,https://twitter.com/pyaterochka,,,,,,https://vk.com/pyaterochka_shop,,,,,,,,,,,,,,,,,,4504128908471900,55.676793,37.746188,4504235282596722,,,3347,4504136498316193,Пятёрочка,супермаркет,Супермаркеты,mart,2,13,2026-06-22T08:07:35Z,,0,32,https://2gis.com/firm/4504128908471900,branch,97,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=70030077079195278
Чижик,супермаркет,Супермаркеты,"40 лет Октября проспект, 4 к2",1 этаж,109387,,Люблино,Москва,,Москва,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+03:00,4.7,97,84992702713,,,112@chizhik.club,,,http://chizhik.club/?utm_campaign=HD1M&utm_medium=maps&utm_source=2gis,,,,,,,,,,,,https://vk.com/chizhik.club,,,,,,,,,,,,,,,,,,70000001062080345,55.683577,37.743009,4504235282595548,,,613,70000001046125844,Чижик,супермаркет,Супермаркеты,mart,1,5,2026-07-05T12:25:40Z,,0,32,https://2gis.com/firm/70000001062080345,branch,97,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=70030077079195278
Супер Лента,супермаркет,Супермаркеты,"Тихорецкий бульвар, 12 к1",1 этаж,109559,,Люблино,Москва,,Москва,Россия,Пн: 07:00-23:00; Вт: 07:00-23:00; Ср: 07:00-23:00; Чт: 07:00-23:00; Пт: 07:00-23:00; Сб: 07:00-23:00; Вс: 07:00-23:00,+03:00,4.8,61,84957774111 (горячая линия: круглосуточно),88007004111 (горячая линия: круглосуточно),,info@lenta.com,,,http://lentaapp.go.link,http://max.ru/lentacom,,,,,,,,,,,https://vk.com/lentacom,,,,,,,,,https://t.me/lenta_promobot,,,https://youtube.com/channel/UCrrKUFYJyIfkBeBSwBWrqXQ,,,,,,70000001058985254,55.677308,37.774228,4504235282597574,,,139,70000001058978863,Супер Лента,супермаркет,Супермаркеты,mart,1,13,2026-05-05T05:57:04Z,,0,32,https://2gis.com/firm/70000001058985254,branch,97,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=70030077079195278
Монетка,супермаркет,Супермаркеты; Доставка продуктов,"Люблинская улица, 59",1 этаж,109387,,Люблино,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,4.8,25,88001008500,,,office@monetka.ru,,,http://www.monetka.ru/?utm_source=2gis&utm_medium=stories,http://t.me/tsmonetka,,,,,,,,,,,https://vk.com/shop_monetka,,,,,,,,,https://t.me/tsmonetka,,,,,,,,,70000001084425933,55.685514,37.737742,4504235282595080,,,36,70000001081591332,Монетка,супермаркет,Супермаркеты,mart,2,8,2026-06-28T03:44:41Z,,0,32,https://2gis.com/firm/70000001084425933,branch,97,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=70030077079195278
Перекрёсток,супермаркет,Супермаркеты; Доставка продуктов,"Краснодарская улица, 51",0 этаж,109559,,Люблино,Москва,,Москва,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,4.7,275,88002009555 (многоканальный),,,info@x5.ru,,,http://perekrestok.ru/?utm_source=2gis_maps&utm_medium=display&utm_campaign=maps_wo_promo&utm_content=main_url,http://max.ru/perekrestok_shop,,,,,,,,,,,https://vk.com/perekrestok_shop,,,,,,,,,https://t.me/+rHsiEm_QR3EwNTky,,,,,,,,,70000001038403225,55.676988,37.765444,4504235282597499,ТЦ Люблинский пассаж,70030076635960650,487,4504136498303078,Перекрёсток,супермаркет,Супермаркеты,mart,2,10,2026-06-27T05:12:00Z,,0,32,https://2gis.com/firm/70000001038403225,branch,97,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=70030077079195278
Чижик,супермаркет,Супермаркеты,"40 лет Октября проспект, 22",1 этаж,109382,,Люблино,Москва,,Москва,Россия,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+03:00,4.7,90,84992702713,,,112@chizhik.club,,,http://chizhik.club/?utm_campaign=HA0T&utm_medium=maps&utm_source=2gis,,,,,,,,,,,,https://vk.com/chizhik.club,,,,,,,,,,,,,,,,,,70000001057468971,55.67529,37.745399,4504235282603992,,,613,70000001046125844,Чижик,супермаркет,Супермаркеты,mart,1,7,2026-07-05T12:23:13Z,,0,32,https://2gis.com/firm/70000001057468971,branch,97,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=70030077079195278
Магнит,супермаркет,Супермаркеты,"Спортивный проезд, 5",1 этаж,109386,,Люблино,Москва,,Москва,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,4.4,58,88002009002 (единая справочная: пн-вс 6:00-00:00),,,info@magnit.ru,,,http://magnit.ru/?utm_source=_geopriority_&utm_medium=&utm_campaign=_MM_Geoprioritety_-&utm_content=main&utm_term=,,,,,,,,,,,,https://vk.com/magnitretail,,,,,,,,,https://t.me/magnit_retail,,,,,,,,,4504127917279187,55.683306,37.755009,4504235282595819,,,1562,4504137598701571,Магнит,супермаркет,Супермаркеты,mart,1,12,2026-07-02T13:04:34Z,,0,32,https://2gis.com/firm/4504127917279187,branch,97,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=70030077079195278
Ярче!,супермаркет,Супермаркеты,"Совхозная улица, 20",1 этаж,109559,,Люблино,Москва,,Москва,Россия,Пн: 08:00-22:00; Вт: 08:00-22:00; Ср: 08:00-22:00; Чт: 08:00-22:00; Пт: 08:00-22:00; Сб: 08:00-22:00; Вс: 08:00-22:00,+03:00,5.0,36,,,,,,,http://ярче.рф,http://yarcheplus.ru,,,,,,,,,,,https://vk.com/supermarket_yarche,,,,,,,,,,,,,,,,,,70000001088085517,55.680559,37.764394,4504235282599050,,,198,70000001025914019,Ярче!,супермаркет,Супермаркеты,mart,1,8,2026-06-23T09:23:16Z,,0,32,https://2gis.com/firm/70000001088085517,branch,97,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=70030077079195278
Магнолия,супермаркет,Супермаркеты; Доставка продуктов,"Краснодонская улица, 12",1 этаж,109387,,Люблино,Москва,,Москва,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,4.8,55,84953512245,84959213237,,,,,http://mgnl.ru,,,,,,,,,,,,https://vk.com/magnoliya.store,,,https://wa.me/79160378137,,,,,,,,,,,,,,,4504127908454013,55.681059,37.748722,4504235282596155,,,205,4504136498318542,Магнолия,супермаркет,Супермаркеты,mart,2,9,2026-06-04T12:54:19Z,,0,32,https://2gis.com/firm/4504127908454013,branch,97,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=70030077079195278
Да!,супермаркет,Супермаркеты,"Краснодонская улица, 35",,109382,,Люблино,Москва,,Москва,Россия,Пн: 08:00-22:00; Вт: 08:00-22:00; Ср: 08:00-22:00; Чт: 08:00-22:00; Пт: 08:00-22:00; Сб: 08:00-22:00; Вс: 08:00-22:00,+03:00,4.7,86,88005002755 (единая справочная: пн-вс 9:00-21:00),,,,,,http://market-da.ru,http://max.ru/magazin_da,,,,,,,,,,,https://vk.com/magazin_da,,,,,,,,,https://t.me/marketda,,,,,,,,,70000001067213561,55.675493,37.749867,70030076435345113,,,156,70000001020160443,Да!,супермаркет,Супермаркеты,mart,1,8,2026-06-23T12:09:05Z,,0,32,https://2gis.com/firm/70000001067213561,branch,97,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=70030077079195278
