Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,E-mail 3,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,Instagram 1,Instagram 2,Instagram 3,Twitter 1,Twitter 2,Twitter 3,Facebook 1,Facebook 2,Facebook 3,ВКонтакте 1,ВКонтакте 2,ВКонтакте 3,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber 1,Viber 2,Viber 3,Telegram 1,Telegram 2,Telegram 3,YouTube 1,YouTube 2,YouTube 3,Skype 1,Skype 2,Skype 3,ID объекта,Широта,Долгота,ID здания,Название здания,ID этажа,Количество филиалов,ID сети,Название сети,Специализация сети,Главная рубрика,POI-категория,Кол-во рубрик,Кол-во атрибутов,Дата обновления,Удалён,ID сегмента,ID региона,2GIS URL,Тип,Ожидаемое кол-во (2GIS),Ссылка запроса
Красное&Белое,продуктовый магазин,Продуктовые магазины; Алкогольные напитки,"Гостиничный проезд, 8 к1",1 этаж,127106,,Марфино,Москва,,Москва,Россия,Пн: 09:00-22:05; Вт: 09:00-22:05; Ср: 09:00-22:05; Чт: 09:00-22:05; Пт: 09:00-22:05; Сб: 09:00-22:05; Вс: 09:00-22:05 (Время продажи алкоголя ограничено.),+03:00,4.6,22,88001000804,89227033000,,,,,http://krasnoeibeloe.ru,http://zen.yandex.ru/id/5dde5c1021552277da47ba4b,http://max.ru/krasnoebeloe,,,,,,,,,,https://vk.com/krasnoebeloe,,,,,,,,,https://t.me/krasnoeibeloe,,,,,,,,,70000001063646091,55.845472,37.576719,4504235282555633,,,2113,70000001090565128,Красное&Белое,продуктовый магазин,Продуктовые магазины,shop,2,5,2026-06-21T07:48:25Z,,0,32,https://2gis.com/firm/70000001063646091,branch,14,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726570
Красное&Белое,продуктовый магазин,Продуктовые магазины; Алкогольные напитки,"Ботаническая улица, 17 к2",,127427,Марфино жилой комплекс,Марфино,Москва,,Москва,Россия,Пн: 09:00-22:05; Вт: 09:00-22:05; Ср: 09:00-22:05; Чт: 09:00-22:05; Пт: 09:00-22:05; Сб: 09:00-22:05; Вс: 09:00-22:05 (Время продажи алкоголя ограничено.),+03:00,4.8,11,88001000804,89227033000,,,,,http://krasnoeibeloe.ru,http://zen.yandex.ru/id/5dde5c1021552277da47ba4b,http://max.ru/krasnoebeloe,,,,,,,,,,https://vk.com/krasnoebeloe,,,,,,,,,https://t.me/krasnoeibeloe,,,,,,,,,70000001039326672,55.827374,37.598512,4504235283005420,,,2113,70000001090565128,Красное&Белое,продуктовый магазин,Продуктовые магазины,shop,2,7,2026-06-21T07:48:21Z,,0,32,https://2gis.com/firm/70000001039326672,branch,14,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726570
Красное&Белое,продуктовый магазин,Продуктовые магазины; Алкогольные напитки,"улица Академика Королёва, 28 к1",,127427,,Марфино,Москва,,Москва,Россия,Пн: 09:00-22:05; Вт: 09:00-22:05; Ср: 09:00-22:05; Чт: 09:00-22:05; Пт: 09:00-22:05; Сб: 09:00-22:05; Вс: 09:00-22:05 (Время продажи алкоголя ограничено.),+03:00,4.7,24,88001000804,89227033000,,,,,http://krasnoeibeloe.ru,http://zen.yandex.ru/id/5dde5c1021552277da47ba4b,http://max.ru/krasnoebeloe,,,,,,,,,,https://vk.com/krasnoebeloe,,,,,,,,,https://t.me/krasnoeibeloe,,,,,,,,,70000001017807789,55.822214,37.598174,4504235282534945,,,2113,70000001090565128,Красное&Белое,продуктовый магазин,Продуктовые магазины,shop,2,5,2026-06-21T07:49:40Z,,0,32,https://2gis.com/firm/70000001017807789,branch,14,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726570
Красное&Белое,продуктовый магазин,Продуктовые магазины; Алкогольные напитки,"Ботаническая улица, 33в ст1",1 этаж,127276,,Марфино,Москва,,Москва,Россия,Пн: 09:00-22:05; Вт: 09:00-22:05; Ср: 09:00-22:05; Чт: 09:00-22:05; Пт: 09:00-22:05; Сб: 09:00-22:05; Вс: 09:00-22:05 (Время продажи алкоголя ограничено.),+03:00,4.6,33,88001000804,89227033000,,,,,http://krasnoeibeloe.ru,http://zen.yandex.ru/id/5dde5c1021552277da47ba4b,http://max.ru/krasnoebeloe,,,,,,,,,,https://vk.com/krasnoebeloe,,,,,,,,,https://t.me/krasnoeibeloe,,,,,,,,,70000001051271802,55.840038,37.582107,70030076130411876,,,2113,70000001090565128,Красное&Белое,продуктовый магазин,Продуктовые магазины,shop,2,4,2026-06-21T07:49:11Z,,0,32,https://2gis.com/firm/70000001051271802,branch,14,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726570
Красное&Белое,продуктовый магазин,Продуктовые магазины; Алкогольные напитки,"Большая Марфинская улица, 1 к1",1 этаж,127427,Марфино жилой комплекс,Марфино,Москва,,Москва,Россия,Пн: 09:00-22:05; Вт: 09:00-22:05; Ср: 09:00-22:05; Чт: 09:00-22:05; Пт: 09:00-22:05; Сб: 09:00-22:05; Вс: 09:00-22:05 (Время продажи алкоголя ограничено.),+03:00,4.9,19,88001000804,89227033000,,,,,http://krasnoeibeloe.ru,http://zen.yandex.ru/id/5dde5c1021552277da47ba4b,http://max.ru/krasnoebeloe,,,,,,,,,,https://vk.com/krasnoebeloe,,,,,,,,,https://t.me/krasnoeibeloe,,,,,,,,,70000001031893355,55.826129,37.591703,4504235283005448,,,2113,70000001090565128,Красное&Белое,продуктовый магазин,Продуктовые магазины,shop,2,6,2026-06-26T05:10:28Z,,0,32,https://2gis.com/firm/70000001031893355,branch,14,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726570
Марфа,продуктовый магазин,Продуктовые магазины,"Большая Марфинская улица, 4 к6",,127276,Марфино жилой комплекс,Марфино,Москва,,Москва,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,1.4,1,89167245175,89999812944 (служба доставки),,,,,,,,,,,,,,,,,,,,https://wa.me/79167245175,,,,,,,,,,,,,,,70000001080475584,55.826362,37.597594,4504235283005429,,,1,70000001080475583,Марфа,продуктовый магазин,Продуктовые магазины,shop,1,6,2026-03-19T14:08:59Z,,0,32,https://2gis.com/firm/70000001080475584,branch,14,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726570
Винлаб,супермаркет напитков,Продуктовые магазины; Алкогольные напитки,"улица Академика Комарова, 11г",1 этаж,127276,,Марфино,Москва,,Москва,Россия,Пн: 10:00-23:00; Вт: 10:00-23:00; Ср: 10:00-23:00; Чт: 10:00-23:00; Пт: 10:00-23:00; Сб: 10:00-23:00; Вс: 10:00-23:00 (Время продажи алкоголя ограничено.),+03:00,5.0,2,88003017755,,,,,,http://b2b.winelab.ru,http://max.ru/winelab_ru,,,,,,,,,,,https://vk.com/winelabru,,,,,,,,,https://t.me/winelab_chatbot,,,,,,,,,70000001094236977,55.829601,37.588064,70030076201743262,,,1163,70000001019234769,Винлаб,супермаркет напитков,Продуктовые магазины,shop,2,4,2026-07-07T13:29:28Z,,0,32,https://2gis.com/firm/70000001094236977,branch,14,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726570
Гастроном №1,продуктовый магазин,Продуктовые магазины,"улица Академика Комарова, 1а",,127276,,Марфино,Москва,,Москва,Россия,Пн: 09:00-22:00; Вт: 09:00-22:00; Ср: 09:00-22:00; Чт: 09:00-22:00; Пт: 09:00-22:00; Сб: 09:00-22:00; Вс: 09:00-22:00,+03:00,2.9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70000001029698315,55.829433,37.599576,4504235282555032,,,1,70000001007368111,Гастроном №1,продуктовый магазин,Продуктовые магазины,shop,1,8,2026-03-20T14:42:54Z,,0,32,https://2gis.com/firm/70000001029698315,branch,14,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726570
Комфорт +,,Продуктовые магазины; Разливное пиво,"Большая Марфинская улица, 1 к2",,127427,Марфино жилой комплекс,Марфино,Москва,,Москва,Россия,Пн: 09:00-23:00; Вт: 09:00-23:00; Ср: 09:00-23:00; Чт: 09:00-23:00; Пт: 09:00-23:00; Сб: 09:00-23:00; Вс: 09:00-23:00 (Время продажи алкоголя ограничено.),+03:00,,,89019075323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70000001110802494,55.826502,37.591226,4504235283005445,,,2,70000001110802493,Комфорт +,,Продуктовые магазины,shop,2,2,2026-03-20T19:43:35Z,,0,32,https://2gis.com/firm/70000001110802494,branch,14,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726570
Минимаркет,,Продуктовые магазины,"Большая Марфинская улица, 4 к3",,127276,Марфино жилой комплекс,Марфино,Москва,,Москва,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,5.0,1,89162176678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70000001024987738,55.826663,37.595329,4504235283005439,,,2,70000001024987737,Минимаркет,Минимаркет,Продуктовые магазины,shop,1,6,2026-04-16T11:01:21Z,,0,32,https://2gis.com/firm/70000001024987738,branch,14,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726570
