Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,E-mail 3,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,Instagram 1,Instagram 2,Instagram 3,Twitter 1,Twitter 2,Twitter 3,Facebook 1,Facebook 2,Facebook 3,ВКонтакте 1,ВКонтакте 2,ВКонтакте 3,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber 1,Viber 2,Viber 3,Telegram 1,Telegram 2,Telegram 3,YouTube 1,YouTube 2,YouTube 3,Skype 1,Skype 2,Skype 3,ID объекта,Широта,Долгота,ID здания,Название здания,ID этажа,Количество филиалов,ID сети,Название сети,Специализация сети,Главная рубрика,POI-категория,Кол-во рубрик,Кол-во атрибутов,Дата обновления,Удалён,ID сегмента,ID региона,2GIS URL,Тип,Ожидаемое кол-во (2GIS),Ссылка запроса
Пятёрочка,супермаркет,Супермаркеты; Доставка продуктов,"Малая Ботаническая улица, 24а",1 этаж,127276,,Марфино,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,4.4,54,88007700400,,,info@x5.ru,,,http://5ka.ru/catalog?utm_source=2gis&utm_medium=cpm&utm_campaign=000161-17_igronik_media_5ka_promo_04_2026%7Cformat_banner%7Ctype_banner&utm_content=%7Ccreo_1&utm_term,http://max.ru/tspyaterochka,,,,,https://twitter.com/pyaterochka,,,,,,https://vk.com/pyaterochka_shop,,,,,,,,,,,,,,,,,,4504128908782533,55.831638,37.583102,4504235282625250,,,3347,4504136498316193,Пятёрочка,супермаркет,Супермаркеты,mart,2,12,2026-06-22T08:05:31Z,,0,32,https://2gis.com/firm/4504128908782533,branch,21,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726570
Магнит,супермаркет,Супермаркеты,"Гостиничный проезд, 4Б",1 этаж,127106,,Марфино,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,4.4,95,88002009002 (единая справочная: пн-вс 6:00-00:00),,,info@magnit.ru,,,http://magnit.ru/?utm_source=_geopriority_&utm_medium=&utm_campaign=_MM_Geoprioritety_-&utm_content=main&utm_term=,,,,,,,,,,,,https://vk.com/magnitretail,,,,,,,,,https://t.me/magnit_retail,,,,,,,,,70000001035111576,55.84336,37.577375,4504235282555572,БЦ Город,,1562,4504137598701571,Магнит,супермаркет,Супермаркеты,mart,1,9,2026-07-02T13:01:36Z,,0,32,https://2gis.com/firm/70000001035111576,branch,21,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726570
Чижик,супермаркет,Супермаркеты,"Гостиничная улица, 11 ст1",,127106,,Марфино,Москва,,Москва,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+03:00,4.9,41,84992702713,,,112@chizhik.club,,,http://chizhik.club/?utm_campaign=HDH2&utm_medium=maps&utm_source=2gis,,,,,,,,,,,,https://vk.com/chizhik.club,,,,,,,,,,,,,,,,,,70000001067215134,55.847011,37.577695,4504235282555799,,,613,70000001046125844,Чижик,супермаркет,Супермаркеты,mart,1,6,2026-07-05T12:23:10Z,,0,32,https://2gis.com/firm/70000001067215134,branch,21,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726570
ВкусВилл,супермаркет,Супермаркеты; Доставка продуктов; Кулинарии; Доставка еды,"Ботаническая улица, 19",1 этаж,127427,,Марфино,Москва,,Москва,Россия,Пн: 08:00-22:00; Вт: 08:00-22:00; Ср: 08:00-22:00; Чт: 08:00-22:00; Пт: 08:00-22:00; Сб: 08:00-22:00; Вс: 08:00-22:00,+03:00,4.8,47,89258088573,,,,,,http://vkusvill.ru/goods/?utm_source=2gis&utm_medium=maps&utm_campaign=glavnaya&deep_link_value=https%3A%2F%2Fvkusvill.ru%2Fmobile%3Fcatalog%2F&af_dp=vkusvill%3A%2F%2F&c=glavnaya&shortlink=5ca647b8&source_,http://max.ru/vkusvill_ru,,,,,,,,,,,https://vk.com/vkusvill_ru,,,,,,,,,https://t.me/we_are_vkusvill,,,,,,,,,70000001026557138,55.828297,37.601143,4504235282534885,,,1420,4504137598285175,ВкусВилл,супермаркет,Супермаркеты,mart,4,18,2026-06-28T05:22:29Z,,0,32,https://2gis.com/firm/70000001026557138,branch,21,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726570
Пятёрочка,супермаркет,Супермаркеты; Доставка продуктов,"Ботаническая улица, 14Б",1 этаж,127276,,Марфино,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,4.4,91,88007700400,,,info@x5.ru,,,http://5ka.ru/catalog?utm_source=2gis&utm_medium=cpm&utm_campaign=000161-17_igronik_media_5ka_promo_04_2026%7Cformat_banner%7Ctype_banner&utm_content=%7Ccreo_1&utm_term,http://max.ru/tspyaterochka,,,,,https://twitter.com/pyaterochka,,,,,,https://vk.com/pyaterochka_shop,,,,,,,,,,,,,,,,,,70000001031677519,55.846168,37.587797,4504235282533206,,,3347,4504136498316193,Пятёрочка,супермаркет,Супермаркеты,mart,2,14,2026-06-22T08:05:38Z,,0,32,https://2gis.com/firm/70000001031677519,branch,21,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726570
Пятёрочка,супермаркет,Супермаркеты,"улица Комдива Орлова, 6",,127106,,Марфино,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,4.3,20,88007700400,,,info@x5.ru,,,http://5ka.ru/catalog?utm_source=2gis&utm_medium=cpm&utm_campaign=000161-17_igronik_media_5ka_promo_04_2026%7Cformat_banner%7Ctype_banner&utm_content=%7Ccreo_1&utm_term,http://max.ru/tspyaterochka,,,,,https://twitter.com/pyaterochka,,,,,,https://vk.com/pyaterochka_shop,,,,,,,,,,,,,,,,,,70000001080532958,55.841816,37.581875,4504235282533295,,,3347,4504136498316193,Пятёрочка,супермаркет,Супермаркеты,mart,1,12,2026-06-22T08:07:46Z,,0,32,https://2gis.com/firm/70000001080532958,branch,21,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726570
Магнит,супермаркет,Супермаркеты,"Гостиничная улица, 10 к5",1 этаж,127106,,Марфино,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,2.7,64,88002009002 (единая справочная: пн-вс 6:00-00:00),,,info@magnit.ru,,,http://magnit.ru/?utm_source=_geopriority_&utm_medium=&utm_campaign=_MM_Geoprioritety_-&utm_content=main&utm_term=,,,,,,,,,,,,https://vk.com/magnitretail,,,,,,,,,https://t.me/magnit_retail,,,,,,,,,70000001026556091,55.845677,37.581668,4504235282555629,,,1562,4504137598701571,Магнит,супермаркет,Супермаркеты,mart,1,12,2026-07-07T05:05:53Z,,0,32,https://2gis.com/firm/70000001026556091,branch,21,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726570
Магнит,супермаркет,Супермаркеты; Доставка продуктов,"улица Академика Комарова, 9",1 этаж,127276,,Марфино,Москва,,Москва,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,3.2,22,88002009002 (единая справочная: пн-вс 6:00-00:00),,,info@magnit.ru,,,http://magnit.ru/?utm_source=_geopriority_&utm_medium=&utm_campaign=_MM_Geoprioritety_-&utm_content=main&utm_term=,,,,,,,,,,,,https://vk.com/magnitretail,,,,,,,,,https://t.me/magnit_retail,,,,,,,,,70000001035000909,55.829221,37.590773,4504235282534820,,,1562,4504137598701571,Магнит,супермаркет,Супермаркеты,mart,2,12,2026-07-02T13:04:36Z,,0,32,https://2gis.com/firm/70000001035000909,branch,21,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726570
Дикси,супермаркет,Супермаркеты,"улица Кашёнкин Луг, 10",,127427,Марфино жилой комплекс,Марфино,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,3.8,18,88001011001,,,,,,http://dixy.ru,,,,,,,,,,,,https://vk.com/dixyclub,,,,,,,,,https://t.me/dixy_russia,,,https://youtube.com/user/dixychannel,,,,,,70000001088022973,55.825718,37.59338,4504235283019200,,,1418,4504136498313374,Дикси,супермаркет,Супермаркеты,mart,1,11,2026-06-25T04:05:52Z,,0,32,https://2gis.com/firm/70000001088022973,branch,21,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726570
Дикси,супермаркет,Супермаркеты; Доставка продуктов,"улица Академика Королёва, 14",1 этаж,127427,,Марфино,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,4.2,100,88001011001,,,,,,http://dixy.ru,,,,,,,,,,,,https://vk.com/dixyclub,,,,,,,,,https://t.me/dixy_russia,,,https://youtube.com/user/dixychannel,,,,,,4504128908435658,55.822075,37.601834,4504235282642247,,,1418,4504136498313374,Дикси,супермаркет,Супермаркеты,mart,2,9,2026-06-25T04:05:44Z,,0,32,https://2gis.com/firm/4504128908435658,branch,21,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726570
