Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,E-mail 3,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,Instagram 1,Instagram 2,Instagram 3,Twitter 1,Twitter 2,Twitter 3,Facebook 1,Facebook 2,Facebook 3,ВКонтакте 1,ВКонтакте 2,ВКонтакте 3,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber 1,Viber 2,Viber 3,Telegram 1,Telegram 2,Telegram 3,YouTube 1,YouTube 2,YouTube 3,Skype 1,Skype 2,Skype 3,ID объекта,Широта,Долгота,ID здания,Название здания,ID этажа,Количество филиалов,ID сети,Название сети,Специализация сети,Главная рубрика,POI-категория,Кол-во рубрик,Кол-во атрибутов,Дата обновления,Удалён,ID сегмента,ID региона,2GIS URL,Тип,Ожидаемое кол-во (2GIS),Ссылка запроса
Перекрёсток,супермаркет,Супермаркеты; Доставка продуктов,"Шереметьевская улица, 6 к1",-1 этаж,129594,,Марьина Роща,Москва,,Москва,Россия,Пн: 09:00-23:00; Вт: 09:00-23:00; Ср: 09:00-23:00; Чт: 09:00-23:00; Пт: 09:00-23:00; Сб: 09:00-23:00; Вс: 09:00-23:00,+03:00,3.1,34,88002009555 (многоканальный),,,info@x5.ru,,,http://perekrestok.ru/?utm_source=2gis_maps&utm_medium=display&utm_campaign=maps_wo_promo&utm_content=main_url,http://max.ru/perekrestok_shop,,,,,,,,,,,https://vk.com/perekrestok_shop,,,,,,,,,https://t.me/+rHsiEm_QR3EwNTky,,,,,,,,,4504128908654108,55.796129,37.616928,4504235282991268,ТРЦ Райкин-Плаза,4504694879760855,487,4504136498303078,Перекрёсток,супермаркет,Супермаркеты,mart,2,12,2026-07-03T10:34:02Z,,0,32,https://2gis.com/firm/4504128908654108,branch,31,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726571
Пятёрочка,супермаркет,Супермаркеты; Доставка продуктов,"2-я улица Марьиной Рощи, 22",1 этаж,129594,,Марьина Роща,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,3.5,14,88007700400,,,info@x5.ru,,,http://5ka.ru/catalog?utm_source=2gis&utm_medium=cpm&utm_campaign=000161-17_igronik_media_5ka_promo_04_2026%7Cformat_banner%7Ctype_banner&utm_content=%7Ccreo_1&utm_term,http://max.ru/tspyaterochka,,,,,https://twitter.com/pyaterochka,,,,,,https://vk.com/pyaterochka_shop,,,,,,,,,,,,,,,,,,70000001027184184,55.799623,37.620992,4504235282565545,,,3347,4504136498316193,Пятёрочка,супермаркет,Супермаркеты,mart,2,10,2026-06-22T08:05:38Z,,0,32,https://2gis.com/firm/70000001027184184,branch,31,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726571
Кошер Гурмэ,супермаркет,Супермаркеты; Доставка продуктов,"Новосущёвская улица, 15",,127055,,Марьина Роща,Москва,,Москва,Россия,Пн: 09:00-22:00; Вт: 09:00-22:00; Ср: 09:00-22:00; Чт: 09:00-22:00; Пт: 09:00-15:30; Вс: 09:00-22:00,+03:00,4.9,30,84951236770,,,,,,http://koshergurme.ru,,,,,,,,,,,,https://vk.com/koshergurme,,,,,,,,,,,,,,,,,,70000001017376164,55.790983,37.603775,4504235282675104,,,1,70000001017376163,"Кошер Гурмэ, ООО, супермаркет",супермаркет,Супермаркеты,mart,2,13,2026-07-01T15:04:29Z,,0,32,https://2gis.com/firm/70000001017376164,branch,31,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726571
Пятёрочка,супермаркет,Супермаркеты; Доставка продуктов,"Октябрьская улица, 11","1, цокольный этаж",127018,,Марьина Роща,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,3.4,21,88007700400,,,info@x5.ru,,,http://5ka.ru/catalog?utm_source=2gis&utm_medium=cpm&utm_campaign=000161-17_igronik_media_5ka_promo_04_2026%7Cformat_banner%7Ctype_banner&utm_content=%7Ccreo_1&utm_term,http://max.ru/tspyaterochka,,,,,https://twitter.com/pyaterochka,,,,,,https://vk.com/pyaterochka_shop,,,,,,,,,,,,,,,,,,70000001024714800,55.786643,37.613617,4504235282642989,,,3347,4504136498316193,Пятёрочка,супермаркет,Супермаркеты,mart,2,12,2026-06-22T08:05:32Z,,0,32,https://2gis.com/firm/70000001024714800,branch,31,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726571
Пятёрочка,супермаркет,Супермаркеты; Доставка продуктов,"Стрелецкая улица, 8",1 этаж,127018,,Марьина Роща,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,4.6,52,88007700400,,,info@x5.ru,,,http://5ka.ru/catalog?utm_source=2gis&utm_medium=cpm&utm_campaign=000161-17_igronik_media_5ka_promo_04_2026%7Cformat_banner%7Ctype_banner&utm_content=%7Ccreo_1&utm_term,http://max.ru/tspyaterochka,,,,,https://twitter.com/pyaterochka,,,,,,https://vk.com/pyaterochka_shop,,,,,,,,,,,,,,,,,,70000001029663566,55.79589,37.602645,4504235282675808,,,3347,4504136498316193,Пятёрочка,супермаркет,Супермаркеты,mart,2,15,2026-06-22T08:05:35Z,,0,32,https://2gis.com/firm/70000001029663566,branch,31,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726571
Пятёрочка,супермаркет,Супермаркеты; Доставка продуктов,"2-й Стрелецкий проезд, 10",1 этаж,127018,,Марьина Роща,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,4.5,19,88007700400,,,info@x5.ru,,,http://5ka.ru/catalog?utm_source=2gis&utm_medium=cpm&utm_campaign=000161-17_igronik_media_5ka_promo_04_2026%7Cformat_banner%7Ctype_banner&utm_content=%7Ccreo_1&utm_term,http://max.ru/tspyaterochka,,,,,https://twitter.com/pyaterochka,,,,,,https://vk.com/pyaterochka_shop,,,,,,,,,,,,,,,,,,4504127917432599,55.797526,37.607075,4504235282642695,,,3347,4504136498316193,Пятёрочка,супермаркет,Супермаркеты,mart,2,14,2026-06-22T08:05:32Z,,0,32,https://2gis.com/firm/4504127917432599,branch,31,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726571
Заряд,супермаркет,Супермаркеты,"улица Сущёвский Вал, 53",1 этаж,127521,,Марьина Роща,Москва,,Москва,Россия,Пн: 07:00-23:00; Вт: 07:00-23:00; Ср: 07:00-23:00; Чт: 07:00-23:00; Пт: 07:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,4.0,3,89676528326,,,,,,http://magnit.ru/?utm_medium=&utm_campaign=_MM_Geoprioritety_-&utm_content=main&utm_term=,,,,,,,,,,,,https://vk.com/magnitretail,,,,,,,,,,,,,,,,,,70000001103711679,55.793528,37.613723,4504235282548360,,,47,70000001103711678,Заряд,супермаркет,Супермаркеты,mart,1,10,2026-03-24T12:38:11Z,,0,32,https://2gis.com/firm/70000001103711679,branch,31,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726571
Магнолия,супермаркет,Супермаркеты; Доставка продуктов,"Октябрьская улица, 35",1 этаж,127018,,Марьина Роща,Москва,,Москва,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,4.5,63,84956890698,84959213237,,,,,http://mgnl.ru,,,,,,,,,,,,https://vk.com/magnoliya.store,,,https://wa.me/79160378137,,,,,,,,,,,,,,,4504127908454386,55.789786,37.613318,4504235282548585,,,205,4504136498318542,Магнолия,супермаркет,Супермаркеты,mart,2,13,2026-02-16T10:53:14Z,,0,32,https://2gis.com/firm/4504127908454386,branch,31,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726571
Магнолия,супермаркет,Супермаркеты; Доставка продуктов,"2-я улица Марьиной Рощи, 14",1 этаж,129594,,Марьина Роща,Москва,,Москва,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,4.6,69,88002506264 (единая справочная: пн-пт 9:00-18:00),84959213237,,,,,http://mgnl.ru,,,,,,,,,,,,https://vk.com/magnoliya.store,,,https://wa.me/79160378137,,,,,,,,,,,,,,,70000001034000428,55.797162,37.619325,4504235282549532,,,205,4504136498318542,Магнолия,супермаркет,Супермаркеты,mart,2,8,2025-11-25T12:59:29Z,,0,32,https://2gis.com/firm/70000001034000428,branch,31,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726571
Пятёрочка,супермаркет,Супермаркеты; Доставка продуктов,"Лазаревский переулок, 2",1 этаж,127018,,Марьина Роща,Москва,,Москва,Россия,Пн: 07:00-23:00; Вт: 07:00-23:00; Ср: 07:00-23:00; Чт: 07:00-23:00; Пт: 07:00-23:00; Сб: 07:00-23:00; Вс: 07:00-23:00,+03:00,3.2,16,88007700400,,,info@x5.ru,,,http://5ka.ru/catalog?utm_source=2gis&utm_medium=cpm&utm_campaign=000161-17_igronik_media_5ka_promo_04_2026%7Cformat_banner%7Ctype_banner&utm_content=%7Ccreo_1&utm_term,http://max.ru/tspyaterochka,,,,,https://twitter.com/pyaterochka,,,,,,https://vk.com/pyaterochka_shop,,,,,,,,,,,,,,,,,,70000001032466416,55.790645,37.610089,4504235282643273,,,3347,4504136498316193,Пятёрочка,супермаркет,Супермаркеты,mart,2,14,2026-06-22T08:05:35Z,,0,32,https://2gis.com/firm/70000001032466416,branch,31,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726571
