Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,E-mail 3,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,Instagram 1,Instagram 2,Instagram 3,Twitter 1,Twitter 2,Twitter 3,Facebook 1,Facebook 2,Facebook 3,ВКонтакте 1,ВКонтакте 2,ВКонтакте 3,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber 1,Viber 2,Viber 3,Telegram 1,Telegram 2,Telegram 3,YouTube 1,YouTube 2,YouTube 3,Skype 1,Skype 2,Skype 3,ID объекта,Широта,Долгота,ID здания,Название здания,ID этажа,Количество филиалов,ID сети,Название сети,Специализация сети,Главная рубрика,POI-категория,Кол-во рубрик,Кол-во атрибутов,Дата обновления,Удалён,ID сегмента,ID региона,2GIS URL,Тип,Ожидаемое кол-во (2GIS),Ссылка запроса
Чижик,супермаркет,Супермаркеты,"Братиславская улица, 20",1 этаж,109451,,Марьино,Москва,,Москва,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+03:00,4.9,56,84992702713,,,112@chizhik.club,,,http://chizhik.club/?utm_campaign=HABX&utm_medium=maps&utm_source=2gis,,,,,,,,,,,,https://vk.com/chizhik.club,,,,,,,,,,,,,,,,,,70000001082459101,55.656367,37.761296,4504235282537010,,,613,70000001046125844,Чижик,супермаркет,Супермаркеты,mart,1,6,2026-07-05T12:23:10Z,,0,32,https://2gis.com/firm/70000001082459101,branch,95,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726596
Перекрёсток,супермаркет,Супермаркеты; Доставка продуктов,"Братиславская улица, 12","1, 2 этаж",109451,,Марьино,Москва,,Москва,Россия,Пн: 07:00-24:00; Вт: 07:00-24:00; Ср: 07:00-24:00; Чт: 07:00-24:00; Пт: 07:00-24:00; Сб: 07:00-24:00; Вс: 07:00-24:00,+03:00,4.8,184,84995538305,,,info@x5.ru,,,http://perekrestok.ru/?utm_source=2gis_maps&utm_medium=display&utm_campaign=maps_wo_promo&utm_content=main_url,http://max.ru/perekrestok_shop,,,,,,,,,,,https://vk.com/perekrestok_shop,,,,,,,,,https://t.me/+rHsiEm_QR3EwNTky,,,,,,,,,4504127916995478,55.659958,37.752997,4504235282536917,,,487,4504136498303078,Перекрёсток,супермаркет,Супермаркеты,mart,2,14,2026-06-27T05:12:02Z,,0,32,https://2gis.com/firm/4504127916995478,branch,95,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726596
Супер Лента,супермаркет,Супермаркеты; Доставка продуктов,"Новочеркасский бульвар, 41 к4",1 этаж,109369,,Марьино,Москва,,Москва,Россия,Пн: 07:00-24:00; Вт: 07:00-24:00; Ср: 07:00-24:00; Чт: 07:00-24:00; Пт: 07:00-24:00; Сб: 07:00-24:00; Вс: 07:00-24:00,+03:00,4.7,185,84957774111 (горячая линия: круглосуточно),88007004111 (горячая линия: круглосуточно),,info@lenta.com,,,http://lentaapp.go.link/main?adj_t=1ovv6zw6&adj_deep_link=lentochka%3A%2F%2Fmain&adj_fallback=https%3A%2F%2Flenta.com%2F%3Futm_campaign%3Dmaps_free%26utm_medium%3Drefferal%26utm_source%3D2gis.maps&adj_redirect_macos=https%3A%2F%2Flenta.com%2F%3Futm_campaign%3Dmaps_free%26utm_medium%3Drefferal%26utm_source%3D2gis.maps,http://max.ru/lentacom,,,,,,,,,,,https://vk.com/lentacom,,,,,,,,,https://t.me/lenta_promobot,,,https://youtube.com/channel/UCrrKUFYJyIfkBeBSwBWrqXQ,,,,,,70000001058983811,55.647915,37.736634,4504235282537534,,,139,70000001058978863,Супер Лента,супермаркет,Супермаркеты,mart,2,13,2026-05-05T05:57:05Z,,0,32,https://2gis.com/firm/70000001058983811,branch,95,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726596
ВкусВилл,супермаркет,Супермаркеты; Доставка продуктов; Кулинарии; Доставка еды,"Братиславская улица, 16 к1",1 этаж,109451,,Марьино,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,4.5,16,89257862231,,,,,,http://vkusvill.ru/goods/?utm_source=2gis&utm_medium=maps&utm_campaign=glavnaya&deep_link_value=https%3A%2F%2Fvkusvill.ru%2Fmobile%3Fcatalog%2F&af_dp=vkusvill%3A%2F%2F&c=glavnaya&shortlink=5ca647b8&source_,http://max.ru/vkusvill_ru,,,,,,,,,,,https://vk.com/vkusvill_ru,,,,,,,,,https://t.me/we_are_vkusvill,,,,,,,,,70000001021540531,55.659437,37.757852,4504235282536969,,,1420,4504137598285175,ВкусВилл,супермаркет,Супермаркеты,mart,4,20,2026-07-09T14:45:46Z,,0,32,https://2gis.com/firm/70000001021540531,branch,95,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726596
Монетка,супермаркет,Супермаркеты; Доставка продуктов,"Батайский проезд, 69",,109144,,Марьино,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,4.7,16,88001008500,,,office@monetka.ru,,,http://www.monetka.ru/?utm_source=2gis&utm_medium=stories,http://t.me/tsmonetka,,,,,,,,,,,https://vk.com/shop_monetka,,,,,,,,,https://t.me/tsmonetka,,,,,,,,,70000001093065014,55.643529,37.742228,4504235282537071,,,36,70000001081591332,Монетка,супермаркет,Супермаркеты,mart,2,9,2026-06-28T03:44:23Z,,0,32,https://2gis.com/firm/70000001093065014,branch,95,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726596
Eurospar,супермаркет,Супермаркеты; Доставка продуктов,"Новочеркасский бульвар, 7",1 этаж,109651,,Марьино,Москва,,Москва,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,4.5,109,88005001329 (бесплатная горячая линия: пн-вс 8:00-23:00),,,,,,http://max.ru/spar_russia,,,,,,,,,,,,https://vk.com/spar.russia,,,,,,,,,https://t.me/myspar,,,,,,,,,70000001032691435,55.64766,37.721645,4504235282537453,,,55,70000001028701845,Eurospar,супермаркет,Супермаркеты,mart,2,14,2026-07-06T04:31:35Z,,0,32,https://2gis.com/firm/70000001032691435,branch,95,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726596
Пятёрочка,супермаркет,Супермаркеты; Доставка продуктов,"Люблинская улица, 108а",1 этаж,109369,,Марьино,Москва,,Москва,Россия,Пн: 07:00-23:00; Вт: 07:00-23:00; Ср: 07:00-23:00; Чт: 07:00-23:00; Пт: 07:00-23:00; Сб: 07:00-23:00; Вс: 07:00-23:00,+03:00,4.6,85,88007700400,,,info@x5.ru,,,http://5ka.ru/catalog?utm_source=2gis&utm_medium=cpm&utm_campaign=000161-17_igronik_media_5ka_promo_04_2026%7Cformat_banner%7Ctype_banner&utm_content=%7Ccreo_1&utm_term,http://max.ru/tspyaterochka,,,,,https://twitter.com/pyaterochka,,,,,,https://vk.com/pyaterochka_shop,,,,,,,,,,,,,,,,,,4504127916519334,55.651307,37.741278,4504235282537615,,,3347,4504136498316193,Пятёрочка,супермаркет,Супермаркеты,mart,2,13,2026-06-22T08:07:38Z,,0,32,https://2gis.com/firm/4504127916519334,branch,95,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726596
Азбука вкуса,супермаркет,Супермаркеты; Доставка продуктов,"Люблинская улица, 96",1 этаж,109651,,Марьино,Москва,,Москва,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,4.8,40,84955043478 (служба поддержки),88007003487 (бесплатная единая справочная: пн-вс 9:00-21:00),84952230200,,,,http://av.ru,http://max.ru/azbukavkusa,,,,,,,,,,,https://vk.com/azbukavkusa,,,,,,,,,https://t.me/azbukavkusa,,,https://youtube.com/azbukav,,,,,,70000001029532874,55.657297,37.739651,4504235282689822,,,102,4504136498318829,Азбука вкуса,супермаркет,Супермаркеты,mart,2,11,2026-07-06T03:20:08Z,,0,32,https://2gis.com/firm/70000001029532874,branch,95,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726596
Пятёрочка,супермаркет,Супермаркеты; Доставка продуктов,"Братиславская улица, 16 к2",1 этаж,109451,,Марьино,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,4.7,36,88007700400,,,info@x5.ru,,,http://5ka.ru/catalog?utm_source=2gis&utm_medium=cpm&utm_campaign=000161-17_igronik_media_5ka_promo_04_2026%7Cformat_banner%7Ctype_banner&utm_content=%7Ccreo_1&utm_term,http://max.ru/tspyaterochka,,,,,https://twitter.com/pyaterochka,,,,,,https://vk.com/pyaterochka_shop,,,,,,,,,,,,,,,,,,4504127917204070,55.65854,37.757468,4504235282541609,,,3347,4504136498316193,Пятёрочка,супермаркет,Супермаркеты,mart,2,13,2026-07-09T13:12:27Z,,0,32,https://2gis.com/firm/4504127917204070,branch,95,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726596
Пятёрочка,супермаркет,Супермаркеты; Доставка продуктов,"улица Перерва, 18",,109651,,Марьино,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,4.8,66,88007700400,,,info@x5.ru,,,http://5ka.ru/catalog?utm_source=2gis&utm_medium=cpm&utm_campaign=000161-17_igronik_media_5ka_promo_04_2026%7Cformat_banner%7Ctype_banner&utm_content=%7Ccreo_1&utm_term,http://max.ru/tspyaterochka,,,,,https://twitter.com/pyaterochka,,,,,,https://vk.com/pyaterochka_shop,,,,,,,,,,,,,,,,,,70000001007546669,55.651462,37.724172,4504235308414635,,,3347,4504136498316193,Пятёрочка,супермаркет,Супермаркеты,mart,2,14,2026-06-22T08:07:38Z,,0,32,https://2gis.com/firm/70000001007546669,branch,95,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726596
