Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,E-mail 3,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,Instagram 1,Instagram 2,Instagram 3,Twitter 1,Twitter 2,Twitter 3,Facebook 1,Facebook 2,Facebook 3,ВКонтакте 1,ВКонтакте 2,ВКонтакте 3,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber 1,Viber 2,Viber 3,Telegram 1,Telegram 2,Telegram 3,YouTube 1,YouTube 2,YouTube 3,Skype 1,Skype 2,Skype 3,ID объекта,Широта,Долгота,ID здания,Название здания,ID этажа,Количество филиалов,ID сети,Название сети,Специализация сети,Главная рубрика,POI-категория,Кол-во рубрик,Кол-во атрибутов,Дата обновления,Удалён,ID сегмента,ID региона,2GIS URL,Тип,Ожидаемое кол-во (2GIS),Ссылка запроса
Перекрёсток,супермаркет,Супермаркеты; Доставка продуктов,"площадь Юности, 2",1 этаж,124482,1-й м-н,Матушкино,Зеленоград,,Москва,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,4.7,83,88002009555 (многоканальный),,,info@x5.ru,,,http://perekrestok.ru/?utm_source=2gis_maps&utm_medium=display&utm_campaign=maps_wo_promo&utm_content=main_url,http://max.ru/perekrestok_shop,,,,,,,,,,,https://vk.com/perekrestok_shop,,,,,,,,,https://t.me/+rHsiEm_QR3EwNTky,,,,,,,,,4504128908535388,56.001691,37.21081,4504235282872507,,,487,4504136498303078,Перекрёсток,супермаркет,Супермаркеты,mart,2,12,2026-06-27T05:12:04Z,,0,32,https://2gis.com/firm/4504128908535388,branch,18,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726657
ВкусВилл,супермаркет,Супермаркеты; Доставка продуктов; Кулинарии; Доставка еды,"площадь Юности, 2 ст1",1 этаж,124482,1-й м-н,Матушкино,Зеленоград,,Москва,Россия,Пн: 08:00-22:00; Вт: 08:00-22:00; Ср: 08:00-22:00; Чт: 08:00-22:00; Пт: 08:00-22:00; Сб: 08:00-22:00; Вс: 08:00-22:00,+03:00,4.8,39,89257861164,,,,,,http://vkusvill.ru/goods/?utm_source=2gis&utm_medium=maps&utm_campaign=glavnaya&deep_link_value=https%3A%2F%2Fvkusvill.ru%2Fmobile%3Fcatalog%2F&af_dp=vkusvill%3A%2F%2F&c=glavnaya&shortlink=5ca647b8&source_,http://max.ru/vkusvill_ru,,,,,,,,,,,https://vk.com/vkusvill_ru,,,,,,,,,https://t.me/we_are_vkusvill,,,,,,,,,70000001031515667,56.001761,37.211025,4504235282872507,,,1420,4504137598285175,ВкусВилл,супермаркет,Супермаркеты,mart,4,16,2026-06-28T05:22:40Z,,0,32,https://2gis.com/firm/70000001031515667,branch,18,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726657
Десяточка,супермаркет,Супермаркеты,"Зеленоград, к426а ст1",,124498,4-й м-н,Матушкино,Зеленоград,,Москва,Россия,Пн: 08:30-21:45; Вт: 08:30-21:45; Ср: 08:30-21:45; Чт: 08:30-21:45; Пт: 08:30-21:45; Сб: 08:30-21:45; Вс: 08:30-21:45,+03:00,4.8,157,89265228613,,,,,,,,,,,,,,,,,,,,,https://wa.me/79265228613,,,,,,,,,,,,,,,4504127908786672,55.995007,37.207418,70030076126667989,,,1,4504136498503479,Десяточка,супермаркет,Супермаркеты,mart,1,9,2025-11-21T08:38:38Z,,0,32,https://2gis.com/firm/4504127908786672,branch,18,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726657
Мираторг,супермаркет,Супермаркеты; Доставка продуктов,"Зеленоград, к438",1 этаж,124498,4-й м-н,Матушкино,Зеленоград,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,4.7,88,88005502719,,,,,,http://miratorg.ru/super,http://t.me/+Y3RA1ifcI7RhNDNi,,,,,,,,,,,https://vk.com/supermarketmiratorg,,,,,,,,,https://t.me/+Y3RA1ifcI7RhNDNi,,,,,,,,,70000001040780926,55.993331,37.213571,4504235282872468,,,97,4504136499896740,Мираторг,супермаркет,Супермаркеты,mart,2,11,2026-07-08T11:45:46Z,,0,32,https://2gis.com/firm/70000001040780926,branch,18,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726657
Пятёрочка,супермаркет,Супермаркеты; Доставка продуктов,"Зеленоград, к403а",1 этаж,124498,4-й м-н,Матушкино,Зеленоград,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,4.1,32,88007700400,,,info@x5.ru,,,http://5ka.ru/catalog?utm_source=2gis&utm_medium=cpm&utm_campaign=000161-17_igronik_media_5ka_promo_04_2026%7Cformat_banner%7Ctype_banner&utm_content=%7Ccreo_1&utm_term,http://max.ru/tspyaterochka,,,,,https://twitter.com/pyaterochka,,,,,,https://vk.com/pyaterochka_shop,,,,,,,,,,,,,,,,,,70000001034866061,56.000669,37.206286,4504235282872551,ТЦ Кедр,,3347,4504136498316193,Пятёрочка,супермаркет,Супермаркеты,mart,2,15,2026-07-07T17:59:38Z,,0,32,https://2gis.com/firm/70000001034866061,branch,18,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726657
Ашан,супермаркет,Супермаркеты; Доставка продуктов,"Зеленоград, к234а",,124498,2-й м-н,Матушкино,Зеленоград,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,4.4,17,88007005800 (единая справочная),,,,,,http://auchan.ru,http://max.ru/auchanrus,,,,,,,,,,,https://vk.com/auchan,,,,,,,,,https://t.me/auchanrusbot,,,,,,,,,4504127908980863,56.003059,37.206161,4504235282872860,,,77,70000001031401982,Ашан,супермаркет,Супермаркеты,mart,2,9,2026-03-23T09:51:14Z,,0,32,https://2gis.com/firm/4504127908980863,branch,18,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726657
Ярче!,супермаркет,Супермаркеты,"Зеленоград, к249",1 этаж,124498,2-й м-н,Матушкино,Зеленоград,,Москва,Россия,Пн: 08:00-22:00; Вт: 08:00-22:00; Ср: 08:00-22:00; Чт: 08:00-22:00; Пт: 08:00-22:00; Сб: 08:00-22:00; Вс: 08:00-22:00,+03:00,4.7,13,,,,,,,http://ярче.рф,http://yarcheplus.ru,,,,,,,,,,,https://vk.com/supermarket_yarche,,,,,,,,,,,,,,,,,,70000001096425218,56.005094,37.204408,4504235282931826,,,198,70000001025914019,Ярче!,супермаркет,Супермаркеты,mart,1,7,2026-06-23T09:21:57Z,,0,32,https://2gis.com/firm/70000001096425218,branch,18,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726657
В1 — Первый выбор,супермаркет-дискаунтер,Супермаркеты,"Зеленоград, к435а",1 этаж,124498,4-й м-н,Матушкино,Зеленоград,,Москва,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+03:00,,,88002008474 (единый номер: пн-вс 9:00-21:00),,,,,,http://v1.market,,,,,,,,,,,,https://vk.com/v1_discount,,,,,,,,,https://t.me/v1_discount,,,,,,,,,70000001114732694,55.99676,37.211178,4504235282872226,,,96,70000001068717318,В1 — Первый выбор,супермаркет-дискаунтер,Супермаркеты,mart,1,7,2026-07-09T12:57:25Z,,0,32,https://2gis.com/firm/70000001114732694,branch,18,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726657
Перекрёсток,супермаркет,Супермаркеты; Доставка продуктов,"Зеленоград, к406",1 этаж,124498,4-й м-н,Матушкино,Зеленоград,,Москва,Россия,Пн: 07:00-24:00; Вт: 07:00-24:00; Ср: 07:00-24:00; Чт: 07:00-24:00; Пт: 07:00-24:00; Сб: 07:00-24:00; Вс: 07:00-24:00,+03:00,4.0,8,88002009555 (многоканальный),,,info@x5.ru,,,http://perekrestok.ru/?utm_source=2gis_maps&utm_medium=display&utm_campaign=maps_wo_promo&utm_content=main_url,http://max.ru/perekrestok_shop,,,,,,,,,,,https://vk.com/perekrestok_shop,,,,,,,,,https://t.me/+rHsiEm_QR3EwNTky,,,,,,,,,70000001037838468,55.997963,37.210772,4504235282872257,,,487,4504136498303078,Перекрёсток,супермаркет,Супермаркеты,mart,2,12,2026-06-27T05:12:05Z,,0,32,https://2gis.com/firm/70000001037838468,branch,18,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726657
Верный,универсам,Супермаркеты; Доставка продуктов,"Зеленоград, к445",1 этаж,124498,4-й м-н,Матушкино,Зеленоград,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,3.3,15,88126010110,,,,,,http://verno-info.ru,,,,,,,,,,,,https://vk.com/verny_official,,,,,,,,,,,,,,,,,,70000001061157525,55.991923,37.213004,4504235282937331,,,539,4504137598364786,Верный,универсам,Супермаркеты,mart,2,7,2026-07-09T15:24:12Z,,0,32,https://2gis.com/firm/70000001061157525,branch,18,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726657
Перекрёсток,супермаркет,Супермаркеты; Доставка продуктов,"Зеленоград, к124",,124482,1-й м-н,Матушкино,Зеленоград,,Москва,Россия,Пн: 07:00-23:00; Вт: 07:00-23:00; Ср: 07:00-23:00; Чт: 07:00-23:00; Пт: 07:00-23:00; Сб: 07:00-23:00; Вс: 07:00-23:00,+03:00,4.7,55,88002009555 (многоканальный),,,info@x5.ru,,,http://perekrestok.ru/?utm_source=2gis_maps&utm_medium=display&utm_campaign=maps_wo_promo&utm_content=main_url,http://max.ru/perekrestok_shop,,,,,,,,,,,https://vk.com/perekrestok_shop,,,,,,,,,https://t.me/+rHsiEm_QR3EwNTky,,,,,,,,,70000001060949007,56.005737,37.205747,4504235282872945,,,487,4504136498303078,Перекрёсток,супермаркет,Супермаркеты,mart,2,12,2026-06-27T05:12:02Z,,0,32,https://2gis.com/firm/70000001060949007,branch,18,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726657
Пятёрочка,супермаркет,Супермаркеты; Доставка продуктов,"Зеленоград, к117",,124482,1-й м-н,Матушкино,Зеленоград,,Москва,Россия,Пн: 08:00-22:00; Вт: 08:00-22:00; Ср: 08:00-22:00; Чт: 08:00-22:00; Пт: 08:00-22:00; Сб: 08:00-22:00; Вс: 08:00-22:00,+03:00,4.3,7,88007700400,,,info@x5.ru,,,http://5ka.ru/catalog?utm_source=2gis&utm_medium=cpm&utm_campaign=000161-17_igronik_media_5ka_promo_04_2026%7Cformat_banner%7Ctype_banner&utm_content=%7Ccreo_1&utm_term,http://max.ru/tspyaterochka,,,,,https://twitter.com/pyaterochka,,,,,,https://vk.com/pyaterochka_shop,,,,,,,,,,,,,,,,,,70000001042186740,56.006936,37.203934,4504235282931951,,,3347,4504136498316193,Пятёрочка,супермаркет,Супермаркеты,mart,2,13,2025-10-27T16:32:38Z,,0,32,https://2gis.com/firm/70000001042186740,branch,18,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726657
Перекрёсток,супермаркет,Супермаркеты; Доставка продуктов,"Зеленоград, к406",1 этаж,124498,4-й м-н,Матушкино,Зеленоград,,Москва,Россия,Пн: 07:00-24:00; Вт: 07:00-24:00; Ср: 07:00-24:00; Чт: 07:00-24:00; Пт: 07:00-24:00; Сб: 07:00-24:00; Вс: 07:00-24:00,+03:00,4.0,8,88002009555 (многоканальный),,,info@x5.ru,,,http://perekrestok.ru/?utm_source=2gis_maps&utm_medium=display&utm_campaign=maps_wo_promo&utm_content=main_url,http://max.ru/perekrestok_shop,,,,,,,,,,,https://vk.com/perekrestok_shop,,,,,,,,,https://t.me/+rHsiEm_QR3EwNTky,,,,,,,,,70000001037838468,55.997963,37.210772,4504235282872257,,,487,4504136498303078,Перекрёсток,супермаркет,Супермаркеты,mart,2,12,2026-06-27T05:12:05Z,,0,32,https://2gis.com/firm/70000001037838468,branch,18,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726657
В1 — Первый выбор,супермаркет-дискаунтер,Супермаркеты,"Зеленоград, к435а",1 этаж,124498,4-й м-н,Матушкино,Зеленоград,,Москва,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+03:00,,,88002008474 (единый номер: пн-вс 9:00-21:00),,,,,,http://v1.market,,,,,,,,,,,,https://vk.com/v1_discount,,,,,,,,,https://t.me/v1_discount,,,,,,,,,70000001114732694,55.99676,37.211178,4504235282872226,,,96,70000001068717318,В1 — Первый выбор,супермаркет-дискаунтер,Супермаркеты,mart,1,7,2026-07-09T12:57:25Z,,0,32,https://2gis.com/firm/70000001114732694,branch,18,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726657
Фасоль,минимаркет,Супермаркеты,"Берёзовая аллея, 9",1 этаж,124498,4-й м-н,Матушкино,Зеленоград,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,4.7,30,88007001077 (единая справочная),,,,,,http://myfasol.ru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70000001068012223,55.996806,37.201747,4504235282937750,,,132,4504137598352375,Фасоль,минимаркет,Супермаркеты,mart,1,5,2026-07-05T13:19:35Z,,0,32,https://2gis.com/firm/70000001068012223,branch,18,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726657
Мираторг,супермаркет,Супермаркеты; Доставка продуктов,"Зеленоград, к438",1 этаж,124498,4-й м-н,Матушкино,Зеленоград,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,4.7,88,88005502719,,,,,,http://miratorg.ru/super,http://t.me/+Y3RA1ifcI7RhNDNi,,,,,,,,,,,https://vk.com/supermarketmiratorg,,,,,,,,,https://t.me/+Y3RA1ifcI7RhNDNi,,,,,,,,,70000001040780926,55.993331,37.213571,4504235282872468,,,97,4504136499896740,Мираторг,супермаркет,Супермаркеты,mart,2,11,2026-07-08T11:45:46Z,,0,32,https://2gis.com/firm/70000001040780926,branch,18,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726657
Верный,универсам,Супермаркеты; Доставка продуктов,"Зеленоград, к445",1 этаж,124498,4-й м-н,Матушкино,Зеленоград,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,3.3,15,88126010110,,,,,,http://verno-info.ru,,,,,,,,,,,,https://vk.com/verny_official,,,,,,,,,,,,,,,,,,70000001061157525,55.991923,37.213004,4504235282937331,,,539,4504137598364786,Верный,универсам,Супермаркеты,mart,2,7,2026-07-09T15:24:12Z,,0,32,https://2gis.com/firm/70000001061157525,branch,18,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726657
