Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,E-mail 3,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,Instagram 1,Instagram 2,Instagram 3,Twitter 1,Twitter 2,Twitter 3,Facebook 1,Facebook 2,Facebook 3,ВКонтакте 1,ВКонтакте 2,ВКонтакте 3,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber 1,Viber 2,Viber 3,Telegram 1,Telegram 2,Telegram 3,YouTube 1,YouTube 2,YouTube 3,Skype 1,Skype 2,Skype 3,ID объекта,Широта,Долгота,ID здания,Название здания,ID этажа,Количество филиалов,ID сети,Название сети,Специализация сети,Главная рубрика,POI-категория,Кол-во рубрик,Кол-во атрибутов,Дата обновления,Удалён,ID сегмента,ID региона,2GIS URL,Тип,Ожидаемое кол-во (2GIS),Ссылка запроса
ВкусВилл,супермаркет,Супермаркеты; Кулинарии; Доставка продуктов; Доставка еды,"Тагильская улица, 4а",1 этаж,107143,,Метрогородок,Москва,,Москва,Россия,Пн: 08:00-22:00; Вт: 08:00-22:00; Ср: 08:00-22:00; Чт: 08:00-22:00; Пт: 08:00-22:00; Сб: 08:00-22:00; Вс: 08:00-22:00,+03:00,4.7,12,89257862056,,,,,,http://vkusvill.ru/goods/?utm_source=2gis&utm_medium=maps&utm_campaign=glavnaya&deep_link_value=https%3A%2F%2Fvkusvill.ru%2Fmobile%3Fcatalog%2F&af_dp=vkusvill%3A%2F%2F&c=glavnaya&shortlink=5ca647b8&source_,http://max.ru/vkusvill_ru,,,,,,,,,,,https://vk.com/vkusvill_ru,,,,,,,,,https://t.me/we_are_vkusvill,,,,,,,,,70000001066633708,55.817603,37.753919,70030076173636665,,,1420,4504137598285175,ВкусВилл,супермаркет,Супермаркеты,mart,4,20,2026-06-28T05:22:33Z,,0,32,https://2gis.com/firm/70000001066633708,branch,20,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726588
Черкизово,фирменный магазин,Супермаркеты,"Пермская улица, 5 ст15",1 этаж,107143,,Метрогородок,Москва,,Москва,Россия,Пн: 08:00-20:00; Вт: 08:00-20:00; Ср: 08:00-20:00; Чт: 08:00-20:00; Пт: 08:00-20:00; Сб: 08:00-20:00; Вс: 08:00-20:00,+03:00,4.8,329,88002341132,84957883232,,,,,http://cherkizovo.ru,,,,,,,,,,,,https://vk.com/public120845113,,,,,,,,,,,,https://youtube.com/channel/UCtWuV3HMAKsMTxVj7HqfnHA,,,,,,70000001025564978,55.821333,37.735181,4504235310830382,,,1,70000001025564977,Черкизово,фирменный магазин,Супермаркеты,mart,1,6,2026-04-09T03:00:00Z,,0,32,https://2gis.com/firm/70000001025564978,branch,20,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726588
Пятёрочка,супермаркет,Супермаркеты,"Открытое шоссе, 18а к1",1 этаж,107143,,Метрогородок,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,4.1,20,88007700400,,,info@x5.ru,,,http://5ka.ru/catalog?utm_source=2gis&utm_medium=cpm&utm_campaign=000161-17_igronik_media_5ka_promo_04_2026%7Cformat_banner%7Ctype_banner&utm_content=%7Ccreo_1&utm_term,http://max.ru/tspyaterochka,,,,,https://twitter.com/pyaterochka,,,,,,https://vk.com/pyaterochka_shop,,,,,,,,,,,,,,,,,,70000001089202048,55.81788,37.745751,70030076315598648,,,3347,4504136498316193,Пятёрочка,супермаркет,Супермаркеты,mart,1,12,2026-06-22T08:07:59Z,,0,32,https://2gis.com/firm/70000001089202048,branch,20,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726588
Пятёрочка,супермаркет,Супермаркеты; Доставка продуктов,"Открытое шоссе, 17 к4",1 этаж,107143,,Метрогородок,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,4.8,141,89152140147,,,info@x5.ru,,,http://5ka.ru/catalog?utm_source=2gis&utm_medium=cpm&utm_campaign=000161-17_igronik_media_5ka_promo_04_2026%7Cformat_banner%7Ctype_banner&utm_content=%7Ccreo_1&utm_term,http://max.ru/tspyaterochka,,,,,https://twitter.com/pyaterochka,,,,,,https://vk.com/pyaterochka_shop,,,,,,,,,,,,,,,,,,4504127915558165,55.821524,37.751757,4504235282543338,,,3347,4504136498316193,Пятёрочка,супермаркет,Супермаркеты,mart,2,14,2026-06-22T08:05:15Z,,0,32,https://2gis.com/firm/4504127915558165,branch,20,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726588
Чижик,супермаркет,Супермаркеты,"Открытое шоссе, 25 к2",1 этаж,107143,,Метрогородок,Москва,,Москва,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+03:00,4.8,32,84992702713,,,112@chizhik.club,,,http://chizhik.club/?utm_campaign=HASI&utm_medium=maps&utm_source=2gis,,,,,,,,,,,,https://vk.com/chizhik.club,,,,,,,,,,,,,,,,,,70000001090381188,55.826946,37.761993,4504235282552112,,,613,70000001046125844,Чижик,супермаркет,Супермаркеты,mart,1,7,2026-07-05T12:23:11Z,,0,32,https://2gis.com/firm/70000001090381188,branch,20,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726588
Авоська,супермаркет,Супермаркеты,"Открытое шоссе, 24 к11","1 этаж; центральный вход, налево",107143,,Метрогородок,Москва,,Москва,Россия,Пн: 09:00-23:00; Вт: 09:00-23:00; Ср: 09:00-23:00; Чт: 09:00-23:00; Пт: 09:00-23:00; Сб: 09:00-23:00; Вс: 09:00-22:00,+03:00,3.9,8,84956567022 (единая справочная: пн-пт 9:00-18:00 ),84957254154 (единая справочная: пн-пт 9:00-18:00),,,,,http://avoska.ru,,,,,,,,,,,,https://vk.com/universam.avoska,,,,,,,,,https://t.me/universam_avoska,,,,,,,,,4504127908974605,55.823355,37.757011,4504235282543255,,,53,4504136498316240,Авоська,супермаркет,Супермаркеты,mart,1,9,2026-04-09T03:00:00Z,,0,32,https://2gis.com/firm/4504127908974605,branch,20,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726588
ВкусВилл,супермаркет,Супермаркеты,"Открытое шоссе, 18а к4",,107143,,Метрогородок,Москва,,Москва,Россия,Пн: 08:00-22:00; Вт: 08:00-22:00; Ср: 08:00-22:00; Чт: 08:00-22:00; Пт: 08:00-22:00; Сб: 08:00-22:00; Вс: 08:00-22:00,+03:00,5.0,1,89259656792,,,,,,http://vkusvill.ru/goods/?utm_source=2gis&utm_medium=maps&utm_campaign=glavnaya&deep_link_value=https%3A%2F%2Fvkusvill.ru%2Fmobile%3Fcatalog%2F&af_dp=vkusvill%3A%2F%2F&c=glavnaya&shortlink=5ca647b8&source_,http://max.ru/vkusvill_ru,,,,,,,,,,,https://vk.com/vkusvill_ru,,,,,,,,,https://t.me/we_are_vkusvill,,,,,,,,,70000001114655198,55.817537,37.747054,70030076305526096,,,1420,4504137598285175,ВкусВилл,супермаркет,Супермаркеты,mart,1,2,2026-06-30T04:05:54Z,,0,32,https://2gis.com/firm/70000001114655198,branch,20,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726588
Магнолия,супермаркет,Супермаркеты; Доставка продуктов,"Открытое шоссе, 18а к3",,107143,,Метрогородок,Москва,,Москва,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,3.2,11,84959213234,84959213237,,,,,http://mgnl.ru,,,,,,,,,,,,https://vk.com/magnoliya.store,,,https://wa.me/79160378137,,,,,,,,,,,,,,,70000001101427657,55.817303,37.745622,70030076315598679,,,205,4504136498318542,Магнолия,супермаркет,Супермаркеты,mart,2,6,2026-03-10T16:50:31Z,,0,32,https://2gis.com/firm/70000001101427657,branch,20,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726588
Дикси,супермаркет,Супермаркеты,"Открытое шоссе, 21 к13",1 этаж,107143,,Метрогородок,Москва,,Москва,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,2.6,34,88001011001,,,,,,http://dixy.ru,,,,,,,,,,,,https://vk.com/dixyclub,,,,,,,,,https://t.me/dixy_russia,,,https://youtube.com/user/dixychannel,,,,,,4504127915557585,55.825116,37.758833,4504235282543335,,,1418,4504136498313374,Дикси,супермаркет,Супермаркеты,mart,1,11,2026-06-25T04:05:54Z,,0,32,https://2gis.com/firm/4504127915557585,branch,20,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726588
Авоська,супермаркет,Супермаркеты,"Открытое шоссе, 22",1 этаж,107143,,Метрогородок,Москва,,Москва,Россия,Пн: 09:00-23:00; Вт: 09:00-23:00; Ср: 09:00-23:00; Чт: 09:00-23:00; Пт: 09:00-23:00; Сб: 09:00-23:00; Вс: 09:00-23:00,+03:00,4.4,61,84956567022 (единая справочная: пн-пт 9:00-18:00 ),84957254154 (единая справочная: пн-пт 9:00-18:00),,,,,http://avoska.ru,,,,,,,,,,,,https://vk.com/universam.avoska,,,,,,,,,https://t.me/universam_avoska,,,,,,,,,4504127908974604,55.819771,37.751564,4504235282543243,,,53,4504136498316240,Авоська,супермаркет,Супермаркеты,mart,1,8,2026-04-09T03:00:00Z,,0,32,https://2gis.com/firm/4504127908974604,branch,20,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726588
