Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,E-mail 3,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,Instagram 1,Instagram 2,Instagram 3,Twitter 1,Twitter 2,Twitter 3,Facebook 1,Facebook 2,Facebook 3,ВКонтакте 1,ВКонтакте 2,ВКонтакте 3,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber 1,Viber 2,Viber 3,Telegram 1,Telegram 2,Telegram 3,YouTube 1,YouTube 2,YouTube 3,Skype 1,Skype 2,Skype 3,ID объекта,Широта,Долгота,ID здания,Название здания,ID этажа,Количество филиалов,ID сети,Название сети,Специализация сети,Главная рубрика,POI-категория,Кол-во рубрик,Кол-во атрибутов,Дата обновления,Удалён,ID сегмента,ID региона,2GIS URL,Тип,Ожидаемое кол-во (2GIS),Ссылка запроса
Чижик,супермаркет,Супермаркеты,"Дорогобужская улица, 5 к2",цокольный этаж,121354,,Можайский,Москва,,Москва,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+03:00,4.6,3,84992702713,,,112@chizhik.club,,,http://chizhik.club/?utm_campaign=HBUX&utm_medium=maps&utm_source=2gis,,,,,,,,,,,,https://vk.com/chizhik.club,,,,,,,,,,,,,,,,,,70000001109904486,55.71452,37.411336,4504235282557373,,,613,70000001046125844,Чижик,супермаркет,Супермаркеты,mart,1,7,2026-07-05T12:23:16Z,,0,32,https://2gis.com/firm/70000001109904486,branch,78,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726633
Супер Лента,супермаркет,Супермаркеты,"Можайское шоссе, 39",1 этаж,121354,,Можайский,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,4.6,140,84957774111 (горячая линия: круглосуточно),88007004111 (горячая линия: круглосуточно),,info@lenta.com,,,http://lentaapp.go.link/main?adj_t=1ovv6zw6&adj_deep_link=lentochka%3A%2F%2Fmain&adj_fallback=https%3A%2F%2Flenta.com%2F%3Futm_campaign%3Dmaps_free%26utm_medium%3Drefferal%26utm_source%3D2gis.maps&adj_redirect_macos=https%3A%2F%2Flenta.com%2F%3Futm_campaign%3Dmaps_free%26utm_medium%3Drefferal%26utm_source%3D2gis.maps,http://max.ru/lentacom,,,,,,,,,,,https://vk.com/lentacom,,,,,,,,,https://t.me/lenta_promobot,,,https://youtube.com/channel/UCrrKUFYJyIfkBeBSwBWrqXQ,,,,,,70000001058981839,55.717547,37.413786,4504235282617310,,,139,70000001058978863,Супер Лента,супермаркет,Супермаркеты,mart,1,12,2026-05-05T05:57:04Z,,0,32,https://2gis.com/firm/70000001058981839,branch,78,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726633
Азбука вкуса,супермаркет,Супермаркеты; Доставка продуктов,"Гжатская улица, 5 ст12",,121471,,Можайский,Москва,,Москва,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,4.8,77,84955043478 (служба поддержки),88007003487 (бесплатная единая справочная: пн-вс 9:00-21:00),84952230200,,,,http://av.ru,http://max.ru/azbukavkusa,,,,,,,,,,,https://vk.com/azbukavkusa,,,,,,,,,https://t.me/azbukavkusa,,,https://youtube.com/azbukav,,,,,,70000001065284527,55.714682,37.436768,4504235282691044,,,102,4504136498318829,Азбука вкуса,супермаркет,Супермаркеты,mart,2,10,2026-07-06T03:20:06Z,,0,32,https://2gis.com/firm/70000001065284527,branch,78,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726633
Перекрёсток,супермаркет,Супермаркеты; Доставка продуктов,"Можайское шоссе, 31",1 этаж,121471,,Можайский,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,4.7,104,88002009555 (многоканальный),,,info@x5.ru,,,http://perekrestok.ru/?utm_source=2gis_maps&utm_medium=display&utm_campaign=maps_wo_promo&utm_content=main_url,http://max.ru/perekrestok_shop,,,,,,,,,,,https://vk.com/perekrestok_shop,,,,,,,,,https://t.me/+rHsiEm_QR3EwNTky,,,,,,,,,70000001020244155,55.718598,37.419603,4504235282618065,,,487,4504136498303078,Перекрёсток,супермаркет,Супермаркеты,mart,2,12,2026-06-27T05:12:05Z,,0,32,https://2gis.com/firm/70000001020244155,branch,78,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726633
Пятёрочка,супермаркет,Супермаркеты; Доставка продуктов,"Гжатская улица, 5 к6",1 этаж,121471,,Можайский,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,4.5,13,88007700400,,,info@x5.ru,,,http://5ka.ru/catalog?utm_source=2gis&utm_medium=cpm&utm_campaign=000161-17_igronik_media_5ka_promo_04_2026%7Cformat_banner%7Ctype_banner&utm_content=%7Ccreo_1&utm_term,http://max.ru/tspyaterochka,,,,,https://twitter.com/pyaterochka,,,,,,https://vk.com/pyaterochka_shop,,,,,,,,,,,,,,,,,,70000001055498055,55.714413,37.43461,70030076168666958,,,3347,4504136498316193,Пятёрочка,супермаркет,Супермаркеты,mart,2,13,2026-06-22T08:05:15Z,,0,32,https://2gis.com/firm/70000001055498055,branch,78,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726633
Пятёрочка,супермаркет,Супермаркеты; Доставка продуктов,"Вяземская улица, 16",,121353,,Можайский,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,4.7,30,88007700400,,,info@x5.ru,,,http://5ka.ru/catalog?utm_source=2gis&utm_medium=cpm&utm_campaign=000161-17_igronik_media_5ka_promo_04_2026%7Cformat_banner%7Ctype_banner&utm_content=%7Ccreo_1&utm_term,http://max.ru/tspyaterochka,,,,,https://twitter.com/pyaterochka,,,,,,https://vk.com/pyaterochka_shop,,,,,,,,,,,,,,,,,,70000001036444030,55.71193,37.404098,4504235282829822,,,3347,4504136498316193,Пятёрочка,супермаркет,Супермаркеты,mart,2,11,2026-06-22T08:07:07Z,,0,32,https://2gis.com/firm/70000001036444030,branch,78,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726633
Ашан,супермаркет,Супермаркеты; Доставка продуктов,"улица Толбухина, 13 к3",,121596,,Можайский,Москва,,Москва,Россия,Пн: 07:00-23:00; Вт: 07:00-23:00; Ср: 07:00-23:00; Чт: 07:00-23:00; Пт: 07:00-23:00; Сб: 07:00-23:00; Вс: 07:00-23:00,+03:00,4.2,29,88007005800 (единая справочная),,,,,,http://auchan.ru,http://max.ru/auchanrus,,,,,,,,,,,https://vk.com/auchan,,,,,,,,,https://t.me/auchanrusbot,,,,,,,,,4504128908484715,55.722994,37.397187,4504235282616962,,,77,70000001031401982,Ашан,супермаркет,Супермаркеты,mart,2,10,2026-05-11T18:50:08Z,,0,32,https://2gis.com/firm/4504128908484715,branch,78,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726633
Азбука вкуса,супермаркет,Супермаркеты; Доставка продуктов,"Можайское шоссе, 32",1 этаж,121354,,Можайский,Москва,,Москва,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,4.7,107,84955043478 (служба поддержки),88007003487 (бесплатная единая справочная: пн-вс 9:00-21:00),84952230200,,,,http://av.ru,http://max.ru/azbukavkusa,,,,,,,,,,,https://vk.com/azbukavkusa,,,,,,,,,https://t.me/azbukavkusa,,,https://youtube.com/azbukav,,,,,,4504127909394253,55.719672,37.418399,4504235282556992,,,102,4504136498318829,Азбука вкуса,супермаркет,Супермаркеты,mart,2,12,2026-07-06T03:20:06Z,,0,32,https://2gis.com/firm/4504127909394253,branch,78,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726633
Пятёрочка,супермаркет,Супермаркеты; Доставка продуктов,"улица Гришина, 9",,121354,,Можайский,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,4.8,90,88007700400,,,info@x5.ru,,,http://5ka.ru/catalog?utm_source=2gis&utm_medium=cpm&utm_campaign=000161-17_igronik_media_5ka_promo_04_2026%7Cformat_banner%7Ctype_banner&utm_content=%7Ccreo_1&utm_term,http://max.ru/tspyaterochka,,,,,https://twitter.com/pyaterochka,,,,,,https://vk.com/pyaterochka_shop,,,,,,,,,,,,,,,,,,4504127909644855,55.722354,37.417763,4504235282618779,,,3347,4504136498316193,Пятёрочка,супермаркет,Супермаркеты,mart,2,14,2026-06-22T08:05:05Z,,0,32,https://2gis.com/firm/4504127909644855,branch,78,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726633
Пятёрочка,супермаркет,Супермаркеты; Доставка продуктов,"улица Петра Алексеева, 12 ст23",1 этаж,121471,,Можайский,Москва,,Москва,Россия,Пн: 08:00-22:00; Вт: 08:00-22:00; Ср: 08:00-22:00; Чт: 08:00-22:00; Пт: 08:00-22:00; Сб: 08:00-22:00; Вс: 08:00-22:00,+03:00,4.7,47,88007700400,,,info@x5.ru,,,http://5ka.ru/catalog?utm_source=2gis&utm_medium=cpm&utm_campaign=000161-17_igronik_media_5ka_promo_04_2026%7Cformat_banner%7Ctype_banner&utm_content=%7Ccreo_1&utm_term,http://max.ru/tspyaterochka,,,,,https://twitter.com/pyaterochka,,,,,,https://vk.com/pyaterochka_shop,,,,,,,,,,,,,,,,,,70000001054861022,55.718319,37.428522,4504235282992458,,,3347,4504136498316193,Пятёрочка,супермаркет,Супермаркеты,mart,2,13,2026-06-22T08:05:14Z,,0,32,https://2gis.com/firm/70000001054861022,branch,78,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726633
