Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,E-mail 3,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,Instagram 1,Instagram 2,Instagram 3,Twitter 1,Twitter 2,Twitter 3,Facebook 1,Facebook 2,Facebook 3,ВКонтакте 1,ВКонтакте 2,ВКонтакте 3,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber 1,Viber 2,Viber 3,Telegram 1,Telegram 2,Telegram 3,YouTube 1,YouTube 2,YouTube 3,Skype 1,Skype 2,Skype 3,ID объекта,Широта,Долгота,ID здания,Название здания,ID этажа,Количество филиалов,ID сети,Название сети,Специализация сети,Главная рубрика,POI-категория,Кол-во рубрик,Кол-во атрибутов,Дата обновления,Удалён,ID сегмента,ID региона,2GIS URL,Тип,Ожидаемое кол-во (2GIS),Ссылка запроса
Бристоль,магазин у дома,Продуктовые магазины; Алкогольные напитки,"Ленинградское шоссе, 228 к4",1 этаж,141431,,Молжаниновский,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00 (Время продажи алкоголя ограничено.),+03:00,4.3,3,88002222002,,,,,,http://bristol.ru,,,,,,,,,,,,https://vk.com/bristol_retail,,,,,,,,,https://t.me/bristolretail,,,,,,,,,70000001092506149,55.932721,37.385592,70030076291645946,,,635,70000001018898719,Бристоль,магазин у дома,Продуктовые магазины,shop,2,6,2026-07-07T13:55:07Z,,0,32,https://2gis.com/firm/70000001092506149,branch,11,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726654
Ароматный мир,винный супермаркет,Продуктовые магазины; Алкогольные напитки,"Ленинградское шоссе, 228 к3",1 этаж,141431,,Молжаниновский,Москва,,Москва,Россия,Пн: 10:00-22:30; Вт: 10:00-22:30; Ср: 10:00-22:30; Чт: 10:00-22:30; Пт: 10:00-22:30; Сб: 10:00-22:30; Вс: 10:00-22:00 (Время продажи алкоголя ограничено.),+03:00,4.4,11,88007777290,84957775190 (доп.4142),,,,,http://amwine.ru,http://max.ru/amwineru,,,,,,,,,,,https://vk.com/amwineru,,,,,,,,,https://t.me/amwineru,,,https://youtube.com/@Aromatnyi_Mir_Vino_bez_vody,,,,,,70000001081481819,55.932538,37.382572,70030076291645089,,,564,4504136498285713,Ароматный мир,винный супермаркет,Продуктовые магазины,shop,2,5,2026-07-09T13:23:17Z,,0,32,https://2gis.com/firm/70000001081481819,branch,11,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726654
Около,минимаркет,Продуктовые магазины,"Приозёрная улица, 2",,141431,Черкизово пос.,Молжаниновский,Москва,,Москва,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,,,84956628888,,,,,,,,,,,,,,,,,,,,,,,,,,,https://t.me/okolo10,,,,,,,,,70000001114886640,55.949115,37.353528,4504235282877129,,,148,70000001080350055,Около,минимаркет,Продуктовые магазины,shop,1,4,2026-06-05T15:21:17Z,,0,32,https://2gis.com/firm/70000001114886640,branch,11,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726654
Первым делом,минимаркет,Продуктовые магазины,"Синявинская улица, 11 к8",1 этаж; правое крыло,141431,,Молжаниновский,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,2.5,2,84952233337,89251999038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70000001045540651,55.944664,37.346287,4504235283134392,,,92,70000001025790117,Первым делом,минимаркет,Продуктовые магазины,shop,1,6,2026-06-02T16:59:40Z,,0,32,https://2gis.com/firm/70000001045540651,branch,11,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726654
Около,минимаркет,Продуктовые магазины,"Синявинская улица, 11 к1",,141431,,Молжаниновский,Москва,,Москва,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,,,84956628888,,,,,,,,,,,,,,,,,,,,,,,,,,,https://t.me/okolo10,,,,,,,,,70000001114886648,55.949443,37.346115,4504235283110416,,,148,70000001080350055,Около,минимаркет,Продуктовые магазины,shop,1,5,2026-06-05T15:17:27Z,,0,32,https://2gis.com/firm/70000001114886648,branch,11,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726654
Мини-маркет,,Продуктовые магазины,"Синявинская улица, 11 к12",1 этаж,141431,,Молжаниновский,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 09:00-22:00; Вс: 09:00-22:00,+03:00,2.8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70000001037462387,55.947168,37.349385,4504235283134379,,,2,70000001033647299,Мини-маркет,Мини-маркет,Продуктовые магазины,shop,1,6,2026-06-04T14:13:45Z,,0,32,https://2gis.com/firm/70000001037462387,branch,11,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726654
Мини-маркет,,Продуктовые магазины,"Синявинская улица, 11 к3",1 этаж,141431,,Молжаниновский,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 09:00-22:00,+03:00,2.8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70000001033647300,55.948421,37.345894,4504235283134377,,,2,70000001033647299,Мини-маркет,Мини-маркет,Продуктовые магазины,shop,1,7,2026-06-04T15:02:39Z,,0,32,https://2gis.com/firm/70000001033647300,branch,11,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726654
Продуктовый магазин,,Продуктовые магазины,"Ленинградское шоссе, 300а ст44",,141431,,Молжаниновский,Москва,,Москва,Россия,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00,+03:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70000001092506146,55.943217,37.362204,4504235282917575,,,1,70000001092506145,Продуктовый магазин,Продуктовый магазин,Продуктовые магазины,shop,1,3,2025-03-20T13:25:17Z,,0,32,https://2gis.com/firm/70000001092506146,branch,11,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726654
Магазин продуктов из Армении,,Продуктовые магазины,"Синявинская улица, 11 к6",,141431,,Молжаниновский,Москва,,Москва,Россия,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+03:00,5.0,1,89257377767,,,,,,,,,,,,,,,,,,,,,https://wa.me/79257377767,,,,,,,,,,,,,,,70000001102881840,55.945398,37.344914,4504235283134396,,,1,70000001102881839,Магазин продуктов из Армении,Магазин продуктов из Армении,Продуктовые магазины,shop,1,5,2026-06-02T16:44:19Z,,0,32,https://2gis.com/firm/70000001102881840,branch,11,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726654
Около,минимаркет,Продуктовые магазины,"Синявинская улица, 11 к11",,141431,,Молжаниновский,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,,,84956628888,,,,,,,,,,,,,,,,,,,,,,,,,,,https://t.me/okolo10,,,,,,,,,70000001114886645,55.947483,37.348881,4504235283134378,,,148,70000001080350055,Около,минимаркет,Продуктовые магазины,shop,1,4,2026-06-05T15:20:29Z,,0,32,https://2gis.com/firm/70000001114886645,branch,11,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726654
