Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,E-mail 3,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,Instagram 1,Instagram 2,Instagram 3,Twitter 1,Twitter 2,Twitter 3,Facebook 1,Facebook 2,Facebook 3,ВКонтакте 1,ВКонтакте 2,ВКонтакте 3,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber 1,Viber 2,Viber 3,Telegram 1,Telegram 2,Telegram 3,YouTube 1,YouTube 2,YouTube 3,Skype 1,Skype 2,Skype 3,ID объекта,Широта,Долгота,ID здания,Название здания,ID этажа,Количество филиалов,ID сети,Название сети,Специализация сети,Главная рубрика,POI-категория,Кол-во рубрик,Кол-во атрибутов,Дата обновления,Удалён,ID сегмента,ID региона,2GIS URL,Тип,Ожидаемое кол-во (2GIS),Ссылка запроса
Пятёрочка,супермаркет,Супермаркеты,"Синявинская улица, 9",1 этаж,141431,Черкизово пос.,Молжаниновский,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,3.6,5,88007700400,,,info@x5.ru,,,http://5ka.ru/catalog?utm_source=2gis&utm_medium=cpm&utm_campaign=000161-17_igronik_media_5ka_promo_04_2026%7Cformat_banner%7Ctype_banner&utm_content=%7Ccreo_1&utm_term,http://max.ru/tspyaterochka,,,,,https://twitter.com/pyaterochka,,,,,,https://vk.com/pyaterochka_shop,,,,,,,,,,,,,,,,,,70000001095105280,55.948927,37.348601,70030076676010397,,,3347,4504136498316193,Пятёрочка,супермаркет,Супермаркеты,mart,1,10,2026-06-22T08:07:59Z,,0,32,https://2gis.com/firm/70000001095105280,branch,13,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726654
Магнит,супермаркет,Супермаркеты,"Ленинградское шоссе, 228 к5",1 этаж,141431,,Молжаниновский,Москва,,Москва,Россия,Пн: 09:00-22:00; Вт: 09:00-22:00; Ср: 09:00-22:00; Чт: 09:00-22:00; Пт: 09:00-22:00; Сб: 09:00-22:00; Вс: 09:00-22:00,+03:00,3.8,3,88002009002 (единая справочная: пн-вс 6:00-00:00),,,info@magnit.ru,,,http://magnit.ru/?utm_source=_geopriority_&utm_medium=&utm_campaign=_MM_Geoprioritety_-&utm_content=main&utm_term=,,,,,,,,,,,,https://vk.com/magnitretail,,,,,,,,,https://t.me/magnit_retail,,,,,,,,,70000001098982878,55.931977,37.386624,70030076355000857,,,1562,4504137598701571,Магнит,супермаркет,Супермаркеты,mart,1,10,2026-07-02T13:01:24Z,,0,32,https://2gis.com/firm/70000001098982878,branch,13,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726654
Пятёрочка,супермаркет,Супермаркеты,"Ленинградское шоссе, 228 к6",1 этаж,141431,,Молжаниновский,Москва,,Москва,Россия,Пн: 09:00-22:00; Вт: 09:00-22:00; Ср: 09:00-22:00; Чт: 09:00-22:00; Пт: 09:00-22:00; Сб: 09:00-22:00; Вс: 09:00-22:00,+03:00,,,88007700400,,,info@x5.ru,,,http://5ka.ru/catalog?utm_source=2gis&utm_medium=cpm&utm_campaign=000161-17_igronik_media_5ka_promo_04_2026%7Cformat_banner%7Ctype_banner&utm_content=%7Ccreo_1&utm_term,http://max.ru/tspyaterochka,,,,,https://twitter.com/pyaterochka,,,,,,https://vk.com/pyaterochka_shop,,,,,,,,,,,,,,,,,,70000001111165974,55.93363,37.386345,70030076299863813,,,3347,4504136498316193,Пятёрочка,супермаркет,Супермаркеты,mart,1,9,2026-06-22T08:08:11Z,,0,32,https://2gis.com/firm/70000001111165974,branch,13,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726654
Дикси,супермаркет,Супермаркеты; Доставка продуктов,"Ленинградское шоссе, 228 к6",1 этаж,141431,,Молжаниновский,Москва,,Москва,Россия,Пн: 09:00-22:00; Вт: 09:00-22:00; Ср: 09:00-22:00; Чт: 09:00-22:00; Пт: 09:00-22:00; Сб: 09:00-22:00; Вс: 09:00-22:00,+03:00,4.0,11,88001011001,,,,,,http://dixy.ru,,,,,,,,,,,,https://vk.com/dixyclub,,,,,,,,,https://t.me/dixy_russia,,,https://youtube.com/user/dixychannel,,,,,,70000001085763380,55.933276,37.386829,70030076299863813,,,1418,4504136498313374,Дикси,супермаркет,Супермаркеты,mart,2,10,2026-06-25T04:05:55Z,,0,32,https://2gis.com/firm/70000001085763380,branch,13,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726654
ВкусВилл,супермаркет,Супермаркеты,"Ленинградское шоссе, 228 к3",,141431,,Молжаниновский,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-22:00; Вс: 08:00-22:00,+03:00,4.3,3,89366224612,,,,,,http://vkusvill.ru/goods/?utm_source=2gis&utm_medium=maps&utm_campaign=glavnaya&deep_link_value=https%3A%2F%2Fvkusvill.ru%2Fmobile%3Fcatalog%2F&af_dp=vkusvill%3A%2F%2F&c=glavnaya&shortlink=5ca647b8&source_,http://max.ru/vkusvill_ru,,,,,,,,,,,https://vk.com/vkusvill_ru,,,,,,,,,https://t.me/we_are_vkusvill,,,,,,,,,70000001094751826,55.932789,37.381874,70030076291645089,,,1420,4504137598285175,ВкусВилл,супермаркет,Супермаркеты,mart,1,14,2026-06-28T05:22:38Z,,0,32,https://2gis.com/firm/70000001094751826,branch,13,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726654
Заряд,супермаркет,Супермаркеты,"Ленинградское шоссе, 228 к4",1 этаж,141431,,Молжаниновский,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,5.0,1,88002005348,,,,,,http://magnit.ru/?utm_medium=&utm_campaign=_MM_Geoprioritety_-&utm_content=main&utm_term=,,,,,,,,,,,,https://vk.com/magnitretail,,,,,,,,,,,,,,,,,,70000001109646424,55.933187,37.384464,70030076291645946,,,47,70000001103711678,Заряд,супермаркет,Супермаркеты,mart,1,8,2026-06-04T12:02:01Z,,0,32,https://2gis.com/firm/70000001109646424,branch,13,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726654
Пятёрочка,супермаркет,Супермаркеты,"Ленинградское шоссе, 229а к2",,141431,,Молжаниновский,Москва,,Москва,Россия,Пн: 09:00-22:00; Вт: 09:00-22:00; Ср: 09:00-22:00; Чт: 09:00-22:00; Пт: 09:00-22:00; Сб: 09:00-22:00; Вс: 09:00-22:00,+03:00,3.0,9,88007700400,,,info@x5.ru,,,http://5ka.ru/catalog?utm_source=2gis&utm_medium=cpm&utm_campaign=000161-17_igronik_media_5ka_promo_04_2026%7Cformat_banner%7Ctype_banner&utm_content=%7Ccreo_1&utm_term,http://max.ru/tspyaterochka,,,,,https://twitter.com/pyaterochka,,,,,,https://vk.com/pyaterochka_shop,,,,,,,,,,,,,,,,,,70000001097638855,55.935456,37.360563,70030076336419284,,,3347,4504136498316193,Пятёрочка,супермаркет,Супермаркеты,mart,1,6,2026-06-22T08:06:48Z,,0,32,https://2gis.com/firm/70000001097638855,branch,13,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726654
Магнит,супермаркет,Супермаркеты,"Ленинградское шоссе, 229в к1",,141431,,Молжаниновский,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,1.0,1,88002009002 (единая справочная: пн-вс 6:00-00:00),,,info@magnit.ru,,,http://magnit.ru/?utm_source=_geopriority_&utm_medium=&utm_campaign=_MM_Geoprioritety_-&utm_content=main&utm_term=,,,,,,,,,,,,https://vk.com/magnitretail,,,,,,,,,https://t.me/magnit_retail,,,,,,,,,70000001113091884,55.934366,37.362245,70030076467470274,,,1562,4504137598701571,Магнит,супермаркет,Супермаркеты,mart,1,3,2026-07-02T13:03:58Z,,0,32,https://2gis.com/firm/70000001113091884,branch,13,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726654
Пятёрочка,супермаркет,Супермаркеты,"Ленинградское шоссе, 229в к1",,141431,,Молжаниновский,Москва,,Москва,Россия,Пн: 09:00-22:00; Вт: 09:00-22:00; Ср: 09:00-22:00; Чт: 09:00-22:00; Пт: 09:00-22:00; Сб: 09:00-22:00; Вс: 09:00-22:00,+03:00,,,88007700400,,,info@x5.ru,,,http://5ka.ru/catalog?utm_source=2gis&utm_medium=cpm&utm_campaign=000161-17_igronik_media_5ka_promo_04_2026%7Cformat_banner%7Ctype_banner&utm_content=%7Ccreo_1&utm_term,http://max.ru/tspyaterochka,,,,,https://twitter.com/pyaterochka,,,,,,https://vk.com/pyaterochka_shop,,,,,,,,,,,,,,,,,,70000001114856087,55.934172,37.362045,70030076467470274,,,3347,4504136498316193,Пятёрочка,супермаркет,Супермаркеты,mart,1,1,2026-07-01T05:26:57Z,,0,32,https://2gis.com/firm/70000001114856087,branch,13,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726654
Магнит,супермаркет,Супермаркеты,"Ленинградское шоссе, 229а к1",,141431,,Молжаниновский,Москва,,Москва,Россия,Пн: 09:00-22:00; Вт: 09:00-22:00; Ср: 09:00-22:00; Чт: 09:00-22:00; Пт: 09:00-22:00; Сб: 09:00-22:00; Вс: 09:00-22:00,+03:00,2.7,6,88002009002 (единая справочная: пн-вс 6:00-00:00),,,info@magnit.ru,,,http://magnit.ru/?utm_source=_geopriority_&utm_medium=&utm_campaign=_MM_Geoprioritety_-&utm_content=main&utm_term=,,,,,,,,,,,,https://vk.com/magnitretail,,,,,,,,,https://t.me/magnit_retail,,,,,,,,,70000001103292296,55.936745,37.362492,70030076336419292,,,1562,4504137598701571,Магнит,супермаркет,Супермаркеты,mart,1,3,2026-07-02T13:02:25Z,,0,32,https://2gis.com/firm/70000001103292296,branch,13,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726654
