Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,E-mail 3,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,Instagram 1,Instagram 2,Instagram 3,Twitter 1,Twitter 2,Twitter 3,Facebook 1,Facebook 2,Facebook 3,ВКонтакте 1,ВКонтакте 2,ВКонтакте 3,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber 1,Viber 2,Viber 3,Telegram 1,Telegram 2,Telegram 3,YouTube 1,YouTube 2,YouTube 3,Skype 1,Skype 2,Skype 3,ID объекта,Широта,Долгота,ID здания,Название здания,ID этажа,Количество филиалов,ID сети,Название сети,Специализация сети,Главная рубрика,POI-категория,Кол-во рубрик,Кол-во атрибутов,Дата обновления,Удалён,ID сегмента,ID региона,2GIS URL,Тип,Ожидаемое кол-во (2GIS),Ссылка запроса
Пятёрочка,супермаркет,Супермаркеты; Доставка продуктов,"Коломенский проезд, 10",1 этаж,115446,,Нагатино-Садовники,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,4.6,66,88007700400,,,info@x5.ru,,,http://5ka.ru/catalog?utm_source=2gis&utm_medium=cpm&utm_campaign=000161-17_igronik_media_5ka_promo_04_2026%7Cformat_banner%7Ctype_banner&utm_content=%7Ccreo_1&utm_term,http://max.ru/tspyaterochka,,,,,https://twitter.com/pyaterochka,,,,,,https://vk.com/pyaterochka_shop,,,,,,,,,,,,,,,,,,4504127909831624,55.6658,37.650657,4504235282611894,,,3347,4504136498316193,Пятёрочка,супермаркет,Супермаркеты,mart,2,13,2026-07-06T11:54:44Z,,0,32,https://2gis.com/firm/4504127909831624,branch,41,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726604
Магнит,супермаркет,Супермаркеты,"2-й Нагатинский проезд, 2/3",1 этаж,115487,,Нагатино-Садовники,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,5.0,4,88002009002 (единая справочная: пн-вс 6:00-00:00),,,info@magnit.ru,,,http://magnit.ru/?utm_source=_geopriority_&utm_medium=&utm_campaign=_MM_Geoprioritety_-&utm_content=main&utm_term=,,,,,,,,,,,,https://vk.com/magnitretail,,,,,,,,,https://t.me/magnit_retail,,,,,,,,,70000001104978229,55.675267,37.640433,70030076396750940,,,1562,4504137598701571,Магнит,супермаркет,Супермаркеты,mart,1,12,2026-07-02T13:01:11Z,,0,32,https://2gis.com/firm/70000001104978229,branch,41,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726604
Чижик,супермаркет,Супермаркеты,"Нагатинская улица, 16",1 этаж,115487,,Нагатино-Садовники,Москва,,Москва,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+03:00,4.8,60,84992702713,,,112@chizhik.club,,,http://chizhik.club/?utm_campaign=HDFG&utm_medium=maps&utm_source=2gis,,,,,,,,,,,,https://vk.com/chizhik.club,,,,,,,,,,,,,,,,,,70000001067214182,55.678903,37.642066,4504235282645750,ТЦ Конфетти,70030076348453364,613,70000001046125844,Чижик,супермаркет,Супермаркеты,mart,1,7,2026-07-05T12:23:08Z,,0,32,https://2gis.com/firm/70000001067214182,branch,41,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726604
Перекрёсток,супермаркет,Супермаркеты; Доставка продуктов,"Андропова проспект, 22",-1 этаж,115533,,Нагатино-Садовники,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,4.7,127,88002009555 (многоканальный),,,info@x5.ru,,,http://perekrestok.ru/?utm_source=2gis_maps&utm_medium=display&utm_campaign=maps_wo_promo&utm_content=main_url,http://max.ru/perekrestok_shop,,,,,,,,,,,https://vk.com/perekrestok_shop,,,,,,,,,https://t.me/+rHsiEm_QR3EwNTky,,,,,,,,,70000001024909279,55.682664,37.660935,4504235282606199,БЦ Нагатинский,70030076357242038,487,4504136498303078,Перекрёсток,супермаркет,Супермаркеты,mart,2,13,2026-06-27T05:12:04Z,,0,32,https://2gis.com/firm/70000001024909279,branch,41,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726604
Перекрёсток,супермаркет,Супермаркеты; Доставка продуктов,"Андропова проспект, 36",1 этаж,115487,,Нагатино-Садовники,Москва,,Москва,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,4.6,227,84957757690,,,info@x5.ru,,,http://perekrestok.ru/?utm_source=2gis_maps&utm_medium=display&utm_campaign=maps_wo_promo&utm_content=main_url,http://max.ru/perekrestok_shop,,,,,,,,,,,https://vk.com/perekrestok_shop,,,,,,,,,https://t.me/+rHsiEm_QR3EwNTky,,,,,,,,,4504127909010568,55.675992,37.662287,4504235282622148,ТЦ Гвоздь-2,,487,4504136498303078,Перекрёсток,супермаркет,Супермаркеты,mart,2,13,2026-06-27T05:12:02Z,,0,32,https://2gis.com/firm/4504127909010568,branch,41,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726604
Дикси,супермаркет,Супермаркеты; Доставка продуктов,"1-й Нагатинский проезд, 11 к2",1 этаж,115533,,Нагатино-Садовники,Москва,,Москва,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,3.3,29,88001011001,,,,,,http://dixy.ru,,,,,,,,,,,,https://vk.com/dixyclub,,,,,,,,,https://t.me/dixy_russia,,,https://youtube.com/user/dixychannel,,,,,,70000001018955602,55.677818,37.635644,4504235283007922,,,1418,4504136498313374,Дикси,супермаркет,Супермаркеты,mart,2,10,2026-06-25T04:05:46Z,,0,32,https://2gis.com/firm/70000001018955602,branch,41,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726604
Пятёрочка,супермаркет,Супермаркеты; Доставка продуктов,"Варшавское шоссе, 59а ст2",1 этаж,115230,,Нагатино-Садовники,Москва,,Москва,Россия,Пн: 07:00-23:00; Вт: 07:00-23:00; Ср: 07:00-23:00; Чт: 07:00-23:00; Пт: 07:00-23:00; Сб: 07:00-23:00; Вс: 07:00-23:00,+03:00,4.1,29,88007700400,,,info@x5.ru,,,http://5ka.ru/catalog?utm_source=2gis&utm_medium=cpm&utm_campaign=000161-17_igronik_media_5ka_promo_04_2026%7Cformat_banner%7Ctype_banner&utm_content=%7Ccreo_1&utm_term,http://max.ru/tspyaterochka,,,,,https://twitter.com/pyaterochka,,,,,,https://vk.com/pyaterochka_shop,,,,,,,,,,,,,,,,,,70000001018797723,55.675462,37.626863,70030076164551192,,,3347,4504136498316193,Пятёрочка,супермаркет,Супермаркеты,mart,2,15,2026-06-22T08:06:31Z,,0,32,https://2gis.com/firm/70000001018797723,branch,41,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726604
Перекрёсток,супермаркет,Супермаркеты; Доставка продуктов,"Нагатинская улица, 16",1 этаж,115487,,Нагатино-Садовники,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,3.9,31,88002009555 (многоканальный),,,info@x5.ru,,,http://perekrestok.ru/?utm_source=2gis_maps&utm_medium=display&utm_campaign=maps_wo_promo&utm_content=main_url,http://max.ru/perekrestok_shop,,,,,,,,,,,https://vk.com/perekrestok_shop,,,,,,,,,https://t.me/+rHsiEm_QR3EwNTky,,,,,,,,,4504128908435595,55.67863,37.644035,4504235282645750,ТЦ Конфетти,70030076348453364,487,4504136498303078,Перекрёсток,супермаркет,Супермаркеты,mart,2,12,2026-06-27T05:12:04Z,,0,32,https://2gis.com/firm/4504128908435595,branch,41,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726604
Пятёрочка,супермаркет,Супермаркеты,"Каширское шоссе, 10 к1 ст1",1 этаж,115230,,Нагатино-Садовники,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,4.4,3,88007700400,,,info@x5.ru,,,http://5ka.ru/catalog?utm_source=2gis&utm_medium=cpm&utm_campaign=000161-17_igronik_media_5ka_promo_04_2026%7Cformat_banner%7Ctype_banner&utm_content=%7Ccreo_1&utm_term,http://max.ru/tspyaterochka,,,,,https://twitter.com/pyaterochka,,,,,,https://vk.com/pyaterochka_shop,,,,,,,,,,,,,,,,,,70000001097598113,55.666352,37.628575,4504235282574816,,,3347,4504136498316193,Пятёрочка,супермаркет,Супермаркеты,mart,1,13,2026-07-11T03:44:14Z,,0,32,https://2gis.com/firm/70000001097598113,branch,41,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726604
Пятёрочка,супермаркет,Супермаркеты,"Нагатинская набережная, 10а",1 этаж,115533,,Нагатино-Садовники,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,2.2,2,88007700400,,,info@x5.ru,,,http://5ka.ru/catalog?utm_source=2gis&utm_medium=cpm&utm_campaign=000161-17_igronik_media_5ka_promo_04_2026%7Cformat_banner%7Ctype_banner&utm_content=%7Ccreo_1&utm_term,http://max.ru/tspyaterochka,,,,,https://twitter.com/pyaterochka,,,,,,https://vk.com/pyaterochka_shop,,,,,,,,,,,,,,,,,,70000001097493403,55.682736,37.637989,70030076310991781,,,3347,4504136498316193,Пятёрочка,супермаркет,Супермаркеты,mart,1,12,2026-06-22T08:06:49Z,,0,32,https://2gis.com/firm/70000001097493403,branch,41,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726604
