Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,E-mail 3,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,Instagram 1,Instagram 2,Instagram 3,Twitter 1,Twitter 2,Twitter 3,Facebook 1,Facebook 2,Facebook 3,ВКонтакте 1,ВКонтакте 2,ВКонтакте 3,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber 1,Viber 2,Viber 3,Telegram 1,Telegram 2,Telegram 3,YouTube 1,YouTube 2,YouTube 3,Skype 1,Skype 2,Skype 3,ID объекта,Широта,Долгота,ID здания,Название здания,ID этажа,Количество филиалов,ID сети,Название сети,Специализация сети,Главная рубрика,POI-категория,Кол-во рубрик,Кол-во атрибутов,Дата обновления,Удалён,ID сегмента,ID региона,2GIS URL,Тип,Ожидаемое кол-во (2GIS),Ссылка запроса
Магнит,супермаркет,Супермаркеты,"Судостроительная улица, 29",1 этаж,115407,,Нагатинский Затон,Москва,,Москва,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,4.5,75,88002009002 (единая справочная: пн-вс 6:00-00:00),,,info@magnit.ru,,,http://magnit.ru/?utm_source=_geopriority_&utm_medium=&utm_campaign=_MM_Geoprioritety_-&utm_content=main&utm_term=,,,,,,,,,,,,https://vk.com/magnitretail,,,,,,,,,https://t.me/magnit_retail,,,,,,,,,70000001031104773,55.683098,37.680774,4504235282605223,,,1562,4504137598701571,Магнит,супермаркет,Супермаркеты,mart,1,9,2026-07-02T13:04:36Z,,0,32,https://2gis.com/firm/70000001031104773,branch,39,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726603
Чижик,супермаркет,Супермаркеты,"Речников улица, 15 к1",1 этаж,115407,,Нагатинский Затон,Москва,,Москва,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+03:00,4.9,72,84992702713,,,112@chizhik.club,,,http://chizhik.club/?utm_campaign=HDHI&utm_medium=maps&utm_source=2gis,,,,,,,,,,,,https://vk.com/chizhik.club,,,,,,,,,,,,,,,,,,70000001067214252,55.681848,37.692134,4504235282651878,,,613,70000001046125844,Чижик,супермаркет,Супермаркеты,mart,1,5,2026-07-05T12:23:10Z,,0,32,https://2gis.com/firm/70000001067214252,branch,39,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726603
Перекрёсток,супермаркет,Супермаркеты; Доставка продуктов,"Коломенская улица, 7",1 этаж,115142,,Нагатинский Затон,Москва,,Москва,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,4.7,184,88002009555 (многоканальный),,,info@x5.ru,,,http://perekrestok.ru/?utm_source=2gis_maps&utm_medium=display&utm_campaign=maps_wo_promo&utm_content=main_url,http://max.ru/perekrestok_shop,,,,,,,,,,,https://vk.com/perekrestok_shop,,,,,,,,,https://t.me/+rHsiEm_QR3EwNTky,,,,,,,,,4504127909010569,55.682219,37.702935,4504235282604423,,,487,4504136498303078,Перекрёсток,супермаркет,Супермаркеты,mart,2,11,2026-06-27T05:12:02Z,,0,32,https://2gis.com/firm/4504127909010569,branch,39,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726603
Мираторг,супермаркет,Супермаркеты; Доставка продуктов,"Андропова проспект, 1",1 этаж,115533,,Нагатинский Затон,Москва,,Москва,Россия,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+03:00,3.9,17,88005502719,,,,,,http://miratorg.ru/super,http://t.me/+Y3RA1ifcI7RhNDNi,,,,,,,,,,,https://vk.com/supermarketmiratorg,,,,,,,,,https://t.me/+Y3RA1ifcI7RhNDNi,,,,,,,,,70000001060438431,55.6944,37.672298,70030076138594858,Остров Мечты,70030076202313092,97,4504136499896740,Мираторг,супермаркет,Супермаркеты,mart,2,10,2026-07-04T20:55:39Z,,0,32,https://2gis.com/firm/70000001060438431,branch,39,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726603
Пятёрочка,супермаркет,Супермаркеты; Доставка продуктов,"Затонная улица, 4 ст2",,115407,,Нагатинский Затон,Москва,,Москва,Россия,Пн: 09:00-23:00; Вт: 09:00-23:00; Ср: 09:00-23:00; Чт: 09:00-23:00; Пт: 09:00-23:00; Сб: 09:00-23:00; Вс: 09:00-23:00,+03:00,4.7,76,88007700400,,,info@x5.ru,,,http://5ka.ru/catalog?utm_source=2gis&utm_medium=cpm&utm_campaign=000161-17_igronik_media_5ka_promo_04_2026%7Cformat_banner%7Ctype_banner&utm_content=%7Ccreo_1&utm_term,http://max.ru/tspyaterochka,,,,,https://twitter.com/pyaterochka,,,,,,https://vk.com/pyaterochka_shop,,,,,,,,,,,,,,,,,,70000001042952725,55.680137,37.683326,4504235282601072,,,3347,4504136498316193,Пятёрочка,супермаркет,Супермаркеты,mart,2,14,2026-06-22T08:07:22Z,,0,32,https://2gis.com/firm/70000001042952725,branch,39,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726603
Да!,супермаркет,Супермаркеты,"Андропова проспект, 27",-1 этаж,115487,,Нагатинский Затон,Москва,,Москва,Россия,Пн: 08:00-22:00; Вт: 08:00-22:00; Ср: 08:00-22:00; Чт: 08:00-22:00; Пт: 08:00-22:00; Сб: 08:00-22:00; Вс: 08:00-22:00,+03:00,4.7,158,88005002755 (единая справочная: пн-вс 9:00-21:00),,,,,,http://market-da.ru,http://max.ru/magazin_da,,,,,,,,,,,https://vk.com/magazin_da,,,,,,,,,https://t.me/marketda,,,,,,,,,70000001065631559,55.67646,37.665111,70030076155268954,ТЦ Место Встречи Орбита,70030076577416219,156,70000001020160443,Да!,супермаркет,Супермаркеты,mart,1,11,2026-06-22T07:19:17Z,,0,32,https://2gis.com/firm/70000001065631559,branch,39,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726603
Пятёрочка,супермаркет,Супермаркеты,"улица Новинки, 1",цокольный этаж,115470,,Нагатинский Затон,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,1.8,3,88007700400,,,info@x5.ru,,,http://5ka.ru/catalog?utm_source=2gis&utm_medium=cpm&utm_campaign=000161-17_igronik_media_5ka_promo_04_2026%7Cformat_banner%7Ctype_banner&utm_content=%7Ccreo_1&utm_term,http://max.ru/tspyaterochka,,,,,https://twitter.com/pyaterochka,,,,,,https://vk.com/pyaterochka_shop,,,,,,,,,,,,,,,,,,70000001101833870,55.677254,37.666594,4504235283002930,,,3347,4504136498316193,Пятёрочка,супермаркет,Супермаркеты,mart,1,13,2026-06-22T08:06:52Z,,0,32,https://2gis.com/firm/70000001101833870,branch,39,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726603
Пятёрочка,супермаркет,Супермаркеты; Доставка продуктов,"Речников улица, 21 ст6",,115142,,Нагатинский Затон,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,4.6,43,88007700400,,,info@x5.ru,,,http://5ka.ru/catalog?utm_source=2gis&utm_medium=cpm&utm_campaign=000161-17_igronik_media_5ka_promo_04_2026%7Cformat_banner%7Ctype_banner&utm_content=%7Ccreo_1&utm_term,http://max.ru/tspyaterochka,,,,,https://twitter.com/pyaterochka,,,,,,https://vk.com/pyaterochka_shop,,,,,,,,,,,,,,,,,,70000001037893205,55.679098,37.690367,4504235282651939,,,3347,4504136498316193,Пятёрочка,супермаркет,Супермаркеты,mart,2,13,2026-06-22T08:06:33Z,,0,32,https://2gis.com/firm/70000001037893205,branch,39,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726603
Мираторг,супермаркет,Супермаркеты; Доставка продуктов,"Андропова проспект, 23",1 этаж,115470,,Нагатинский Затон,Москва,,Москва,Россия,Пн: 07:00-23:00; Вт: 07:00-23:00; Ср: 07:00-23:00; Чт: 07:00-23:00; Пт: 07:00-23:00; Сб: 07:00-23:00; Вс: 07:00-23:00,+03:00,4.7,177,88005502719,,,,,,http://miratorg.ru/super,http://t.me/+Y3RA1ifcI7RhNDNi,,,,,,,,,,,https://vk.com/supermarketmiratorg,,,,,,,,,https://t.me/+Y3RA1ifcI7RhNDNi,,,,,,,,,70000001034067221,55.678171,37.664908,4504235282605883,ТЦ Коломенский,,97,4504136499896740,Мираторг,супермаркет,Супермаркеты,mart,2,15,2026-07-04T20:56:37Z,,0,32,https://2gis.com/firm/70000001034067221,branch,39,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726603
Пятёрочка,супермаркет,Супермаркеты; Доставка продуктов,"Нагатинская набережная, 64 к2",,115407,,Нагатинский Затон,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,3.9,11,88007700400,,,info@x5.ru,,,http://5ka.ru/catalog?utm_source=2gis&utm_medium=cpm&utm_campaign=000161-17_igronik_media_5ka_promo_04_2026%7Cformat_banner%7Ctype_banner&utm_content=%7Ccreo_1&utm_term,http://max.ru/tspyaterochka,,,,,https://twitter.com/pyaterochka,,,,,,https://vk.com/pyaterochka_shop,,,,,,,,,,,,,,,,,,70000001027316575,55.690396,37.691093,4504235282605134,,,3347,4504136498316193,Пятёрочка,супермаркет,Супермаркеты,mart,2,14,2026-06-22T08:07:04Z,,0,32,https://2gis.com/firm/70000001027316575,branch,39,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726603
