Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,E-mail 3,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,Instagram 1,Instagram 2,Instagram 3,Twitter 1,Twitter 2,Twitter 3,Facebook 1,Facebook 2,Facebook 3,ВКонтакте 1,ВКонтакте 2,ВКонтакте 3,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber 1,Viber 2,Viber 3,Telegram 1,Telegram 2,Telegram 3,YouTube 1,YouTube 2,YouTube 3,Skype 1,Skype 2,Skype 3,ID объекта,Широта,Долгота,ID здания,Название здания,ID этажа,Количество филиалов,ID сети,Название сети,Специализация сети,Главная рубрика,POI-категория,Кол-во рубрик,Кол-во атрибутов,Дата обновления,Удалён,ID сегмента,ID региона,2GIS URL,Тип,Ожидаемое кол-во (2GIS),Ссылка запроса
Магнит,супермаркет,Супермаркеты,"Электролитный проезд, 16 к7",1 этаж,117638,,Нагорный,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,3.3,41,88002009002 (единая справочная: пн-вс 6:00-00:00),,,info@magnit.ru,,,http://magnit.ru/?utm_source=_geopriority_&utm_medium=&utm_campaign=_MM_Geoprioritety_-&utm_content=main&utm_term=,,,,,,,,,,,,https://vk.com/magnitretail,,,,,,,,,https://t.me/magnit_retail,,,,,,,,,70000001029178398,55.669703,37.611254,4504235299500412,,,1562,4504137598701571,Магнит,супермаркет,Супермаркеты,mart,1,12,2026-07-03T08:23:22Z,,0,32,https://2gis.com/firm/70000001029178398,branch,33,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726606
Чижик,супермаркет,Супермаркеты,"Чонгарский бульвар, 18 к А",цокольный этаж,117556,,Нагорный,Москва,,Москва,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+03:00,4.6,92,84992702713,,,112@chizhik.club,,,http://chizhik.club/?utm_campaign=HA0X&utm_medium=maps&utm_source=2gis,,,,,,,,,,,,https://vk.com/chizhik.club,,,,,,,,,,,,,,,,,,70000001080087047,55.653606,37.608377,4504235282578427,,,613,70000001046125844,Чижик,супермаркет,Супермаркеты,mart,1,5,2026-07-05T12:23:13Z,,0,32,https://2gis.com/firm/70000001080087047,branch,33,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726606
Перекрёсток,супермаркет,Супермаркеты; Доставка продуктов,"Варшавское шоссе, 26 ст6",1 этаж,117105,,Нагорный,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,4.7,179,"84992711591 (доп.63962, многоканальный)",,,info@x5.ru,,,http://perekrestok.ru/?utm_source=2gis_maps&utm_medium=display&utm_campaign=maps_wo_promo&utm_content=main_url,http://max.ru/perekrestok_shop,,,,,,,,,,,https://vk.com/perekrestok_shop,,,,,,,,,https://t.me/+rHsiEm_QR3EwNTky,,,,,,,,,70000001020352947,55.684626,37.621156,4504235282712111,ТЦ FOR YOU,70030076443535815,487,4504136498303078,Перекрёсток,супермаркет,Супермаркеты,mart,2,12,2026-06-27T05:12:04Z,,0,32,https://2gis.com/firm/70000001020352947,branch,33,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726606
Супер Лента,супермаркет,Супермаркеты; Доставка продуктов,"Чонгарский бульвар, 7",-1 этаж,117556,,Нагорный,Москва,,Москва,Россия,Пн: 09:00-22:00; Вт: 09:00-22:00; Ср: 09:00-22:00; Чт: 09:00-22:00; Пт: 09:00-22:00; Сб: 09:00-22:00; Вс: 09:00-22:00,+03:00,3.8,26,84957774111 (горячая линия: круглосуточно),88007004111 (горячая линия: круглосуточно),,info@lenta.com,,,http://lentaapp.go.link/main?adj_t=1ovv6zw6&adj_deep_link=lentochka%3A%2F%2Fmain&adj_fallback=https%3A%2F%2Flenta.com%2F%3Futm_campaign%3Dmaps_free%26utm_medium%3Drefferal%26utm_source%3D2gis.maps&adj_redirect_macos=https%3A%2F%2Flenta.com%2F%3Futm_campaign%3Dmaps_free%26utm_medium%3Drefferal%26utm_source%3D2gis.maps,http://max.ru/lentacom,,,,,,,,,,,https://vk.com/lentacom,,,,,,,,,https://t.me/lenta_promobot,,,https://youtube.com/channel/UCrrKUFYJyIfkBeBSwBWrqXQ,,,,,,70000001058984527,55.651262,37.612479,70030076163255977,РЦ Ангара,70030076347633794,139,70000001058978863,Супер Лента,супермаркет,Супермаркеты,mart,2,13,2026-06-18T15:22:04Z,,0,32,https://2gis.com/firm/70000001058984527,branch,33,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726606
Пятёрочка,супермаркет,Супермаркеты,"Симферопольский бульвар, 25 к1",1 этаж,117452,,Нагорный,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,3.5,20,88007700400,,,info@x5.ru,,,http://5ka.ru/catalog?utm_source=2gis&utm_medium=cpm&utm_campaign=000161-17_igronik_media_5ka_promo_04_2026%7Cformat_banner%7Ctype_banner&utm_content=%7Ccreo_1&utm_term,http://max.ru/tspyaterochka,,,,,https://twitter.com/pyaterochka,,,,,,https://vk.com/pyaterochka_shop,,,,,,,,,,,,,,,,,,4504127916929607,55.649376,37.606242,4504235313019524,,,3347,4504136498316193,Пятёрочка,супермаркет,Супермаркеты,mart,1,12,2026-06-22T08:07:37Z,,0,32,https://2gis.com/firm/4504127916929607,branch,33,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726606
Азбука вкуса,супермаркет,Супермаркеты; Доставка продуктов,"Варшавское шоссе, 34",1 этаж,115230,,Нагорный,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,4.8,86,84955043478 (служба поддержки),88007003487 (бесплатная единая справочная: пн-вс 9:00-21:00),84952230200,,,,http://av.ru,http://max.ru/azbukavkusa,,,,,,,,,,,https://vk.com/azbukavkusa,,,,,,,,,https://t.me/azbukavkusa,,,https://youtube.com/azbukav,,,,,,4504128908586160,55.68034,37.623818,4504235282708042,,,102,4504136498318829,Азбука вкуса,супермаркет,Супермаркеты,mart,2,12,2026-07-06T03:20:08Z,,0,32,https://2gis.com/firm/4504128908586160,branch,33,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726606
Перекрёсток,супермаркет,Супермаркеты; Доставка продуктов,"Варшавское шоссе, 87Б",-1 этаж,117556,,Нагорный,Москва,,Москва,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,4.7,225,84952259425,,,info@x5.ru,,,http://perekrestok.ru/?utm_source=2gis_maps&utm_medium=display&utm_campaign=maps_wo_promo&utm_content=main_url,http://max.ru/perekrestok_shop,,,,,,,,,,,https://vk.com/perekrestok_shop,,,,,,,,,https://t.me/+rHsiEm_QR3EwNTky,,,,,,,,,4504127916995479,55.653836,37.620579,4504235282572997,ТДЦ Варшавский,4504694872106400,487,4504136498303078,Перекрёсток,супермаркет,Супермаркеты,mart,2,12,2026-06-27T05:12:04Z,,0,32,https://2gis.com/firm/4504127916995479,branch,33,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726606
Пятёрочка,супермаркет,Супермаркеты; Доставка продуктов,"Фруктовая улица, 8 к3",1 этаж,117556,,Нагорный,Москва,,Москва,Россия,Пн: 09:00-23:00; Вт: 09:00-23:00; Ср: 09:00-23:00; Чт: 09:00-23:00; Пт: 09:00-23:00; Сб: 09:00-23:00; Вс: 09:00-23:00,+03:00,4.7,52,88007700400,,,info@x5.ru,,,http://5ka.ru/catalog?utm_source=2gis&utm_medium=cpm&utm_campaign=000161-17_igronik_media_5ka_promo_04_2026%7Cformat_banner%7Ctype_banner&utm_content=%7Ccreo_1&utm_term,http://max.ru/tspyaterochka,,,,,https://twitter.com/pyaterochka,,,,,,https://vk.com/pyaterochka_shop,,,,,,,,,,,,,,,,,,70000001025110922,55.661653,37.616661,4504235282592370,,,3347,4504136498316193,Пятёрочка,супермаркет,Супермаркеты,mart,2,13,2026-06-22T08:06:22Z,,0,32,https://2gis.com/firm/70000001025110922,branch,33,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726606
Пятёрочка,супермаркет,Супермаркеты; Доставка продуктов,"Криворожская улица, 21 к3",,117638,,Нагорный,Москва,,Москва,Россия,Пн: 08:00-22:00; Вт: 08:00-22:00; Ср: 08:00-22:00; Чт: 08:00-22:00; Пт: 08:00-22:00; Сб: 08:00-22:00; Вс: 08:00-22:00,+03:00,4.5,58,88007700400,,,info@x5.ru,,,http://5ka.ru/catalog?utm_source=2gis&utm_medium=cpm&utm_campaign=000161-17_igronik_media_5ka_promo_04_2026%7Cformat_banner%7Ctype_banner&utm_content=%7Ccreo_1&utm_term,http://max.ru/tspyaterochka,,,,,https://twitter.com/pyaterochka,,,,,,https://vk.com/pyaterochka_shop,,,,,,,,,,,,,,,,,,4504127909885115,55.667261,37.610999,4504235282584089,,,3347,4504136498316193,Пятёрочка,супермаркет,Супермаркеты,mart,2,14,2026-06-22T08:07:40Z,,0,32,https://2gis.com/firm/4504127909885115,branch,33,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726606
Магнит,супермаркет,Супермаркеты; Доставка продуктов,"Чонгарский бульвар, 19",1 этаж,117452,,Нагорный,Москва,,Москва,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,4.5,38,88002009002 (единая справочная: пн-вс 6:00-00:00),,,info@magnit.ru,,,http://magnit.ru/?utm_source=_geopriority_&utm_medium=&utm_campaign=_MM_Geoprioritety_-&utm_content=main&utm_term=,,,,,,,,,,,,https://vk.com/magnitretail,,,,,,,,,https://t.me/magnit_retail,,,,,,,,,70000001071757986,55.652949,37.606786,4504235282591590,,,1562,4504137598701571,Магнит,супермаркет,Супермаркеты,mart,2,9,2026-07-02T13:02:56Z,,0,32,https://2gis.com/firm/70000001071757986,branch,33,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726606
