Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,E-mail 3,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,Instagram 1,Instagram 2,Instagram 3,Twitter 1,Twitter 2,Twitter 3,Facebook 1,Facebook 2,Facebook 3,ВКонтакте 1,ВКонтакте 2,ВКонтакте 3,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber 1,Viber 2,Viber 3,Telegram 1,Telegram 2,Telegram 3,YouTube 1,YouTube 2,YouTube 3,Skype 1,Skype 2,Skype 3,ID объекта,Широта,Долгота,ID здания,Название здания,ID этажа,Количество филиалов,ID сети,Название сети,Специализация сети,Главная рубрика,POI-категория,Кол-во рубрик,Кол-во атрибутов,Дата обновления,Удалён,ID сегмента,ID региона,2GIS URL,Тип,Ожидаемое кол-во (2GIS),Ссылка запроса
Пятёрочка,супермаркет,Супермаркеты; Доставка продуктов,"Суздальская улица, 32/1",,111672,,Новокосино,Москва,,Москва,Россия,Пн: 06:00-23:30; Вт: 06:00-23:30; Ср: 06:00-23:30; Чт: 06:00-23:30; Пт: 06:00-23:30; Сб: 07:00-23:30; Вс: 07:00-23:30,+03:00,4.6,194,88007700400,,,info@x5.ru,,,http://5ka.ru/catalog?utm_source=2gis&utm_medium=cpm&utm_campaign=000161-17_igronik_media_5ka_promo_04_2026%7Cformat_banner%7Ctype_banner&utm_content=%7Ccreo_1&utm_term,http://max.ru/tspyaterochka,,,,,https://twitter.com/pyaterochka,,,,,,https://vk.com/pyaterochka_shop,,,,,,,,,,,,,,,,,,4504127909643154,55.744119,37.865913,4504235282667002,,,3347,4504136498316193,Пятёрочка,супермаркет,Супермаркеты,mart,2,14,2026-06-22T08:05:48Z,,0,32,https://2gis.com/firm/4504127909643154,branch,30,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726576
Магнит,супермаркет,Супермаркеты,"Новокосинская улица, 32",,111672,,Новокосино,Москва,,Москва,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,4.9,6,88002009002 (единая справочная: пн-вс 6:00-00:00),,,info@magnit.ru,,,http://magnit.ru/?utm_source=_geopriority_&utm_medium=&utm_campaign=_MM_Geoprioritety_-&utm_content=main&utm_term=,,,,,,,,,,,,https://vk.com/magnitretail,,,,,,,,,https://t.me/magnit_retail,,,,,,,,,70000001104924204,55.741982,37.867119,4504235282905599,,,1562,4504137598701571,Магнит,супермаркет,Супермаркеты,mart,1,11,2026-07-02T13:03:10Z,,0,32,https://2gis.com/firm/70000001104924204,branch,30,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726576
Дикси,супермаркет,Супермаркеты,"Салтыковская улица, 15а",,111672,,Новокосино,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,4.4,72,88001011001,,,,,,http://dixy.ru,,,,,,,,,,,,https://vk.com/dixyclub,,,,,,,,,https://t.me/dixy_russia,,,https://youtube.com/user/dixychannel,,,,,,4504127908975005,55.73709,37.865887,4504235282667248,,,1418,4504136498313374,Дикси,супермаркет,Супермаркеты,mart,1,11,2026-06-25T04:05:58Z,,0,32,https://2gis.com/firm/4504127908975005,branch,30,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726576
Магнит,супермаркет,Супермаркеты,"Салтыковская улица, 45",,111672,,Новокосино,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,4.7,86,88002009002 (единая справочная: пн-вс 6:00-00:00),,,info@magnit.ru,,,http://magnit.ru/?utm_source=_geopriority_&utm_medium=&utm_campaign=_MM_Geoprioritety_-&utm_content=main&utm_term=,,,,,,,,,,,,https://vk.com/magnitretail,,,,,,,,,https://t.me/magnit_retail,,,,,,,,,70000001006827720,55.743229,37.879217,4504235282666994,,,1562,4504137598701571,Магнит,супермаркет,Супермаркеты,mart,1,13,2026-07-02T13:04:36Z,,0,32,https://2gis.com/firm/70000001006827720,branch,30,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726576
Магнит,супермаркет,Супермаркеты,"Суздальская улица, 26а",,111673,,Новокосино,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,4.2,24,88002009002 (единая справочная: пн-вс 6:00-00:00),,,info@magnit.ru,,,http://magnit.ru/?utm_source=_geopriority_&utm_medium=&utm_campaign=_MM_Geoprioritety_-&utm_content=main&utm_term=,,,,,,,,,,,,https://vk.com/magnitretail,,,,,,,,,https://t.me/magnit_retail,,,,,,,,,70000001017495645,55.743372,37.859924,4504235282667050,ТЦ Восход,,1562,4504137598701571,Магнит,супермаркет,Супермаркеты,mart,1,13,2026-07-02T13:01:36Z,,0,32,https://2gis.com/firm/70000001017495645,branch,30,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726576
Дикси,супермаркет,Супермаркеты; Доставка продуктов,"Новокосинская улица, 22",1 этаж,111672,,Новокосино,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,4.4,134,88001011001,,,,,,http://dixy.ru,,,,,,,,,,,,https://vk.com/dixyclub,,,,,,,,,https://t.me/dixy_russia,,,https://youtube.com/user/dixychannel,,,,,,4504127915575226,55.739931,37.861203,4504235282896527,ТЦ Миг,70030076690818949,1418,4504136498313374,Дикси,супермаркет,Супермаркеты,mart,2,12,2026-06-25T04:05:52Z,,0,32,https://2gis.com/firm/4504127915575226,branch,30,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726576
Перекрёсток,супермаркет,Супермаркеты; Доставка продуктов,"Новокосинская улица, 14а",1 этаж,111672,,Новокосино,Москва,,Москва,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,4.7,128,84956426483,84956426482,84956426485,info@x5.ru,,,http://perekrestok.ru/?utm_source=2gis_maps&utm_medium=display&utm_campaign=maps_wo_promo&utm_content=main_url,http://max.ru/perekrestok_shop,,,,,,,,,,,https://vk.com/perekrestok_shop,,,,,,,,,https://t.me/+rHsiEm_QR3EwNTky,,,,,,,,,4504127908401397,55.737828,37.856594,4504235282896646,ТЦ Новый век,,487,4504136498303078,Перекрёсток,супермаркет,Супермаркеты,mart,2,14,2026-06-27T05:12:00Z,,0,32,https://2gis.com/firm/4504127908401397,branch,30,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726576
Перекрёсток,супермаркет,Супермаркеты; Доставка продуктов,"Новокосинская улица, 10 к2",1 этаж,111673,,Новокосино,Москва,,Москва,Россия,Пн: 07:00-23:00; Вт: 07:00-23:00; Ср: 07:00-23:00; Чт: 07:00-23:00; Пт: 07:00-23:00; Сб: 07:00-23:00; Вс: 07:00-23:00,+03:00,3.9,17,84995538286,,,info@x5.ru,,,http://perekrestok.ru/?utm_source=2gis_maps&utm_medium=display&utm_campaign=maps_wo_promo&utm_content=main_url,http://max.ru/perekrestok_shop,,,,,,,,,,,https://vk.com/perekrestok_shop,,,,,,,,,https://t.me/+rHsiEm_QR3EwNTky,,,,,,,,,4504127909010574,55.734052,37.85619,4504235282897550,,,487,4504136498303078,Перекрёсток,супермаркет,Супермаркеты,mart,2,11,2026-06-27T05:12:02Z,,0,32,https://2gis.com/firm/4504127909010574,branch,30,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726576
Чижик,супермаркет,Супермаркеты,"Салтыковская улица, 15Б",цокольный этаж,111672,,Новокосино,Москва,,Москва,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+03:00,4.7,65,84992702713,,,112@chizhik.club,,,http://chizhik.club/?utm_campaign=HDGD&utm_medium=maps&utm_source=2gis,,,,,,,,,,,,https://vk.com/chizhik.club,,,,,,,,,,,,,,,,,,70000001067077807,55.738036,37.864227,4504235283022634,,,613,70000001046125844,Чижик,супермаркет,Супермаркеты,mart,1,7,2026-07-05T12:23:10Z,,0,32,https://2gis.com/firm/70000001067077807,branch,30,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726576
Чижик,супермаркет,Супермаркеты,"Салтыковская улица, 49а",1 этаж,111672,,Новокосино,Москва,,Москва,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+03:00,4.8,58,84992702713,,,112@chizhik.club,,,http://chizhik.club/?utm_campaign=HAL5&utm_medium=maps&utm_source=2gis,,,,,,,,,,,,https://vk.com/chizhik.club,,,,,,,,,,,,,,,,,,70000001088116003,55.745142,37.879452,70030076129547631,ТРЦ Волна,,613,70000001046125844,Чижик,супермаркет,Супермаркеты,mart,1,5,2026-07-05T12:23:09Z,,0,32,https://2gis.com/firm/70000001088116003,branch,30,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726576
