Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,E-mail 3,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,Instagram 1,Instagram 2,Instagram 3,Twitter 1,Twitter 2,Twitter 3,Facebook 1,Facebook 2,Facebook 3,ВКонтакте 1,ВКонтакте 2,ВКонтакте 3,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber 1,Viber 2,Viber 3,Telegram 1,Telegram 2,Telegram 3,YouTube 1,YouTube 2,YouTube 3,Skype 1,Skype 2,Skype 3,ID объекта,Широта,Долгота,ID здания,Название здания,ID этажа,Количество филиалов,ID сети,Название сети,Специализация сети,Главная рубрика,POI-категория,Кол-во рубрик,Кол-во атрибутов,Дата обновления,Удалён,ID сегмента,ID региона,2GIS URL,Тип,Ожидаемое кол-во (2GIS),Ссылка запроса
Магнит,супермаркет,Супермаркеты,"улица Академика Челомея, 8г",,117630,,Обручевский,Москва,,Москва,Россия,,+03:00,5.0,1,88002009002 (единая справочная: пн-вс 6:00-00:00),,,info@magnit.ru,,,http://magnit.ru/?utm_source=_geopriority_&utm_medium=&utm_campaign=_MM_Geoprioritety_-&utm_content=main&utm_term=,,,,,,,,,,,,https://vk.com/magnitretail,,,,,,,,,https://t.me/magnit_retail,,,,,,,,,70000001113812447,55.662633,37.530174,4504235282580133,,,1562,4504137598701571,Магнит,супермаркет,Супермаркеты,mart,1,1,2026-06-08T14:12:22Z,,0,32,https://2gis.com/firm/70000001113812447,branch,51,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726622
Чижик,супермаркет,Супермаркеты; Доставка продуктов,"улица Академика Челомея, 10Б",,117630,,Обручевский,Москва,,Москва,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+03:00,4.8,67,84992702713,,,112@chizhik.club,,,http://chizhik.club/?utm_campaign=HD6D&utm_medium=maps&utm_source=2gis,,,,,,,,,,,,https://vk.com/chizhik.club,,,,,,,,,,,,,,,,,,70000001064222038,55.661437,37.527244,4504235282580576,,,613,70000001046125844,Чижик,супермаркет,Супермаркеты,mart,2,7,2026-07-05T12:23:06Z,,0,32,https://2gis.com/firm/70000001064222038,branch,51,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726622
Eurospar,супермаркет,Супермаркеты; Доставка продуктов,"Ленинский проспект, 101",1 этаж,119421,,Обручевский,Москва,,Москва,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,4.7,284,88005001329 (бесплатная горячая линия: пн-вс 8:00-23:00),,,,,,http://myspar.ru,,,,,,,,,,,,https://vk.com/spar.russia,,,,,,,,,https://t.me/myspar,,,,,,,,,70000001062468726,55.666675,37.515503,4504235282581217,ТЦ Ленинский 101,70030076577246712,55,70000001028701845,Eurospar,супермаркет,Супермаркеты,mart,2,11,2026-07-06T04:33:43Z,,0,32,https://2gis.com/firm/70000001062468726,branch,51,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726622
Перекрёсток,супермаркет,Супермаркеты; Доставка продуктов,"Ленинский проспект, 99",1 этаж,119421,,Обручевский,Москва,,Москва,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,4.2,47,84997907825,,,info@x5.ru,,,http://perekrestok.ru/?utm_source=2gis_maps&utm_medium=display&utm_campaign=maps_wo_promo&utm_content=main_url,http://max.ru/perekrestok_shop,,,,,,,,,,,https://vk.com/perekrestok_shop,,,,,,,,,https://t.me/+rHsiEm_QR3EwNTky,,,,,,,,,4504127914742823,55.66928,37.518953,4504235282581108,,,487,4504136498303078,Перекрёсток,супермаркет,Супермаркеты,mart,2,11,2026-06-27T05:12:00Z,,0,32,https://2gis.com/firm/4504127914742823,branch,51,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726622
Дикси,супермаркет,Супермаркеты,"улица Академика Челомея, 7",,117630,,Обручевский,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,3.7,10,88001011001,,,,,,http://dixy.ru,,,,,,,,,,,,https://vk.com/dixyclub,,,,,,,,,https://t.me/dixy_russia,,,https://youtube.com/user/dixychannel,,,,,,70000001089114523,55.662882,37.536604,4504235282807033,,,1418,4504136498313374,Дикси,супермаркет,Супермаркеты,mart,1,11,2026-06-25T04:05:46Z,,0,32,https://2gis.com/firm/70000001089114523,branch,51,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726622
Азбука вкуса,супермаркет,Супермаркеты; Доставка продуктов,"Профсоюзная улица, 64/66",1 этаж,117420,,Обручевский,Москва,,Москва,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,4.5,33,84955043478 (служба поддержки),88007003487 (бесплатная единая справочная: пн-вс 9:00-21:00),84952230200,,,,http://av.ru,http://max.ru/azbukavkusa,,,,,,,,,,,https://vk.com/azbukavkusa,,,,,,,,,https://t.me/azbukavkusa,,,https://youtube.com/azbukav,,,,,,70000001006715013,55.665715,37.548718,4504235283107261,ТЦ Дирижабль,70030076501637894,102,4504136498318829,Азбука вкуса,супермаркет,Супермаркеты,mart,2,9,2026-07-06T03:20:07Z,,0,32,https://2gis.com/firm/70000001006715013,branch,51,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726622
Пятёрочка,супермаркет,Супермаркеты; Доставка продуктов,"Гарибальди улица, 24 к2",1 этаж,117393,,Обручевский,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,4.6,58,88007700400,,,info@x5.ru,,,http://5ka.ru/catalog?utm_source=2gis&utm_medium=cpm&utm_campaign=000161-17_igronik_media_5ka_promo_04_2026%7Cformat_banner%7Ctype_banner&utm_content=%7Ccreo_1&utm_term,http://max.ru/tspyaterochka,,,,,https://twitter.com/pyaterochka,,,,,,https://vk.com/pyaterochka_shop,,,,,,,,,,,,,,,,,,70000001030960884,55.672028,37.548147,4504235282568508,,,3347,4504136498316193,Пятёрочка,супермаркет,Супермаркеты,mart,2,13,2026-06-22T08:07:10Z,,0,32,https://2gis.com/firm/70000001030960884,branch,51,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726622
Пятёрочка,супермаркет,Супермаркеты; Доставка продуктов,"улица Новаторов, 40 к16",1 этаж,119421,,Обручевский,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,4.7,28,88007700400,,,info@x5.ru,,,http://5ka.ru/catalog?utm_source=2gis&utm_medium=cpm&utm_campaign=000161-17_igronik_media_5ka_promo_04_2026%7Cformat_banner%7Ctype_banner&utm_content=%7Ccreo_1&utm_term,http://max.ru/tspyaterochka,,,,,https://twitter.com/pyaterochka,,,,,,https://vk.com/pyaterochka_shop,,,,,,,,,,,,,,,,,,70000001029091225,55.663204,37.519053,4504235282574149,,,3347,4504136498316193,Пятёрочка,супермаркет,Супермаркеты,mart,2,14,2026-06-22T08:07:10Z,,0,32,https://2gis.com/firm/70000001029091225,branch,51,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726622
Пятёрочка,супермаркет,Супермаркеты; Доставка продуктов,"улица Саморы Машела, 2а",1 этаж,117198,,Обручевский,Москва,,Москва,Россия,Пн: 09:00-23:00; Вт: 09:00-23:00; Ср: 09:00-23:00; Чт: 09:00-23:00; Пт: 09:00-23:00; Сб: 09:00-23:00; Вс: 09:00-23:00,+03:00,4.2,10,88007700400,,,info@x5.ru,,,http://5ka.ru/catalog?utm_source=2gis&utm_medium=cpm&utm_campaign=000161-17_igronik_media_5ka_promo_04_2026%7Cformat_banner%7Ctype_banner&utm_content=%7Ccreo_1&utm_term,http://max.ru/tspyaterochka,,,,,https://twitter.com/pyaterochka,,,,,,https://vk.com/pyaterochka_shop,,,,,,,,,,,,,,,,,,70000001032959171,55.649419,37.498208,4504235302576961,,,3347,4504136498316193,Пятёрочка,супермаркет,Супермаркеты,mart,2,13,2026-06-22T08:07:11Z,,0,32,https://2gis.com/firm/70000001032959171,branch,51,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726622
Перекрёсток,супермаркет,Супермаркеты; Доставка продуктов,"улица Островитянова, 7",1 этаж,117198,,Обручевский,Москва,,Москва,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,4.8,192,88002009555 (многоканальный),,,info@x5.ru,,,http://perekrestok.ru/?utm_source=2gis_maps&utm_medium=display&utm_campaign=maps_wo_promo&utm_content=main_url,http://max.ru/perekrestok_shop,,,,,,,,,,,https://vk.com/perekrestok_shop,,,,,,,,,https://t.me/+rHsiEm_QR3EwNTky,,,,,,,,,4504127914984413,55.644099,37.495031,4504235282576645,,,487,4504136498303078,Перекрёсток,супермаркет,Супермаркеты,mart,2,15,2026-06-27T05:12:00Z,,0,32,https://2gis.com/firm/4504127914984413,branch,51,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726622
