Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,E-mail 3,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,Instagram 1,Instagram 2,Instagram 3,Twitter 1,Twitter 2,Twitter 3,Facebook 1,Facebook 2,Facebook 3,ВКонтакте 1,ВКонтакте 2,ВКонтакте 3,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber 1,Viber 2,Viber 3,Telegram 1,Telegram 2,Telegram 3,YouTube 1,YouTube 2,YouTube 3,Skype 1,Skype 2,Skype 3,ID объекта,Широта,Долгота,ID здания,Название здания,ID этажа,Количество филиалов,ID сети,Название сети,Специализация сети,Главная рубрика,POI-категория,Кол-во рубрик,Кол-во атрибутов,Дата обновления,Удалён,ID сегмента,ID региона,2GIS URL,Тип,Ожидаемое кол-во (2GIS),Ссылка запроса
Красное&Белое,продуктовый магазин,Продуктовые магазины; Алкогольные напитки,"улица Маршала Захарова, 3",1 этаж,115569,,Орехово-Борисово Северное,Москва,,Москва,Россия,Пн: 09:00-22:05; Вт: 09:00-22:05; Ср: 09:00-22:05; Чт: 09:00-22:05; Пт: 09:00-22:05; Сб: 09:00-22:05; Вс: 09:00-22:05 (Время продажи алкоголя ограничено.),+03:00,4.8,23,88001000804,89227033000,,,,,http://krasnoeibeloe.ru,http://zen.yandex.ru/id/5dde5c1021552277da47ba4b,http://max.ru/krasnoebeloe,,,,,,,,,,https://vk.com/krasnoebeloe,,,,,,,,,https://t.me/krasnoeibeloe,,,,,,,,,70000001036817281,55.622336,37.70723,4504235311978835,,,2113,70000001090565128,Красное&Белое,продуктовый магазин,Продуктовые магазины,shop,2,6,2026-06-21T07:49:55Z,,0,32,https://2gis.com/firm/70000001036817281,branch,11,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726616
Бристоль,магазин у дома,Продуктовые магазины; Алкогольные напитки,"улица Генерала Белова, 19 к4",,115563,,Орехово-Борисово Северное,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00 (Время продажи алкоголя ограничено.),+03:00,4.8,34,88002222002,,,,,,http://bristol.ru,,,,,,,,,,,,https://vk.com/bristol_retail,,,,,,,,,https://t.me/bristolretail,,,,,,,,,70000001042392857,55.61793,37.719631,4504235282676706,,,635,70000001018898719,Бристоль,магазин у дома,Продуктовые магазины,shop,2,4,2026-07-07T13:55:36Z,,0,32,https://2gis.com/firm/70000001042392857,branch,11,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726616
Красное&Белое,продуктовый магазин,Продуктовые магазины; Алкогольные напитки,"Шипиловская улица, 5 к1",1 этаж,115569,,Орехово-Борисово Северное,Москва,,Москва,Россия,Пн: 09:00-22:05; Вт: 09:00-22:05; Ср: 09:00-22:05; Чт: 09:00-22:05; Пт: 09:00-22:05; Сб: 09:00-22:05; Вс: 09:00-22:05 (Время продажи алкоголя ограничено.),+03:00,4.8,34,88001000804,89227033000,,,,,http://krasnoeibeloe.ru,http://zen.yandex.ru/id/5dde5c1021552277da47ba4b,http://max.ru/krasnoebeloe,,,,,,,,,,https://vk.com/krasnoebeloe,,,,,,,,,https://t.me/krasnoeibeloe,,,,,,,,,70000001059492517,55.618191,37.7025,4504235282533831,,,2113,70000001090565128,Красное&Белое,продуктовый магазин,Продуктовые магазины,shop,2,4,2026-06-21T07:49:15Z,,0,32,https://2gis.com/firm/70000001059492517,branch,11,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726616
Винлаб,супермаркет напитков,Продуктовые магазины; Алкогольные напитки,"Ореховый бульвар, 9",,115551,,Орехово-Борисово Северное,Москва,,Москва,Россия,Пн: 10:00-23:00; Вт: 10:00-23:00; Ср: 10:00-23:00; Чт: 10:00-23:00; Пт: 10:00-23:00; Сб: 10:00-23:00; Вс: 10:00-23:00 (Время продажи алкоголя ограничено.),+03:00,4.8,4,88003017755,,,,,,http://b2b.winelab.ru,http://max.ru/winelab_ru,,,,,,,,,,,https://vk.com/winelabru,,,,,,,,,https://t.me/winelab_chatbot,,,,,,,,,70000001092854192,55.610192,37.709902,4504235282530787,,,1163,70000001019234769,Винлаб,супермаркет напитков,Продуктовые магазины,shop,2,5,2026-07-07T13:29:28Z,,0,32,https://2gis.com/firm/70000001092854192,branch,11,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726616
Винлаб,супермаркет напитков,Продуктовые магазины; Алкогольные напитки,"Борисовский проезд, 14",,115563,,Орехово-Борисово Северное,Москва,,Москва,Россия,Пн: 10:00-23:00; Вт: 10:00-23:00; Ср: 10:00-23:00; Чт: 10:00-23:00; Пт: 10:00-23:00; Сб: 10:00-23:00; Вс: 10:00-23:00 (Время продажи алкоголя ограничено.),+03:00,5.0,2,88003017755,,,,,,http://b2b.winelab.ru,http://max.ru/winelab_ru,,,,,,,,,,,https://vk.com/winelabru,,,,,,,,,https://t.me/winelab_chatbot,,,,,,,,,70000001097494727,55.625839,37.721791,4504235282534053,,,1163,70000001019234769,Винлаб,супермаркет напитков,Продуктовые магазины,shop,2,5,2026-07-07T13:29:18Z,,0,32,https://2gis.com/firm/70000001097494727,branch,11,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726616
Ароматный мир,винный супермаркет,Продуктовые магазины; Алкогольные напитки,"улица Маршала Захарова, 2",1 этаж,115569,,Орехово-Борисово Северное,Москва,,Москва,Россия,Пн: 09:30-22:30; Вт: 09:30-22:30; Ср: 09:30-22:30; Чт: 09:30-22:30; Пт: 09:30-22:30; Сб: 09:30-22:30; Вс: 10:00-22:00 (Время продажи алкоголя ограничено.),+03:00,5.0,19,88007777290,84957775190 (доп.4917),,,,,http://amwine.ru,http://max.ru/amwineru,,,,,,,,,,,https://vk.com/amwineru,,,,,,,,,https://t.me/amwineru,,,https://youtube.com/@Aromatnyi_Mir_Vino_bez_vody,,,,,,70000001059191281,55.623849,37.706938,4504235283117987,,,564,4504136498285713,Ароматный мир,винный супермаркет,Продуктовые магазины,shop,2,6,2026-07-09T13:23:20Z,,0,32,https://2gis.com/firm/70000001059191281,branch,11,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726616
Ермолино,фирменный магазин,Продуктовые магазины; Колбасные изделия; Продукты быстрого приготовления; Мясо и полуфабрикаты; Сыры; Кондитерские изделия; Молочные продукты,"Каширское шоссе, 80",1 этаж,115569,,Орехово-Борисово Северное,Москва,,Москва,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+03:00,,,89132020588,89208800212,,,,,http://ermolino-produkty.ru,http://max.ru/produktyermolino,,,,,,,,,,,https://vk.com/produktyermolino,,,,,,,,,https://t.me/produktyermolino,,,https://youtube.com/c/ErmolinskieProdukty,,,,,,70000001110125243,55.624769,37.709501,4504235282533798,РК Борисовский,,677,70000001026552772,Ермолино,фирменный магазин,Продуктовые магазины,shop,7,3,2026-06-10T04:16:18Z,,0,32,https://2gis.com/firm/70000001110125243,branch,11,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726616
Я! маркет,продуктовый магазин,Продуктовые магазины,"Шипиловский проезд, вл39 ст2",1 этаж,115551,,Орехово-Борисово Северное,Москва,,Москва,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,0.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70000001082634862,55.612704,37.695978,4504235282534585,,,1,70000001082634861,Я! маркет,продуктовый магазин,Продуктовые магазины,shop,1,5,2026-07-09T09:37:37Z,,0,32,https://2gis.com/firm/70000001082634862,branch,11,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726616
Фермерский дворик,магазин продуктов,Продуктовые магазины,"Домодедовская улица, 20 к3 ст2",,115551,,Орехово-Борисово Северное,Москва,,Москва,Россия,Пн: 09:00-21:30; Вт: 09:00-21:30; Ср: 09:00-21:30; Чт: 09:00-21:30; Пт: 09:00-21:30; Сб: 09:00-21:30; Вс: 09:00-21:30,+03:00,,,89259541157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70000001082634839,55.612706,37.704791,4504235314622805,,,1,70000001082634837,Фермерский дворик,магазин продуктов,Продуктовые магазины,shop,1,8,2026-07-09T13:26:24Z,,0,32,https://2gis.com/firm/70000001082634839,branch,11,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726616
Продуктовый магазин,,Продуктовые магазины; Разливное пиво,"Каширское шоссе, 102 к1 ст3",,115551,,Орехово-Борисово Северное,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00 (Время продажи алкоголя ограничено.),+03:00,2.2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70000001033665774,55.61303,37.713695,4504235282533647,,,1,70000001033665773,Продуктовый магазин,Продуктовый магазин,Продуктовые магазины,shop,2,4,2026-05-05T13:22:06Z,,0,32,https://2gis.com/firm/70000001033665774,branch,11,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726616
